மற்றும்	and
முடியவில்லை	failed
எழுத	write
அறிஞர்கள்	scholars
புலவர்கள்	poets
பிரான்ஸ்	france
ஜெர்மனி	germany
கொண்டே	keep
பயன்படுத்தப்பட்டது	used
விரிவான	detailed
தலைநகரம்	capital
வட்டார	local
பிரபல	famous
பார்வை	reach
பார்வை	view
தகுதி	eligibility
தகுதி	deserve
தகுதி	qualification
தகுதி	eligible
பாகம்	part
பாகம்	module
மரபணு	gene
எல்லை	border
எல்லை	boundary
எல்லை	limit
எல்லை	range
நடு	middle
வேறுபாடு	difference
வேறுபாடு	contrast
உறுப்பு	term
உறுப்பு	element
நெடுஞ்சாலைகள்	highways
மருத்துவர்	physician
மருத்துவர்	doctor
இடத்தை	place
எதிர்த்து	against
ஏற்ற	mount
புதினம்	novel
இடையிலான	between
இலக்கணம்	grammer
இலக்கணம்	literature
இலக்கணம்	grammar
லண்டன்	london
கோப்பை	trophy
கோப்பை	mug
கோப்பை	cup
அலி	ali
வினை	reaction
இத்	ith
கருத்தில்	considering
கண்டி	kandy
உள்ளடக்கிய	inclusive
வகுப்பு	class
இறுதியாக	finally
இறுதியாக	ultimately
பொருளாதாரம்	economic
பொருளாதாரம்	economics
பொருளாதாரம்	financial
பொருளாதாரம்	economy
தவறான	incorrect
தவறான	wrong
உச்ச	supreme
உச்ச	climax
ஆப்பிரிக்க	african
முகம்மது	mohammad
முகம்மது	mohamed
முக்கியமாக	mainly
முடிகிறது	finishing
முடிகிறது	ends
முடிகிறது	ending
நடந்து	walking
விளைவு	result
விளைவு	effect
விளைவுகள்	effects
இத்தாலி	italy
இணையத்தளம்	website
உருவாக்கம்	creation
அமைதி	peace
அமைதி	silent
அமைதி	calm
ஐந்தாம்	fifth
வழக்கமான	regular
நன்றாக	fine
கணேசன்	ganesan
பண்பாட்டு	cultural
இருபது	twenty
பீட்டர்	peter
விஜய்	vijay
வேகம்	speed
வேகம்	fast
உளவியல்	psychology
சதவீதம்	percentage
சதவீதம்	percent
மகா	maha
பாலியல்	sexually
பாலியல்	sexual
அருங்காட்சியகம்	museum
காட்டுகிறது	showing
காட்டுகிறது	shows
புவி	earth
மன	mental
சிவாஜி	shivaji
சிவாஜி	sivaji
இரும்பு	iron
நடந்தது	happened
பழமையான	legend
பழமையான	classic
செயற்கை	synthetic
செயற்கை	artificial
நீதி	justice
முடிந்தது	completed
முடிந்தது	finished
முடிந்தது	done
முறைமை	mode
தண்டனை	penalty
தண்டனை	punishment
ஒன்றும்	nothing
நாவல்	novel
ஜப்பான்	japan
உதவுகிறது	helps
சந்திப்பு	appointment
சந்திப்பு	meeting
சந்திப்பு	meet
நாயக்கர்	nayak
நாயக்கர்	nayaks
மன்றங்கள்	forums
வாயு	gas
ராபர்ட்	robert
வழிபாடு	worship
சிங்கள	sinhala
தொல்லியல்	archaeological
தொல்லியல்	archaeology
உயரமான	taller
அறிவிக்கப்பட்டது	announced
கணக்கெடுப்பு	census
கணக்கெடுப்பு	enumeration
மனிதர்கள்	humans
மலையாளம்	malayalam
பரிமாற்றங்கள்	transactions
டு	du
அரங்கம்	theater
அரங்கம்	stadium
அரங்கம்	auditorium
சூழலில்	environment
காணப்பட்டது	spotted
மரங்கள்	trees
எடுத்துக்காட்டு	example
மணிக்கு	pm
மாதங்கள்	months
வடக்கே	north
தூரம்	distance
அவசியம்	required
மாநாடு	conference
மாநாடு	summit
மாநாடு	convention
ஆண்டுதோறும்	annually
சொல்லும்	say
சொல்லும்	tells
விலங்கு	animal
தயாரிப்பாளர்	producer
தயாரிப்பாளர்	manufacturer
படுகொலை	assassination
படுகொலை	massacre
அல்லாத	non
பூ	flower
பூ	boo
யானை	elephant
வணிகம்	commercial
வணிகம்	business
வணிகம்	trade
கல்	stone
பொ	po
கு	ku
அமைந்திருக்கும்	located
மண்டபம்	mandapam
மண்டபம்	hall
இசையமைத்த	composed
நூறு	hundred
பாலம்	bridge
சார்	sir
சுற்றுச்சூழல்	environment
சுற்றுச்சூழல்	environmental
கல்வெட்டு	inscription
தாயார்	mother
அதிகாரி	official
அதிகாரி	officer
பாரதி	bharti
பாரதி	bharathi
புள்ளிகள்	points
புள்ளிகள்	score
வீட்டு	homely
மைக்கேல்	michael
மைக்கேல்	micheal
புத்தகம்	book
கட்டிடங்கள்	buildings
மதம்	religion
ஈடுபாடு	engagement
ஈடுபாடு	involvement
பள்ளிகள்	schools
வீடியோ	video
வெளியில்	out
விவரங்கள்	details
புதுச்சேரி	puducherry
புதுச்சேரி	pondicherry
ரி	ri
பறவை	bird
பறவை	finch
எடுக்கப்பட்ட	taken
பகுப்பாய்வு	analytics
பகுப்பாய்வு	analysis
ஒருவன்	oruvan
சின்ன	chinna
உடனடியாக	immediately
உடனடியாக	instantly
வரையறை	definition
வரையறை	delimiter
இணையம்	internet
கடும்	heavy
எளிதாக	easy
விசை	key
அழகிய	beautiful
நாட்டை	exile
அழைக்கப்பட்டது	invited
பொதுமக்கள்	civilians
வேகமாக	fast
மாற்றப்பட்டது	changed
மாற்றப்பட்டது	modified
அட்டவணை	table
அட்டவணை	schedule
தீர்வு	solution
பா	pa
மதிப்பீடு	rating
அருகிலுள்ள	nearby
அட்டை	leech
அட்டை	card
ஒருமுறை	once
கிடைத்த	got
முன்பே	already
முன்பே	earlier
ராக்	rock
செல்கிறது	going
செல்கிறது	goes
பெருமளவில்	wildly
கட்டுப்பாடு	control
தவிர்த்து	excluding
சோழர்	chola
சோழர்	cholas
சிக்கல்	issue
சிக்கல்	problem
பழங்குடி	tribal
யூத	jewish
பொறுப்பு	responsible
பொறுப்பு	liability
பொறுப்பு	responsibility
நேர்	positive
நேர்	straight
நேர்	guidance
ஷா	sha
ஷா	shah
ஷா	shaw
நடுவில்	middle
ஜெர்மன்	german
ஜெர்மன்	grammar
முகமது	mohammad
முகமது	mohammed
நபர்	person
கிருஷ்ணன்	krishnan
##	##
ஐந்தாவது	fifth
மத்தியப்	madhya
வெப்பம்	heat
ராஜ்	raj
பெருமை	pride
பெருமை	proud
பாடசாலை	school
சா	cha
சா	shah
தங்க	gold
ஜோசப்	joseph
பயன்பாட்டில்	footers
நாடாளுமன்றம்	parliament
கூட்டம்	gathering
கூட்டம்	meeting
கூட்டம்	crowd
அலை	waves
அலை	wave
இந்தியன்	indian
ஆசிரியர்கள்	teachers
ஆசிரியர்கள்	authors
இலண்டன்	london
பந்து	ball
சாதி	caste
ஆறுகள்	rivers
மூர்த்தி	murti
மூர்த்தி	murthy
வென்றது	won
சிவ	shiv
சன்	sun
கலிபோர்னியா	california
தத்துவம்	proverb
தத்துவம்	philosophy
தத்துவம்	principle
இரா	ira
அதிகாரிகள்	officers
அதிகாரிகள்	officials
அனைவருக்கும்	everyone
மருந்துகள்	drugs
புதூர்	pudur
சென்	chen
சென்	sen
சிக்கலான	critical
சாதனை	record
சாதனை	achievement
அடுக்கு	slot
அடுக்கு	layer
பின்னாளில்	later
இசுலாம்	islam
மேரி	mary
பெரியார்	periyar
சோடியம்	sodium
பல்	dental
பல்	tooth
லா	la
நே	ne
ஓவியங்கள்	paintings
விரைவாக	quick
விரைவாக	fast
விரைவாக	quickly
பண்புகள்	attributes
பண்புகள்	properties
கலந்த	mixed
பருவம்	season
பருவம்	parva
பொருள்கள்	things
பொருள்கள்	themes
பொருள்கள்	objects
பொருள்கள்	items
அடைந்து	reached
நெருங்கிய	closest
பரப்பு	surface
பரப்பு	area
ஆய்வாளர்கள்	analysts
ஏதாவது	any
ஏதாவது	something
வழங்க	provide
ஏற்று	load
ஏற்று	mount
ஏற்று	export
ஹென்றி	henry
சுதந்திரம்	freedom
தலைமையகம்	headquarters
சர்	sir
முனிவர்	sage
கட்டிடம்	building
அணை	dam
அணை	off
அவற்றுள்	followings
நல்லது	positive
நல்லது	good
சுற்று	rotate
கருத்தை	comment
வேறுபாடுகள்	differences
அழற்சி	inflammatory
அழற்சி	inflammation
அழற்சி	colitis
தலைமையிலான	headed
சேர	join
சேர	cheras
ஐயர்	iyer
தொன்மவியல்	mythology
கும்பகோணம்	kumbakonam
தென்காசி	tenkasi
மையமாக	medium
முன்னதாக	earlier
ஆஸ்திரேலிய	australian
வடிவங்கள்	shapes
வடிவங்கள்	patterns
வடிவங்கள்	formats
சுய	self
குருதி	blood
படைப்புகள்	writings
படைப்புகள்	creations
குதிரை	knight
குதிரை	horse
குதிரை	pony
குறைந்து	down
மத	religious
வெளிநாட்டு	foreign
சந்திர	chandra
சந்திர	lunar
வண்டி	automotive
வண்டி	truck
வண்டி	cart
வண்டி	vehicle
ஊர்கள்	towns
பங்களிப்பு	contributions
பங்களிப்பு	participated
அணிகள்	teams
கூகிள்	google
பசிபிக்	pacific
விதிகள்	rules
விதிகள்	terms
சுல்தான்	sultan
இயல்பு	normal
உப்பு	salt
கட்சிகள்	parties
கொள்கைகள்	principles
கொள்கைகள்	policies
கொள்கைகள்	principle
தஞ்சை	tanjore
அடைய	attains
அடைய	achieve
வா	vaa
வா	wa
விழுக்காடு	percentage
விழுக்காடு	percent
மி	mi
வலி	pain
வலி	painful
குறைவு	low
குறைவு	less
நடைமுறையில்	practically
நிரல்	program
பிரேசில்	brazil
வருகை	attendance
வருகை	visiting
வருகை	visit
வருகை	arrives
மின்னஞ்சல்	email
அரிய	rare
லாஸ்	los
லாஸ்	las
பிரிந்து	separated
தீவிர	serious
கொழுப்பு	fat
அருணாசலம்	arunachalam
குழாய்	pipe
குழாய்	tube
கொடுக்கும்	gives
தனியாக	alone
யாரும்	nobody
தடுப்பு	detention
தற்பொழுது	now
மைசூர்	mysore
வீச்சு	range
உயிரினங்கள்	organisms
உயிரினங்கள்	creatures
இறந்தார்	died
இம்	uh
மாறும்	morphing
கூடுதலான	additional
நீல	blue
நாடகங்கள்	dramas
கப்பல்கள்	ships
கப்பல்கள்	cruises
பரந்த	vast
வெளிப்புற	outdoor
வெளிப்புற	external
தெளிவாக	clearly
அரை	grind
அரை	half
ஏக்கர்	acre
தெரியும்	visible
தெரியும்	knew
தெரியும்	know
தெரியும்	knows
நடை	style
நடை	walk
திருமண	wedding
அரியலூர்	ariyalur
பஞ்சாபி	punjabi
நெல்	nell
நெல்	rice
நெல்	nel
நெல்	paddy
நம்பப்படுகிறது	showcased
டச்சு	dutch
ஆரணி	arni
காட்டு	show
காட்டு	display
காட்டு	view
ஏறக்குறைய	almost
முறையான	proper
முறையான	valid
முறையான	validity
மார்க்	mark
தேவர்	devar
பேரரசர்	emperor
வை	vai
மைக்ரோசாப்ட்	microsoft
வளர்ந்த	grown
பாரதிய	bharatiya
கோல்	cole
கோல்	goal
தோன்றியது	appeared
தோன்றியது	seemed
போதுமான	enough
நேரு	nehru
குஜராத்	gujrat
குஜராத்	gujarat
நி	ni
கருத்துக்கள்	comments
அருள்	favor
அருள்	arul
வெறும்	plain
வெறும்	just
முயற்சிகள்	efforts
முயற்சிகள்	attempts
கொல்கத்தா	kolkata
கோபுரம்	tower
அரண்மனை	palace
வெற்றிகரமாக	successfully
ஆகஸ்டு	august
பெரு	peru
அறை	cell
அறை	room
இராமநாதபுரம்	ramanathapuram
மணம்	fragrant
மணம்	smell
நிறை	mass
மோசமான	bad
மோசமான	worst
மோசமான	nasty
மை	ink
எரிபொருள்	fuel
இறந்து	die
இறந்து	died
இறந்து	dead
வலை	web
வலை	mesh
நுரையீரல்	lung
நுரையீரல்	lungs
பிறந்து	born
கொரியா	korea
காடு	forest
காடு	jungle
சான்றுகள்	credentials
சீக்கிய	sikh
மண்டல	regional
ஆகையால்	therefore
கங்கை	ganges
லீ	lee
கணிதம்	maths
கணிதம்	mathematics
கணிதம்	math
பூமி	earth
கணக்கு	account
ஒழுங்கு	align
ஏர்	plough
ஏர்	air
அறிகுறிகள்	symptoms
அறிகுறிகள்	signs
அனுப்பி	sent
அதிகரிக்கும்	increase
நீதிபதி	judge
உணர்வு	feeling
சூப்பர்	super
பெரம்பலூர்	perambalur
பொன்	golden
பல்கலைக்கழகங்கள்	universities
ஆக்சைடு	oxide
அறிவியலாளர்கள்	intellectuals
எழுதும்	burning
பாப்	pap
பாப்	bob
பாப்	pop
ஆயர்	ayer
மாநிலங்கள்	states
உருவாகிறது	forming
மனிதர்	human
தளபதி	commander
எடுத்த	took
ராணி	queen
ராணி	rani
அதிமுக	aiadmk
நெதர்லாந்து	netherlands
உரையாடல்	dialogue
உரையாடல்	interaction
உரையாடல்	dialog
உரையாடல்	conversation
திரும்ப	return
வீடுகள்	homes
வீடுகள்	houses
வீடுகள்	villas
திரை	screen
சுற்றியுள்ள	surrounding
நடனம்	dance
கிளை	tree
கிளை	branch
அகராதி	lexicon
அகராதி	dictionary
முன்னால்	front
கண்ணாடி	glass
கண்ணாடி	mirror
கண்ணாடி	glasses
பட்டியல்கள்	lists
குறியீடுகள்	codes
குறியீடுகள்	tags
அதுவே	itself
துறைகள்	departments
அம்சங்கள்	features
செயல்திறன்	performance
மேற்கோள்	quote
மேற்கோள்	reference
ஓரளவு	somewhat
தல	thala
பூக்கும்	blooming
தொகுத்து	hosting
பிள்ளையார்	pillai
பூமியின்	earth
வாயில்	gate
குறை	congenital
குறை	reduce
குறை	decrease
தொடர்ச்சியான	continuous
மரணம்	death
விளக்க	explain
பெருங்கடல்	ocean
மொழியியல்	linguistics
மாநிலங்களில்	states
சம	equal
செயல்பாடு	function
செயல்பாடு	operation
செயல்பாடு	activity
செயல்பாடுகள்	operations
ரூ	rs
ஆந்திர	ap
ஆந்திர	andhra
கார்	car
தாய்லாந்து	thailand
விளக்கும்	lights
விளக்கும்	explaining
பக்தி	bhakti
பக்தி	devotion
உலோக	metal
உலோக	metallic
அதைத்	it
பெறுகிறது	receiving
பெறுகிறது	getting
ஊடாக	through
இப்பொழுது	now
சீ	chi
சீ	cee
காஞ்சி	kanchi
கோப்பு	files
கோப்பு	file
கண்டுபிடிக்கப்பட்டது	discovered
அண்மைய	latest
அண்மைய	recent
ராவ்	rao
சட்டங்கள்	frames
சட்டங்கள்	laws
குண்டு	bomb
கோவிலில்	temple
வால்	tail
வால்	val
மின்சார	electrical
மின்சார	electric
நாயனார்	nayanar
மலைகள்	mountains
தேர்தல்கள்	elections
நிற்கும்	standing
நிற்கும்	stand
புத்தர்	buddha
காரணங்கள்	reasons
காரணங்கள்	causes
நரம்பு	nervous
நரம்பு	vein
நரம்பு	nerve
பாதிக்கப்பட்ட	infected
பாதிக்கப்பட்ட	affected
பாதிக்கப்பட்ட	victim
தென்கிழக்கு	southeast
பை	bag
பை	bye
பை	pie
காட்டி	viewer
அடிகள்	steps
பாறை	reef
பாறை	rock
அடைந்தது	reached
நாங்கள்	we
வேண்டாம்	dont
விவரம்	description
விவரம்	detail
உள்ளடக்கியது	contains
வட்டங்கள்	circles
முதல்வர்	principal
தாமஸ்	thomas
பிட்	bit
தலைப்பு	title
தலைப்பு	caption
புலி	tiger
முதலீடு	invest
முதலீடு	investment
வசித்து	lived
ஏழாம்	seventh
சிறை	jail
சிறை	prison
கிங்	king
டாலர்	dollar
வரிகள்	rows
வரிகள்	lines
வரிகள்	taxes
வளம்	resource
வளம்	wealth
வளம்	flexibility
வளம்	fertility
வளம்	resources
ஒருங்கிணைந்த	integrated
எருசலேம்	jerusalem
பார்	see
பார்	bar
பார்	look
கடற்படை	navy
பெங்களூர்	bangalore
பெங்களூர்	banglore
\\	\\
துறைமுகம்	harbor
துறைமுகம்	port
அடையும்	reaches
வணக்கம்	hi
வணக்கம்	hello
///////	///////
தினம்	day
தனிநபர்	individual
தவிர்க்க	avoided
தவிர்க்க	defer
இதய	cardiac
இடைவெளி	break
இடைவெளி	space
மருத்துவமனை	hospital
மருத்துவமனை	clinic
தருகிறது	wada
அடக்கம்	burial
பௌத்தம்	buddhism
தலைமுறை	generation
வசிக்கும்	living
நிலைகள்	states
நிலைகள்	stages
நிலைகள்	levels
இயங்குகிறது	running
காடுகள்	forestry
காடுகள்	forests
காடுகள்	forest
கோவில்கள்	temples
ஸ்டார்	starve
ஸ்டார்	star
திருகோணமலை	trincomalee
இரயில்வே	railway
இரயில்வே	railways
இராணுவம்	military
இராணுவம்	army
செய்தால்	if
வாழ்நாள்	lifetime
இரவில்	overnight
இரவில்	night
உருவம்	image
பட்டு	silk
வங்கிகள்	banks
பாணி	style
கொண்டாடப்படுகிறது	celebrated
எகிப்து	egypt
பறக்கும்	flying
நடத்தப்பட்ட	conducted
திருமால்	vishnu
தெளிவான	clear
தெளிவான	sharpen
திறந்து	opened
ஆல்பம்	album
வைணவ	vaishnava
அன்பு	love
வலையமைப்பு	network
நீலகிரி	nilgiri
நீலகிரி	nilgiris
பழனி	palani
ஆதாரங்கள்	proofs
ஆதாரங்கள்	evidence
ஆதாரங்கள்	resources
ஆதாரங்கள்	evidences
முகம்	face
மின்சாரம்	electricity
திங்கள்	monday
பருவத்தில்	season
லட்சம்	lakh
லட்சம்	lakhs
குளம்	pond
குளம்	pool
அமெரிக்கன்	american
கனிம	inorganic
பத்திரிகை	press
பத்திரிகை	magazine
பரிசுகள்	gifts
காப்புரிமை	patent
காப்புரிமை	copyright
கேள்வி	query
கேள்வி	question
பாதையில்	cause
குடும்பங்கள்	families
கொரிய	korean
இன்றி	tonight
சிந்து	indus
சிந்து	sindhu
அறக்கட்டளை	foundation
திரைக்கதை	screenplay
விளக்கு	light
விளக்கு	lamp
விளக்கு	lights
தம்பி	thambi
ஜோன்	joan
ஜோன்	joon
ஜோன்	jon
விரும்பும்	want
கிராம்	gram
காவல்துறை	police
கேட்டு	listening
மயிலாடுதுறை	mayiladuthurai
காஷ்மீர்	kashmir
ரிச்சர்ட்	richard
பனி	haze
பனி	fog
பனி	snow
பனி	ice
ஆறாவது	sixth
சிக்கல்கள்	issues
ஜப்பானிய	japanese
தானியங்கி	auto
தானியங்கி	robot
தானியங்கி	automotive
தானியங்கி	automatic
ஆடி	aadi
ஆடி	audi
ஆட்டத்தில்	game
யு	yu
காவிரி	kaveri
காவிரி	cauvery
கோடு	line
தோராயமாக	approximately
தன்னாட்சி	autonomous
இலக்கு	destination
இலக்கு	targeting
இலக்கு	goal
இலக்கு	target
ஆளுநர்	governor
சமுதாய	community
சொத்து	asset
சொத்து	property
கொடுக்க	give
சகோதரர்	brother
காரணிகள்	factors
எக்ஸ்பிரஸ்	express
இருவர்	two
கோவா	goa
ஒன்றிய	union
ஆப்பிரிக்கா	africa
விசாரணை	probe
விசாரணை	inquiry
விசாரணை	investigation
மேற்கொண்டு	further
இயந்திரம்	machine
இயந்திரம்	engine
பிற்பகுதியில்	later
மெல்லிய	thin
கன்னடம்	kannada
வடகிழக்கு	northeast
வடகிழக்கு	northwest
விவசாய	agricultural
விவசாய	agriculture
கொடுத்தார்	gave
இளைய	youngest
இளைய	younger
செல்வம்	selvam
செல்வம்	wealth
எலும்பு	bone
நற்செய்தி	gospel
கடிதம்	letter
ஓவியர்	painter
ஓவியர்	artist
நினைக்கிறேன்	suppose
நினைக்கிறேன்	think
}}}}}}}}	}}}}}}}}
உன்	your
உன்	ur
வங்காளம்	bengali
வங்காளம்	bengal
குடிமக்கள்	citizens
இடம்பெறும்	featuring
கிலோமீட்டர்கள்	kilometers
ஏற்றுமதி	export
குடியிருப்பு	residence
அந்தமான்	andaman
வருமானம்	income
பின்னால்	behind
விவசாயம்	agriculture
குறிப்பிட்டுள்ளார்	mentioned
கிரிக்கெட்	cricket
கிரிக்கெட்	crickets
அலகுகள்	units
சேமிப்பு	saving
சேமிப்பு	savings
சேமிப்பு	storage
இந்தியர்	indians
இந்தியர்	singaporeans
இந்தியர்	indian
மீன்கள்	fish
அலைகள்	waves
தமிழகம்	tamilnadu
தமிழகம்	tamilakam
என்கிறார்	says
வட்ட	round
முதலியார்	mudaliar
திமுக	dmk
புனே	pune
மலர்கள்	flowers
தொடர்வண்டி	train
பயிர்	crops
பயிர்	crop
பழம்	fruit
சொல்லி	say
செயல்முறை	process
செயல்முறை	procedure
கம்யூனிஸ்ட்	communist
வலிமை	strength
வலிமை	strong
அத்தகைய	such
கூட்டுறவு	cooperative
சுவாமிகள்	swamigal
தேர்ந்தெடுக்கப்பட்ட	selected
மீனாட்சி	meenakshi
பார்க்	park
தங்கம்	gold
கலாச்சார	cultural
ராம்	ram
ஜம்மு	jammu
கோள்	planet
கண்ணன்	kannan
இதற்காக	for
அதிகப்படியான	excess
தொகுப்புகள்	packages
தொகுப்புகள்	collections
முனை	edge
இவர்களுக்கு	them
முறைப்படி	feared
வீதி	street
\,	\,
தேவாலயம்	church
வரையறுக்கப்பட்ட	classified
பயன்படுத்திய	used
புத்தகங்கள்	books
மார்ட்டின்	martin
மருத்துவர்கள்	doctors
மலாக்கா	malacca
மலாக்கா	melaka
கவிஞர்கள்	poets
கொல்லப்பட்டார்	killed
பொருத்தமான	suitable
பாராளுமன்ற	parliamentary
வரலாற்றை	relate
பிரதி	duplicate
முன்னேற்றம்	progress
அயர்லாந்து	ireland
நடைமுறை	procedure
தெய்வம்	goddess
வழங்கப்பட்ட	provided
அளித்து	provided
புறம்	puram
புறம்	side
பாரிஸ்	paris
இயல்பான	organic
இயல்பான	normal
உருது	urdu
படிப்படியாக	gradual
படிப்படியாக	gradually
அவனை	him
அப்பொழுது	then
அளவுகள்	dimensions
அளவுகள்	sizes
கருத்துகள்	comments
அழுத்த	press
ஆடை	apparel
ஆடை	dress
ஆடை	clothing
ஆடை	attire
}/	}/
டீ	tea
டீ	dee
ஆயிரக்கணக்கான	thousands
லட்சுமி	lakshmi
பீ	bee
குறி	mark
குறி	sign
மேடை	stage
சாம்பல்	gray
சாம்பல்	grey
மலாய்	malay
மலாய்	parley
கன்னட	kannada
கலப்பு	mixed
கலப்பு	mix
ரா	raw
வடமேற்கு	northwest
வருடங்கள்	yrs
வருடங்கள்	years
உலகளவில்	globally
விக்டோரியா	victoria
பொட்டாசியம்	potassium
காலநிலை	climate
காலநிலை	weather
பரிந்துரை	suggest
பரிந்துரை	recommend
பரிந்துரை	suggestion
பரிந்துரை	recommendation
ஏனென்றால்	because
ஏனென்றால்	coz
மொத்தமாக	totally
தோட்டம்	garden
இலவச	free
ஞானம்	wisdom
நெறிமுறை	protocol
சினிமா	cinema
நுகர்வோர்	consumer
தோழி	friend
வாய்	mouth
வாய்	wai
பாதிப்பு	damage
அழகு	beautiful
அழகு	cute
அழகு	beauty
அழகு	pretty
ஆப்பிள்	apple
விஷ்ணு	vishnu
விலகி	away
தொடர்புகள்	contacts
பெட்டி	box
பெட்டி	boxed
டாம்	tom
கொடுத்த	given
சுந்தரம்	sundaram
தொடர்ச்சி	continuous
தொடர்ச்சி	string
தொடர்ச்சி	sequence
பில்	bill
என்னை	me
வியட்நாம்	vietnam
மொபைல்	mobile
தாவரம்	plant
பின்னணி	background
ஆரம்பித்து	inaugurates
கலைகள்	arts
கலைக்களஞ்சியம்	encyclopedia
மின்னணு	electronic
பயன்பாடுகள்	applications
பயன்பாடுகள்	apps
பாரிய	massive
வெ	fri
குறிப்பிடப்படுகிறது	walkers
கற்பனை	fantasy
கற்பனை	imagination
பூக்கள்	flowers
சகோதரர்கள்	brothers
போலந்து	poland
பிரபு	prabhu
ஒவ்வொன்றும்	each
நிகழ்ந்தது	occurred
சுந்தர்	sundar
தொழிலாளர்கள்	workers
தொழிலாளர்கள்	labourers
வளர்ப்பு	foster
தொடர்கள்	series
தொடர்கள்	strings
இனி	wanna
இனி	anymore
மது	liquor
மது	alcohol
மது	madhu
மது	wine
குறிப்பிடப்பட்டுள்ளது	specified
எட்டாம்	viii
கனடிய	canadian
கேரளா	kerala
நாசி	nazi
சொல்ல	say
ஆதிக்கம்	dominate
ஆதிக்கம்	dominance
விரைவுவண்டி	express
இஸ்லாம்	islam
தவறு	false
தவறு	precision
தவறு	wrong
தவறு	mistake
இளைஞர்	youth
வாரம்	week
யார்க்	york
பொருந்தும்	apply
பொருந்தும்	matching
பாடி	body
ஓம்	om
பரவல்	diffusion
பரவல்	distribution
தடுத்து	detention
செருமானிய	germanic
திசை	direction
மாரியம்மன்	mariamman
ஈர்ப்பு	attraction
ரே	ray
நலம்	well
நலம்	health
நலம்	fine
ஊடகங்கள்	media
உணவுகள்	foods
போனது	gone
இரயில்	train
இரயில்	rail
இரயில்	leaned
உடனே	immediately
உடனே	asap
மன்னார்	mannar
இழப்பு	loss
இழப்பு	loose
இல்லம்	house
தேசம்	nation
வலுவான	strong
சுப்பிரமணியன்	subramanian
செட்டியார்	chettiar
வாக்காளர்	voter
இயக்குநர்கள்	directors
அரசுகள்	governments
பயன்படுத்திக்	using
ஒட்டுமொத்த	overall
மான்	deer
பெண்களுக்கு	girls
பெண்களுக்கு	women
ஆனந்த	ananda
பரிசோதனை	test
பரிசோதனை	experiment
மாற்றங்களை	changes
வளாகம்	complex
வளாகம்	campus
எழுதப்பட்டது	written
எழுதப்பட்டது	burned
பிரச்சினை	problem
சேர்	add
சேர்	join
பாரசீக	persian
எங்கும்	elsewhere
எங்கும்	anywhere
எங்கும்	everywhere
மீதும்	capable
முத்து	pearl
முத்து	muthu
மகாத்மா	mahatma
கரு	primitives
கரு	nucleus
சான்று	proof
சான்று	testimony
தாக்கத்தை	impact
வார்த்தை	word
இளங்கலை	bachelor
மேம்பட்ட	advanced
கடினமான	hard
கடினமான	tough
குளிர்	cold
இன்னமும்	still
தளங்கள்	domains
தளங்கள்	platforms
தளங்கள்	sites
சுவர்	wall
சிற்பங்கள்	sculptures
பீகார்	bihar
எதிர்கால	future
வேத	vedic
வேத	veda
அழைக்கப்பட்ட	called
பெரும்பான்மை	majority
சபா	sabah
சபா	saba
அதிகபட்ச	max
அதிகபட்ச	maximum
பிழை	error
தென்மேற்கு	southwest
தென்மேற்கு	southwestern
நகரும்	moving
தயாரிக்கும்	making
ராய்	roy
விரைவு	quick
பெறப்பட்ட	received
தங்களை	themselves
யூனியன்	union
அமினோ	amino
எடுக்கும்	taking
எடுக்கும்	takes
இந்தியர்கள்	indians
பாடகர்கள்	singers
அமைச்சர்கள்	ministers
சிவகுமார்	sivakumar
பிரச்சினைகள்	problems
பிரச்சினைகள்	issues
டிஜிட்டல்	digital
ஆவணங்கள்	folders
ஆவணங்கள்	docs
ஆவணங்கள்	documents
ஆவணங்கள்	documentation
கல்லீரல்	liver
சிட்னி	sydney
சான்றிதழ்	certificate
திருவனந்தபுரம்	trivandrum
திருவனந்தபுரம்	thiruvananthapuram
தற்கொலை	suicide
ஈரான்	iran
துப்பாக்கி	pistol
துப்பாக்கி	revolver
துப்பாக்கி	gun
அரிசி	rice
பஞ்சாயத்து	panchayat
காசி	khasi
காசி	kashi
என்பதைப்	dumpster
டெல்லி	delhi
தனித்த	isolated
பதினாறாம்	xvi
மாற்றும்	changing
சமன்பாடு	equation
}}}}}}}}}	}}}}}}}}}
அடிப்படையான	fundamental
பெண்ணின்	girl
பெண்ணின்	woman
வளர்ச்சிக்கு	growth
குளோரைடு	chloride
நல்லூர்	nallur
டான்	dan
டான்	don
தாண்டி	beyond
முகவரி	address
பணியை	job
சமமாக	equally
சமமாக	equal
சமமாக	alike
மனிதனின்	man
அழைப்பு	call
தீர்ப்பு	judgement
தீர்ப்பு	settlement
ஆதாரம்	source
ஆதாரம்	proof
தலைப்புகள்	headers
ராயல்	royal
அடியில்	under
வேற்றுமை	differ
வேற்றுமை	diversity
கட்டணம்	fee
கட்டணம்	price
கட்டணம்	charge
கட்டணம்	payment
நெறி	syntax
நதி	nadi
நதி	river
கைப்பற்ற	conquer
நண்பர்கள்	friends
சமீபத்திய	recent
சமீபத்திய	latest
தினமும்	everyday
தினமும்	daily
பார்வதி	parvati
போய்	go
போய்	boi
நட்சத்திரம்	star
ஆய்வாளர்	analyst
வீ	wii
வீ	wee
நடத்தை	behaviour
நடத்தை	behavior
விளையாடும்	playing
வேளாண்	agro
