прес	press
испратена	sent
туркменистан	turkmenistan
гледачите	viewers
бизмарк	bismarck
регулира	regulates
регулира	regulate
регистрација	registration
поттикнува	incited
фатен	caught
фатен	captured
голдман	goldman
пожарот	blaze
хемичар	chemist
хрватскиот	croatian
горица	gorica
хелиум	helium
транзиција	transition
најмал	smallest
несреќи	calamities
несреќи	accidents
несреќи	crashes
апарати	appliance
апарати	appliances
винчи	vinci
потешко	harder
верниците	believers
верниците	faithful
верниците	worshippers
развојни	developmental
царица	empress
издавачки	publishing
духовна	spiritual
организаторите	organizers
организаторите	organisers
балкан	balkans
балкан	balkan
слог	syllable
придавки	adjectives
тенки	thin
претворање	converting
топење	melting
топење	melt
странска	foreign
глобална	global
словенско	slovensko
никеја	nicaea
другар	comrade
другар	mate
другар	pal
другар	buddy
непријателски	unfriendly
непријателски	hostile
спорови	disputes
подароци	gifts
подароци	presents
кривично	criminal
трендови	trends
комерцијална	commercial
јоханес	johannes
билки	plants
билки	herbs
консензус	consensus
лизинг	leasing
семитски	semitic
буркина	burkina
соломон	solomon
тимор	timor
сликање	painting
миграција	migration
откуп	ransom
освојувања	conquest
освојувања	conquests
металика	metallica
вулкански	volcanic
вулкански	vulcan
ферер	ferrer
пристаништа	harbours
пристаништа	docks
пристаништа	ports
пристаништа	marinas
дебелината	obesity
дик	dick
олимпик	olympic
камерун	cameroon
нелсон	nelson
лозја	vineyards
карев	karev
кандидатите	candidates
одвоени	separate
камата	interest
ѓаволот	devil
поморска	maritime
дипломатија	diplomacy
пабло	pablo
свирел	played
лесни	easy
склад	accordance
склад	stash
единствени	unique
синатра	sinatra
вебер	weber
вебер	webber
деривати	derivatives
јовановски	jovanovski
бранител	defender
инспирирани	inspired
ураниум	uranium
приврзаниците	devotees
потешки	heavier
потешки	tougher
фебруари	february
аматерски	amateur
функционална	functioning
функционална	functional
ракети	missiles
ракети	rockets
штити	protect
штити	protects
штити	protecting
емерсон	emerson
претходници	predecessors
пустина	desert
хромозоми	chromosomes
основачи	founders
тесен	tight
тесен	narrow
приватно	privately
приватно	private
интересен	interesting
рагби	rugby
коен	cohen
коен	cohn
коен	cowen
показател	indicator
показател	indicative
долгогодишен	longtime
ќустендил	kyustendil
кадри	cadres
кадри	frames
кадри	kadri
систематски	systematically
систематски	systematic
цвеќиња	flowers
скарлет	scarlet
скарлет	scarlett
дефинитивно	definitely
размер	scale
кратенка	shortcut
марин	marin
стапките	rates
појаси	seatbelts
појаси	belts
колинс	collins
старбакс	starbucks
мочуришта	wetlands
мочуришта	marshes
ајдахо	idaho
земјоделска	agricultural
земјоделска	farming
централа	plant
централа	central
централа	dispatch
петровски	petrovski
советување	counseling
советување	counselling
трага	trail
трага	trace
трага	lead
дрес	uniform
забележа	remarked
сериски	serial
албанска	albanian
зло	evil
зло	scourge
микроскоп	microscope
оператори	operators
ракописот	manuscript
датуми	dates
исчезнат	missing
исчезнат	disappear
сенегал	senegal
пинк	pink
запише	enroll
приоритет	priority
науру	nauru
заклетва	oath
хирургија	surgery
бонд	bond
ретка	rare
засолниште	shelter
засолниште	sanctuary
засолниште	refuge
определување	determining
влашка	wallachia
реализам	realism
арамејски	aramaic
бургенланд	burgenland
алфонсо	alfonso
преведување	translating
преведување	translation
преведување	translate
уво	ear
тесалија	thessaly
седи	sadie
седи	sit
седи	seated
седи	sitting
флеминг	flemming
флеминг	fleming
изложување	exposing
изложување	exposure
калциум	calcium
тонови	tones
римјани	romans
