that	kad
thirteen	trylika
dismissed	laisvai
neo	neo
wire	vielos
wire	laido
wire	viela
measured	išmatuotas
measured	matuojamas
fat	storas
fat	riebalų
fat	riebalai
visits	vizitai
visits	apsilankymai
teach	išmokyti
flights	skrydžiai
verse	vers
warm	šiltas
warm	šilta
warm	šiltai
warm	šiltos
dynamic	dinamiška
dynamic	dinaminis
dynamic	dinaminė
breaks	pertraukas
grandson	anūkas
monuments	paminklų
lying	meluoja
lords	lordų
raid	reidas
shorter	trumpesnis
temperatures	temperatūra
drinking	geria
drinking	gert
km²	km²
punjab	pendžabo
doctors	daktarai
doctors	gydytojai
carries	paims
wise	išmintinga
shipping	laivybos
shipping	laivyba
shipping	shipping
worthy	tinkantis
worthy	vertas
worthy	verta
registration	registracija
registration	registracijos
registration	registravimas
directory	aplankas
wyoming	vajomingo
cuban	kubos
burns	dega
divine	dieviška
fate	išlikimas
rovers	rovers
cole	cole
oral	žodžiu
boards	skydai
boards	lentos
bryan	bryan
santiago	kubos
terrorist	teroristų
terrorist	teroristai
waves	bangos
waves	bangas
invented	sugalvotas
sandy	smėlio
acres	hektarų
paint	dažai
paint	dažų
indication	nuoroda
indication	indikacijos
excellence	kompetencijos
integration	integravimas
integration	integracijos
integration	integracija
farming	ūkininkavimo
marathon	maratonas
beliefs	įsitikinimus
preservation	išsaugojimo
preservation	išsaugojimas
freely	laisvai
psychological	universiteto
fernando	fernando
cultures	kultūrų
taxes	mokesčiai
marcus	markusas
dominican	dominikos
franz	franz
coins	monetos
oxygen	deguonis
civic	pilietinių
civic	pilietinis
isaac	isaac
craft	amatų
inspiration	įkvėpimas
inspiration	įkvėpimo
vector	vektorius
professionals	specialistams
professionals	profesionalai
vii	vii
contrary	priešingai
accusations	kaltinimai
accusations	kaltinimų
slaves	vergai
spectrum	spektro
spectrum	spektras
client	klientas
symbols	simboliai
banking	bankininkystė
banking	bankininkystės
inherited	paveldėjo
legion	legionas
symptoms	simptomai
mosque	mečetė
guys	vaikinai
sailing	plaukia
efficient	veiksmingai
opens	atveria
impression	įspūdį
roosevelt	ruzveltas
dancer	šokėja
preliminary	išankstinis
anchor	inkaro
emotional	emocinis
timber	mediena
fisher	fišeris
cartoon	filmuko
disorder	sutrikimas
lithuania	lietuva
continent	žemynas
overview	apžvalga
acquisition	įsigijimų
acquisition	įsigijimo
acquisition	įsigijimas
acquisition	įgijimas
eve	ieva
filter	filtras
filter	filtruoti
addresses	adresus
addresses	adresai
observation	pastebėjimas
observation	stebėjimai
observation	stebėjimas
observation	stebėjimo
threats	grėsmes
fallen	ūkininkus
grammy	grammy
colours	spalvos
colours	dažai
colours	dažikliai
colours	spalvų
distinctive	skiriamasis
distinctive	skiriamieji
prisoner	kalinys
signals	signalus
signals	signalai
owen	owen
intervention	intervencija
arriving	atvykstantys
cylinder	cilindro
cylinder	cilindras
tested	išbandyta
tested	tiriami
tested	išbandytas
shops	parduotuvės
shops	parduotuvėse
dome	kupolu
philosopher	filosofas
epic	epic
stem	kamieninių
davies	davies
collapse	išrūgos
collapse	sutraukti
allan	alanas
albanian	albanų
albanian	albanijos
canyon	kanjonas
perceived	suvokiama
celebrity	įžymybių
priests	kunigai
louise	luiza
workshop	seminaras
herzegovina	hercegovina
bars	barų
cornwall	kornvalio
presidency	pirmininkavimas
tiny	mažučiai
appeals	skundai
appeals	apeliacijos
istanbul	stambule
istanbul	stambulo
shock	šokas
employee	darbuotojui
employee	darbuotojas
tomb	kapas
innovation	naujovė
innovation	naujovės
unity	vienybės
unity	vienybė
armenia	armėnijos
armenia	armėnija
proteins	baltymų
proteins	baltymai
proposals	pasiūlymus
proposals	siūlymai
proposals	pasiūlymai
swimmers	plaukikai
mainland	žemyninės
seminary	seminarija
hamlet	hamletas
timeline	tvarkaraštį
coup	perversmo
negotiations	derybos
exhibitions	parodos
exhibitions	parodas
hate	nekenčiu
hate	neapykanta
westminster	vestminsterio
installation	įrenginio
installation	diegimas
installation	įrenginys
installation	įrengimas
installation	montavimas
goalkeeper	vartininkas
efficiency	veiksmingumas
helicopter	sraigtasparnio
helicopter	sraigtasparnis
fortress	tvirtovė
burned	sudegino
torpedo	torpeda
giovanni	giovanni
catholics	katalikai
herald	herald
chuck	chuck
desk	stalo
desk	stalas
sprint	sprintas
exile	tremtyje
surprised	nustebęs
achievements	pasiekimai
achievements	pasiekimų
achievements	pasiekimus
achievements	laimėjimai
geographical	geografiniai
geographical	geografinis
geographical	geografinė
glacier	ledynas
estonia	estijos
estonia	estija
chi	chi
developer	programuotojas
difficulties	sunkumai
difficulties	sunkumų
doctrine	doktrina
worn	dėvėti
fork	šakės
edmonton	edmonton
literacy	raštingumo
currency	valiuta
missionary	misionieriaus
arrives	atvyksta
hammer	plaktuką
dollar	doleris
dollar	dolerių
twitter	twitter
recommend	rekomenduoja
ruth	rūta
handling	tvarkymo
customs	muitinė
customs	muitinės
albania	albanijoje
albania	albanija
euro	euras
euro	euro
consumption	suvartojimas
consumption	sunaudojimas
pushing	stumti
pushing	stumia
survivors	išgyvenusiųjų
mansion	sodyba
blake	bleikas
sheet	lapas
breeding	veislinių
breeding	veisimas
georgian	gruzijos
copenhagen	kopenhagos
copenhagen	kopenhaga
trek	trek
ignored	ignoruoti
ignored	ignoruojami
arch	arkos
quartet	ketverto
propaganda	propaganda
neat	tvarkingas
funny	juokinga
punishment	bausmė
accuracy	tikslumo
accuracy	tikslumas
flew	išskrido
nationalcaps	nationalcaps
seeds	sėklos
lighting	apšvietimas
lighting	apšvietimo
jennifer	dženifer
customer	klientų
customer	klientui
southwestern	pietvakarinio
philosophical	filosofinius
powell	powell
kills	žudo
allmusic	allmusic
bros	bros
brooks	bruksas
atomic	atominė
atomic	atominės
strikes	streikai
chronicle	chronicle
traveling	keliauja
traveling	keliavo
ellis	elis
devon	devon
ghana	gana
gen	gen
rebel	sukilėlių
duncan	duncan
pianist	pianistas
canon	canon
solve	išspręsti
cyclists	dviratininkų
militia	kovinė
eugene	eugenijus
compromise	kompromisas
tactical	taktinis
uganda	uganda
jail	kalėjimas
jail	kalėjimą
yeah	aha
yeah	taip
somehow	kažkaip
withdraw	panaikina
withdraw	atsiimti
withdraw	pasitraukti
afternoon	popietę
arrive	atvyksta
warrior	karys
mammals	žinduoliai
mammals	žinduoliams
dimensions	matmenys
surrey	surrey
gaming	žaidimai
gaming	lošimų
lutheran	liuteronų
ports	uostai
amy	eimė
survival	išgyvenamumo
survival	išgyvenamumas
survival	išgyvenimo
badly	blogai
scandal	skandalas
nights	naktys
polo	polo
linda	linda
adr	adr
farms	ūkiai
conferences	konferencijos
conferences	konferencija
conferences	konferencijų
zhang	zhang
crazy	proto
nephew	sūnėnas
sensitive	jautrus
sensitive	jautri
sensitive	jautrios
diet	dieta
diet	dietos
diet	mityba
diet	mitybos
passion	aistra
rings	žiedai
stronger	stipresnis
millions	milijonus
millions	milijonų
millions	milijonai
dialect	dialektas
orlando	orlando
wet	vat
cruise	kruizinis
publish	publikuoti
publish	paskelbia
joy	džiaugsmas
joy	džiaugsmo
julia	džiulija
julia	julija
abstract	abstraktus
snake	gyvatės
snake	gyvate
snake	gyvatė
comedian	komikas
motorcycle	motociklo
nadu	nadu
arsenal	arsenal
bow	lanko
serie	serie
dimensional	matmenų
travelled	keliavo
eurovision	eurovizijos
suite	apartamentai
doug	dagas
gravity	trauka
hybrid	hibridinių
earn	uždirbti
earn	užsidirbti
metre	metras
decorated	papuošti
slavery	vergovė
armor	šarvus
mechanics	mechanika
bradford	bradford
leon	leonas
leon	leono
rachel	reičel
strings	stygas
hood	spinta
relatives	giminaičiai
relatives	giminių
relatives	gimines
relatives	augo
relatives	giminės
plains	lygumų
wheels	ratai
arrangements	susitarimai
penn	penn
joke	pokštas
sailed	išplaukė
religions	religijų
religions	religijos
grants	stipendijos
grants	dotacijos
moderate	vidutinis
stolen	pavogtas
tributary	intakas
carol	kerol
prototype	prototipas
copied	nukopijuotas
canterbury	canterbury
midnight	vidurnakčio
quarterback	puolėjas
duchy	kunigaikštystė
bailey	beilis
performers	atlikėjai
handled	tvarkoma
exploration	žvalgyba
exploration	žvalgybos
exploration	žvalgymo
theatrical	teatro
reconnaissance	žvalgybos
batman	betmenas
espn	espn
girlfriend	mergina
resignation	atsistatydinimo
fossil	iškastinio
tang	tang
inches	cm
franco	franco
dying	mirti
dying	miršta
tribal	genčių
tyler	taileris
tyler	smėlis
glenn	glenas
substance	medžiaga
colored	spalvoti
explosion	sprogimas
duck	and
duck	antis
porter	porter
memphis	memfio
emma	ema
mit	mit
zoo	zoo
gibson	gibson
wording	formuluotė
emerging	besivystančių
notre	notre
portions	porcijas
ethics	etika
ethics	etikos
depot	depo
curtis	kurtas
curtis	kurtis
curtis	kurti
rescued	išgelbėti
gaelic	gėlų
slovakia	slovakija
slovakia	slovakijos
impressive	įspūdingas
impressive	įspūdinga
bradley	bradley
surely	tikrai
egg	kiaušinis
egg	kiaušinių
egg	kiaušiniai
egg	kiaušinio
rod	rodai
algorithm	algoritmas
burn	dega
thesis	disertaciją
lover	meilužis
capitol	kapitolijaus
ferdinand	ferdinandas
judaism	judaizmas
wrestlers	imtynininkai
ahmed	ahmed
holocaust	holokausto
edgar	edgaras
saxophone	saksofonas
wishes	norai
prepare	parengti
ruins	griuvėsiai
ibm	ibm
jesse	džesis
malaysian	malaizija
malaysian	malaizijos
atlas	atlas
telegraph	telegrafas
performer	atlikėjas
catalogue	katalogo
catalogue	katalogas
discrimination	diskriminaciją
discrimination	diskriminacija
myspace	myspace
wizard	vedlys
wizard	burtininkas
teen	teen
spots	erdvę
bomber	bombonešis
quest	žygis
connor	konor
motors	motors
muscle	raumenys
muscle	raumenų
prestigious	prestižinio
chelsea	chelsea
strict	griežtas
strict	griežti
kingston	kingston
andrea	andrea
connects	sujungia
nursing	slaugos
defenders	gynėjų
triangle	trikampis
triangle	trikampio
teeth	dantys
strictly	griežtai
fluid	skysčio
fed	teikė
newfoundland	niufaundlando
disbanded	išformuota
documentation	dokumentacija
documentation	dokumentai
documentation	įrodymai
documentation	dokumentacijos
documentation	dokumentus
brien	brien
compounds	junginiai
naturally	natūraliai
naturally	natūralu
forcing	priverčia
ussr	tsrs
laser	lazerio
sculptor	skulptorius
guild	gildijos
worlds	pasauliai
imprisoned	pasodino
wrestler	imtynininkas
praise	pagirti
bones	kaulai
cox	cox
circulation	apyvartą
butterfly	drugelis
hugo	hugo
sufficiently	pakankamai
spy	šnipas
cliff	uolos
lithuanian	lietuvos
lithuanian	lietuvių
trick	triukas
trick	pokštas
horizontal	horizontalus
horizontal	horizontali
horizontal	horizontaliai
legends	legendos
enzyme	fermentų
enzyme	fermentas
freight	krovinių
broadcasts	transliacijas
viii	viii
caroline	karolina
plymouth	plymouth
cuts	gabalai
mediation	tarpininkavimo
synthesis	sintezę
synthesis	sintezė
rape	rapsų
seoul	seule
engagement	sužadėtuvių
coin	monetos
coin	moneta
coin	monetų
twins	dvyniai
memories	primena
memories	prisiminimai
memories	pasirodo
robertson	robertson
anthology	antologijoje
milton	milton
geological	geologinio
dinner	vakarienė
thriller	trileris
retreat	atsitraukti
retreat	pajėgų
retreat	trauktis
albany	albany
migration	migracijos
migration	migracija
carefully	atsargiai
manages	valdo
explorer	explorer
fusion	sintezės
aids	aids
privately	privačiai
automobile	automobilių
fault	kaltė
allegedly	tariamai
developers	kūrėjai
arctic	arkties
kurt	kurtas
mayors	merai
hearts	širdys
victories	pergalių
glory	šlovės
glory	garbė
destroyer	naikintojas
deeply	giliai
lectures	paskaitos
gathering	rinkti
angry	pikta
angry	pikti
angry	piktas
incomplete	išsamūs
configuration	konfigūracija
configuration	derinimas
brad	bredas
skill	įgūdžiai
intense	intensyvus
intense	intensyvi
commitment	įsipareigojimas
commitment	įsipareigojimą
loved	mylimas
loved	mylėjo
uruguay	urugvajaus
uruguay	urugvajus
napoleon	napoleonas
breed	veislės
breed	veislė
enabled	įjungtas
discography	diskografija
licence	licencijos
licence	licencija
refugees	pabėgėliai
adrian	adrian
karen	karen
designers	dizaineriai
hide	slėpti
compact	kompaktiškas
particles	dalelės
receiver	gavėjas
receiver	imtuvas
civilians	civiliai
marsh	marsh
vinyl	vinilo
unrelated	nesusijusių
wednesday	trečiadienio
wednesday	trečiadienis
chilean	čilės
hey	ei
hey	labas
hey	sveikas
agrees	sutinka
santos	santos
paying	mokėjimo
desired	norimą
followers	dešimtys
observatory	observatorija
observatory	observatorijos
kit	kit
kit	komplektas
pcupdate	pcupdate
remarks	pastabos
remarks	paaiškinimai
burton	burton
observations	stebėjimai
observations	pastebėjimai
observations	pastabos
observations	pastabas
footnotes	išnašas
footnotes	išnašos
cream	grietinėlė
cream	kremo
cream	grietinėlės
presenter	vedėja
potter	poteris
favourite	mėgstamiausias
transformation	transformacija
transformation	transformacijos
mixture	mišinys
endangered	nykstančių
mate	mate
illustration	iliustracija
afl	afl
geometry	geometrijos
geometry	geometrija
ping	ping
variants	variantai
variants	variantų
baroque	baroko
collapsed	sugriuvo
hopes	viltis
hopes	viltys
cornell	kornelio
servant	tarnas
servant	tarnautojas
maker	sujungimo
lynn	lynn
confusing	paini
summaries	santraukos
malcolm	malcolm
winnipeg	vinipegas
kilometers	kilometrai
kilometers	kilometrų
buddhism	budizmas
nose	nosis
respected	gerbiama
physicians	gydytojai
forget	pamiršti
crops	augalai
crops	pasėliai
crops	derlius
monk	vienuolis
extraordinary	nepaprasto
lessons	pamokos
segments	segmentai
deer	elniai
consultant	konsultantas
jam	uogiene
chicken	višta
chicken	vištiena
chicken	vištos
chicken	vištienos
idol	idol
reid	reid
amazing	nuostabu
amazing	nuostabus
amazing	nuostabi
pet	pet
upset	nusiminęs
loves	dievina
loves	mėgsta
loves	myli
stretch	siekiu
striking	įspūdingų
striker	spragtukas
louisville	luisvilyje
hopkins	hopkins
goddess	deivė
notion	sąvoka
voltage	įtampos
voltage	įtampa
betty	betty
geology	geologija
cyclone	ciklono
export	eksportuoti
export	eksportas
lightning	žaibas
lightning	žaibo
impressed	sužavėtas
logical	logiška
aggressive	agresyvus
jin	jin
jin	dzin
fbi	ftb
ludwig	ludwig
pond	tvenkinyje
suburban	priemiesčių
moments	momentus
moments	akimirkos
moments	momentai
moments	akimirka
lucky	pasisekė
bicycle	dviratis
bicycle	dviračio
bicycle	dviračių
purely	grynai
interactions	sąveika
fraud	sukčiavimas
fraud	sukčiavimo
lang	lang
lecture	paskaita
sanctuary	prieglauda
dragons	drakonai
copa	copa
careful	atsargiai
nurse	slaugytoja
lens	lęšiai
trend	tendencija
gerald	džeraldas
blade	blade
disappeared	dingo
patrolling	patruliuoja
committees	komitetai
boom	bum
beaten	mušami
smoke	dūmai
smoke	dūmų
reynolds	reinoldsas
divorce	skyrybos
divorce	skyrybų
dust	dulkes
dust	dulkės
dust	dulkių
saxon	sakse
grain	grūdų
grain	grūdai
translations	vertimai
cohen	cohen
diving	nardymo
carroll	carroll
accounting	apskaita
mesa	mesa
prussia	prūsija
intelligent	protingas
intelligent	protingos
cherry	vyšnių
cherry	vyšnios
tobacco	tabakas
cleaned	išvalyti
cleaned	valyti
cleaned	išvalytas
varieties	veislės
varieties	veislė
varieties	veislių
bench	stendo
ellen	elena
ellen	elen
measurement	matavimo
measurement	matavimas
measurement	matavimai
paradise	rojų
paradise	rojus
alexandria	aleksandrija
witch	raganos
witch	ragana
attraction	atrakcija
diana	diana
personalities	asmenybės
colleagues	kolegos
cia	cžv
aboriginal	aborigenų
commanders	vadai
salem	salem
americas	americas
instructor	instruktorius
divorced	išsiskyrė
tomorrow	rytoj
manuscripts	rankraščiai
investigations	tyrimai
investigations	tyrimus
agenda	darbotvarkę
agenda	darbotvarkė
humanity	žmoniją
humanity	žmonija
terror	teroro
trinidad	trinidadas
burke	burke
circles	apskritimai
assignment	užduotis
sail	bures
karnataka	karnataka
celebrate	švęsti
ranch	rančą
sick	nesveikas
sick	serga
associates	associates
heinrich	henrikas
tel	tel
shorts	šortai
drives	vykdo
autobiography	autobiografija
uprising	sukilimas
edwin	edvinas
velocity	greitis
terminology	terminologija
terminology	terminijos
raiders	riders
brighton	brighton
para	para
morrison	morrison
propulsion	varymo
boxer	boksininkas
finale	finale
innocent	nekaltas
innocent	nekalti
rapper	reperis
privacy	privatumas
privacy	privatumo
boeing	boeing
indo	indo
rosa	rosa
thermal	šiluma
thermal	terminio
flute	fleita
trustees	patikėtinių
sculptures	skulptūros
bacteria	bakterijų
bacteria	bakterijas
bacteria	bakterija
bacteria	bakterijos
disorders	sutrikimai
healthy	ekonomiką
circus	cirko
circus	cirkas
speculation	spekuliacija
speculation	spekuliacijos
burma	birmos
burma	birma
burma	birmoje
quiet	ramu
quiet	tyliai
threw	metė
hypothesis	hipotezė
referendum	referendumo
referendum	referendumas
travelling	kelionės
travelling	keliaujant
travelling	keliaujantys
travelling	keliaujantiems
pastor	pastorius
tribune	tribune
rica	rika
furniture	baldai
macdonald	macdonald
atp	atp
lecturer	dėstytoja
classics	klasika
julius	julius
appreciated	vertinamas
sebastian	sebastianas
activated	aktyvinti
advised	patarė
barnes	barnsas
exceptions	išimtys
martha	marta
quarters	ketvirčiai
quarters	ketvirčius
drawings	piešiniai
drawings	brėžiniai
maharashtra	maharaštros
diplomat	diplomat
particle	dalelės
particle	dalelių
malayalam	malajalių
thursday	ketvirtadienis
thursday	ketvirtadienį
thursday	ketvirtadienio
thursday	ketvirtadieniais
genes	genai
infinite	begalinė
vale	vale
portraits	portretai
randy	rendis
saxony	saksonijos
convoy	konvojus
annie	ene
believing	manyti
rhine	reino
mineral	mineralinių
mineral	mineralinis
surgeon	chirurgas
charleston	čarlstonas
clause	punktas
electron	elektronų
cnn	cnn
confederation	konfederacija
confederation	konfederacijos
casino	kazino
mask	kauke
mask	kaukė
dorothy	doroti
elimination	šalinimas
pregnant	nėščia
theodore	teodoras
delegates	delegatai
blair	blair
fac	fac
crashed	sudužo
concerto	concerto
bits	bitų
unofficial	neoficialus
unofficial	neoficiali
lighthouse	švyturio
lighthouse	švyturys
stan	stan
mascot	talismanas
hub	hub
mess	netvarką
wilderness	laukinės
harmony	harmonija
entrepreneur	verslininkas
wwe	wwe
apollo	apollo
naked	nuoga
moses	moses
legally	teisiškai
legally	teisėtai
fake	netikra
fake	netikras
división	división
equity	nuosavybė
investors	investuotojai
investors	investuotojų
fights	kovų
pocket	kišenės
troy	troy
troy	trojos
treasure	mokesčių
treasure	lobis
ion	jonų
rendered	lydyti
roberto	robertas
roberto	roberto
reserved	rezervuota
lok	lok
crop	pasėlių
treasury	iždo
treasury	iždas
trumpet	trimitas
johnston	johnston
uncertain	neaiški
dear	brangi
dear	brangioji
dear	brangus
georges	georges
clothes	apranga
clothes	drabužius
clothes	drabužiai
compensation	kompensacija
compensation	kompensacijos
consent	sutikimas
consent	sutikimo
outline	kontūrai
holdings	ūkiai
holdings	ūkiuose
holdings	ūkių
holdings	valdos
jorge	jorge
darkness	tamsa
penalties	nuobaudos
penalties	baudos
penalties	bausmės
penalties	sankcijos
hometown	šeimininkus
holes	skylių
blow	smūgis
cooking	virimo
trainer	treneris
measuring	matavimo
measuring	matavimas
consciousness	supratimą
archaeology	archeologija
latvia	latvija
telugu	telugų
blogs	tinklaraščių
hardy	hardy
scorer	rezultatyviausiu
stamp	antspaudas
fur	kailis
fur	kailiai
fur	kailio
fur	kailius
ritual	ritualas
locality	vietovė
locality	vietovėje
trace	pėdsakai
trace	pėdsakų
trace	sekti
nottingham	nottingham
derivative	išvestinė
derivative	išvestinių
crawford	crawford
bats	šikšnosparniai
yugoslav	jugoslavijos
motto	šūkis
concentrated	koncentruota
concentrated	koncentruotą
concentrated	koncentruotas
dirty	purvinas
xbox	xbox
likes	patinka
likes	mėgsta
galleries	galerijose
forbes	forbes
brass	pučiamųjų
bach	bach
tough	kieta
trails	pėdsakai
demanded	reikalavo
claire	kler
bruno	bruno
bag	maišas
bag	prekės
throwing	mėto
churchill	čerčilis
tan	tan
spelled	užburti
climb	lipti
thames	thames
kazakhstan	kazachstano
kazakhstan	kazachstanas
bots	botai
highlights	priimtų
slovak	slovakijos
missionaries	misionieriai
ordained	tarnystę
myth	mitas
mandatory	privalomi
mandatory	privalomas
stern	laivagalio
fees	mokestis
fees	mokesčiai
dancers	šokėjų
quantity	kiekis
inventor	išradėjas
graves	duobes
seemingly	matomos
sue	siu
armament	ginklavimuisi
barrier	kliūtis
barrier	barjerą
barrier	barjeras
creatures	padarai
erik	erikas
leicester	leicester
silence	tyla
jessica	džesika
jessica	jessica
precedent	precedentas
walsh	walsh
exterior	išorės
murders	žmogžudysčių
costume	kostiumų
bike	dviratis
imprisonment	įkalinimo
suffolk	safolko
remarkable	nepaprastas
tin	alavo
fires	gaisrai
fires	gaisrų
builder	builder
minneapolis	mineapolio
occurring	nenustatytos
kerry	kerry
economist	ekonomistas
bread	duona
bread	duonos
rifles	šautuvai
cognitive	pažinimo
governorate	muchafaza
nest	lizdas
portsmouth	portsmouth
convince	įtikinti
audiences	auditorija
audiences	auditorijai
audiences	publika
bonds	obligacijų
bonds	obligacijos
joshua	joshua
inhabited	apgyvendintas
casey	keisis
attract	pritraukti
kilometres	kilometrai
pump	siurblys
pump	pompa
feeding	šėrimas
feeding	šėrimo
prey	grobis
mathematician	matematikas
diary	dienoraštis
inscription	užrašas
dubai	dubajaus
michelle	michelle
lebanese	libano
productive	produktyvus
happening	vyksta
researcher	tyrėjas
researcher	tyrėjo
della	della
baden	baden
upgraded	patobulinta
demonstration	demonstravimo
equality	lygybės
equality	lygybė
philosophers	filosofai
spacecraft	erdvėlaivių
spacecraft	erdvėlaivis
trap	spąstai
trap	gaudyklė
trap	gaudyklės
clara	klara
marking	žymėjimas
marking	ženklinimas
sacramento	sakramentas
certification	sertifikavimo
certification	sertifikavimas
precisely	būtent
casting	liejimo
casting	liejinių
prohibited	draudžiamos
prohibited	draudžiamas
prohibited	draudžiama
supposedly	spėjama
supposedly	tariamai
frog	varlė
vague	neaiški
vague	neapibrėžtas
secular	pasaulietinės
tracking	sekimo
tracking	sekimas
spa	spa
armoured	šarvuoti
gibraltar	gibraltaro
gibraltar	gibraltaras
fever	karščiavimas
melody	melodija
supporter	šalininkas
discusses	aptaria
useless	bevertis
useless	beprasmiška
swift	swift
tuesday	antradienis
tuesday	antradienį
silly	kvaila
empress	imperatore
capabilities	gebėjimai
newman	newman
scales	skalės
beatles	beatles
clergy	dvasininkija
bee	bitės
bee	bičių
bee	bi
holders	savininkai
holders	turėtojai
czechoslovakia	čekoslovakijoje
maya	maja
mature	subrendęs
physically	fiziškai
sequences	sekas
breast	krūtų
breast	krūties
beast	žvėris
educator	pedagogė
bang	bang
griffin	grifinas
itv	itv
ana	ana
ceiling	lubos
rainbow	rainbow
demon	demonas
prussian	prūsijos
ist	ist
perception	suvokimas
perception	supratimas
distributor	platintojas
jackie	jackie
fiji	fidžis
fiji	fidžio
algebra	algebra
larvae	lervų
larvae	lervos
limestone	klintys
johns	ponus
chang	chang
layers	sluoksniai
crater	krateris
webster	webster
ashley	ashley
gif	gif
cowboys	kaubojai
soprano	soprano
terrain	vietovės
console	pultas
nascar	nascar
graduates	absolventų
jungle	džiunglės
fairy	fėja
tourists	turistai
tourists	turistų
reasonably	pagrįstai
diploma	diplomas
swan	gulbė
carpenter	carpenter
petition	peticija
boris	borisas
berry	uoga
invention	išradimas
southampton	southampton
prairie	prerijų
finalist	finalistas
slight	nedideli
drag	tempti
maxwell	maxwell
everyday	kasdienio
manufacture	gamyba
bombs	bombos
bombs	bombų
superman	supermenas
felix	feliksas
floating	kintama
montenegro	juodkalnija
montenegro	juodkalnijoje
montenegro	juodkalnijos
sketch	eskizas
mann	mann
dressed	apsirengęs
astronomy	astronomijos
sudden	staiga
arbitrary	savavališkai
skiing	slidinėjimas
timothy	timothy
rainfall	kritulių
rafael	rafael
georg	georg
cinematography	kinematografija
canvas	drobė
chest	krūtinės
krishna	krišna
wanting	nori
poles	lenkai
cabin	salono
cabin	kabina
civilization	civilizaciją
civilization	civilizacija
broader	platesnes
tongue	liežuvio
tongue	liežuvį
tongue	liežuvis
panels	plokštės
easter	velykų
rat	žiurkės
rat	žiurkė
insert	įterpti
descriptions	aprašymai
debates	diskusijos
debates	debatai
debates	diskusijas
informal	neoficialus
castles	pilys
cry	verkti
loyal	ištikimas
surfaces	paviršiai
surfaces	paviršių
nicolas	nicolas
institutes	institutų
humor	humoro
madonna	madona
worcester	vorčesterio
cooperative	kooperatyvas
trips	keliones
winston	winston
nrhp	nrhp
drake	drake
lunar	mėnulio
fountain	fontanas
patricia	patricija
garcía	garcía
maple	klevų
aberdeen	aberdeen
posters	plakatai
leipzig	leipcigo
santo	santo
roland	rolandas
expelled	išmestas
telecommunications	telekomunikacijos
telecommunications	telekomunikacijų
telecommunications	ryšiai
strait	sąsiauris
misleading	klaidinantis
misleading	klaidinančios
misleading	klaidinanti
sherman	šermanas
sleeping	miegas
sleeping	miega
sleeping	miegu
thomson	thomson
prehistoric	priešistorinis
zagreb	zagrebas
chef	šefas
prizes	apdovanojimai
prizes	prizų
shirt	marškiniai
shirt	marškinėliai
weird	keistas
weird	keistai
weird	keista
loading	pakrovimo
plantation	plantacija
vernon	vernon
acre	akras
wonderful	nuostabaus
wonderful	nuostabu
wonderful	nuostabios
wonderful	nuostabus
wonderful	nuostabi
missiles	raketos
missiles	raketas
guides	vadovus
finger	pirštas
finger	pirštą
garage	garažas
savage	laukinis
technological	technologiniai
shoes	bateliai
shoes	batai
shoes	batų
climbing	lipant
barrel	alyvos
assembled	surinktas
assembled	surinkti
assembled	surenkamos
assembled	surinktos
ham	kumpio
ham	kumpis
geoffrey	geoffrey
valve	vožtuvas
valve	vožtuvų
osaka	osaka
beck	bek
monkey	apa
monkey	beždžionė
integrity	vientisumas
integrity	vientisumą
sits	sėdi
critically	kritiškai
objections	prieštaravimai
objections	protestai
objections	prieštaravimų
detection	aptikimas
detection	aptikimo
differential	skirtumas
salmon	lašišos
salmon	lašiša
monarchy	monarchija
stade	stade
francesco	francesco
abortion	abortą
monica	monika
elephant	dramblys
counting	skaičiavimo
corn	kukurūzų
trucks	sunkvežimiai
trucks	sunkvežimių
airborne	ore
lengthy	ilgų
deutsche	deutsche
tension	įtampa
pablo	pablo
aviv	avivas
cleaning	valymo
physicist	fizikas
catalina	catalina
disasters	nelaimių
withdrawal	faktiškai
withdrawal	pasitraukimas
walks	vaikšto
realm	karalystę
trailer	priekabos
trailer	priekabų
trailer	priekaba
janet	sudomino
tornado	tornado
aunt	teta
distribute	paskirstyti
genesis	genesis
boyfriend	vaikinas
catholicism	katalikybė
pleasure	labui
pleasure	malonumas
constructive	konstruktyvi
battalions	batalionai
magical	stebuklingas
magical	stebuklinga
deliberately	tyčia
sacrifice	aukomis
corridor	koridoriaus
corridor	koridorių
corridor	koridorius
compatible	suderinama
receptor	receptorius
receptor	receptorių
kiev	kijevo
kiev	kijeve
vista	vista
pleasant	malonaus
ultra	ultra
nowhere	niekur
clinic	klinika
clinic	klinikos
clinic	klinikoje
itunes	itunes
patriots	patriotai
pollution	užterštumas
pollution	tarša
herman	herman
questionable	abejotina
questionable	abejotinas
sally	salis
sally	sale
rex	rex
mvp	mvp
stuck	tvirtai
stuck	įstrigo
afghan	afganistano
vatican	vatikano
folklore	folkloro
cruiser	kreiseris
silk	šilko
agreements	susitarimai
trilogy	trilogija
armour	šarvai
eng	ganykla
eng	eng
stamps	antspaudus
harder	sunkiau
harder	stipriau
specimens	egzemplioriai
consumers	vartotojai
consumers	vartotojams
defines	apibrėžia
correspondence	korespondencija
correspondence	susirašinėjimas
tehran	teherane
tehran	teherano
tehran	teheranas
employer	darbdavys
sociology	sociologija
capability	geba
panthers	panteros
objection	protestas
objection	prieštaravimo
