les	die
véhicules	fahrzeuge
garonne	garonne
interprétation	dolmetschen
interprétation	auslegung
papier	papier
gray	gray
emmanuel	emmanuel
plante	pflanze
boulevard	boulevard
interdit	verboten
entier	ganzzahl
angle	winkel
contemporain	zeitgenössische
preuve	beweis
barrage	staudamm
immédiatement	sofort
anvers	antwerpen
giovanni	giovanni
courses	rennen
sable	sand
toronto	toronto
routes	straßen
programmes	programme
placé	platziert
flore	flora
budget	haushalt
noblesse	adel
policier	polizist
toile	leinwand
inspiré	inspiriert
évaluation	bewertung
classification	klassifizierung
classification	klassifikation
détruit	zerstört
principes	grundsätze
principes	prinzipien
disparition	verschwinden
bistro	bistro
échec	gescheitert
échec	scheitern
rédaction	redaktion
serveur	server
oise	oise
signature	unterschrift
trône	thron
carl	carl
produire	produzieren
chien	hund
urss	udssr
time	time
nationaux	inländer
nationaux	nationalen
marqué	markiert
secondes	sekunden
requête	abfrage
studios	studios
largeur	breite
remplacer	ersetzen
org	org
françoise	françoise
spécial	spezial
professionnels	professionelle
récemment	kürzlich
munich	münchen
institutions	institutionen
vii	vii
pêche	angeln
complètement	vollständig
complètement	komplett
nation	nation
symbole	symbol
alger	algier
catalogue	katalog
prisonniers	gefangene
francophone	französischsprachigen
tir	schuss
emplacement	aufstellungsort
philosophe	philosoph
facilement	leicht
benoît	benedikt
décidé	entschieden
end	end
étage	stockwerk
coups	schläge
johnson	johnson
hongrois	ungarisch
rois	könige
pieds	füße
phénomène	phänomen
bel	bel
planètes	planeten
relais	relais
déposé	hinterlegt
roy	roy
exemples	beispiele
nomme	ernennt
marins	seeleute
poèmes	gedichte
tendance	trend
tendance	tendenz
libéral	liberal
orientation	orientierung
post	post
xxx	xxx
congo	kongo
street	street
ennemi	feind
moselle	mosel
indien	indischen
comptes	konten
joueuse	spielerin
calendrier	kalender
clocher	glockenturm
mécanique	mechanik
jérusalem	jerusalem
étrangers	ausländer
cavalerie	kavallerie
écran	bildschirm
concerts	konzerte
jim	jim
industriel	industriellen
rester	bleiben
consommation	verbrauch
mauvais	schlecht
brian	brian
condition	bedingung
utilisateurs	benutzer
plaine	ebene
perte	verlust
aires	aires
méthodes	methoden
impact	auswirkung
candidats	kandidaten
victoria	victoria
classes	klassen
attaques	angriffe
portée	reichweite
quitter	beenden
quitter	verlassen
oscar	oscar
définitivement	endgültig
romains	römer
collectif	kollektiv
quantité	menge
versailles	versailles
anniversaire	geburtstag
conservateur	konservierungsmittel
niveaux	ebenen
alex	alex
noter	bewerten
capable	fähig
estime	schätzt
couverture	deckung
arbres	bäume
émissions	emissionen
disposition	anordnung
racing	racing
conservatoire	konservatorium
parallèle	parallel
sénat	senat
ray	ray
milliards	milliarden
huitième	achte
pos	pos
bertrand	bertrand
blues	blues
modernes	modernen
réseaux	netzwerke
édité	herausgegeben
prit	nahm
duché	herzogtum
alliés	verbündete
tentative	versuch
mène	führt
canons	kanonen
vandalisme	vandalismus
difficultés	schwierigkeiten
penser	denken
tableaux	tabellen
personnelle	persönliche
autrefois	früher
café	kaffee
cher	teuer
inscription	anmeldung
luis	luis
isabelle	isabelle
confiance	vertrauen
propriétés	eigenschaften
aix	aix
instruments	instrumente
conserve	behält
départements	abteilungen
départements	departements
abrite	beherbergt
finances	finanzen
onze	elf
moteurs	motoren
allant	gehend
pratiques	praktiken
procédure	verfahren
charente	charente
dimensions	abmessungen
pertes	verluste
laval	laval
ontario	ontario
document	dokument
limites	grenzen
qualification	qualifikation
éric	éric
condamné	verurteilt
ernest	ernest
oncle	onkel
génie	genie
voitures	autos
jackson	jackson
best	best
démocrate	demokrat
drame	drama
entretien	wartung
vide	leer
musiciens	musiker
accepte	akzeptiere
handball	handball
benjamin	benjamin
reims	reims
windows	windows
canon	canon
collections	sammlungen
anthony	anthony
organisée	organisiert
organisée	organisierte
ali	ali
sculpture	skulptur
attendre	warten
destruction	zerstörung
destruction	vernichtung
samuel	samuel
cross	cross
real	real
avignon	avignon
amsterdam	amsterdam
sophie	sophie
auvergne	auvergne
enregistrement	registrierung
davis	davis
leader	leader
spécifique	spezifisch
peau	haut
ferdinand	ferdinand
duo	duo
espaces	leerzeichen
impossible	unmöglich
ukraine	ukraine
maine	maine
vieille	alte
acide	säure
gilbert	gilbert
succession	nachfolge
kevin	kevin
technologie	technologie
kim	kim
madeleine	madeleine
utile	nützlich
saut	springen
enceinte	schwanger
hugo	hugo
sacré	heilig
régulière	regelmäßige
sortir	ausgehen
centres	zentren
affluent	nebenfluss
stephen	stephen
clairement	eindeutig
athènes	athen
urbain	städtischen
xiii	xiii
clermont	clermont
préfet	präfekt
essentiel	wesentlichen
stéphane	stéphane
laboratoire	labor
distingue	unterscheidet
primaire	primären
wiki	wiki
équipage	besatzung
tuer	töten
logique	logik
night	night
adapté	angepasst
xavier	xavier
orgue	orgel
dépend	hängt
quasi	quasi
visible	sichtbar
habitat	lebensraum
breton	breton
souris	maus
photographe	fotograf
autoroute	autobahn
ponts	brücken
taylor	taylor
vérité	wahrheit
quinze	quinze
quinze	fünfzehn
mérite	verdient
jérôme	jérôme
assistant	assistent
bavière	bayern
marié	verheiratet
samedi	samstag
alan	alan
chili	chile
exécution	ausführung
carlo	carlo
boîte	box
rôles	rollen
gallimard	gallimard
alice	alice
las	las
saxe	sachsen
intermédiaire	mittelstufe
remarque	anmerkung
thèmes	themen
installation	installation
rapports	berichte
australien	australier
tournage	dreharbeiten
relief	relief
pierres	steine
north	north
histoires	geschichten
équivalent	gleichwertig
phrase	satz
récompense	belohnung
conçu	entworfen
structures	strukturen
chrétiens	christen
syndicat	gewerkschaft
lewis	lewis
menace	bedrohung
crois	glaub
basque	baskischen
mans	mans
lot	partie
débit	durchsatz
commissaire	kommissarin
araignées	spinnen
employé	angestellter
installé	installiert
arabes	araber
conserver	aufbewahren
manga	manga
conseils	tipps
andrew	andrew
diamètre	durchmesser
peintures	gemälde
invasion	invasion
adversaire	gegner
seraient	würden
franchise	franchise
iran	iran
blessés	verletzte
conscience	bewusstsein
représenté	vertreten
expositions	ausstellungen
rappelle	erinnert
naples	neapel
lion	löwe
peur	angst
prague	prag
lausanne	lausanne
peuples	völker
nomination	ernennung
little	little
respect	respekt
mobile	beweglich
mobile	mobil
chiffres	zahlen
british	british
raconte	erzähl
sœurs	schwestern
bientôt	bald
vendredi	freitag
commentaire	kommentar
véhicule	fahrzeug
della	della
irlandais	irisch
densité	dichte
catholiques	katholiken
rare	selten
transfert	übertragung
transfert	überweisung
laissé	gelassen
blessé	verletzt
annoncé	angekündigt
carré	quadrat
dimension	dimension
juive	jüdische
var	var
lit	bett
floride	florida
servi	serviert
seuil	schwellenwert
loup	wolf
détroit	meerenge
préparation	zubereitung
minimum	minimum
révolutionnaire	revolutionär
bibliographie	bibliographie
million	million
poème	gedicht
extrait	auszug
hill	hill
rivières	flüsse
renommé	umbenannt
gris	grau
aquitaine	aquitanien
clément	clément
barbara	barbara
notoriété	bekanntheit
euro	euro
danger	gefahr
wilson	wilson
similaire	ähnlich
travaillé	gearbeitet
cordes	seile
golden	golden
détail	detail
dan	dan
accompagné	begleitet
hypothèse	hypothese
matériaux	materialien
risques	risiken
charlotte	charlotte
jury	jury
anglo	anglo
révolte	revolte
révolte	aufstand
enseigne	lehrt
franc	franc
révèle	offenbart
didier	didier
mac	mac
variété	vielzahl
ascension	aufstieg
vendu	verkauft
game	game
ford	ford
jane	jane
observatoire	beobachtungsstelle
ailes	flügel
machines	maschinen
julie	julie
institution	institution
donna	donna
caen	caen
organisations	organisationen
varsovie	warschau
présidentielle	präsidentschafts
compter	zählen
south	south
normale	normal
résolution	auflösung
pilotes	treiber
conquête	eroberung
colonie	kolonie
hélène	hélène
hélène	helene
besoins	bedürfnisse
inférieur	unterer
cannes	cannes
neige	schnee
discussions	diskussionen
installer	installieren
discipline	disziplin
responsabilité	haftung
paysage	landschaft
suffit	genügt
poissons	fische
violence	gewalt
coût	kosten
comics	comics
africain	afrikaner
bandes	bänder
vais	werde
cellules	zellen
fosse	grube
costumes	kostüme
johnny	johnny
espoir	hoffnung
jardins	gärten
médailles	medaillen
america	america
angers	angers
détails	details
déclaration	erklärung
colonne	spalte
monaco	monaco
fêtes	feste
gagner	gewinnen
dijon	dijon
invité	eingeladen
invité	gast
affiche	zeigt
affiche	plakat
outil	werkzeug
prêt	bereit
inventaire	bestandsaufnahme
violon	violine
élevage	zucht
remplacement	ersatz
islam	islam
battu	geschlagen
envoie	sendet
réduit	reduziert
traces	spuren
war	war
créateur	schöpfer
expliquer	erklären
environs	umgebung
coalition	koalition
intérêts	zinsen
fox	fox
inspecteur	detective
due	due
marais	sumpf
moines	mönche
kong	kong
chimie	chemie
prenant	nehmend
poisson	fisch
inter	inter
fruits	obst
passion	leidenschaft
chercheurs	forscher
chat	katze
stratégie	strategie
tirs	schüsse
semblent	scheinen
sarah	sarah
interprété	interpretiert
retrait	rücknahme
coopération	zusammenarbeit
archipel	archipel
géorgie	georgien
âme	seele
gothique	gotischen
bloc	block
méditerranée	mittelmeer
visiteurs	besucher
clan	clan
répond	antwortet
capital	kapital
caractérisée	charakterisiert
surnom	spitzname
express	express
électricité	elektrizität
facile	einfach
différent	unterschiedlich
découvrir	entdecken
changements	änderungen
fred	fred
chrétien	christlich
oxford	oxford
croatie	kroatien
ange	engel
gaston	gaston
robin	robin
récompenses	auszeichnungen
xiv	xiv
conflits	konflikte
remplace	ersetzt
cultures	kulturen
étudier	studieren
lundi	montag
viii	viii
andrea	andrea
accessible	zugänglich
universités	universitäten
virginie	virginia
avantage	vorteil
partout	überall
engagé	engagiert
objectifs	ziele
ann	ann
écossais	schottischen
soirée	abend
mélange	mischung
mine	mine
costa	costa
alphonse	alphonse
state	state
acquis	erworben
lucien	lucien
support	support
sydney	sydney
qualifié	qualifiziert
introduit	eingeführt
caractéristique	merkmal
nba	nba
howard	howard
charlie	charlie
guitariste	gitarrist
évêques	bischöfe
défendre	verteidigen
conséquences	konsequenzen
elizabeth	elizabeth
recevoir	empfangen
brest	brest
pianiste	pianist
friedrich	friedrich
occupé	beschäftigt
occupé	besetzt
musées	museen
traversée	überfahrt
réussi	geschafft
armand	armand
centaines	hunderte
maîtrise	beherrschung
encyclopédique	enzyklopädische
réédition	neuauflage
calcul	berechnung
rêve	traum
mathieu	mathieu
camille	camille
dérivés	derivate
plaque	platte
ffffff	ffffff
body	body
nez	nase
démocratie	demokratie
meurtre	mord
barre	stab
métropole	metropole
neuvième	neunte
minute	minute
élite	elite
applications	anwendungen
aîné	ältester
verre	glas
équipement	ausrüstung
queue	schwanz
ivoire	elfenbein
hong	hong
chantier	baustelle
ivan	ivan
ivan	iwan
design	design
pistes	pisten
exécutif	exekutive
jonathan	jonathan
jacob	jacob
mythologie	mythologie
belgrade	belgrad
revenu	einkommen
guinée	guinea
basilique	basilika
girl	girl
confédération	konföderation
dessinateur	zeichner
jimmy	jimmy
arrêter	anhalten
rallye	rallye
valence	valencia
amitié	freundschaft
dossier	ordner
diego	diego
maladies	krankheiten
oiseau	vogel
ump	ump
péninsule	halbinsel
francesco	francesco
campagnes	kampagnen
compilation	zusammenstellung
terrestre	terrestrischen
budapest	budapest
représentations	vertretungen
noble	edel
ambassadeur	botschafter
opérateur	betreiber
possession	besitz
souvenir	erinnerung
forteresse	festung
ennemis	feinde
sections	abschnitte
viens	komm
engagement	engagement
engagement	verpflichtung
languedoc	languedoc
localités	ortschaften
quarante	vierzig
title	title
supprimé	gelöscht
douglas	douglas
lady	lady
listes	listen
boy	boy
arbitrage	schiedsverfahren
lecteur	player
idem	idem
tire	schieß
hop	hop
christopher	christopher
réduire	verringern
réduire	reduzieren
anderson	anderson
christine	christine
goût	geschmack
sélectionné	ausgewählt
venus	venus
miller	miller
dédié	gewidmet
exil	exil
terminé	abgeschlossen
cambridge	cambridge
sncf	sncf
ventes	vertrieb
ventes	verkauf
relative	relative
instruction	anweisung
cancer	krebs
donald	donald
agents	bediensteten
observation	beobachtung
fréquence	häufigkeit
dure	dauert
vins	weine
employés	angestellte
out	out
forum	forum
lanceur	trägerrakete
administrativement	administrativ
solaire	solar
alimentation	ernährung
neutre	neutral
orthodoxe	orthodoxen
citoyens	bürger
vladimir	wladimir
ouvriers	arbeiter
pseudonyme	pseudonym
humanité	menschlichkeit
clé	schlüssel
manuscrit	manuskript
déterminer	bestimmen
défaites	niederlagen
colline	hügel
divisions	abteilungen
gustave	gustave
continent	kontinent
ruines	ruinen
technologies	technologien
fais	mach
précis	präzise
picardie	picardie
porto	porto
bourbon	bourbon
difficulté	schwierigkeit
franz	franz
ombre	schatten
cousin	cousin
vapeur	dampf
interview	interview
bay	bay
colonnes	spalten
républicain	republikaner
attribué	zugewiesen
attribué	zugeordnet
stanley	stanley
muet	stumm
couvre	deckt
garçon	junge
western	western
vérifier	überprüfen
transmission	übermittlung
soldat	soldat
jersey	jersey
sénégal	senegal
option	option
pluie	regen
commentaires	kommentare
fpu	fpu
turin	turin
poitou	poitou
automatique	automatik
automatique	automatisch
compétences	zuständigkeiten
compétences	kompetenzen
extrêmement	extrem
neveu	neffe
mohamed	mohamed
hubert	hubert
cinquante	fünfzig
publicité	werbung
souverain	souverän
associés	assoziierten
chronique	chronik
charte	charta
renault	renault
arrivé	angekommen
préface	vorwort
échecs	schach
frais	frisch
pérou	peru
bloqué	blockiert
palette	palette
tramway	straßenbahn
amiens	amiens
louvre	louvre
marco	marco
lès	lès
offensive	offensive
amie	freundin
alias	alias
concentration	konzentration
series	series
précision	genauigkeit
passagers	passagiere
can	can
degré	grad
puissant	mächtig
puissant	leistungsfähig
départementale	landstrasse
correspondance	korrespondenz
hamilton	hamilton
partiellement	teilweise
tim	tim
organismes	organismen
juniors	junioren
visage	gesicht
country	country
danois	dänisch
montrer	zeigen
conférences	konferenzen
paramètres	einstellungen
réflexion	reflexion
philadelphie	philadelphia
that	that
prononciation	aussprache
actualité	aktuell
aube	dämmerung
aube	morgengrauen
mariée	braut
meuse	maas
billy	billy
répertoire	verzeichnis
mazovie	masowien
traditionnel	traditionell
lacs	seen
suprême	obersten
musulmans	muslime
ain	ain
sexe	geschlecht
séjour	aufenthalt
andy	andy
norme	norm
appareils	geräte
gordon	gordon
ordinateur	computer
repose	beruht
ligues	ligen
nick	nick
surprise	überraschung
juif	jüdisch
efficace	effizient
bulgarie	bulgarien
grecs	griechen
séparation	trennung
perdre	verlieren
puy	puy
votes	abstimmungen
tibet	tibet
spectateurs	zuschauer
stars	stars
baroque	barock
secteurs	sektoren
will	will
tournois	turniere
gagné	gewonnen
distinction	unterscheidung
four	ofen
garder	halten
venezuela	venezuela
triple	triple
vécu	gelebt
vécu	lebte
high	high
autel	altar
continuer	weiter
propriétaires	eigentümer
efforts	bemühungen
roussillon	roussillon
influencé	beeinflusst
vacances	urlaub
treize	dreizehn
exclusivement	ausschließlich
plat	flach
azur	azur
reconstruction	wiederaufbau
columbia	columbia
choisir	wählen
administrateurs	administratoren
global	global
bruce	bruce
consensus	konsens
troupe	truppe
sauvage	wild
consulté	konsultiert
clip	clip
optique	optik
fantastique	fantastisch
navigation	navigation
augmenter	erhöhen
instant	augenblick
synthèse	synthese
phare	phare
surveillance	überwachung
déplacement	abbau
championship	championship
prieuré	prieuré
désert	wüste
ibn	ibn
nam	nam
back	back
enseignant	lehrer
bourse	börse
pedro	pedro
dépôt	einzahlung
exactement	genau
hollywood	hollywood
tunis	tunis
presses	pressen
prusse	preußen
théologie	theologie
laura	laura
sun	sun
augustin	augustin
peint	gemalt
froid	kalt
réputation	ruf
not	not
syrie	syrien
flandre	flandern
villeneuve	villeneuve
alexis	alexis
lublin	lublin
playstation	playstation
ronde	runde
allen	allen
colonies	kolonien
responsables	verantwortliche
responsables	verantwortlichen
pékin	peking
apparence	aussehen
apparence	erscheinungsbild
couche	schicht
changé	verändert
châteaux	schlösser
animateur	animator
master	master
mathématicien	mathematiker
autonomie	autonomie
expansion	expansion
particuliers	privatpersonen
dragons	drachen
numéros	nummern
besançon	besançon
giuseppe	giuseppe
malheureusement	leider
provisoire	vorläufig
veuve	witwe
apporter	mitbringen
nicole	nicole
programmation	programmierung
cameroun	kamerun
soins	pflege
linguistique	sprachliche
exercice	übung
lah	lah
bot	bot
fonctionne	funktioniert
botanique	botanischen
amoureux	verliebt
east	east
amélioration	verbesserung
successivement	nacheinander
manchester	manchester
vouloir	wollen
virus	viren
iso	iso
fermeture	schließung
voile	segeln
aisne	aisne
monarchie	monarchie
spécialisé	spezialisiert
soutenu	unterstützt
décisions	entscheidungen
décisions	beschlüsse
remarquable	bemerkenswert
yougoslavie	jugoslawien
hugues	hugues
zurich	zürich
assassinat	ermordung
restaurant	restaurant
first	first
abandonné	aufgegeben
fernando	fernando
wilhelm	wilhelm
tribu	stamm
hebdomadaire	wöchentlich
belges	belgier
rotation	rotation
apporte	bringt
tiré	gezogen
tiré	geschossen
attitude	haltung
transféré	verlegt
jugement	urteil
bible	bibel
cyrillique	kyrillisch
clark	clark
rayon	strahl
paulo	paulo
civils	zivilisten
nécessité	notwendigkeit
limoges	limoges
têtes	köpfe
métal	metall
space	space
facteur	faktor
rangers	rangers
ryan	ryan
fini	fertig
road	road
épée	schwert
banlieue	vorort
courts	kurze
toulon	toulon
pic	pic
voisins	nachbarn
fantasy	fantasy
jouant	spielend
opposé	entgegengesetzt
irak	irak
bruges	brügge
progrès	fortschritt
soixante	sechzig
tonnes	tonnen
dieux	götter
copie	kopie
intégré	integriert
jason	jason
carbone	kohlenstoff
modifié	geändert
mâle	männlich
ouvrir	öffnen
pétrole	erdöl
normal	normal
illinois	illinois
jura	jura
attaché	gefesselt
corporation	corporation
hervé	hervé
cible	ziel
africaine	afrikanische
extra	extra
dark	dark
morceau	stück
dixième	zehnte
pyramide	pyramide
pasteur	pastor
nintendo	nintendo
adopté	adoptiert
entraînement	training
kelly	kelly
arnaud	arnaud
actifs	vermögenswerte
volontaires	freiwillige
filiale	tochtergesellschaft
plaisir	vergnügen
limousin	limousin
époux	ehemann
organiser	organisieren
lisa	lisa
individuel	individuell
anime	anime
croire	glauben
domination	herrschaft
domination	dominanz
débats	debatten
moto	motorrad
tunnel	tunnel
échapper	entkommen
fenêtres	fenster
mineur	minderjährigen
vertical	senkrecht
équilibre	gleichgewicht
variable	variable
sanctuaire	heiligtum
illustrations	illustrationen
slovaquie	slowakei
paramètre	parameter
psychologie	psychologen
constantinople	konstantinopel
fouilles	ausgrabungen
diplômé	absolvent
sel	salz
découvertes	entdeckungen
héritage	erbschaft
hitler	hitler
commencer	beginnen
madagascar	madagaskar
candidature	bewerbung
théorème	satz
télé	glotze
expériences	erfahrungen
étudié	studiert
étudié	studierte
jeff	jeff
buenos	buenos
massacre	massaker
potentiel	potential
potentiel	potenzial
annuel	jährlich
voisin	nachbar
représenter	repräsentieren
free	free
dialogue	dialog
présidente	vorsitzende
évidemment	offensichtlich
thérèse	thérèse
grotte	höhle
pain	brot
toit	dach
opus	opus
individu	einzelperson
russell	russell
death	death
réduction	verringerung
alberto	alberto
tension	spannung
soviétiques	sowjets
secrets	geheimnisse
intégration	integration
wimbledon	wimbledon
venu	gekommen
rythme	rhythmus
intervient	interveniert
voulait	wollte
montré	gezeigt
rupture	bruch
vague	welle
décor	dekor
maintien	aufrechterhaltung
signal	signal
poitiers	poitiers
otto	otto
steven	steven
suicide	selbstmord
accords	vereinbarungen
margaret	margaret
périodes	perioden
mentionné	erwähnt
hollande	holland
crédit	kredit
crédit	gutschrift
xvi	xvi
librairie	buchhandlung
audio	audio
vosges	vogesen
dôme	kuppel
reproduction	reproduktion
christianisme	christentum
parcs	parks
entendu	gehört
hasard	zufall
dispositif	vorrichtung
pouvaient	konnten
acier	stahl
réélu	wiedergewählt
traditions	traditionen
générique	generische
civilisation	zivilisation
silence	schweigen
admis	zugelassen
isère	isère
raoul	raoul
publier	veröffentlichen
arguments	argumente
contribue	beiträgt
lait	milch
matt	matt
antenne	antenne
charbon	kohle
éponyme	namensgeber
maxi	maxi
archéologie	archäologie
agir	handeln
financement	finanzierung
uefa	uefa
soutenir	unterstützen
traducteur	übersetzer
ambassade	botschaft
miami	miami
men	men
dur	hart
dénomination	bezeichnung
constante	konstante
constante	konstant
inclus	inbegriffen
inclus	inklusive
two	two
fruit	frucht
montant	betrag
journalistes	journalisten
légère	leichte
incluant	inklusive
miguel	miguel
marbre	marmor
sicile	sizilien
clients	kunden
souvenirs	erinnerungen
insectes	insekten
prisonnier	häftling
edmond	edmond
interdiction	verbot
transition	übergang
durable	nachhaltig
mar	mar
intelligence	intelligenz
photographies	fotografien
payer	bezahlen
libéré	freigegeben
chaleur	wärme
chaleur	hitze
catalogne	katalonien
blog	blog
square	square
ingénieurs	ingenieure
indonésie	indonesien
chaussée	fahrbahn
variétés	sorten
loisirs	freizeit
lambert	lambert
liquide	flüssig
capacités	kapazitäten
gary	gary
présidents	präsidenten
étages	etagen
power	power
écliptique	ekliptik
beauté	schönheit
indépendants	selbständige
indépendants	unabhängige
achat	kauf
camps	lagern
marques	marken
boulogne	boulogne
réponses	antworten
admin	admin
gallo	gallo
solutions	lösungen
inauguré	eingeweiht
rev	rev
cuba	kuba
testament	testament
attaquer	angreifen
seize	sechzehn
old	old
great	great
décoration	dekoration
fermé	geschlossen
times	times
alphabet	alphabet
jordan	jordan
schéma	schema
contribué	beigetragen
contribué	beigesteuert
campus	campus
pie	pie
dis	sag
vues	ansichten
resté	geblieben
solide	solide
philip	philip
fiat	fiat
charges	lasten
bureaux	büros
atmosphère	atmosphäre
réception	rezeption
dave	dave
mourir	sterben
nelson	nelson
témoin	zeuge
règlement	verordnung
horreur	horror
manifeste	manifest
pirates	piraten
fenêtre	fenster
délégation	delegation
acquisition	erwerb
inclut	einschließt
inclut	beinhaltet
défini	definiert
clés	schlüssel
placer	platzieren
nobel	nobel
adultes	erwachsene
spectacles	aufführungen
voisine	nachbarin
emblème	emblem
alternative	alternative
littéralement	buchstäblich
trace	trace
ours	bär
portraits	porträts
wild	wild
limité	limitiert
bla	bla
loir	loir
normes	normen
refuge	zuflucht
nourriture	nahrung
facteurs	faktoren
devaient	mussten
dynamique	dynamik
ross	ross
boris	boris
branches	zweige
démission	rücktritt
aragon	aragon
batailles	schlachten
assassiné	ermordet
alpin	alpin
illustré	illustriert
colin	colin
consulter	konsultieren
zéro	null
atp	atp
gironde	gironde
réunit	vereinigt
intéressant	interessant
remix	remix
fra	fra
identique	identisch
clôture	zaun
cheveux	haare
varie	variiert
respecter	respektieren
apparemment	anscheinend
apparemment	scheinbar
bbc	bbc
trio	dreier
communistes	kommunisten
lourd	schwer
lourd	schwere
obligatoire	obligatorisch
dordogne	dordogne
moore	moore
explosion	explosion
relégation	relegation
honoré	geehrt
exerce	ausübt
augmente	erhöht
esclaves	sklaven
médecins	ärzte
nathalie	nathalie
quentin	quentin
désir	wunsch
grégoire	gregor
comtesse	gräfin
paysans	bauern
complexes	komplexe
noyau	kernel
germanique	germanischen
sportifs	sportler
ohio	ohio
motifs	motive
lisbonne	lissabon
fleur	blume
turc	türkisch
charentes	charentes
increment	increment
réserves	rücklagen
navarre	navarra
hambourg	hamburg
envoyer	senden
morgan	morgan
définir	definieren
oblast	oblast
micro	mikro
oriental	oriental
maría	maría
wilaya	wilaya
géant	riese
géant	riesen
consul	konsul
lourdes	lourdes
logiciels	software
paradis	paradies
relégué	absteiger
ian	ian
anjou	anjou
tempête	sturm
abréviations	abkürzungen
constantin	konstantin
embouchure	mündung
bonheur	glück
moine	mönch
négociations	verhandlungen
oliver	oliver
bâle	basel
conclusion	schlussfolgerung
nîmes	nîmes
franck	franck
stockholm	stockholm
accent	akzent
efficacité	effizienz
cuivre	kupfer
concile	konzil
cents	cent
ferrari	ferrari
apostolique	apostolischen
viande	fleisch
probable	wahrscheinliche
ken	ken
escalier	treppe
diable	teufel
herbert	herbert
berne	bern
roberto	roberto
chante	singt
jerry	jerry
talent	talent
invités	gäste
town	town
natation	schwimmen
apprendre	lernen
sols	böden
détruire	zerstören
castille	kastilien
movie	movie
syndrome	syndrom
alcool	alkohol
elena	elena
passages	passagen
inspiration	inspiration
retiré	zurückgezogen
sombre	dunkel
data	data
habituellement	normalerweise
nécessite	erfordert
dead	dead
racine	wurzel
fidèle	treu
lecteurs	leser
roux	roux
illustration	illustration
intégrer	integrieren
intégrer	einbetten
écologie	ökologie
spécialistes	spezialisten
ajouté	hinzugefügt
ultime	ultimative
pseudo	pseudo
constructions	bauten
variations	variationen
descente	abstieg
punk	punk
sucre	zucker
cite	isced
symphonie	symphonie
vêtements	kleidung
dance	dance
explication	erklärung
différences	unterschiede
trad	trad
variante	variante
redirection	umleitung
stone	stone
bottom	bottom
duchesse	herzogin
play	play
abraham	abraham
couvert	bedeckt
précédemment	zuvor
délégué	delegierter
délégué	delegiert
logement	unterkunft
phases	phasen
tribus	stämme
astronome	astronom
graveur	brenner
wikimedia	wikimedia
carter	carter
francfort	frankfurt
flèche	pfeil
#ffffff	#ffffff
experts	experten
attentat	anschlag
arles	arles
colorado	colorado
feuille	blatt
coupes	schnitte
coupes	schalen
dep	dep
michigan	michigan
descendants	nachkommen
khan	khan
indre	indre
finlandais	finnischen
enfer	hölle
districts	distrikte
inutile	nutzlos
inutile	unnötig
déchets	abfälle
bell	bell
manuscrits	manuskripte
atlanta	atlanta
essence	benzin
séminaire	seminar
vancouver	vancouver
orthographe	rechtschreibung
lucas	lucas
biologie	biologie
massachusetts	massachusetts
essayer	versuchen
marchés	märkte
last	last
cellule	zelle
fou	verrückt
accepter	akzeptieren
heinrich	heinrich
coréen	koreanisch
courage	mut
moulins	mühlen
humour	humor
banques	banken
nommés	ernannt
battre	schlagen
clavier	tastatur
norvégien	norwegisch
cologne	köln
positif	positiv
minnesota	minnesota
plume	feder
paysages	landschaften
barry	barry
kansas	kansas
garros	garros
grève	streik
marchandises	waren
qualités	qualitäten
fichiers	dateien
patrice	patrice
pratiquement	praktisch
quatorze	vierzehn
arménie	armenien
norman	norman
allier	allier
leipzig	leipzig
fernand	fernand
bonaparte	bonaparte
rural	ländliche
codes	codes
warner	warner
malade	krank
arena	arena
imprimerie	druckerei
évaluer	bewerten
perspective	perspektive
garçons	jungen
edgar	edgar
walt	walt
tourner	drehen
impérial	imperial
sultan	sultan
liban	libanon
hermann	hermann
sociologie	soziologie
ballet	ballett
accusé	angeklagt
onu	uno
ernst	ernst
effort	aufwand
stuart	stuart
implique	impliziert
jette	wirft
index	index
téléphone	telefon
documentation	dokumentation
bouche	mund
queen	queen
hiérarchie	hierarchie
lyonnais	lyonnais
blessure	verletzung
équateur	ecuador
fine	fine
bourgeois	bourgeois
statues	statuen
anneau	ring
chambres	zimmer
youtube	youtube
xii	xii
sporting	sporting
pire	schlimmer
profite	genieße
terminus	endstation
abc	abc
masque	maske
combattre	bekämpfen
gloire	ruhm
protégé	geschützt
tâche	aufgabe
causes	ursachen
papillon	schmetterling
comparaison	vergleich
préparer	vorbereiten
vendée	vendée
illustre	veranschaulicht
automatiquement	automatisch
accepté	akzeptiert
pousse	wächst
luigi	luigi
grant	grant
globe	globus
procureur	staatsanwalt
ardennes	ardennen
atlas	atlas
caisse	kasse
génétique	genetik
ballon	ball
ballon	ballon
choc	schock
gérer	verwalten
romantique	romantisch
frappe	schlag
frappe	schlägt
philippines	philippinen
islamique	islamische
entouré	umgeben
anonyme	anonym
applique	wendet
assurance	versicherung
phil	phil
helsinki	helsinki
manager	manager
lawrence	lawrence
unesco	unesco
danny	danny
module	modul
enterré	begraben
bonus	bonus
théories	theorien
hot	hot
éliminatoires	vorrunde
uci	uci
diversité	vielfalt
garnison	garnison
résoudre	lösen
résistant	beständig
islande	island
janeiro	janeiro
macédoine	mazedonien
sculptures	skulpturen
investissement	investition
absolument	absolut
incident	vorfall
are	are
