and	un
reverse	reversā
reverse	atpakaļgaitā
reverse	reversās
soap	ziepes
territorial	teritoriālā
territorial	teritoriālie
territorial	teritoriālais
territorial	teritoriālo
lisa	lisa
paulo	paulo
paulo	paulu
northwestern	ziemeļrietumu
playoffs	playoffs
boss	priekšnieks
boss	boss
nasa	nasa
byzantine	bizantijas
idaho	aidaho
poster	plakātu
poster	plakāts
geographic	ģeogrāfiskais
geographic	ģeogrāfiskās
geographic	ģeogrāfiskā
geographic	ģeogrāfisko
congo	congo
congo	kongo
worse	sliktāk
worse	sliktāka
hoax	meteorīts
restricted	ierobežots
restricted	ierobežoti
restricted	ierobežotā
restricted	ierobežota
advocate	advocate
doors	durvis
situations	situācijas
situations	situācijās
instructions	instrukcija
instructions	instrukcijas
instructions	norādījumi
sullivan	salivans
tables	galdi
tables	tabulas
tables	tabulās
shoot	šaut
shoot	skatē
shoot	nošaut
shoot	šauj
substitute	aizstājējs
restaurants	restorāni
restaurants	restorānos
contributor	veicinātājs
spoke	runāja
spoke	uzstājās
errors	kļūdas
rocky	rokijs
kerala	kerala
shakespeare	šekspīra
quantum	kvantu
immigration	imigrācija
immigration	imigrācijas
mirror	spogulis
mirror	spogulīt
certified	sertificēta
certified	sertificēti
certified	sertificēts
assets	aktīvi
npov	npov
potentially	potenciāli
presentation	noformējumu
presentation	prezentācija
presentation	prezentācijas
presentation	noformējums
cotton	kokvilna
sitting	sēdes
sitting	sēdi
sitting	sēž
sitting	sēde
tournaments	turnīri
syndrome	sindroms
checked	pārbaudīti
checked	pārbaudīta
checked	pārbaudīts
checked	pārbaudītas
forty	četrdesmit
journalism	žurnālistikas
upload	augšupielādēt
upload	augšupielādes
unsuccessful	neveiksmīga
unsuccessful	neveiksmīgs
unsuccessful	neveiksmīgi
towers	torņi
conductor	diriģents
hospitals	slimnīcas
hospitals	slimnīcās
hospitals	slimnīcām
bone	kaulu
bone	kauls
essex	essex
ideal	ideāls
ideal	ideāli
ideal	ideāla
raw	raw
raw	neapstrādāts
sharing	dalīšanās
sharing	dalīšana
labels	etiķetes
labels	marķējumi
leonard	leonards
watson	watson
governors	vadītāji
harvey	hārvijs
bases	bāzes
hello	sveicināti
hello	sveiks
hello	hello
hello	sveika
hello	sveiki
rabbi	rabīns
hardware	aparatūras
hardware	aparatūra
ensemble	ansamblis
monster	briesmonis
emphasis	uzsvars
emphasis	uzsvaru
recovery	atgūšanās
recovery	atveseļošanās
recovery	atveseļošanas
recovery	atgūšana
recovery	reģenerācija
lesser	mazākā
qualification	kvalifikācija
qualification	kvalifikācijas
organic	organisko
organic	organiskie
exposure	iedarbība
exposure	ekspozīcija
exposure	iedarbības
palestine	palestīnas
palestine	palestīnā
thoughts	domās
thoughts	domas
drafted	sastādīts
maurice	moriss
immigrants	imigranti
immigrants	imigrantus
immigrants	imigrantiem
variant	varianta
variant	variants
variant	variantu
lap	klēpī
lap	klēpja
legitimate	likumīgs
legitimate	likumīgas
legitimate	likumīgās
legitimate	likumīgi
legitimate	likumīga
autonomous	autonoms
autonomous	autonomā
autonomous	autonomais
autonomous	autonoma
autonomous	autonomi
wallace	voless
irdt	irdt
succession	mantošanas
throw	mest
monday	pirmdien
monday	pirmdienā
monday	pirmdiena
reserves	rezerves
donated	ziedoja
increases	palielina
kid	bērns
kid	puika
guidance	norādījumi
guidance	vadlīnijas
delivery	piegāde
delivery	piegādes
joan	džoanna
fifty	piecdesmit
slave	vergs
slave	vergu
feedback	atsauksmes
columbus	kolumbs
stones	akmeņiem
stones	akmeņi
manage	pārvalda
manage	pārvaldīt
cgi	vnk
printing	iespiešanas
printing	iespiešana
printing	drukāšana
variable	mainīgā
variable	mainīgais
variable	mainīgs
variable	mainīgo
variable	mainīga
theology	teoloģijas
todd	tods
parameters	parametri
traveled	ceļoja
han	han
reed	niedru
celtic	ķeltu
characteristic	raksturlielums
commanded	vēlēja
commanded	vadīta
searching	meklēšana
searching	meklē
inappropriate	nepiemērota
inappropriate	nepiemērots
inappropriate	nepiemērotu
inappropriate	neatbilstoši
inappropriate	neatbilstošs
switch	pārslēgties
switch	slēdzis
switch	pārslēgt
switch	slēdzi
ties	saites
tube	cauruļu
tube	caurules
tube	caurule
tube	caurulīte
otto	otto
otto	oto
debt	parāds
debt	parādu
outdoor	āra
outdoor	sportot
navigation	navigation
navigation	navigācija
navigation	navigācijas
experts	eksperti
experts	ekspertus
expensive	dārga
expensive	dārgi
expensive	dārgas
expensive	dārgs
tier	līmenis
gospel	evaņģēlijs
newton	ņūtons
essays	eseju
shanghai	šanhajas
conventional	parastie
campaigns	kampaņas
formations	sastāvi
formations	audzes
feelings	jūtām
feelings	sajūtas
feelings	jūtas
bath	pirts
bath	vanna
venice	venēcijas
#aaa	#aaa
cats	kaķi
cats	kaķiem
variations	variācijas
emerged	parādījās
emerged	radās
socks	zeķes
socks	vecrīga
connecting	savienošana
connecting	savieno
flood	plūdu
flood	plūdi
documented	dokumentēti
documented	dokumentētas
documented	dokumentēta
documented	dokumentēts
custom	pielāgota
custom	pielāgots
profession	profesija
layout	izvietojums
layout	izkārtojums
academics	akadēmiķi
settlers	kolonisti
merging	apvienojas
sony	sony
competitors	konkurenti
competitors	konkurentiem
competitors	konkurentus
phillips	filipss
grass	zāle
grass	zāli
reservoir	rezervuārā
reservoir	rezervuāra
artificial	mākslīgā
artificial	mākslīgais
artificial	mākslīgs
artificial	mākslīga
tip	tip
tip	padoms
tip	gals
prague	prāgas
prague	prāga
prague	prāgā
abu	abu
faces	sejas
guitars	ģitāras
aspx	aspx
laura	laura
laura	lora
internationally	starptautiski
attacking	uzbrūk
attacking	uzbrukt
johann	johans
dreams	sapņus
dreams	sapņiem
dreams	sapņi
hughes	hughes
understood	sapratis
understood	saprata
specialized	specializētas
specialized	specializēta
specialized	specializēti
warned	brīdināja
pearl	pērle
chorus	korī
dependent	atkarīgs
dependent	atkarīga
dependent	atkarīgas
dependent	atkarīgi
restrictions	ierobežojumi
killer	slepkava
oakland	oakland
trio	trio
blocking	bloķē
blocking	bloķēšana
blocking	bloķējot
mtv	mtv
wikipedians	wikipedians
cattle	liellopi
cattle	liellopiem
cattle	liellops
cattle	lopi
gear	pārnesums
gear	rīku
gabriel	gabriels
traded	tirgo
traded	tirgoti
skating	slidošanas
fifteen	piecpadsmit
palm	palmu
palm	plaukstas
palm	plaukstu
palm	palmas
demonstrate	demonstrēt
demonstrate	pierādīt
liquid	šķidrums
liquid	šķidruma
liquid	šķidrs
liquid	šķidri
cycling	riteņbraukšanas
voices	balsis
faster	ātrāks
faster	ātrāk
faster	ātrāka
friedrich	frīdrihs
jet	jet
jet	lidmašīna
horn	rags
horn	ragu
burning	dedzināšana
burning	degšanas
burning	dedzināšanas
worker	strādājošais
worker	strādnieks
atmosphere	gaisotne
atmosphere	atmosfēra
atmosphere	atmosfērā
atmosphere	atmosfēras
syrian	sīrijas
welfare	labturība
welfare	labklājība
java	java
monitor	uzrauga
monitor	uzraudzītu
monitor	pārraudzīt
monitor	uzraudzīt
monitor	monitoru
monitor	monitors
history}}	vēsture}}
columns	kolonnas
columns	slejas
columns	ailes
repair	remonta
repair	remonts
bin	bin
dollars	dolāros
dollars	dolārus
dollars	dolāri
organised	organizētas
organised	organizētā
organised	organizēti
organised	organizēto
organised	organizēta
organised	organizēts
parameter	parametru
parameter	parametrs
parameter	parametri
parameter	raksturlielums
truly	patiešām
truly	patiesi
resolve	atrisināt
buenos	buenos
parade	parādi
parade	parāde
awareness	izpratnes
awareness	apzināšanās
awareness	izpratne
define	definē
define	definēt
spencer	spensers
republicans	republikāņi
conspiracy	sazvērestības
dies	mirst
clarke	klārks
engage	iesaistīties
pine	priežu
pine	priede
pine	priedes
equation	vienādojums
equation	vienādojumu
feels	jūt
feels	jūtas
democrat	demokrātu
permitted	atļautais
permitted	atļauta
permitted	atļauts
permitted	atļautas
cutting	griešana
cutting	izciršana
cutting	griešanas
button	poga
button	pogu
attending	apmeklē
brands	zīmolu
queens	karalienes
queens	queens
neck	kakls
neck	kakla
forever	forever
forever	mūžam
forever	mūžīgi
est	est
drink	dzērienu
drink	dzērieni
drink	dzer
drink	dzert
drink	dzēriens
miguel	migels
poorly	slikti
poorly	vāji
montgomery	montgomerijs
gift	dāvanu
gift	dāvana
riders	braucējiem
functional	funkcionālās
functional	funkcionālā
functional	funkcionālais
functional	funkcionāla
functional	funkcionālas
diverse	daudzveidīga
quotes	citāti
slowly	lēnām
slowly	lēni
attitude	attieksme
mouse	pele
mouse	peles
justin	džastins
protests	protestus
protests	protesti
gods	dievi
amounts	summas
variation	variācijas
smart	smart
smart	gudrs
smart	gudri
smart	gudra
prices	cenas
prayer	lūgšanu
prayer	lūgšanas
terrorism	terorisms
beta	beta
counts	skaitās
iraqi	irākas
detective	detektīvs
placing	laišanu
linking	sasaiste
linking	sasaistot
compositions	kompozīcijas
oval	ovālas
filming	filmē
filming	filmēt
filming	filmēšana
filming	filmēšanas
indianapolis	indianapolisa
funeral	bēres
funeral	apbedīšanas
recovered	atgūti
recovered	atgūta
farmer	zemnieki
farmer	lauksaimnieks
farmer	zemnieks
protestant	protestantu
cameron	cameron
unclear	neskaidri
unclear	neskaidrs
unclear	neskaidra
indonesian	indonēzijas
mixing	sajaukšanas
mumbai	mumbaja
danger	briesmas
danger	draudi
rally	rally
narrative	stāstījuma
camps	nometnes
camps	nometnēs
camps	nometnēm
camps	nometņu
surprise	pārsteigums
surprise	pārsteigt
manufactured	ražoti
manufactured	izgatavota
manufactured	izgatavots
manufactured	izgatavo
manufactured	ražots
deployed	izvietots
kate	keita
kate	kate
molecular	molekulārā
unnecessary	lieks
unnecessary	lieki
unnecessary	nevajadzīgs
unnecessary	nevajadzīgu
unnecessary	nevajadzīga
theorem	teorēma
homepage	mājaslapa
homepage	mājaslapā
colonies	kolonijas
cyprus	kipras
cyprus	kipra
cyprus	cyprus
cyprus	kiprā
brings	nes
brings	dāvina
winds	vēji
magnetic	magnētisko
magnetic	magnētiskie
conversation	sarunas
conversation	saruna
sussex	sussex
fastest	ātrākais
gates	vārti
ram	ram
plastic	plastmasa
plastic	plastmasas
electronics	elektronikas
restore	atjaunot
stockholm	stokholmā
stockholm	stokholmas
stockholm	stokholma
inn	snn
inn	inn
buses	autobusiem
buses	autobusus
buses	autobusi
connect	savieno
connect	pieslēgties
wmflabs	wmflabs
guests	viesi
guests	viesiem
radiation	radiācija
radiation	starojums
radiation	starojuma
receives	saņem
cork	korķis
generals	ģenerāļi
verifiable	pārbaudāmiem
verifiable	pārbaudāmi
cheers	cheers
cheers	priekā
filipino	filipīnu
reaches	sasniedz
oriented	vērsts
oriented	orientēts
oriented	orientēti
oriented	orientēta
hamburg	hamburgas
hamburg	hamburg
hamburg	hamburgā
creates	izveido
creates	rada
orbit	orbītā
massacre	slaktiņš
dialogue	dialogu
dialogue	dialogs
illness	slimība
dress	kleita
codes	kodi
dawn	rītausma
isolated	izolēta
isolated	izolētas
isolated	izolēts
isolated	izolēti
nancy	nensija
violations	pārkāpumi
ladies	dāmas
ladies	dāmām
autumn	rudens
autumn	rudenī
ratings	reitingiem
ratings	reitingi
incorrect	nepareiza
incorrect	nepareizi
incorrect	nepareizs
scout	skautu
difficulty	grūtības
pupils	skolēni
pupils	skolēniem
wealth	bagātības
wealth	bagātība
hart	hart
allegations	apgalvojumi
regulation	regulēšana
regulation	regula
regulation	regulējums
watching	vēro
watching	skatos
watching	skatās
watching	vērot
eggs	olas
eggs	ikri
disputed	apstrīdēts
citizenship	pilsonību
citizenship	pilsonība
specialist	speciālists
specialist	speciālista
specialist	speciāliste
tasks	uzdevumi
intent	nodoms
intent	nolūks
intent	nodoma
intent	nodomu
instruction	instrukcija
instruction	norādījums
pride	lepnums
friendship	draudzību
friendship	draudzība
panama	panamas
panama	panama
corruption	korupcija
corruption	korupciju
corruption	korupcijas
harm	kaitēt
harm	kaitējums
ernest	ernests
pilots	piloti
tape	lentes
tape	lentas
tape	lente
emigrants	emigrantiem
cancelled	atcelts
cancelled	atcelta
cancelled	anulēts
cancelled	anulēta
revenge	atriebība
revision	pārskatīšanu
revision	pārskatīšana
dominant	dominējošo
dominant	dominējošais
dominant	dominējošā
dominant	dominējošs
fee	nodeva
fee	maksa
computing	skaitļošanas
examination	izskatīšana
chen	chen
matrix	matricas
matrix	matricu
matrix	matrices
matrix	matrica
das	das
kiss	buča
kiss	skūpsts
valign	valign
nationalist	nacionālistu
luck	veiksmi
luck	veiksme
crosses	šķērso
heavyweight	smagsvara
bid	piedāvājums
appreciate	novērtēju
enemies	pretinieki
enemies	ienaidnieki
mercury	dzīvsudraba
mercury	dzīvsudrabs
interactive	interaktīvu
math	matemātikas
math	matemātika
nobel	nobela
grande	grande
keeps	uztur
structural	strukturālo
structural	strukturāli
structural	strukturālā
marry	precēties
airports	lidostas
veterans	veterānu
airline	aviokompānija
airline	aviosabiedrība
airline	aviokompāniju
axis	ass
axis	virziens
axis	asi
execution	izpilde
cult	kults
reducing	samazināšana
colin	colin
chester	česters
ticket	biļete
entity	vienība
entity	subjekts
bombing	bombardēšanas
recognised	atzītā
recognised	atzītas
recognised	atzīta
recognised	atzīti
recognised	atzīts
applicable	piemēro
applicable	piemērojama
applicable	piemērojams
founders	dibinātāji
fitted	uzstādīta
fitted	aprīkoti
fitted	aprīkots
fitted	uzstādītas
wilhelm	vilhelms
suddenly	pēkšņi
parking	stāvvieta
parking	stāvvietas
absolute	absolūtais
absolute	absolūtā
absolute	absolūts
françois	françois
locomotive	lokomotīvju
preparation	pagatavošana
preparation	preparāts
preparation	sagatavošana
preparation	gatavošanās
preparation	sagatavošanās
nintendo	nintendo
declaration	deklarāciju
declaration	deklarācija
presumably	domājams
jamaica	jamaika
knowing	zinot
vladimir	vladimirs
vladimir	vladimir
utf	utf
challenges	pārbaudījumi
challenges	izaicinājumi
kenneth	kenneth
evolved	attīstījušās
evolved	attīstījās
evolved	attīstījusies
evolved	attīstījies
celebration	svinības
celebration	svētki
discipline	disciplīnu
discipline	disciplīna
bearing	gultņu
belonged	piederēja
fauna	faunas
manuscript	manuskriptu
experiments	eksperimentos
experiments	izmēģinājumi
experiments	eksperimenti
compound	salikti
tampa	tampa
arabia	arābija
associations	apvienības
associations	biedrības
associations	asociācijas
equally	vienlīdz
equally	vienādi
targets	mērķi
alien	svešzemju
alien	sveša
withdrew	izstājās
withdrew	atsauca
depicted	izpildījumā
sergeant	seržants
subsidiary	meitasuzņēmums
thirteen	trīspadsmit
thick	biezs
thick	biezas
thick	bieza
thick	biezi
extend	pagarināt
extend	paplašināt
dismissed	atlaists
dismissed	noraidīts
dismissed	noraidīja
neo	neo
wire	stieple
wire	stieples
phd	phd
measured	mērīts
measured	izmērīts
measured	mēra
fat	tauki
fat	tauku
fat	taukiem
visits	apmeklējumi
visits	vizītes
linux	linux
teach	mācīt
teach	iemācīt
flights	lidojumiem
flights	lidojumi
verse	dzejā
bennett	benets
warm	silti
warm	silts
dynamic	dinamiskais
dynamic	dinamiskā
dynamic	dinamika
dynamic	dinamiska
dynamic	dinamisks
dynamic	dinamiski
shaw	šovs
shaw	šova
breaks	pārtraukumi
breaks	pārtraukumus
grandson	mazdēls
monuments	pieminekļu
lying	melo
michel	michel
treat	ārstētu
treat	ārstēt
raid	reida
congregation	draudzi
shorter	īsāks
shorter	īsāki
temperatures	temperatūras
temperatures	temperatūra
drinking	dzeršanas
drinking	dzeramā
drinking	dzeramais
manila	manilas
km²	km²
punjab	pendžabas
imagine	iedomāties
imagine	iedomājies
imagine	iedomājieties
consideration	apsvērums
veteran	veterāns
doctors	ārsti
carries	nes
ruler	valdnieks
wise	prātīgi
wise	gudrais
shipping	kuģniecības
shipping	shipping
afc	afc
worthy	cienīgs
worthy	vērts
worthy	cienīgi
worthy	cienīga
registration	reģistrēšana
registration	reģistrēšanās
registration	reģistrācija
directory	direktorija
directory	direktoriju
directory	mape
wyoming	vaiominga
manitoba	manitoba
vietnamese	vjetnamas
ronald	ronalds
cuban	kubas
burns	dedzina
burns	deg
justify	pamatot
justify	attaisnot
justify	pamato
suppose	pieņemsim
fate	liktenim
fate	likteņa
fate	liktenis
fate	likteni
rovers	rovers
oral	iekšķīgi
trans	trans
boards	padomju
boards	dēļi
bryan	braiens
santiago	santjago
terrorist	teroristu
okay	labi
waves	viļņi
sandy	sandija
acres	āri
paint	zīmēt
paint	krāsas
indication	norāde
indication	indikācijas
stops	apstājas
stops	pieturas
integration	integrēšana
integration	integrācija
thinks	domā
bibliography	literatūra
bibliography	bibliogrāfija
farming	lauksaimniecība
farming	audzēšana
nonsense	nieki
nonsense	muļķības
marathon	ventspilī
marathon	maratons
beliefs	uzskati
redundant	lieks
redundant	lieki
freestyle	freestyle
preservation	saglabāšanu
preservation	saglabāšana
altitude	augstums
altitude	augstumā
freely	brīvi
simultaneously	vienlaikus
simultaneously	vienlaicīgi
psychological	psiholoģisko
psychological	psiholoģiskā
psychological	psiholoģiska
fernando	fernando
cultures	kultūras
taxes	nodokļi
marcus	markuss
marcus	markus
stakes	likmes
dominican	dominikānas
franz	franz
franz	francis
coins	monētas
oxygen	skābeklis
oxygen	skābekli
oxygen	skābekļa
civic	pilsoniskās
isaac	īzaks
spell	pareizrakstības
craft	kuģis
craft	amatniecības
inspiration	iedvesmu
inspiration	iedvesma
pairs	pāru
pairs	pāri
vector	vektora
vector	vektoru
arc	loks
arc	loka
professionals	profesionāļiem
professionals	profesionāļi
vii	vii
accusations	apvainojumi
accusations	apsūdzības
approaches	pieejas
baronet	baronets
slaves	vergiem
mad	mad
mad	dusmīga
spectrum	spektrs
spectrum	spektra
client	klienti
client	klients
client	klientu
client	klienta
dozen	desmiti
travels	ceļo
symbols	simbolus
symbols	simboli
plaza	plaza
legion	leģiona
symptoms	simptomi
mosque	mošeja
guys	džeki
guys	puiši
guys	veči
lab	laboratorijā
lab	laboratorija
lab	lab
sailing	kuģošanas
orientation	orientācijas
orientation	orientācija
virtually	praktiski
generic	vispārīgs
generic	vispārējs
reasoning	argumentācija
stroke	gājiens
stroke	insults
unions	arodbiedrības
efficient	efektīvi
efficient	efektīva
efficient	efektīvs
opens	atver
impression	iespaidu
impression	iespaida
impression	iespaids
discover	atklāt
discover	atklāj
relocated	pārvietoja
novelists	novelists
roosevelt	rūzvelts
dancer	dejotāja
dancer	dejotāju
phenomenon	fenomens
phenomenon	parādība
preliminary	iepriekšēja
recognize	atpazīt
anchor	enkura
abilities	spējas
procedures	procedūras
emotional	emocionālā
emotional	emocionāli
emotional	emocionāls
emotional	emocionālo
timber	koksne
timber	kokmateriālu
timber	kokmateriāli
fisher	fišers
disorder	traucējums
fled	aizbēga
lithuania	lietuvā
lithuania	lietuvu
lithuania	lietuva
continent	kontinents
fellowship	stipendiju
lock	slēgt
lock	lock
warrant	orderi
warrant	ordera
warrant	orderis
overview	apskats
overview	pārskats
acquisition	iegāde
acquisition	iegūšana
acquisition	iegādi
eve	priekšvakarā
filter	filtrē
filter	filtru
filter	filtrs
filter	filtrēt
addresses	adreses
independently	neatkarīgi
independently	patstāvīgi
slovenia	slovēnija
slovenia	slovēnijā
observation	novērošana
observation	novērojums
observation	novērojumu
observation	novērojumi
challenged	apstrīdēja
threats	apdraudējumi
threats	draudi
fallen	samazinājies
protocol	protokolā
protocol	protokols
judgment	sprieduma
judgment	spriedums
judgment	spriedumu
colours	krāsas
colours	krāsvielas
package	pakete
package	pakotne
controls	kontrole
controls	kontroles
sabha	sabha
prisoner	ieslodzīto
signals	signālus
signals	signāli
owen	ouens
intervention	iejaukšanās
intervention	intervence
intervention	intervences
arriving	ierodas
cylinder	balons
cylinder	cilindra
cylinder	cilindrs
tenth	desmitais
tenth	desmitā
liu	liu
tested	testē
tested	pārbaudīta
tested	pārbaudīts
shops	veikalos
shops	veikali
dome	dome
philosopher	filozofs
epic	episko
epic	epic
stem	cilmes
specified	precizēts
specified	norādītā
specified	norādīts
davies	davies
collapse	sabrukumu
collapse	sabrukums
collapse	sabrukuma
albanian	albāņu
albanian	albānijas
canyon	kanjons
samples	paraugi
samples	paraugus
perceived	uztverts
perceived	uztvert
perceived	uztverta
celebrity	slavenība
priests	mācītājiem
louise	luīze
workshop	seminārs
workshop	darbnīca
herzegovina	hercegovina
herzegovina	hercegovinā
claude	claude
claude	klods
fortune	bagātību
fortune	laimes
bars	stieņi
cornwall	kornvolas
palmer	palmer
presidency	prezidentūra
presidency	prezidentūras
tiny	sīkā
tiny	sīkās
tiny	sīka
appeals	pārsūdzības
appeals	aicinājumi
appeals	apelāciju
appeals	apelācijas
istanbul	stambulas
istanbul	stambulā
expanding	paplašināšana
expanding	paplašinās
expanding	paplašinot
calgary	kalgari
shock	šoks
stevens	stīvensa
employee	darbinieka
employee	darbinieks
yang	jaņ
housed	izmitināti
tomb	kapu
tomb	kapa
tomb	kapā
earning	pelna
innovation	inovāciju
innovation	jauninājumi
innovation	inovācija
innovation	inovācijas
streams	plūsmas
unity	vienotība
lucas	lucas
grows	aug
armenia	armēnija
interchange	apmaiņa
interchange	apmaiņas
interchange	apmaiņā
proteins	olbaltumvielas
proteins	proteīni
proposals	ierosinājumi
proposals	priekšlikumi
mainland	kontinentālo
seminary	garīdznieku
hamlet	hamlets
coup	apvērsuma
newport	newport
negotiations	sarunas
exhibitions	izstādēs
exhibitions	izstādes
malta	maltas
malta	maltā
malta	malta
hate	ienīst
hate	naids
westminster	vestminsteras
installation	uzstādīšana
installation	instalācija
installation	iekārta
enters	iebrauc
enters	ieiet
goalkeeper	vārtsargs
julian	julian
morocco	maroka
efficiency	efektivitāte
chapters	nodaļas
chapters	sadaļas
helicopter	helikopters
helicopter	helikopteru
fortress	cietoksnis
ani	ani
displays	parāda
displays	displejiem
compiled	apkopoti
torpedo	torpēdu
giovanni	giovanni
chat	chat
catholics	katoļiem
herald	herald
chuck	čaks
chuck	čaka
pit	bedres
pit	pit
pit	bedre
supplied	piegādāta
supplied	piegādāts
optional	izvēles
optional	fakultatīvi
desk	galds
garrison	garnizons
sprint	sprints
exile	trimdā
surprised	pārsteigta
surprised	pārsteigts
surprised	pārsteidz
surprised	pārsteigti
surprised	pārsteidza
achievements	sasniegtais
achievements	sasniegumi
achievements	sasniegumiem
biblical	bībeles
rebels	nemierniekiem
denis	denis
denis	deniss
geographical	ģeogrāfiskais
geographical	ģeogrāfiskā
sit	sēdēt
alpine	alpu
bills	rēķini
bills	rēķinus
bills	vekseļi
glacier	glečers
binding	saistoši
binding	saistoša
binding	saistošs
binding	saistviela
estonia	igaunija
estonia	igaunijā
eating	ēdot
eating	ēst
eating	ēšana
eating	ēd
saving	taupīšanas
saving	ekonomija
saving	saglabāšana
chi	chi
developer	izstrādātājs
indie	indie
difficulties	grūtības
doctrine	doktrīnu
worn	lietoti
fork	galdam
fork	dakšu
simpson	simpson
upcoming	gaidāmā
upcoming	drīzumā
upcoming	gaidāmo
temporarily	īslaicīgi
hotels	viesnīcas
hotels	viesnīcās
hotels	viesnīcu
hotels	viesnīcām
edmonton	edmontonas
developments	attīstība
developments	norises
currency	valūta
missionary	misionāru
arrives	ierodas
hammer	āmurs
dollar	dolāru
dollar	dolārs
dollar	dolāra
ambassadors	vēstnieku
twitter	twitter
centres	centri
centres	centrus
solomon	zālamana
recommend	iesaku
recommend	ieteikt
descendants	pēcnācēji
descendants	pēcteči
ruth	ruta
ruth	rūta
handling	apstrāde
handling	apiešanās
handling	apstrādes
customs	muitas
customs	muita
collect	vāc
collect	savākt
collect	vākt
collect	savāc
grid	režģi
secured	nodrošinātas
secured	nodrošināta
secured	nodrošināti
secured	nodrošināts
certificate	sertifikāts
certificate	apliecība
certificate	sertifikātu
destination	galamērķa
destination	galamērķi
destination	galamērķis
albania	albānija
euro	eiro
euro	euro
consumption	patēriņš
feat	varoņdarbu
pushing	uzspiežot
pushing	spiežot
constantly	pastāvīgi
constantly	nepārtraukti
survivors	izdzīvojušo
mansion	muižā
cardiff	kārdifā
sheet	lapa
sheet	loksne
lift	pacelt
lift	lifts
confidence	uzticību
confidence	pārliecība
confidence	uzticība
confidence	uzticēšanās
cuisine	virtuve
frankfurt	frankfurtē
frankfurt	frankfurtes
galaxy	galaxy
ecuador	ekvadora
breeding	pavairošana
breeding	vaislas
breeding	audzēšana
outbreak	uzliesmojumu
outbreak	uzliesmojums
legendary	leģendāro
handball	handball
georgian	gruzijas
copenhagen	kopenhāgena
copenhagen	kopenhāgenas
copenhagen	kopenhāgenā
trek	trek
ignored	ignorēta
ignored	ignorē
ignored	ignorēts
arch	arkas
keys	taustiņi
keys	atslēgas
proceedings	tiesvedība
enjoy	baudīt
quartet	kvarteta
aims	mērķi
propaganda	propaganda
propaganda	propagandas
disk	diska
disk	disks
neat	kārtīgs
funny	smieklīgi
funny	jocīgi
funny	jautra
punishment	sods
accuracy	precizitāte
accuracy	precizitāti
meter	mērītājs
theoretical	teorētiskā
theoretical	teorētisko
theoretical	teorētiska
theoretical	teorētiski
theoretical	teorētiskais
suspension	apturēšana
suspension	suspensijas
suspension	suspensija
graduation	izlaidums
graduation	izlaiduma
flew	lidoja
nationalcaps	nationalcaps
seeds	sēklas
lighting	apgaismes
lighting	apgaismojums
jennifer	dženifera
smooth	gludas
smooth	gludi
smooth	netraucētu
smooth	raiti
smooth	gluda
customer	klients
customer	klientu
armstrong	ārmstrongs
philosophical	filozofisko
escaped	izbēga
kills	nogalina
taste	garšu
taste	gaume
taste	garša
taste	garšas
allmusic	allmusic
bros	bros
boulevard	boulevard
brooks	strautu
sending	nosūtīšana
sending	sūtīšana
sending	sūta
antarctica	antarktīda
strikes	streiki
reconstruction	atjaunošanas
reconstruction	rekonstrukcija
chronicle	hronika
traveling	ceļo
leslie	leslijs
devon	devon
ghana	gana
gen	gen
rebel	nemiernieku
duncan	dankans
pianist	pianistu
canon	canon
pack	iepakojums
iceland	islandē
iceland	īslande
iceland	islande
solve	atrisināt
cyclists	riteņbraucēji
payment	maksājumi
payment	samaksa
payment	maksājums
suburbs	piepilsētā
militia	kaujinieku
pronounced	izteiktas
mph	mph
glen	glens
eugene	eugene
compromise	kompromiss
compromise	kompromisu
tactical	taktiskā
uganda	ugandas
jail	cietumā
yeah	jā
townships	padzenot
somehow	kautkā
withdraw	atsauc
withdraw	izstāties
holmes	holmes
promise	solīt
promise	apsolu
promise	solījums
convert	pārveidot
convert	pārvērst
dos	dos
afternoon	pēcpusdienā
afternoon	pēcpusdienas
afternoon	pēcpusdiena
noting	atzīmējot
recall	atsaukšana
arrive	jāierodas
arrive	ierodas
warrior	spēkavīrs
mammals	zīdītājiem
mammals	zīdītājus
mammals	zīdītāji
dimensions	dimensijas
dimensions	izmēri
dimensions	gabarīti
surrey	surrey
gaming	spēļu
ports	ostām
ports	pieslēgvietas
ports	ostas
amy	eimija
survival	izdzīvošanu
survival	dzīvildze
survival	izdzīvošana
survival	izdzīvošanas
responses	atbildes
scandal	skandāls
widow	atraitne
swing	sparā
nights	naktis
polo	polo
linda	linda
adr	sai
adr	adr
probability	varbūtības
probability	varbūtību
probability	iespējamība
probability	varbūtība
farms	fermas
farms	audzētavas
farms	saimniecības
conferences	konferencēm
conferences	konferencēs
conferences	konferenču
conferences	konferences
zhang	džans
crazy	trakais
crazy	traki
crazy	trakā
witness	liecinieku
witness	liecinieks
nephew	krustdēls
sensitive	jutīgu
sensitive	jutīgs
sensitive	jutīgi
sensitive	jutīga
sensitive	jutīgas
sensitive	jūtīgs
mutual	abpusēja
mutual	savstarpēja
mutual	savstarpēju
diet	diēta
clients	klienti
clients	klientus
clients	klientiem
passion	aizraušanās
rings	gredzeni
stronger	spēcīgāka
stronger	stiprāks
stronger	spēcīgāk
stronger	spēcīgāki
stronger	spēcīgāks
stronger	stiprāka
millions	miljonos
millions	miljoniem
millions	miljoni
