prisoner	väzeň
intelligent	inteligentné
intelligent	inteligentná
intelligent	inteligentný
cherry	cherry
tobacco	tabaku
tobacco	tabak
cleaned	vyčistené
cleaned	očistené
varieties	odrôd
varieties	odrody
bench	lavičke
directions	smerovania
directions	smeroch
directions	smery
directions	smer
ellen	ellen
measurement	oceňovanie
measurement	meranie
paradise	raja
paradise	raj
paradise	paradise
alexandria	alexandrii
complement	doplnenie
complement	dopĺňať
complement	doplniť
complement	doplnok
witch	čarodejnice
witch	čarodejnica
witch	bosorka
attraction	príťažlivosť
diana	diana
personalities	osobnosti
personalities	osobností
colleagues	kolegom
colleagues	kolegovia
colleagues	kolegov
busy	zaneprázdnený
cia	cia
screenwriter	scenárista
commanders	veliteľov
salem	saleme
wagner	wagner
firms	firmy
firms	firiem
sanctions	sankcie
sanctions	sankcií
americas	ameriky
endings	konce
instructor	inštruktor
instructor	inštruktora
nobility	vznešenosť
divorced	rozvedený
divorced	rozviedla
divorced	rozvedená
varies	líši
tomorrow	zajtrajšok
tomorrow	zajtra
manuscripts	rukopisy
unified	jednotná
unified	jednotné
unified	zjednotení
unified	jednotný
clarify	vyjasniť
clarify	objasniť
scouts	skauti
investigations	vyšetrovania
investigations	vyšetrenia
investigations	vyšetrovanie
silva	silva
derek	derek
agenda	agendu
agenda	program
agenda	agenda
provision	poskytovanie
provision	ustanovenie
humanity	ľudstva
humanity	ľudstvu
humanity	ľudstvo
humanity	ľudskosť
humanity	ľudskosti
admit	priznať
terror	hrôza
terror	teror
contestants	súťažiaci
contestants	súťažiacich
trinidad	trinidad
distant	vzdialené
distant	vzdialený
distant	vzdialená
burke	burke
circles	kruhy
circles	kruhoch
assignment	priradenie
assignment	pridelenie
releasing	uvoľnením
recalled	pripomenúť
shrine	svätyne
sail	plaviť
willie	willie
celebrate	osláviť
celebrate	oslavovať
ranch	ranč
collaborated	spolupracoval
collaborated	spolupracovala
collaborated	spolupracovali
vampire	upírom
vampire	upíra
vampire	upíri
vampire	upír
unfree	neslobodného
playwright	dramatik
sick	chorý
sick	chorí
sick	chorá
sick	choré
associates	pridružení
associates	spoločníci
associates	spol
heinrich	heinrich
ethiopia	etiópii
flags	vlajky
flags	zástavy
tel	tel
drove	riadil
drove	jazdil
drove	šoféroval
drives	disky
drives	jazdí
drives	poháňa
accomplished	splnená
accomplished	dosiahnuté
accomplished	splnený
autobiography	autobiografiu
recruited	naverboval
uprising	povstania
uprising	povstanie
edwin	edwin
velocity	rýchlosť
terminology	terminológie
terminology	terminológia
coordinates	súradnice
brighton	brighton
viola	viola
para	para
morrison	morrison
propulsion	pohonu
propulsion	pohon
boxer	boxer
finale	finále
shoulder	plece
shoulder	rameno
shoulder	ramena
disabled	vypnuté
div	div
tactics	taktiku
tactics	taktiky
tactics	taktika
ernst	ernst
innocent	nevinné
innocent	nevinne
innocent	nevinná
innocent	nevinný
innocent	nevinní
rapper	rapper
settle	vyrovnať
settle	usadiť
privacy	súkromie
privacy	súkromia
boeing	boeing
cites	cites
bunch	banda
bunch	partia
emmy	emmy
indo	indo
distinguish	rozlišovať
rosa	rosa
accordance	súlade
thermal	tepelný
thermal	tepelná
thermal	tepelné
flute	flautu
marines	námorníci
marines	mariňákov
feminist	feministka
trustees	správcovia
sculptures	sochy
nationally	vnútroštátne
nationally	celoštátne
nationally	národne
bacteria	baktéria
bacteria	baktérie
bacteria	baktérií
introduce	predstaviť
introduce	zaviesť
landmarks	pamiatky
rivalry	rivalita
prevention	predchádzanie
prevention	prevencia
honored	cťou
honored	poctený
healthy	zdravý
healthy	zdravá
healthy	zdravo
healthy	zdravé
healthy	zdraví
circus	cirkus
speculation	špekulácie
speculation	špekulácií
burma	barme
burma	mjanmarsko
sec	sek
sec	sec
quiet	ticho
knee	koleno
knee	kolena
deliver	doručiť
threw	hodili
threw	hodil
hypothesis	hypotéza
hypothesis	predpoklad
referendum	referendum
travelling	cestovanie
estonian	estónska
estonian	estónske
pastor	pastor
pastor	farár
sofia	sofia
tribune	tribune
lasting	trvalý
lasting	trvalé
permit	povolenie
priority	prednosť
priority	priorita
priority	prioritné
priority	prioritou
priority	prioritu
pounds	libier
cent	cent
consequence	dôsledok
consequence	následok
rica	rica
furniture	nábytok
macdonald	macdonald
honest	úprimná
honest	čestné
honest	úprimný
innovative	inovatívne
innovative	inovačné
estimate	odhadnúť
estimate	odhadom
estimate	odhad
atp	atp
rotation	rotácia
rotation	striedanie
rotation	rotácie
syracuse	syracuse
lecturer	lektor
automated	automatizované
automated	automatizovaný
kosovo	kosova
kosovo	kosovo
classics	klasiku
julius	julius
appreciated	ocenené
appreciated	ocenil
appreciated	cení
naples	neapol
sebastian	sebastian
activated	aktivovať
activated	aktivovaná
activated	aktivované
activated	aktivovaný
activated	aktivuje
offense	priestupok
barnes	barnes
acknowledged	uznal
acknowledged	uznávané
acknowledged	uznané
acknowledged	uznala
acknowledged	uznaná
exceptions	výnimky
martha	marta
martha	martha
quarters	štvrtiny
drawings	výkresy
drawings	kresby
drawings	nákresy
barely	sotva
barely	ledva
hitting	biť
refuge	útočisko
maharashtra	maháraštra
conventions	dohovory
conventions	dohovorov
elliott	elliott
diplomat	diplomat
unused	nevyužité
unused	nepoužité
searches	vyhľadávania
searches	hľadania
brigadier	brigádny
particle	častíc
particle	častice
thursday	štvrtok
icon	ikonu
icon	ikona
ulster	ulster
genes	gény
infinite	nekonečný
infinite	nekonečné
infinite	nekonečná
infinite	nekonečnej
infinite	nekonečne
considerably	podstatne
considerably	výrazne
considerably	značne
vale	vale
portraits	portréty
paste	pasta
paste	vložiť
randy	randy
saxony	sasko
convoy	konvoj
annie	annie
excessive	nadmerný
excessive	nadmerná
excessive	nadmerné
excessive	nadmerného
rhine	porýnie
mineral	minerálnych
mineral	minerálne
implement	vykonávať
implement	zrealizovať
implement	realizovať
implement	implementovať
surgeon	chirurg
badge	odznak
charleston	charlestonu
clause	ustanovenie
clause	doložka
infection	infekcia
infection	infekcie
electron	elektrónovým
walt	walt
cnn	cnn
likewise	obdobne
likewise	podobne
likewise	rovnako
confederation	konfederáciou
confederation	konfederácia
confederation	konfederácie
accommodate	ubytovať
casino	kasína
casino	casino
casino	kasíne
casino	kasíno
doctorate	doktorát
aux	aux
guatemala	guatemala
settings	nastavenie
settings	nastavenia
mask	masku
mask	masky
mask	maska
shelter	útulok
shelter	útulku
shelter	prístrešok
shelter	úkryt
dorothy	dorothy
ethnicity	národnosť
hopefully	dúfajme
hopefully	snáď
elimination	vylučovanie
elimination	eliminácia
elimination	odstránenie
heath	heath
pregnant	tehotná
pregnant	tehotné
richards	richards
theodore	theodore
delegates	delegátov
blair	blair
phrases	fráz
phrases	vety
phrases	frázy
crashed	havaroval
preference	prednosť
preference	uprednostňovať
preference	preferencie
janeiro	janeiro
bits	kúsky
bits	bitov
construct	vybudovať
construct	vytvoriť
tune	melódiu
tune	melódia
unofficial	neoficiálny
unofficial	neoficiálne
bulk	hromadné
bulk	hromadne
lighthouse	majáku
lighthouse	maják
stan	stan
stan	stana
highland	highland
mascot	maskot
squadrons	letiek
acceptance	akceptovanie
acceptance	prijatie
tight	silno
tight	tesné
tight	pevne
considers	považuje
hub	huba
hub	náboj
hub	hub
mess	bordel
mess	neporiadok
wilderness	divočine
routine	rutinné
routine	rutina
dozens	desiatok
dozens	tucty
dozens	desiatky
spotted	videli
spotted	zachytené
harmony	harmónii
entrepreneur	podnikateľ
wwe	wwe
wwe	mozeme
apollo	apollo
runway	dráhy
runway	dráha
naked	nahý
naked	nahá
naked	nahé
anton	anton
moses	mojžiš
legally	zákonne
legally	právne
legally	legálne
fake	falošné
fake	falošná
fake	falošný
fake	fake
biased	zaujatý
división	división
revolt	vzburu
revolt	vzbura
equity	rovnosť
providence	providence
investors	investori
investors	investorov
investors	investorom
reliability	spoľahlivosti
reliability	spoľahlivosť
tenor	tenor
fights	bitky
fights	boje
fights	bojuje
fights	zápasy
fights	hádky
pocket	vreckové
pocket	vrecko
pocket	vrecka
pocket	vrecku
sad	smutno
sad	smutné
sad	smutne
sad	smutná
sad	sad
troy	troy
treasure	poklad
ion	iónov
rendered	poskytnuté
roberto	roberto
adoption	adopciu
adoption	adopcie
adoption	prijatie
decrease	pokles
decrease	zníženie
decrease	znižovať
decrease	znížiť
reserved	rezervované
reserved	vyhradené
reserved	vyhradená
forgotten	zabudol
forgotten	zabudli
forgotten	zabudla
forgotten	zabudnuté
lok	lok
crop	plodiny
crop	plodín
licensing	licenčné
licensing	licencie
licensing	licenčný
advocacy	obhajobu
collecting	zbieranie
treasury	pokladnice
treasury	pokladnica
trumpet	trúbka
trumpet	trúba
johnston	johnston
uncertain	neistý
uncertain	neisté
uncertain	neistá
norton	norton
collector	zberateľských
collector	zberateľ
cluster	zoskupenia
cluster	zoskupenie
dear	drahá
dear	milí
dear	milá
georges	georges
roller	valec
clothes	šaty
clothes	oblečenie
enhanced	rozšírené
compensation	náhrada
compensation	odškodnenie
compensation	kompenzácia
compensation	kompenzácie
consent	súhlas
outline	obrysy
outline	obrys
outline	outline
holdings	podiely
holdings	hospodárstva
holdings	držba
jorge	jorge
darkness	tmu
darkness	temnoty
darkness	temnota
darkness	tma
darkness	tmy
darkness	temné
penalties	sankcie
penalties	pokuty
penalties	tresty
bombers	bombardéry
holes	diery
holes	otvory
holes	dierky
blow	vyhodiť
blow	odpáliť
blow	úder
cooking	varí
cooking	varenie
trainer	trénera
trainer	tréner
measuring	meranie
lawsuit	žaloba
lawsuit	žalobu
chip	čip
chip	chip
consciousness	vedomie
archaeology	archeológia
latvia	lotyšsko
latvia	lotyšskom
telugu	telugčina
blogs	blogy
protecting	ochrana
hardy	hardy
nicknamed	prezývaný
stamp	pečiatka
stamp	známka
nat	nat
fur	kožušiny
fur	kožušín
fur	kožuch
fur	srsť
redirected	presmerované
estimates	odhadov
estimates	odhady
lit	zapálil
ritual	rituály
ritual	rituál
locality	lokalita
locality	lokalitu
locality	lokalite
locality	lokality
trace	stopa
trace	stopy
marble	mramor
foundations	základy
foundations	nadácie
politically	politicky
nottingham	nottinghamu
derivative	derivát
dimension	rozmer
dimension	rozmery
dimension	dimenzia
crawford	crawford
bats	netopiere
yugoslav	juhoslovanskej
yugoslav	juhoslovanská
tanzania	tanzánia
succeed	uspieť
motto	motto
concentrated	sústredené
concentrated	sústredený
concentrated	koncentrované
dirty	špinavá
dirty	špinavé
dirty	špinavý
hayes	hayes
xbox	xbox
identifying	identifikovanie
genres	žánre
galleries	galérie
forbes	forbes
adequate	primeraný
adequate	primeraná
adequate	primerané
adequate	adekvátne
brass	mosadze
bach	bacha
bach	bach
alias	alias
alias	prezývka
inland	vnútrozemská
inland	vnútrozemské
inland	vnútrozemský
inland	vnútrozemských
counsel	advokát
wore	nosili
wore	nosil
wore	nosila
tough	tvrdý
tough	ťažké
tough	tvrdá
advertisement	inzerát
advertisement	reklama
protagonist	protagonista
demanded	požadoval
claire	claire
mistakes	chyby
mistakes	chýb
bruno	bruno
dylan	dylan
bag	vak
bag	tašku
bag	vrecko
bag	vrece
bag	taška
throwing	hádzať
churchill	churchill
tan	tan
climb	stúpanie
climb	liezť
climb	stúpania
climb	vyliezť
witnesses	svedkovia
witnesses	svedkov
thames	temži
anybody	niekto
anybody	ktokoľvek
anybody	hocikto
kazakhstan	kazachstane
kazakhstan	kazachstan
kazakhstan	kazachstanu
bots	bot
presenting	prezentovať
highlights	zdôrazňuje
highlights	najdôležitejšie
jumping	skákanie
jumping	jumping
prof	prof
slovak	slovenský
slovak	slovenské
slovak	slovenčina
slovak	slovenskej
slovak	slovenka
slovak	slovenská
skull	lebku
skull	lebky
skull	lebka
missionaries	misionári
eventual	prípadné
hoped	dúfala
hoped	dúfali
hoped	dúfal
myth	mýtus
mandatory	povinný
mandatory	povinné
mandatory	povinná
mandatory	povinne
stern	prísny
stern	stern
fees	poplatkov
fees	poplatky
fees	honorár
bet	stávka
bet	stávku
monks	mníchov
monks	mnísi
dancers	tanečníci
quantity	množstva
quantity	množstvo
quantity	množstvá
inventor	vynálezca
cairo	káhire
graves	hrobov
graves	hroby
proximity	blízkosť
seemingly	zdanlivo
sue	sue
armament	výzbroj
armament	zbrojenie
barrier	bariéra
barrier	bariéru
barrier	bariéry
barrier	prekážka
creatures	stvorenia
creatures	bytosti
creatures	tvory
logan	logan
erik	erik
leicester	leicester
silence	ticha
silence	mlčanie
silence	ticho
silence	mlčať
jessica	jessica
plateau	rovnovážnej
plateau	plošina
finite	konečných
precedent	precedens
stationed	umiestnený
walsh	walsh
zones	zón
zones	zóny
intensity	intenzita
intensity	intenzity
intensity	intenzitu
intensity	svietivosť
exterior	vonkajšie
murders	vrážd
murders	vraždy
paragraphs	odsekov
paragraphs	odseky
paragraphs	odsekoch
costume	kostým
bike	bicykel
bike	bike
neighborhoods	štvrtí
suffolk	suffolku
forwards	dopredu
forwards	vpred
remarkable	pozoruhodný
remarkable	pozoruhodné
differ	líšiť
tin	tin
tin	cínu
garcia	garcia
madagascar	madagaskaru
cameras	kamery
ammunition	munícia
ammunition	muníciu
ammunition	strelivo
ammunition	munície
fires	požiare
fires	ohne
viewing	pozeranie
viewing	prezerať
explore	preskúmať
explore	skúmať
explore	objavovať
builder	staviteľ
minneapolis	minneapolisu
bullet	strela
bullet	guľku
bullet	guľky
bullet	náboj
bullet	guľka
kerry	kerry
subway	metra
subway	metrom
subway	metre
subway	metro
arrow	šíp
arrow	šípka
arrow	arrow
economist	ekonóm
bread	chleba
bread	chlebík
bread	chlieb
lou	lou
strategies	stratégie
strategies	stratégií
rubber	kaučuku
rubber	gumy
rubber	kaučuk
rubber	guma
rubber	gumu
precise	presná
precise	presný
precise	presné
rifles	pušky
cognitive	poznávacie
cognitive	kognitívne
governorate	gubernia
nest	hniezdo
nest	hniezda
slam	slam
ancestry	predkovia
portsmouth	portsmouthu
convince	presvedčiť
boarding	nástup
bonds	dlhopisy
bonds	dlhopisov
joshua	joshua
inhabited	obývaných
inhabited	obývané
casey	casey
attract	priťahujú
attract	pritiahnuť
attract	prilákať
kilometres	kilometre
kilometres	kilometrov
pump	čerpadlo
pump	pumpa
feeding	kŕmenia
feeding	kŕmenie
prey	koristi
prey	korisť
ain	ain
mathematician	matematik
diary	denníku
diary	denník
vulnerable	zraniteľných
vulnerable	zraniteľné
vulnerable	zraniteľná
vulnerable	zraniteľný
inscription	nápis
inscription	nápisom
dubai	dubaj
dubai	dubai
dubai	dubaji
michelle	michelle
lebanese	libanonské
productive	produktívne
guided	vedená
guided	riadiť
guided	vedené
guided	riadená
guided	riadené
guided	vedený
happening	deje
researcher	výskumník
della	della
baden	baden
upgraded	modernizované
demonstration	demonštrácia
demonstration	ukážku
demonstration	preukázanie
demonstration	predvedenie
demonstration	ukážka
equality	rovnosť
philosophers	filozofi
trap	pasce
trap	uväzniť
trap	pasca
clara	clara
clara	klára
invitation	pozvánka
invitation	pozvanie
marking	označovanie
marking	označenia
marking	značenie
marking	označenie
expertise	odbornosť
admission	prijatie
sacramento	sacramento
certification	certifikácia
certification	certifikácie
certification	osvedčenie
casting	casting
submarines	ponorky
prohibited	zakázané
prohibited	zakázaná
prohibited	zakázaný
supposedly	údajne
governance	riadenie
sometime	niekedy
sometime	dakedy
frog	žaba
vague	nejasné
tackles	rieši
mhz	mhz
secular	sekulárne
tracking	sledovanie
spa	kúpele
spa	spa
publicity	publicitu
publicity	propagácia
armoured	pancierové
cleared	očistené
watts	wattov
gibraltar	gibraltár
renewed	obnovené
renewed	obnovený
renewed	obnovuje
renewed	obnovená
reflects	odzrkadľuje
reflects	odráža
fever	horúčky
fever	horúčka
melody	melódiu
melody	melódia
elaborate	vypracovať
jeffrey	jeffrey
discusses	rozoberá
discusses	diskutuje
surnames	priezviská
useless	zbytočné
useless	nepoužiteľné
useless	zbytočná
useless	zbytočný
useless	nanič
swift	swift
tuesday	utorok
silly	hlúpe
empress	cisárovná
capabilities	spôsobilosti
capabilities	schopnosti
newman	newman
scales	stupnice
scales	váh
scales	váhy
beatles	beatles
clergy	duchovenstvo
jacksonville	jacksonville
sara	sara
sara	sára
sara	saru
bee	včiel
bee	včelí
bee	bee
holders	držitelia
holders	držiteľov
holders	držiaky
baltic	baltského
baltic	baltské
czechoslovakia	československo
brandon	brandon
loaded	naložené
loaded	zaťažené
loaded	nabitá
loaded	nabité
loaded	naložený
maya	maya
evangelical	evanjelických
enterprises	podniky
imo	imo
mature	zrelé
mature	dospelé
physically	fyzicky
physically	fyzikálne
sequences	sekvencie
breast	prsníkov
breast	prsníka
breast	prsia
beast	beštia
beast	šelmy
beast	zviera
raja	raja
für	für
educator	pedagóg
bang	bang
griffin	griffin
rhodes	rhodes
preparing	príprava
preparing	pripravujeme
itv	itv
ana	ana
ana	any
ceiling	strop
rainbow	rainbow
rainbow	dúha
demon	démon
demon	démona
prussian	pruskej
equations	rovnice
answered	odpovedal
answered	zodpovedané
ist	ist
perception	vnímanie
distributor	distribútor
entities	subjekty
entities	subjektov
jackie	jackie
dynamics	dynamika
dynamics	dynamiky
dynamics	dynamiku
fiji	fidži
insufficient	nedostatočné
insufficient	nedostatočný
insufficient	nedostatočná
algebra	algebru
homer	homer
larvae	larvy
limestone	vápenec
johns	johns
chaos	chaos
chang	chang
layers	vrstiev
layers	vrstvy
crater	kráter
chad	čade
chad	chad
seized	zachytených
seized	zachytené
webster	webster
depicting	zobrazujúce
excess	nadmerné
excess	prebytok
excess	nadbytok
bombardment	bombardovanie
hurling	hádzanie
ashley	ashley
dot	dot
dot	bodka
gif	gif
translator	prekladateľ
counted	počíta
hanging	závesné
hanging	visieť
hanging	visí
soprano	soprano
governmental	vládne
governmental	vládna
workshops	workshopy
workshops	dielne
workshops	semináre
terrain	terénu
terrain	teréne
terrain	terén
belarus	bielorusko
liked	páčila
liked	páčilo
console	konzoly
console	konzola
nascar	nascar
teenage	teenage
teenage	dospievajúci
vandal	vandal
graduates	absolventov
graduates	absolventi
jungle	džungli
jungle	džungle
placement	umiestnenie
placement	umiestňovanie
placement	umiestnenia
fairy	víly
fairy	víla
tourists	turistov
tourists	turisti
reasonably	primerane
reasonably	rozumne
performs	vykonáva
performs	plní
quarterly	štvrťročné
quarterly	štvrťrok
quarterly	štvrťročne
shifted	posunul
romans	rimania
rpm	rpm
diploma	diplomu
diploma	diplom
environments	prostredia
swan	labuť
carpenter	carpenter
petition	petíciu
boris	boris
berry	berry
invention	vynález
invention	výmysel
southampton	southamptone
bend	ohnúť
app	app
app	aplikácia
app	aplikácii
app	aplikáciu
app	aplikácie
finalist	finalistka
questioned	spochybnila
questioned	spochybnil
explicit	explicitne
explicit	výslovný
explicit	výslovné
draws	kreslí
draws	čerpá
slight	mierne
slight	mierna
drag	ťahanie
drag	ťahať
drag	potiahnuť
maxwell	maxwell
quarterfinals	štvrťfinále
planes	lietadlá
everyday	každodenné
everyday	každodenný
oriental	orientálne
manufacture	výroba
coordinator	koordinátorom
coordinator	koordinátor
coordinator	koordinátora
bombs	bomby
mohammad	mohammad
bassist	basgitaristu
