kategória	category
europa	europa
jerome	jerome
pozitívny	positive
slávni	famous
rovnosť	parity
rovnosť	equality
rovnosť	equity
pomáhať	helping
pomáhať	assist
stiahnutie	downloads
stiahnutie	withdrawal
stiahnutie	download
baba	baba
louise	louise
demis	demis
potomstvo	progeny
potomstvo	brood
potomstvo	offspring
predkovia	ancestors
predkovia	ancestry
zobrazené	shown
zobrazené	displayed
zobrazené	viewed
fara	fara
širšie	wider
širšie	broader
poslucháčov	listeners
globálne	globally
globálne	global
nosili	wore
mexický	mexican
simpson	simpson
motorové	motor
uznávaný	recognized
dlouhý	dlouhý
delfín	dolphin
indiánov	indians
rozdielu	difference
dunlop	dunlop
stratené	lost
plazy	reptile
plazy	reptiles
tmavá	dark
zjavne	obviously
zjavne	apparently
stu	stu
leavenworth	leavenworth
mechanizmy	mechanisms
odporúčanie	recommendation
znázorňuje	illustrates
amf	amf
doklady	documents
poliaci	poles
odpovedal	replied
odpovedal	answered
odpovedal	responded
povaha	nature
nízko	low
kontinente	continent
púšť	desert
ideológie	ideology
ideológie	ideologies
umelých	engineered
umelých	artificial
strechu	rooftop
strechu	roof
zodpovedajú	correspond
podozrenie	suspicions
podozrenie	suspicion
podozrenie	suspect
podozrenie	suspected
uznaný	recognised
perzský	persian
kombinuje	combines
pentium	pentium
soči	sochi
melódie	melodies
natura	natura
darilo	thrived
deklarácia	declaration
kedykoľvek	whenever
kedykoľvek	anytime
rozširovanie	expansion
rozširovanie	enlargement
rozširovanie	dissemination
obliehanie	siege
pedagogické	pedagogical
prevládajú	dominate
prevládajú	prevail
prevládajú	predominate
novotný	novotný
rain	rain
teriér	terrier
mathieu	mathieu
položiek	items
položiek	headings
uniknúť	escape
jazdí	drives
jazdí	rides
minerálnych	mineral
kremíka	silicon
bourg	bourg
píla	sawmill
oslobodenia	exemptions
wallace	wallace
vegetácie	vegetation
acta	acta
lopta	ball
saudská	saudi
karosa	karosa
simone	simone
nba	nba
zastupuje	represents
distribúcia	distribution
baltského	baltic
stereo	stereo
sklonu	slope
sklonu	tilt
guyana	guyana
uloženie	save
uloženie	imposition
sap	sap
vyvíjať	evolve
vyvíjať	develop
porazení	losers
diaľnic	motorways
dôchodok	pension
sobote	sobota
tenor	tenor
zdôrazňuje	highlights
užívateľ	user
umelá	artificial
majitelia	owners
glam	glam
klarinet	clarinet
giorgio	giorgio
oddelená	separated
oddelená	detached
oddelená	decoupled
návštevníci	visitors
šľachtici	nobles
zistenie	detect
zistenie	detection
zistenie	finding
útočníka	attacker
námorný	navy
námorný	maritime
povolenia	permits
povolenia	permissions
nintendo	nintendo
augustus	augustus
nadpis	headline
nadpis	caption
nadpis	heading
pridelené	assigned
pridelené	allocated
pridelené	attributed
pridelené	allotted
holandskej	dutch
povolaní	professions
povolaní	occupations
dohľad	supervision
dohľad	surveillance
dohľad	oversight
sabres	sabres
diplomatické	diplomatic
morí	seas
porýnie	rhine
porýnie	rhineland
phm	bam
kúpiť	buy
moslimov	muslims
predĺžená	extended
predĺžená	prolonged
spaľovacích	incinerators
stolica	stool
stolica	faeces
stolica	stools
honda	honda
iata	iata
zlá	bad
zlá	wicked
dopĺňa	complements
odvolaný	dismissed
odvolaný	impeached
lieky	drugs
lieky	medicine
lieky	medicines
lieky	medication
prima	prima
mann	mann
mys	cape
vôľa	will
priateľstva	friendship
zrušiť	cancel
zrušiť	revoke
theodore	theodore
tureckých	turkish
slabá	weak
malmö	malmö
zemplín	zemplín
pobrežné	coastal
ska	ska
seattle	seattle
vynikajúce	outstanding
vynikajúce	delicious
vynikajúce	excellent
kid	kid
organizovaná	organised
organizovaná	organized
kvarteto	quartet
huba	fungus
huba	mouth
huba	hub
huba	mushroom
konrad	konrad
zahrnuté	included
kreslené	cartoon
ang	ang
vpred	forward
vpred	onward
vpred	ahead
vpred	forwards
najkrajšie	prettiest
anjelov	angels
pos	pos
vista	vista
hebr	hebr
realizované	implemented
realizované	realised
ovce	sheep
rokycany	rokycany
doplnená	supplemented
doplnená	replenished
neschopnosť	inability
neschopnosť	incompetence
neschopnosť	incapacity
ukáže	shows
mágia	magic
winston	winston
odpočinku	resting
odpočinku	rest
proteíny	protein
proteíny	proteins
stupnica	scale
trinásť	thirteen
záležitosť	matter
rampy	ramp
rampy	ramps
rozloženie	distribution
rozloženie	layout
medzery	spacing
medzery	spaces
medzery	gaps
zásahy	interventions
dialekt	dialect
prázdny	empty
prázdny	blank
carmen	carmen
bráni	defends
bráni	prevents
bráni	impedes
evolúcie	evolution
fosílie	fossils
silnejšie	harder
silnejšie	stronger
silnejšie	tighter
fly	fly
nahrádza	replaces
nahrádza	supersedes
predpokladom	prerequisite
ellis	ellis
alternatíva	alternative
lomu	quarry
arménsko	armenia
motto	motto
schodisko	stairway
schodisko	stairs
schodisko	stairwell
schodisko	staircase
postupovať	proceed
večera	dinner
večera	supper
poznamenal	noted
poznamenal	remarked
energy	energy
cíti	feels
prehliadka	tour
niesli	carried
rozsiahlych	extensive
cash	cash
väzeň	prisoner
väzeň	inmate
umb	umb
obchodníkov	traders
podriadené	subordinate
podriadené	subordinated
pracovisko	workstation
pracovisko	workplace
spider	spider
vývojové	developmental
rebríček	leaderboard
križiaci	crusaders
predchodcov	predecessors
prorok	prophet
irc	irc
krasové	karstic
domenico	domenico
kongregácie	congregation
lokalitu	locality
zámerne	purposefully
zámerne	deliberately
zámerne	purposely
zámerne	intentionally
poháňaný	driven
periodické	periodic
periodické	periodical
návšteva	visit
návšteva	visiting
spolupracovník	collaborator
lúče	beams
lúče	rays
páči	liking
náplň	cartridge
kópie	copies
unicode	unicode
sudcov	judges
srbov	serbs
velvet	velvet
hrozí	threatens
teritórium	territory
súdy	courts
jesus	jesus
paradoxne	paradoxically
paradoxne	paradoxical
mzdy	wages
mzdy	salaries
koncentrácie	concentrations
koncentrácie	concentration
učitelia	teachers
juventus	juventus
horúčka	fever
dovoľuje	allows
štíty	shields
štíty	shield
odhadov	estimates
battista	battista
ssp	ssp
tridsať	thirty
vily	villas
útokmi	attacks
roddick	roddick
hrobov	graves
výstavu	exhibit
výstavu	exhibition
helen	helen
podobnej	similar
dorazil	arrived
cska	cska
galaxy	galaxy
písme	braille
násilie	violence
zaznamenaná	recorded
zaznamenaná	noted
andromeda	andromeda
noel	noel
jazdci	horsemen
jazdci	riders
autonómna	autonomous
osobitné	specific
osobitné	special
vlnu	wool
vlnu	wave
padla	fell
vnútro	interior
vnútro	insides
vnútro	inner
neue	neue
predávať	sell
predávať	selling
automatická	auto
automatická	automatic
najmenšia	smallest
zamestnanci	personnel
zamestnanci	employees
zamestnanci	staff
vzostup	ascension
vzostup	rise
balada	ballad
prežitie	survival
prežitie	surviving
rýchla	quick
rýchla	fast
vhodne	appropriately
vhodne	adequately
vhodne	suitably
bukové	beech
ukážky	screenshots
ukážky	demonstrations
ukážky	previews
slovné	verbal
čarodejnice	witch
čarodejnice	witches
england	england
načo	why
radwańská	radwańska
rovnomerne	evenly
aaron	aaron
nosil	wore
priľahlých	adjacent
vziať	marry
vziať	take
jpeg	jpeg
múdrosti	wisdom
tlačiareň	printer
crimson	crimson
komunikačné	communications
vložiť	insert
vložiť	embed
vložiť	paste
vinohrady	vineyards
izraelské	israeli
kožu	skin
piktogram	pictogram
zreteľne	distinctly
zahraničný	foreign
fungovala	functioned
eurohockey	eurohockey
citlivosť	tenderness
citlivosť	sensitivity
citlivosť	sensitive
citlivosť	susceptibility
satelity	satellites
chrobákov	bugs
povstalci	insurgents
povstalci	rebels
mierové	peaceful
nisou	nisou
krásny	beautiful
krásny	lovely
krásny	handsome
hrádze	dykes
videá	videos
nákup	purchase
nákup	purchases
nákup	buying
zasiahli	intervened
zasiahli	hit
byron	byron
újezd	újezd
jednotného	single
tekutiny	liquids
tekutiny	fluids
philosophie	philosophie
protokoly	protocols
baní	mines
silvia	silvia
uzlov	knots
uzlov	nodes
uvoľnenie	release
odraz	reflection
okraje	margins
okraje	borders
botanika	botany
santoro	santoro
mojžiš	moses
závislý	addicted
závislý	addict
terasy	terraces
malcolm	malcolm
pallas	pallas
komplexný	comprehensive
komplexný	complex
antonia	antonia
antonia	antonio
libra	pound
pravdivé	truthful
pravdivé	true
benny	benny
rodičom	parents
plachty	sails
plachty	sheets
johansson	johansson
astrofyzik	astrophysicist
kombináciu	combination
telá	bodies
programoch	programmes
poklesu	declines
poklesu	downturn
panel	panel
kyjeve	kyiv
kyjeve	kiev
sio	sio
psychiater	psychiatrist
libanon	lebanon
spravodajstvo	newsroom
spravodajstvo	news
spravodajstvo	intelligence
komisár	commissioner
komisár	commissar
okresoch	counties
kostýmy	costumes
zavedení	introducing
saudskej	saudi
ropa	oil
ropa	petroleum
avia	avia
násilne	forcibly
násilne	violently
násilne	violent
ilustrácie	illustrations
ikony	icons
občana	citizen
mas	mas
mas	lag
mas	lags
nachi	nachi
step	step
parker	parker
koreň	root
ronnie	ronnie
gábor	gábor
kučera	kučera
dosiahnutí	reaching
velké	velké
prekonala	overcame
iris	iris
praga	praga
alias	alias
alias	aka
hélium	helium
kvetov	flowers
palestíne	palestine
čakal	waited
zrak	eyesight
zrak	sight
dokázalo	proved
uši	ears
zaistiť	ensure
zaistiť	secure
pláž	beach
širokého	broad
širokého	wide
marina	marina
camp	camp
trestný	penal
katsuura	katsuura
variácie	variations
variácie	variation
bombardéry	bombers
montáž	assembly
montáž	fitting
montáž	installation
montáž	mounting
používateľa	user
dohodnúť	agree
ostré	sharp
tvárou	face
brest	brest
tuku	fat
výstupe	outlet
škvrny	stains
škvrny	spots
portugalská	portuguese
božstvo	deity
božstvo	divinity
chorváti	croats
uväznený	imprisoned
uväznený	trapped
poskytovanie	providing
poskytovanie	provision
chápanie	comprehension
chápanie	understanding
oddelený	separated
oddelený	detached
oddelený	separate
nacional	nacional
logická	logical
podsvetia	underworld
podať	administer
podať	lodge
identifikovať	identify
púšti	desert
shimizu	shimizu
haiti	haiti
sus	sus
akútna	acute
florbal	floorball
náhodné	random
susan	susan
vykonaná	executed
vykonaná	performed
oblaky	clouds
útočisko	sanctuary
útočisko	refuge
organizovaný	organised
organizovaný	organized
obsahovali	contained
zdvih	stroke
zdvih	uplift
otvory	openings
otvory	holes
chicaga	chicago
tvoriace	forming
nákupné	shopping
nevýhody	disadvantages
čeľuste	jaws
čeľuste	clamps
čeľuste	jaw
dočasná	temporary
vlhkosť	moisture
vlhkosť	humidity
zažil	experienced
sokrates	socrates
torre	torre
vzdelávacie	educational
subjektov	entities
spolupracovníkov	collaborators
spolupracovníkov	coworkers
prechádzať	browse
kombi	combi
uvoľňuje	releases
dlhodobý	longterm
rúd	ores
lille	lille
indické	indian
diskusií	discussions
činov	offences
tretina	third
tanečník	dancer
spiš	spiš
betónu	concrete
cicero	cicero
trás	routes
streche	rooftop
streche	roof
dunajskej	danube
zrazu	suddenly
záležitostí	matters
kriedové	chalky
mäkké	soft
občiansky	civil
občiansky	civic
božena	božena
podanie	administration
podanie	filing
podanie	submission
samsung	samsung
angela	angela
presná	precise
presná	accurate
presná	exact
emily	emily
rasa	race
uzavrieť	close
uzavrieť	conclude
izba	room
obrad	ceremony
obrad	rite
skončí	ends
uvažuje	contemplating
dobrodružstvá	adventures
husák	husák
pak	pak
mário	mario
jaguar	jaguar
rover	rover
věra	věra
level	level
potenciálne	potential
potenciálne	potentially
ochotný	willing
reagoval	reacted
reagoval	responded
japonci	japanese
brett	brett
výpoveď	denunciation
výpoveď	testimony
výpoveď	resignation
wrc	wrc
poručík	lieutenant
mikael	mikael
alkohol	alcohol
vozy	wagons
trolejbusy	trolleybuses
ihf	ihf
kosmo	kosmo
vega	vega
infekcia	infection
hodina	hour
shannon	shannon
opiera	relies
mnísi	monks
kapitál	capital
con	con
ticho	quiet
ticho	silence
horolezci	mountaineers
banke	flask
allegro	allegro
tomas	tomas
súpis	inventory
producenta	producer
tenké	thin
zastavená	halted
zastavená	stopped
navštíviť	visit
navštíviť	visiting
monica	monica
meyer	meyer
mérite	mérite
najnižšie	lowest
spustenie	launching
spustenie	launch
léon	léon
luke	luke
absolventov	alumni
absolventov	graduates
madonna	madonna
bojuje	fights
údržbu	maintenance
valois	valois
oblak	cloud
ricardo	ricardo
champmd	champmd
neanderthalensis	neanderthalensis
policajný	police
wells	wells
riadená	guided
baktérií	bacteria
peklo	hell
peklo	heil
arábia	arabia
ham	ham
rastlinné	vegetable
rastlinné	herbal
rastlinné	vegetal
stabilné	steady
stabilné	stable
rainbow	rainbow
esej	essay
nieco	something
geograficky	geographically
priestorové	spatial
arcivojvoda	archduke
regent	regent
škorpión	scorpio
škorpión	scorpion
vozne	wagons
reklama	ad
reklama	advertising
reklama	advertisement
reklama	advertise
udržuje	maintains
udržuje	keeps
vysvetlil	explained
kancelár	chancellor
kancelár	chamberlain
logik	logik
exif	exif
melzer	melzer
björn	björn
jedlá	foods
jedlá	meals
jedlá	dishes
romeo	romeo
kamčatka	kamchatka
etiópii	ethiopia
today	today
newcastle	newcastle
spravil	did
podobnosť	similarities
podobnosť	resemblance
podobnosť	similarity
sigma	sigma
humor	humor
humor	humour
six	six
hormóny	hormones
aka	aka
ucha	ear
kontinent	mainland
kontinent	continent
adela	adela
prázdna	void
prázdna	empty
prázdna	blank
sébastien	sébastien
slobodne	freely
soňa	sonia
soňa	sonja
hugh	hugh
ara	ara
ara	macaw
iphone	iphone
rochus	rochus
konsenzus	consensus
vyšetrovania	enquiries
vyšetrovania	inquiries
vyšetrovania	investigations
okraja	edge
bauer	bauer
skúška	testing
skúška	test
šiel	went
józsef	józsef
prsteň	ring
zabitých	slaughtered
krokov	steps
izolácie	insulation
izolácie	isolation
izolácie	insulating
brent	brent
portály	portals
ovocia	fruit
ovocia	fruits
hladký	smooth
vernosť	fidelity
vernosť	faithfulness
vernosť	loyalty
skúšku	rehearsal
skúšku	exam
trvali	lasted
výdavky	spending
výdavky	expenditures
výdavky	expenditure
výdavky	expenses
etiky	ethics
pozrite	look
vzbura	riot
vzbura	revolt
vzbura	rebellion
vzbura	mutiny
tovarov	goods
tři	tři
suchoj	sukhoi
byty	flats
byty	dwellings
byty	apartments
holland	holland
silva	silva
úder	blow
úder	jab
úder	hit
úder	punch
neúspešné	failed
neúspešné	unsuccessful
náprava	correction
náprava	rectification
náprava	remedy
náprava	redress
náprava	axle
bánk	banks
zbytočne	needlessly
zbytočne	unnecessarily
lístky	tickets
pochovaná	buried
stanovenie	determination
pevniny	mainland
liek	medicine
liek	cure
liek	drug
upozornenie	notification
upozornenie	alert
upozornenie	warning
sebastián	sebastián
francesca	francesca
postúpila	forwarded
presahuje	exceeds
presahuje	transcends
lyžovanie	ski
lyžovanie	skiing
obľúbená	favourite
obľúbená	favorite
záväzok	liability
záväzok	obligation
záväzok	commitment
zakázaný	forbidden
zakázaný	prohibited
zakázaný	banned
bazilej	basle
bazilej	basel
vojvodkyňa	duchess
bruck	bruck
gerard	gerard
stavovcov	vertebrate
chuck	chuck
mason	mason
utrpenie	suffering
utrpenie	misery
stein	stein
znalosť	knowledge
marius	marius
marcelo	marcelo
spätne	backward
príslušný	competent
sprevádza	accompanies
masaker	massacre
masaker	slaughter
masaker	carnage
volí	elect
volí	elects
ľavá	left
zážitok	experience
diskutovať	discussion
diskutovať	discuss
diskutovať	debate
pedagogiky	pedagogy
serena	serena
vyšehrad	vyšehrad
moria	seas
pia	pia
sokolov	falcons
sokolov	sokolov
menová	monetary
racionálne	rationally
racionálne	rational
python	python
poslanie	task
poslanie	missions
poslanie	mission
slovníka	dictionary
úzky	narrow
odsúdili	condemned
združení	associations
bombardovanie	bombings
bombardovanie	bombardment
bombardovanie	bombing
štrnásť	fourteen
pätnásť	fifteen
rosse	rosse
revolúciu	revolution
estádio	estádio
protivník	adversary
protivník	opponent
hliník	aluminium
hliník	aluminum
glasgow	glasgow
delle	delle
vraví	says
striedajú	alternating
degli	degli
udržiavať	maintain
juno	juno
prekonáva	outperforms
zachováva	retains
zachováva	maintains
mozilla	mozilla
quo	quo
aspekt	aspect
inšpiráciu	inspired
inšpiráciu	inspiration
policajt	cop
policajt	policeman
bielo	white
zatiaľčo	whereas
geomorfológia	geomorphology
formácia	formation
francúz	frenchman
francúz	french
leonid	leonid
hantuchová	hantuchová
brehy	shores
prisťahovalcov	immigrants
prisťahovalcov	immigrant
údržba	maintenance
stretne	meets
hlboká	deep
fotografiu	photograph
rohy	corners
rohy	horns
delaware	delaware
podmienka	condition
plnú	full
arménska	armenian
arménska	armenia
romana	romana
romana	roman
šošovky	lens
šošovky	lenses
lekársky	medically
lekársky	medical
poplatky	charges
poplatky	fees
integrovaný	integrated
spievala	sang
satelitná	satellite
mara	mara
funkčný	functional
bočný	lateral
bočný	side
impulz	pulse
impulz	impulse
too	too
sledoval	followed
sledoval	watched
stĺpec	column
štvorcových	square
piva	beer
primárny	primary
nadobúda	acquires
experimentálny	experimental
chorý	ill
chorý	sick
emócie	emotion
emócie	emotions
predchádzajúca	previous
krása	beauty
smútok	sorrows
smútok	sadness
smútok	sorrow
smútok	mourning
dušu	soul
tepelný	thermal
zmiešaný	mixed
zmiešaný	blended
štatistický	statistical
zaviesť	introduce
komentáre	comments
narazil	bumped
narazil	encountered
dosahovať	achieve
conte	conte
vlastník	owner
nina	nina
diktátor	dictator
estetika	aesthetics
masívne	massive
masívne	massively
vynašiel	invented
police	shelving
police	shelves
ničenie	destruction
irena	irena
takze	so
predať	sell
obr	fig
museo	museo
písala	wrote
obvinenia	charges
obvinenia	accusation
obvinenia	allegations
obvinenia	accusations
prispela	contributed
prispela	donated
sny	dreams
obsiahnuté	contained
duševné	mental
duševné	intellectual
romantizmus	romanticism
dem	dem
komunikovať	communicate
bráne	gate
tung	tung
robertson	robertson
shaw	shaw
lhota	lhota
srbská	serbian
fico	fico
reklamy	commercials
reklamy	advertising
reklamy	ads
priekopa	trench
tmavý	dark
kvalifikovať	qualify
kovových	metallic
delostrelectvo	artillery
búrky	storms
búrky	thunderstorms
tragédie	tragedies
tragédie	tragedy
yale	yale
sputnik	sputnik
ohrozenie	threats
ohrozenie	hazard
ohrozenie	threat
wesley	wesley
hájek	hájek
plachta	tarp
bernhard	bernhard
archeológovia	archaeologists
knm	knm
pripravovať	prepping
oceľové	steel
allmusic	allmusic
nas	nas
nas	us
vymedzenie	definition
vymedzenie	demarcation
vymedzenie	define
akčné	action
normálny	normal
depresie	depression
kilometer	kilometre
kilometer	kilometer
rybolov	fisheries
rybolov	fishery
rybolov	fishing
ľadové	icy
ľadové	ice
záložník	reservist
zabije	kills
zabije	slays
fyziológia	physiology
hart	hart
pripravená	ready
pripravená	prepared
aktívneho	active
dynamo	dynamo
nanovo	redefine
nanovo	anew
múry	walls
přemysl	přemysl
opakované	repeated
opakované	recurrent
opakované	repetitive
rozsudok	judgement
rozsudok	verdict
rozsudok	judgment
rozsudok	sentence
dopytu	demand
nan	nan
tajná	secret
christine	christine
teologickej	theological
vnímať	perceive
vnímať	viewed
myspace	myspace
mucha	fly
energetické	energetic
ideálny	ideal
riaditeľka	director
riaditeľka	headmistress
riaditeľka	principal
ikona	icon
yes	yes
giacomo	giacomo
hranie	gaming
hranie	playing
hranie	acting
riadený	controlled
poplatok	charge
poplatok	fee
navrhuje	suggests
navrhuje	proposes
ronaldo	ronaldo
otroctva	slavery
otroctva	bondage
líder	leader
novinky	news
ťažisko	cg
dočasný	temporary
phoebe	phoebe
porta	porta
libor	libor
bulharské	bulgarian
erebia	erebia
emisií	emissions
trade	trade
učenec	scholar
roboty	robots
nápravu	remedy
nápravu	axle
ovplyvniť	affect
ovplyvniť	influence
rozkladu	decomposition
rozkladu	decay
univerzitné	university
owen	owen
príkladov	examples
rumunské	romanian
zbavený	deprived
doug	doug
rakoviny	cancers
player	player
beží	runs
beží	running
hniezda	nest
hniezda	nests
denníku	diary
dôkladne	carefully
dôkladne	thoroughly
dámy	ladies
ploché	flat
palazzo	palazzo
shakespeare	shakespeare
doklad	document
prosim	please
aktualizácia	update
aktualizácia	updating
galaxii	galaxy
švajčiarske	swiss
sor	sor
angels	angels
neúspešný	unsuccessful
hláv	heads
fínskom	finnish
zobák	beak
pravidelný	regular
vajec	eggs
kontaktov	contacts
výnimočné	extraordinary
výnimočné	exceptional
stanovuje	stipulates
stanovuje	establishes
stanovuje	sets
xxiii	xxiii
franc	franc
nútené	forced
queens	queens
tropické	tropical
trinidad	trinidad
našťastie	fortunately
našťastie	luckily
našťastie	thankfully
klára	clara
romantický	romantic
lovu	hunt
lovu	hunting
ohraničené	bounded
komunizmus	communism
vozeň	wagon
artemis	artemis
pracovníčka	worker
vybrala	chose
vybrala	picked
diváci	spectators
diváci	audience
diváci	viewers
publikovať	publish
vedecky	scientifically
interpretácia	interpretation
elektricky	electrically
zoológ	zoologist
subaru	subaru
psie	dog
psie	canine
taktika	tactics
taktika	tactic
špecifikácia	specifications
špecifikácia	specification
záchranná	rescue
prístavy	ports
klip	slideshow
klip	clip
rapid	rapid
klesol	declined
timothy	timothy
rez	cut
rez	incision
cornelius	cornelius
plain	plain
holub	pigeon
ota	ota
roosevelt	roosevelt
sľúbil	promised
paraguaj	paraguay
svedkom	witnessing
svedkom	witnessed
zapojenie	engaging
zapojenie	engagement
zapojenie	involvement
rachel	rachel
snov	dreams
cítiť	feel
dorazili	arrived
helmut	helmut
odhady	estimates
zapísať	enroll
tkanív	tissues
poslaním	mission
umiera	dying
dolár	dollar
sotva	scarcely
sotva	barely
sotva	hardly
starostom	mayor
sály	halls
svedectvo	testimony
ljubičić	ljubičić
nantes	nantes
gérard	gérard
bojovníci	warriors
bojovníci	fighters
pravec	pravec
rotterdam	rotterdam
komentátor	commentator
nik	nik
ľadovec	glacier
ľadovec	iceberg
doslovne	literally
doslovne	verbatim
opel	opel
návštevu	visit
davydenko	davydenko
pochované	buried
chlieb	bread
veria	believe
mláďat	pups
hughes	hughes
zoradené	ranked
oregon	oregon
vojtěch	vojtěch
stopa	trace
stopa	clue
stopa	trail
stopa	footprint
kaukazu	caucasus
kryštálov	boules
rukami	hands
fivb	fivb
lekárske	medical
liturgia	liturgy
tóny	tones
rally	rally
zdobené	decorated
zakladajúcich	founding
interakcia	interaction
interakcia	engagement
vírusu	virus
hilaire	hilaire
em}}	em}}
nepriateľské	hostile
sondu	probe
nórske	norwegian
bežec	runner
bežec	jogger
sekvencie	sequences
karen	karen
dokončiť	finish
dokončiť	complete
jake	jake
plošine	rig
obrábanie	machining
obrábanie	tillage
prispôsobiť	customize
prispôsobiť	customise
prispôsobiť	adjust
prispôsobiť	adapt
prispôsobiť	fit
špecializuje	specializes
špecializuje	specialises
dýchanie	breathe
dýchanie	respiratory
dýchanie	breathing
dýchanie	respiration
sedadlá	seats
judith	judith
blanc	blanc
milosť	mercy
milosť	grace
preniknúť	penetrate
stiahli	downloaded
receptory	receptors
lux	lux
laboratória	labs
laboratória	laboratory
baku	baku
prenesené	transmitted
prenesené	transferred
jemné	gentle
jemné	subtle
jemné	soft
jemné	delicate
externe	externally
externe	outsourced
identita	identity
kúpila	bought
hendrix	hendrix
demokraciu	democracy
cola	coke
cola	cola
magna	magna
afganistan	afghanistan
afganistan	afghan
grófka	countess
grófka	comtesse
nutnosť	necessity
mliečna	lactic
mliečna	milky
kazachstanu	kazakhstan
podnety	stimuli
podnety	incentives
helsinkách	helsinki
peking	beijing
gmbh	gmbh
pruh	hernia
pruh	lane
sandra	sandra
palais	palais
spievať	sing
cítil	felt
klan	clan
klan	klan
aves	aves
chodníky	pavements
chodníky	walkways
chodníky	sidewalks
olympique	olympique
raja	raja
raja	paradise
krym	crimea
najnižšia	lowest
kódovanie	encryption
kódovanie	coding
kódovanie	codification
kódovanie	encoding
noha	foot
noha	leg
čiastočné	partial
týkajú	relate
šíp	arrow
odvolanie	appeals
odvolanie	appeal
prerušenie	interrupt
prerušenie	interruption
prerušenie	disruption
prerušenie	suspension
subjektívne	subjective
odsúdení	condemned
element	element
ddr	ddr
grigorij	grigory
právnická	juridical
keňa	kenya
brandon	brandon
rozprávač	narrator
rozprávač	storyteller
sergio	sergio
market	market
krst	baptism
blanche	blanche
neznáma	unknown
fender	fender
páni	gentlemen
páni	lords
stanisław	stanisław
aktivisti	activists
senátor	senator
chate	cabin
akademického	academic
svetelný	luminous
bajtov	bytes
tempel	tempel
vzory	designs
vzory	models
vzory	patterns
kabína	cab
kabína	booth
kabína	cabin
kaviareň	cafe
kaviareň	café
echo	echo
puerto	puerto
čermák	čermák
potomok	offspring
potomok	descendant
tato	dada
magnetický	magnetic
umožniť	enable
umožniť	allow
nahrať	record
nahrať	upload
pozemok	property
pozemok	plot
pozemok	land
filippo	filippo
sevilla	sevilla
parlamentné	parliamentary
invázia	invasion
situácií	situations
hôtel	hôtel
mechanicky	mechanically
bytu	apartment
jeffrey	jeffrey
neskorý	late
dekrét	edict
dekrét	decree
potvrdená	confirmed
prírodu	nature
verili	believed
kolesa	wheel
väzenie	jail
väzenie	prison
zakázal	forbade
zoznamov	lists
nespokojnosť	unsatisfied
nespokojnosť	discontent
nespokojnosť	dissatisfied
nespokojnosť	dissatisfaction
skrine	cabinets
skrine	cupboard
skrine	closet
skrine	wardrobe
skrine	cupboards
watson	watson
účinné	effective
víta	welcomed
víta	welcoming
víta	welcomes
normalizácie	normalisation
normalizácie	standardisation
menšín	minorities
namaľoval	painted
smetana	smetana
vyhovujúci	satisfactory
vyhovujúci	compliant
falcon	falcon
rhode	rhode
prezidentské	presidential
kýl	keel
zisťuje	detects
zisťuje	detecting
trestných	criminal
úradníci	clerks
úradníci	officials
úradníci	officers
známka	stamp
najbližšia	nearest
najbližšia	closest
vynález	invention
zajali	captured
percento	percentage
percento	percent
šiestej	sixth
jas	luminance
jas	lightness
jas	jas
jas	brightness
pozorovateľa	observer
rezignoval	resigned
cliff	cliff
universität	universität
gerald	gerald
moldavsko	moldova
bavorský	bavarian
izolácia	insulation
izolácia	isolation
uvažovať	contemplate
uvažovať	consider
anglo	anglo
bránili	defended
balet	ballet
div	div
cvičenia	exercises
unikátne	unique
realita	reality
nórskom	norwegian
dav	mob
dav	crowd
dynamický	dynamic
sikyónu	sicyon
motors	motors
valle	valle
guľová	globular
obklopený	surrounded
fázach	stages
tunely	tunnels
anatolij	anatoly
porážka	slaughter
porážka	defeat
nápoje	beverages
nápoje	drinks
tbilisi	tbilisi
oblakov	clouds
jodid	iodide
filan	filan
územný	territorial
úniku	leakage
fan	fan
prerušená	aborted
prerušená	interrupted
volanie	calling
miklós	miklós
randy	randy
detektor	detector
právomoc	authority
právomoc	jurisdiction
právomoc	competence
solaris	solaris
francisca	francisco
inflácia	inflation
inscenácia	staging
myseľ	mind
nádory	tumours
nádory	tumors
nádory	neoplasms
túžby	desire
túžby	longing
túžby	desires
fóra	forums
fóra	forum
vzoriek	samples
hansen	hansen
almagro	almagro
pitnej	potable
súperov	opponents
praktický	practical
marguerite	marguerite
myši	mice
myši	mouse
ameriku	america
priniesť	bring
baltimore	baltimore
nahrávať	upload
erika	erica
erika	erika
trvale	consistently
trvale	permanently
dale	dale
viazaný	bound
viazaný	tied
prehliadky	examinations
videnie	vision
osláv	celebrations
osláv	celebration
hron	hron
uložiť	save
výzvu	challenge
españa	españa
zodpovedná	responsible
jarmila	jarmila
posilnenie	strengthening
posilnenie	strengthen
posilnenie	reinforcement
kompetencie	competency
kompetencie	competencies
kompetencie	competences
kompetencie	competence
faktov	facts
ubuntu	ubuntu
žalúdka	gastric
žalúdka	stomach
mpc	mpc
morris	morris
propagáciu	promotion
korytnačka	turtle
korytnačka	tortoise
ulvaeus	ulvaeus
qui	qui
kratší	shorter
bezpečne	safe
bezpečne	safely
bezpečne	securely
odysea	odyssey
attila	attila
basa	bass
basa	jailhouse
slatina	slatina
jama	pit
krúžok	ring
krúžok	circle
