зникли	gone
урану	uranium
дума	duma
перевагою	advantage
судова	forensic
почалась	begun
зібрано	built
зібрано	compiled
зібрано	gathered
зібрано	grouped
зібрано	collected
переконати	convince
розлучення	divorce
хутори	homesteads
виключення	exclude
виключення	exception
пен	peng
пен	pins
пен	pin
сервера	cervera
сервера	server
люфтваффе	luftwaffe
штучно	artificially
штучно	fictional
фотограф	photographer
корсунь	korsun
стрічку	ticker
стрічку	tape
ставків	caches
попит	demand
крайній	porno
винахід	invention
змінилася	changed
записати	write
записати	record
записати	burn
куби	cuba
уникати	avoid
звільнено	fired
звільнено	freed
албанія	albania
туристичний	tourist
підручники	tutorials
вироблення	isto
дедалі	colder
пола	pola
дружба	friendships
дружба	friendship
чорногорія	montenegro
венера	venus
айрес	aires
зменшує	reduces
зменшує	decreases
могилу	grave
ніжин	nizhyn
підключення	connecting
комбінації	combinations
комбінації	melds
поліцейський	cop
поліцейський	policeman
шукає	seeks
теоретик	theoretician
дам	dame
поверхонь	surfaces
конкретно	specifically
лазаренко	lazarenko
воювали	fought
курорт	resort
позитивний	positive
туніс	tunisia
туніс	tunis
чай	tea
кримінальні	criminal
вірус	virus
зосереджені	concentrating
висловлювання	output
розрив	break
розрив	gap
куля	sphere
куля	bullet
легенд	legends
органічні	organic
капели	frescoes
підприємців	entrepreneurs
ресторан	restaurant
цілу	whole
підняття	raising
згоду	approval
згоду	consent
зростанням	ascending
коричневий	brown
каф	caf
ірані	irani
археологічний	archaeological
коробки	boxes
лави	lava
шкода	pity
шкода	sorry
шкода	regret
шкода	bummer
делла	della
фарби	paint
сформовано	formed
собака	dog
повернули	turning
шолом	helmet
пропаганда	propaganda
таджикистану	tajikistan
тривалістю	expectancy
записані	written
шевчук	shevchuk
впливати	affect
впливати	influence
швейцарський	swiss
сильних	empowered
підприємстві	facility
лікуванні	treat
ліцензію	licence
ліцензію	license
курт	kurt
курт	curt
сумнів	doubt
змішані	mixed
підтверджено	confirmed
підтверджено	approved
індивідуальні	individual
кримські	crimean
заарештовано	arrested
альтернативний	alternative
альтернативний	alternate
континенту	continent
ванкувер	vancouver
небесної	heavenly
зла	evil
траса	trace
встановлює	sets
глядача	spectators
геологічні	geologic
чекає	awaits
чекає	waits
заслуговує	deserves
холодна	cold
фільтр	filter
сильна	strong
мера	mayoral
мера	mayor
важливості	importance
репертуар	repertoire
ваз	vaz
ваз	vases
ярмарок	fair
ліцензія	licence
ліцензія	license
геть	away
пісок	sand
пера	pera
пера	feather
гірше	worse
ворог	enemy
невдало	failed
невдало	fails
девіз	motto
лицарі	knights
тривалості	neglect
часті	frequent
спокійно	relaxed
завершити	finish
завершити	end
завершити	complete
підняти	elevate
підняти	lift
підняти	raise
відсутнє	none
розквіт	blooms
змінні	variables
