이시하라	ishihara
비례	proportional
비례	proportionality
비례	proportion
런타임	runtime
반박	rebuttal
반박	refute
베스트셀러	bestseller
베스트셀러	bestselling
베스트셀러	bestsellers
모니터링	monitored
모니터링	monitoring
모니터링	monitor
오크	orc
엣지	edge
하모니카	harmonica
파이썬	python
쓸데없는	useless
난이도	difficulty
오구라	ogura
브룩스	brooke
브룩스	brooks
협동	teamwork
나뭇잎	leaves
나뭇잎	leaf
현관	entryway
현관	porch
미니애폴리스	minneapolis
스바루	subaru
사담	saddam
팟캐스트	podcast
팟캐스트	podcasts
파라	farah
아이디어	ideas
아이디어	idea
관습	customs
관습	customary
캐롤라이나	carolina
인터랙티브	interactive
부상당한	wounded
페널티	penalty
합금	alloy
합금	alloys
케이시	casey
기꺼이	gladly
퍼거슨	ferguson
수사관	investigators
우회	detour
우회	bypass
드레이크	drake
경부	gyeongbu
애니멀	animal
죄수	prisoners
기증	donation
훔볼트	humboldt
맬컴	malcolm
푸틴	putin
패킷	packets
패킷	packet
아카기	akagi
다카기	takagi
공학자	engineer
프리덤	freedom
서킷	circuit
요시키	yoshiki
유야	yuya
동지	solstice
동지	comrade
동지	comrades
메이슨	mason
결정하기	decide
침묵	silences
침묵	silent
침묵	silence
중성	neutral
헌트	hunt
괴산	abducted
부등식	inequality
벵골	bengali
벵골	bengal
여자들	women
융합	fusion
융합	fused
비틀즈	beatles
니코	niko
니코	nico
장화	boots
스나이퍼	sniper
버팔로	buffalo
커리어	career
커리어	careers
공구	tool
공구	tooling
일자리	jobs
프로스트	frost
셰인	shane
크릭	crick
둥지	nest
둥지	nests
아바타	avatar
일시적	temporarily
일시적	temporary
맥도널드	mcdonald
맥도널드	macdonald
마늘	garlic
절벽	cliffs
절벽	cliff
유머	humor
유머	humour
박쥐	bat
박쥐	bats
올림푸스	olympus
빙하	glaciers
푸앵카레	poincaré
듀엣	duet
스타킹	stockings
스타킹	stocking
발광	luminous
발광	luminescence
콤플렉스	complex
빈곤	poverty
럭셔리	luxury
어쨌거나	anyway
보츠와나	botswana
무늬	patterned
물결	ripples
물결	wave
스트레이트	straight
이탈리아인	italians
이탈리아인	italian
생태계	ecosystem
생태계	ecosystems
듀티	duty
홀리	holly
로체스터	rochester
무작위	randomness
무작위	random
발렌타인	valentines
발렌타인	valentine
처칠	churchill
랜스	lance
보손	bosons
엑셀	excel
서스펜션	suspension
투자가	investor
스킨	skin
니노미야	ninomiya
지배자	dominant
퇴장	ejection
헬레나	helena
이사벨라	isabella
각도	angle
도망자	fugitive
파이트	fights
토네이도	tornado
습지	marsh
습지	wetlands
습지	wetland
열쇠	keys
봄바디어	bombardier
아들들	sons
구두	shoe
시리얼	serial
시리얼	cereals
시리얼	cereal
예언	prophecies
예언	prophets
예언	prophecy
점화	ignition
프레스	press
마스터스	masters
마스터스	master
토양	soil
레이첼	rachel
레이첼	rachael
아론	aaron
아론	aron
신념	faith
신념	beliefs
신념	belief
얼티밋	ultimate
변조	modulation
변조	keying
플라즈마	plasma
복음	gospel
복음	guidance
우표	stamp
우표	postage
우표	stamps
조앤	joan
일본항공	jal
히사시	hisashi
이온화	ionization
오리온자리	orion
소수점	decimal
소수점	decimals
타악기	percussion
썬더	thunder
마샬	marshall
라이징	rising
셰이크	sheikh
셰이크	sheik
아이카와	aikawa
창문	window
댄싱	dancing
저수지	reservoirs
저수지	reservoir
슈가	sugar
관리하기	manage
불쾌한	unpleasant
버뮤다	bermudian
버뮤다	bermuda
정보상자	infobox
정보상자	infoboxes
피사	pisa
체스터	chester
리오넬	lionel
판도라	pandora
인터럽트	interrupt
인터럽트	interruption
인터럽트	interrupts
매스	mass
매스	massing
인디애나폴리스	indianapolis
주님	lord
마돈나	madonna
반영	reflect
반영	reflection
미화	usd
인플루엔자	influenza
인플루엔자	flu
자바스크립트	javascript
마르티네스	martinez
전시관	exhibition
콜롬보	colombo
공습	airstrike
암살자	assassins
암살자	assassin
알랭	alain
코스모스	cosmos
더럼	durham
세타	theta
세타	seta
시아파	shia
요시노리	yoshinori
궁궐	palace
미묘한	subtle
퓨전	fusion
캄차카	kamchatka
랭커스터	lancaster
일하기	working
프레이저	fraser
마커스	marcus
슈테판	stefan
슈테판	stephan
아나키즘	anarchism
사보이	savoy
애비뉴	avenue
다운타운	downtown
입법부	legislature
알칼리	alkaline
바라며	hoping
기쁨	joy
기쁨	delights
기쁨	pleasure
오자키	ozaki
뉴펀들랜드	newfoundland
헌장	charter
클러스터	clustering
클러스터	cluster
클러스터	clusters
핼리팩스	halifax
첸나이	chennai
프록시	proxies
프록시	proxy
바스	bath
핵분열	fission
인피니트	infinite
아무나	anyone
스텔라	stella
릴리즈	release
릴리즈	releases
제라드	gerrard
제라드	gerard
모금	fundraiser
모금	fundraising
아바스	abbas
궁수자리	sagittarius
클레오파트라	cleopatra
시편	psalm
시편	psalms
잉카	inca
카라카스	caracas
도도	degrees
서식	formatting
산토스	santos
크라쿠프	kraków
산책	walk
플라잉	flying
추첨	draw
추첨	reaping
제롬	jerome
패트리어트	patriot
미학	aesthetics
미학	aesthetic
물품	goods
물품	commodity
그리기	draw
그리기	drawing
헤라클레스	labours
헤라클레스	hercules
헤라클레스	heracles
쥐라기	jurassic
용품	supplies
콘스탄티노스	constantine
서포터	supporter
하코네	hakone
마술	sorcery
마술	magic
부담	burden
각색	adaptations
각색	dramatized
의인화	anthropomorphism
폭력적인	violent
그리니치	greenwich
매운	spicy
바리톤	baritone
허락	permission
네덜란드인	netherlands
네덜란드인	dutchman
네덜란드인	dutch
본드	bond
섹터	sector
섹터	sectors
우주인	astronaut
장벽	barriers
장벽	barrier
비와	biwa
강조	highlight
강조	emphasis
강조	highlighting
강조	intensity
리브	liv
리브	reeve
탐구	investigations
탈선	derailed
탈선	derailment
트라이스타	tristar
포춘	fortune
수염	bearded
수염	beards
수염	beard
미쳐	crazy
트리오	trio
카네코	kaneko
본질	essence
리젠시	regency
돼지고기	pork
까다로운	tricky
욕망	desire
욕망	lust
욕망	desires
매뉴얼	manual
챌린저	challenger
챌린저	challengers
킹덤	kingdom
카노	kano
안전성	safety
우산	umbrella
우산	umbrellas
예매	booking
삼각	triangular
보두앵	baldwin
남방	southern
서커스	circus
서커스	circuses
컴파일	compile
컴파일	compiled
컴파일	compilation
컴파일	compiling
이브라힘	ibrahim
볼링	bowling
초과	exceeds
초과	excess
초과	exceeded
향수	nostalgic
향수	fragrances
향수	nostalgia
향수	fragrance
향수	perfume
브라질인	brazilians
국민투표	referendum
페가수스자리	pegasus
가와구치	kawaguchi
서스펜스	suspense
셀틱	celtic
실무	practical
수니파	sunni
케이타	keita
술집	pubs
술집	pub
이더넷	ethernet
포브스	forbes
돌고래	dolphin
돌고래	dolphins
고소	accusation
고소	sue
퍼시	percy
실비아	sylvia
실비아	silvia
에볼루션	evolution
올림피아	olympia
동행	accompany
비문	inscription
지니	genie
지니	ginny
귄터	günter
권장	recommended
부관	deputy
부관	posthumous
조슈아	joshua
우즈	woods
가이아	gaia
사카타	sakata
신탁	trust
엉덩이	ass
엉덩이	hip
엉덩이	buttocks
엉덩이	hips
엉덩이	butt
빌뉴스	vilnius
가르침	teaching
가르침	teachings
웍스	works
웍스	wok
가쓰라	katsura
마쓰우라	matsuura
셀프	cell
가봉	gabon
칙령	edict
셔먼	sherman
인테리어	interior
인테리어	interiors
상어	sharks
상어	shark
블룸	bloom
알타이	altai
근로자	workers
근로자	worker
응답	respond
응답	responses
응답	replies
응답	answer
응답	reply
응답	response
대략적인	approximate
저널리즘	journalism
조립	assemble
조립	assembled
텅스텐	tungsten
카불	kabul
앵글로	anglo
로사리오	rosario
장점	merits
장점	advantages
장점	advantage
오렌지색	orange
내시	nash
이륙	takeoff
검사관	inspector
등대	lighthouse
제이콥	jacob
