von	de
hoffmann	hoffmann
zugänglich	acessível
reinhard	reinhard
din	din
urteil	acórdão
botschafter	embaixador
drehbuchautor	roteirista
eingefügt	inserido
marx	marx
moritz	maurício
fdp	fdp
fraktion	facção
media	media
üblichen	usual
bauen	construir
filmografie	filmografia
lord	lord
lord	lorde
auge	olho
katharina	catarina
geburt	nascimento
systeme	sistemas
america	america
rose	rose
wales	gales
feuer	fogo
prüfung	ensaio
vergessen	esquecer
day	day
distrikt	distrito
iso	iso
bestanden	existiram
bestanden	insistiu
behauptet	alega
irland	irlanda
pennsylvania	pensilvânia
eugen	eugen
kunden	clientes
himmel	céu
hundert	cem
mike	mike
adresse	endereço
eva	eva
western	western
green	green
anhänger	reboque
bearbeitet	editado
columbia	columbia
kontext	contexto
sichtbar	visível
blues	blues
beschlossen	decidiram
details	detalhes
info	info
herrscher	governantes
planung	planejamento
leiden	sofrer
leiden	sofrimento
komponisten	compositores
victor	victor
anscheinend	aparentemente
aufgehoben	revogado
henri	henri
partner	parceiro
zustimmung	consentimento
jörg	jörg
masse	massa
chance	chance
rücken	costas
chris	chris
nationen	nações
test	teste
harald	harald
unterstützen	apoiar
francis	francis
bundeswehr	bundeswehr
anforderungen	requisitos
schützen	proteger
beleg	deslizamento
verhaftet	preso
web	web
florida	flórida
ausgaben	despesas
kommunikation	comunicações
gebrauch	uso
ursprung	origem
dauer	duração
bewusst	consciente
roland	roland
geist	espírito
della	della
katalog	catálogo
begrenzt	limitado
vii	vii
argentinien	argentina
episoden	episódios
siegfried	siegfried
gezogen	puxado
verkauf	venda
play	play
objekt	objeto
positiv	positivo
wohnung	apartamento
bass	bass
interessen	interesses
erfurt	erfurt
goethe	goethe
master	master
posten	postos
ideen	idéias
gedanken	pensamentos
bergen	bergen
veranstaltung	evento
hinten	atrás
hinten	trás
verletzt	ferido
krankheit	doença
jung	jovem
johnson	johnson
jesus	jesus
via	via
königsberg	königsberg
transport	transporte
umsetzung	implementação
flügel	asas
kämpfen	lutar
baum	árvore
steve	steve
ohio	ohio
maximilian	maximiliano
mario	mario
istanbul	istambul
uwe	uwe
bildeten	formaram
unabhängigkeit	independência
beziehen	relacionar
gipfel	cimeira
pop	pop
beeinflusst	influencia
vermeiden	evitar
bauer	peão
rosa	rosa
produzierte	produziu
verständnis	compreensão
luxemburg	luxemburgo
abgerissen	demolida
ford	ford
begleitet	acompanhado
begleitet	acompanha
viertel	bairro
pläne	planos
unterricht	aulas
victoria	victoria
erworben	adquirido
fakten	factos
trennung	separação
budapest	budapeste
charlotte	charlotte
uss	uss
little	little
vorteil	vantagem
schöne	bela
oldenburg	oldenburg
gerät	dispositivo
berge	montanhas
grundlagen	fundamentos
wilson	wilson
varianten	variantes
bielefeld	bielefeld
verbessert	melhora
altar	altar
runden	voltas
utc	utc
zeitschriften	revistas
illinois	illinois
chronik	cronologia
enzyklopädische	enciclopédico
public	public
identisch	idêntico
aussehen	aparência
gefängnis	prisão
gesucht	procurado
regionalliga	regionalliga
drama	drama
marc	marc
maschine	máquina
manuel	manuel
renaissance	renascença
verfasst	redigido
sturm	tempestade
bord	bordo
umstritten	controverso
prinzessin	princesa
geschwindigkeit	velocidade
bob	bob
exemplare	espécimes
davis	davis
bernard	bernard
jerusalem	jerusalém
kino	cinema
übergang	transição
ball	bola
lernen	aprender
tunnel	túnel
provinzen	províncias
marcus	marcus
zusammengefasst	resumiu
zusammengefasst	resumido
minute	minuto
verteilt	distribuído
funde	achados
effekt	efeito
massachusetts	massachusetts
griechisch	grego
great	great
stockholm	estocolmo
gelegen	situado
produkt	produto
vorgänger	antecessor
autobahn	rodovia
gestern	ontem
umgewandelt	convertido
umfangreiche	extenso
keller	cave
ansatz	abordagem
abgeordneten	congressista
abgeordneten	deputados
taylor	taylor
vorlagen	modelos
flagge	bandeira
italienisch	italiano
schottland	escócia
verteidigung	defesa
finnland	finlândia
mauer	muralha
psychologie	psicologia
strukturen	estruturas
bayerische	bayerische
gelb	amarelo
nachfolge	sucessão
absatz	parágrafo
leichtathletik	atletismo
strom	eletricidade
golden	golden
integriert	integra
spuren	vestígios
schwierig	difícil
benjamin	benjamin
hoffe	espero
konzert	concerto
jahrbuch	anuário
brach	partiu
verfügte	dispunha
milliarden	bilhões
beobachtet	observado
gang	gang
last	last
runs	runs
lehrte	ensinou
tirol	tirol
eingeweiht	inaugurado
eingeweiht	inaugurada
verhandlungen	negociações
claude	claude
zdf	zdf
tony	tony
schaden	dano
schaden	danos
zeitungen	jornais
aspekte	aspectos
iran	irã
kabinett	gabinete
normalerweise	normalmente
assistent	assistente
warten	esperar
andrew	andrew
douglas	douglas
festgestellt	constatou
beginnen	começar
koblenz	koblenz
becker	becker
flotte	frota
flugzeug	avião
server	servidor
kritisiert	critica
angst	medo
innen	dentro
konzerte	concertos
erwin	erwin
erinnern	lembrar
bochum	bochum
bearbeiten	editar
legende	lenda
box	box
preußische	prussiano
besatzung	tripulação
botschaft	embaixada
brunnen	poço
benannte	chamou
flora	flora
sätze	frases
paderborn	paderborn
night	night
museen	museus
symbol	ícone
eric	eric
verfügbar	disponível
brüssel	bruxelas
verlängerung	prorrogação
ermordet	assassinado
parameter	parâmetros
reduziert	reduz
gegenstand	objecto
wollten	queriam
wollten	quiseram
unterschiede	diferenças
engel	anjo
angepasst	adaptado
holte	holte
lokomotiven	locomotivas
stationen	estações
europe	europe
auftritte	aparições
warschau	varsóvia
haltung	atitude
erfüllen	cumprir
phil	phil
nhl	nhl
nachkommen	descendentes
liter	litros
andrea	andrea
vorgeschlagen	propôs
vorgeschlagen	sugeriu
kindheit	infância
wind	vento
angesprochen	abordado
weiler	weiler
wächst	cresce
positionen	posições
chile	chile
lewis	lewis
petersburg	petersburgo
out	out
synagoge	sinagoga
ausgeschlossen	excluídos
wild	wild
regionale	regional
jackson	jackson
analog	analógico
aufgegeben	abandonados
aufgegeben	abandonado
long	long
szenen	cenas
böhmen	boémia
islam	islamismo
annahme	adoção
oberst	coronel
nation	nação
präsentiert	apresenta
haut	pele
modern	moderno
ray	ray
schwierigkeiten	dificuldades
eigentümer	proprietário
gefördert	promovido
gabriel	gabriel
beschädigt	danificado
neutral	neutro
pommern	pomerânia
schwerin	schwerin
christen	cristãos
saale	saale
anfrage	pedido
forderte	apelou
firmen	companhias
hoffnung	esperança
stephen	stephen
lösen	resolver
valign	valign
erbe	herança
nassau	nassau
ecke	canto
ruhestand	aposentadoria
okres	okres
sophie	sophie
buchstaben	letras
mittelalterlichen	medieval
vertrieben	expulsos
sonntag	domingo
arena	arena
christus	cristo
verlust	perda
this	this
gestorben	morri
verlängert	prorrogado
null	zero
law	law
zone	zona
bezeichnungen	denominações
entsprechen	corresponder
uefa	uefa
gräfin	condessa
duisburg	duisburg
singles	solteiros
blut	sangue
ersetzen	substituir
erzählung	narração
pseudonym	pseudónimo
auswirkungen	efeitos
lat	lat
ausführung	execução
mord	homicídio
power	power
jäger	caçador
betroffen	afetado
betroffen	afetados
gaben	dons
berichte	relatórios
carlo	carlo
oskar	oskar
fahrt	passeio
tourismus	turismo
centre	centre
vogel	ave
fassade	fachada
sprint	sprint
worte	palavras
norbert	norbert
franken	francos
lady	lady
abtei	abadia
saarbrücken	saarbrücken
adler	águia
ursache	causa
zerstörung	destruição
beschreiben	descrever
kathedrale	catedral
debütierte	estreou
luis	luis
stahl	aço
rené	rené
entscheidungen	decisões
bedient	atendido
plus	plus
georges	georges
horn	corno
kritiker	críticos
institutionen	instituições
konsens	consenso
sydney	sydney
geräte	dispositivos
geräte	aparelhos
schnitt	corte
ali	ali
religiösen	religioso
klassen	classes
ibn	ibn
partien	lotes
nrw	nrw
geleitet	guiado
achtelfinale	eliminatória
anthony	anthony
brian	brian
asien	ásia
pianist	pianista
country	country
old	old
blatt	folha
hildesheim	hildesheim
programme	programas
befehl	comando
bestimmung	determinação
free	free
marathon	maratona
demokratie	democracia
tier	animal
geschlecht	sexo
instrument	instrumento
town	town
angezeigt	mostrado
angezeigt	exibido
prof	prof
kopenhagen	copenhaga
rücktritt	demissão
summe	soma
ändert	muda
klingt	soa
fielen	caíram
wende	virada
musical	musical
burgen	castelos
jersey	jersey
osnabrück	osnabrück
antworten	respostas
witwe	viúva
hart	hart
zeichnungen	desenhos
gerd	gerd
gespräch	conversa
kim	kim
year	year
jene	aqueles
bewertung	avaliação
genf	genebra
verdacht	suspeita
tokio	tóquio
erlebte	experimentou
junior	junior
ans	pnd
materialien	materiais
gelegenheit	oportunidade
schau	olha
obersten	supremo
onkel	tio
end	end
abstimmung	votação
wein	vinho
gegenteil	oposto
richtlinien	réguas
richtlinien	diretrizes
element	elemento
kapitän	capitão
weite	vastidão
bucht	baía
reiste	viajou
fortsetzung	continuação
natürliche	natural
büro	escritório
plattform	plataforma
auseinandersetzungen	confrontos
gewinnt	ganha
ulm	ulm
regelung	regulamentação
ard	ard
diplom	diploma
verfolgung	perseguição
motiv	motivo
usd	usd
kandidat	candidato
gray	gray
jura	jura
johanna	joana
versorgung	abastecimento
versorgung	aprovisionamento
straßburg	estrasburgo
alan	alan
may	may
temperatur	temperatura
komödie	comédia
fans	fãs
gehabt	tido
costa	costa
wiederaufbau	reconstrução
hollywood	hollywood
biographisches	biographisches
toronto	toronto
aufstand	revolta
ernennung	nomeação
bulgarien	bulgária
gesetze	leis
christopher	christopher
philadelphia	filadélfia
verbot	proibição
werkstatt	oficina
zellen	células
walther	walther
identität	identidade
tot	morto
boote	barcos
hagen	hagen
fotograf	fotógrafo
dicht	denso
hit	hit
can	can
elbe	elba
erscheinung	aparição
sang	cantou
kinos	cinemas
miller	miller
alex	alex
verhindert	evita
brigade	brigada
sed	sed
council	council
gitarrist	guitarrista
flugzeuge	aviões
michigan	michigan
howard	howard
viii	viii
steiermark	estíria
gewinner	vencedores
amerikaner	americanos
verzeichnet	alistado
gesundheit	saúde
premiere	estreia
niemals	nunca
marco	marco
verantwortung	responsabilidade
lorenz	lorenz
polnisch	polonês
klima	clima
sonstige	outros
unabhängige	independente
bestimmen	determinar
hamilton	hamilton
sorgen	preocupar
flug	voo
schatten	sombra
dan	dan
minnesota	minnesota
übersetzer	tradutor
ausgestellt	emitido
ersatz	substituição
erkennt	detecta
jagd	caça
volker	volker
sitzen	sentado
typisch	típico
betriebe	explorações
parks	parques
argumentation	raciocínio
verordnung	regulamento
verordnung	portaria
ministerium	ministério
anti	anti
express	express
begriffsklärung	desambiguação
german	portuguese
jim	jim
disziplin	disciplina
dokumente	documentos
lust	luxúria
chemische	química
point	point
basketball	basquetebol
florenz	florença
konferenz	conferência
sound	som
bamberg	bamberg
dokumentiert	documentado
vergleichbar	comparável
vergleichbar	comparáveis
lothar	lothar
ausgewählt	selecionado
wille	vontade
clemens	clemens
nutzte	aproveitou
death	death
tschechoslowakei	checoslováquia
are	are
julia	júlia
belagerung	cerco
sun	sun
francesco	francesco
motoren	motores
klinik	clínica
lippe	lábio
ern	ern
digital	digital
behauptung	alegação
schicksal	destino
act	act
entdeckte	descobriu
bibel	bíblia
unentschieden	empate
verschiebung	deslocamento
schwestern	irmãs
jahrzehnte	décadas
hubert	hubert
durchführung	execução
harvard	harvard
mengen	quantidades
nick	nick
sam	sam
dachte	pensou
conrad	conrad
romane	romances
jap	jap
fusion	fusão
fähigkeiten	habilidades
traditionell	tradicional
integration	integração
besonderheit	especificidade
valley	valley
ips	ips
pedro	pedro
festen	fixo
wiederherstellung	restauração
messe	feira
tim	tim
schlesien	silésia
ablauf	expiração
zimmer	quartos
zimmer	quarto
wahrnehmung	percepção
abgebrochen	cancelado
abgebrochen	cancelada
beschrieb	descreveu
bevorzugt	preferido
vereinen	unir
schlagzeuger	baterista
anwendungen	aplicações
bundestag	bundestag
dick	dick
gründeten	basearam
ehemann	marido
wachsen	crescer
eis	gelo
griff	alça
erfinder	inventor
samt	veludo
präfektur	prefeitura
abbildung	figura
archäologie	arqueologia
freundin	amiga
stamm	tribo
saß	sentou
willi	willi
berater	consultor
qualifiziert	qualificado
jury	júri
formal	formalmente
anwalt	advogado
beruht	assenta
konkurrenz	competição
geteilt	compartilhado
gesicht	cara
unfall	acidente
atlas	atlas
sterben	morrer
abschnitte	seções
zitiert	cita
zitiert	citados
einspruch	objecção
platte	placa
eroberung	conquista
sand	areia
scheinen	parecem
heide	heide
stadtrat	vereador
monte	monte
wesen	essência
brauerei	cervejaria
zeugen	testemunhas
roth	roth
gefahren	perigos
philip	philip
dateien	arquivos
slowakei	eslováquia
luther	luther
aufwand	esforço
formulierung	formulação
vögel	aves
kommunistischen	comunista
ursula	ursula
willy	willy
alice	alice
pflanze	planta
kämpfte	lutou
hund	cão
hütte	cabana
nachruf	obituário
briten	britânicos
jahrgang	safra
exil	exílio
soldat	soldado
eigentum	propriedade
leer	vazio
neapel	nápoles
entdeckung	descoberta
fuchs	raposa
verdient	merece
beobachten	observar
beobachten	observando
block	bloco
dokumentarfilm	documentário
angriffe	ataques
jens	jens
hell	hell
non	non
wörterbuch	dicionário
abgeordnete	deputados
ralf	ralf
gordon	gordon
niederlagen	derrotas
stift	caneta
maurice	maurice
missouri	missouri
abfluss	dreno
freundschaft	amizade
stärke	força
office	office
konkreten	concreto
overs	overs
elizabeth	elizabeth
wählte	escolheu
sekretär	secretário
fred	fred
johnny	johnny
testament	testamento
dei	dei
wand	parede
diözese	diocese
abgrenzung	demarcação
arm	braço
samen	sementes
kontakte	contatos
glocken	sinos
unterscheidung	distinção
unesco	unesco
peking	pequim
journalisten	jornalistas
pflege	cuidados
gewidmet	dedicado
hanau	hanau
wirklichkeit	realidade
corporation	corporação
bene	bene
hochzeit	casamento
formuliert	formulado
studios	estúdios
hms	hms
ltd	ltd
bbc	bbc
personal	pessoal
netzwerk	rede
ergab	revelou
verbände	associações
liest	lê
reihen	séries
neumann	neumann
steigt	sobe
festschrift	comemorativa
starben	morreram
technologie	tecnologia
#aaa	#aaa
wittenberg	wittenberg
nachricht	mensagem
bmw	bmw
infobox	infobox
gefangen	capturados
gregor	gregório
übernimmt	assume
ausgesprochen	pronunciado
statue	estátua
extra	extra
mythologie	mitologia
brachten	trouxeram
axel	axel
abraham	abraão
gestalten	moldar
verzeichnis	diretório
inhaber	titular
therapie	terapia
synonym	sinônimo
kommentare	comentários
hahn	galo
überflüssig	supérfluo
erwartet	esperado
erzeugen	gerar
meinungen	opiniões
flüsse	rios
kämpfe	lutas
million	milhão
global	global
abenteuer	aventura
jugoslawien	jugoslávia
könige	reis
nato	otan
verkaufen	vender
beherbergt	abriga
kreise	círculos
kroatien	croácia
teilnehmen	participar
giuseppe	giuseppe
territorium	território
kärnten	caríntia
wurzeln	raízes
sammlungen	coleções
thailand	tailândia
steine	pedras
racing	racing
luise	luísa
markiert	marcado
markiert	marca
neckar	neckar
gemessen	medido
instrumente	instrumentos
bischöfe	bispos
verluste	perdas
schwach	fraco
prince	prince
clark	clark
sterne	estrelas
gefällt	gosta
vorstellen	imaginar
vorstellen	imagine
breisgau	brisgóvia
benedikt	bento
zwecke	fins
erik	erik
angelegenheiten	assuntos
tote	mortos
marcel	marcel
enthielt	continha
erkannt	detectado
berger	berger
völker	povos
philippe	philippe
microsoft	microsoft
fabrik	fábrica
haupt	home
dauerte	durou
jahrhunderte	séculos
anmerkung	nota
anmerkung	observação
produktionen	produções
linux	linux
tausend	mil
duke	duke
training	treinamento
thüringer	thüringer
orange	laranja
übrig	sobra
tür	porta
syndrom	síndrome
sultan	sultão
zusammensetzung	composição
fliegen	voar
gedicht	poema
soziologie	sociologia
jimmy	jimmy
schild	escudo
hartmann	hartmann
explizit	explícito
römer	romanos
biologie	biologia
wisconsin	wisconsin
aires	aires
vermögen	fortuna
indiana	indiana
gefragt	perguntado
informiert	informado
anordnung	disposição
tanz	dança
glas	vidro
mayer	mayer
eingestuft	classificado
wladimir	vladimir
kauf	compra
anderson	anderson
atp	atp
bergbau	mineração
these	tese
ermöglichte	permitiu
gelöst	resolvido
geschätzt	estimado
waffe	arma
trugen	contribuíram
trugen	usavam
beurteilen	julgar
trio	trio
ice	ice
nahen	médio
charlie	charlie
negativ	negativo
senator	senador
kennzeichen	matrícula
entworfen	projetado
down	down
turin	turim
berichtete	relatou
verwandt	relacionado
typen	tipos
adams	adams
betreiber	operador
louise	louise
absicht	intenção
stanley	stanley
festivals	festivais
taucht	mergulha
pass	passaporte
nahrung	alimento
ärzte	médicos
sichern	backup
doktor	doutor
zugehörigkeit	pertença
fulda	fulda
verbrechen	crime
debatte	debate
eisen	ferro
seele	alma
becken	bacia
wdr	wdr
bit	bit
missbrauch	abuso
wiederhergestellt	restaurado
bogen	arco
ehrlich	honesto
kritisch	crítica
csu	csu
knoten	nó
realität	realidade
mercedes	mercedes
campus	campus
gebraucht	usado
stellvertreter	suplente
bäume	árvores
künstlerischen	artístico
napoleon	napoleão
fünfte	quinta
what	what
brücken	pontes
wars	wars
unmöglich	impossível
nicolas	nicolas
pferd	cavalo
vergleiche	comparações
vincent	vincent
queen	queen
chemnitz	chemnitz
wählen	escolher
intensiv	intenso
hinzugefügt	adicionado
övp	övp
hände	mãos
beweis	prova
säulen	pilares
duo	duo
udssr	urss
graben	vala
bus	ônibus
bataillon	batalhão
sarah	sarah
winkel	ângulo
erneuert	renova
gäbe	haveria
ausgerichtet	alinhado
bewegt	move
pferde	cavalos
erinnerungen	memórias
steiner	steiner
railway	railway
kriterium	critério
lutherischen	luterana
lüneburg	luneburgo
admiral	almirante
edgar	edgar
helsinki	helsínquia
sabine	sabine
alois	alois
vergleichsweise	comparativamente
greifswald	greifswald
wiesen	prados
edmund	edmund
vereinten	unida
boris	boris
höhle	caverna
bruce	bruce
palast	palácio
wahrscheinlichkeit	probabilidade
lyon	lyon
ausrichtung	alinhamento
magnus	magno
gefolgt	seguido
werft	estaleiro
freiwillige	voluntários
böse	maldade
manchester	manchester
gesellschaften	sociedades
back	back
serbien	sérvia
küche	cozinha
ontario	ontário
messen	feiras
dirk	dirk
badminton	badminton
geöffnet	aberto
zentral	central
schröder	schröder
definitiv	definitivamente
benz	benz
stirbt	morre
spö	spö
modus	modo
schuld	culpa
diego	diego
panzer	tanques
bitten	pedir
rekord	recorde
kevin	kevin
ausgesetzt	suspenso
verteilung	distribuição
restaurant	restaurante
piloten	pilotos
luzern	luzern
jane	jane
theorien	teorias
ruth	ruth
good	good
htm	htm
grau	cinza
moore	moore
krise	crise
billy	billy
pause	pausa
glocke	sino
entsprach	correspondia
entsprach	correspondeu
perspektive	perspectiva
armen	pobres
lissabon	lisboa
forscher	pesquisador
phänomen	fenômeno
einkommen	renda
mandat	mandato
kansas	kansas
opposition	oposição
dunkel	escuro
verbesserte	melhorou
logik	lógica
aufhebung	revogação
partie	lote
mischung	mistura
pour	pour
streng	severo
claus	claus
colorado	colorado
übersetzungen	traduções
kompositionen	composições
opera	opera
dichte	densidade
verursacht	causando
place	place
gnu	gnu
kopie	cópia
verzichtet	renuncia
enkel	neto
danzig	gdańsk
bevölkerungsdichte	ngm
experten	peritos
stieß	empurrou
ralph	ralph
normal	normal
besuchen	visitar
schafft	cria
reform	reforma
institution	instituição
paulo	paulo
mond	lua
gas	gás
verwaltet	gerido
verwaltet	gere
autos	carros
austausch	troca
finanzierung	financiamento
dringend	urgente
überzeugen	convencer
century	century
stone	stone
töten	matar
raymond	raymond
gesammelt	recolhida
dna	dna
anbau	cultivo
hammer	martelo
unterbrochen	interrompido
takt	compasso
glaubt	crê
glaubt	acredita
genehmigung	homologação
ausführlich	detalhado
ausnahmen	excepções
administrator	administrador
verletzung	lesão
eintritt	entrada
richtet	alinha
roy	roy
gottlieb	gottlieb
girl	girl
sozialistischen	socialista
spektrum	espectro
installiert	instalado
round	round
marketing	marketing
people	people
donald	donald
regelmäßige	regular
humboldt	humboldt
eier	ovos
oslo	oslo
eingeladen	convidado
suchte	procurou
zeitgleich	coincidindo
publizist	publicista
light	light
ross	ross
thai	tailandês
interessieren	interessar
antrieb	propulsão
urban	urban
jonathan	jonathan
memorial	memorial
gegangen	ido
nelson	nelson
beschäftigen	empregar
part	part
speyer	speyer
iowa	iowa
komplex	complexo
bayerischer	bayerischer
australian	australian
finanziert	financiado
überraschend	surpreendentemente
schichten	camadas
ten	ten
khan	khan
tsv	tsv
regen	chuva
mac	mac
fox	fox
verweist	remete
boxer	boxer
clubs	clubes
erhaltung	conservação
bell	bell
herzen	corações
verzichten	renunciar
passen	caber
diss	diss
denis	denis
litauen	lituânia
theologischen	teológico
einfügen	inserir
premier	premier
behielt	manteve
akten	limas
verbinden	ligar
rtl	rtl
ruhig	calma
planeten	planetas
just	just
verteidiger	defensor
second	second
artillerie	artilharia
steuern	impostos
wolff	wolff
welle	onda
versammlung	assembléia
richtlinie	directiva
sizilien	sicília
fifa	fifa
ablehnung	rejeição
zimmermann	zimmermann
kriege	guerras
antragsteller	requerente
melden	denunciar
nikolai	nikolai
mississippi	mississippi
mitgliedschaft	filiação
santiago	santiago
insekten	insetos
feat	feat
schulz	schulz
übernahmen	aquisições
claudia	claudia
spaß	diversão
vorläufer	precursor
verlässt	abandona
tennessee	tennessee
gen	gen
widerspruch	contradição
bedenken	preocupações
aufenthalt	estada
komponenten	componentes
walker	walker
privat	privado
var	var
versuchten	tentaram
tennis	tênis
hotels	hotéis
ghs	ghs
susanne	susanne
robin	robin
vertrauen	confiança
bier	cerveja
baby	bebê
berufung	vocação
spur	pista
gefeiert	comemorado
lieben	amar
lösungen	soluções
akzeptiert	aceita
cds	cds
irak	iraque
jordan	jordan
ian	ian
überprüfen	verificar
dead	dead
lieferte	forneceu
absolute	absoluto
schwaben	suábia
kaufen	comprar
forderungen	créditos
überreste	restos
ersetzte	substituiu
islamischen	islâmicos
informatik	informática
zeile	linha
antoine	antoine
zusammenfassung	resumo
platzierungen	posicionamentos
risiko	risco
bande	bando
veröffentlichen	publicar
cover	capa
auguste	auguste
philippinen	filipinas
lawrence	lawrence
metall	metal
lothringen	lorena
aufgelistet	listadas
borussia	borussia
mode	moda
update	atualização
geliefert	entregue
russell	russell
konstantin	constantino
dialog	diálogo
ann	ann
reinhold	reinhold
großvater	avô
gefühl	sentimento
gefühl	sensação
montreal	montreal
flugplatz	aeródromo
komponierte	compôs
wachstum	crescimento
gäste	convidados
passau	passau
qualifizieren	qualificar
vorteile	vantagens
ungewöhnlich	incomum
gärten	jardins
wolle	lã
berechnung	cálculo
videos	vídeos
kulturen	culturas
platten	placas
way	way
konflikte	conflitos
helden	heróis
gesamt	total
öffnen	abrir
arbeitgeber	empregadores
hört	ouçam
jochen	jochen
entscheidet	decide
schlägt	bate
pastor	pastor
besonderheiten	particularidades
korea	coreia
gebunden	vinculado
bedeutete	significava
bedeutete	significou
mdl	mdl
syrien	síria
dark	dark
zwanzig	vinte
nasa	nasa
geschäfte	lojas
temperaturen	temperaturas
umfassen	incluem
fake	fake
bayer	bayer
agnes	inês
berühmte	famosos
fleisch	carne
moschee	mesquita
zeichnet	desenha
verliert	perde
handball	handebol
slalom	slalom
orientiert	orientado
erweitern	expandir
pfund	libra
osmanischen	otomano
stationiert	situa
limburg	limburgo
frederick	frederick
beliebt	popular
fernando	fernando
bayreuth	bayreuth
erwähnten	mencionaram
abkommen	acordo
stuart	stuart
siedler	colonos
hot	hot
over	over
inn	inn
kanzel	púlpito
gehandelt	agido
gehandelt	agiu
bewohnt	habitado
laden	loja
laden	carregar
bewertet	avaliado
weser	weser
guy	guy
zweig	ramo
felder	campos
spannung	tensão
volle	pleno
dave	dave
achse	eixo
fan	fã
bewegungen	movimentos
christentum	cristianismo
fähigkeit	capacidade
fürstentum	principado
verletzungen	lesões
triebwagen	automotoras
bgb	bgb
reaktionen	reacções
schmid	schmid
tobias	tobias
greift	ataca
lutz	lutz
continental	continental
facebook	facebook
kraftwerk	usina
tisch	mesa
page	page
korrigiert	corrigido
starten	iniciar
angegriffen	atacado
huber	huber
reagiert	reage
betont	realça
vfl	vfl
faktoren	fatores
behörde	autoridade
skulpturen	esculturas
banken	bancos
coburg	coburgo
geographie	geografia
zeichnung	desenho
kai	kai
kentucky	kentucky
behandeln	tratar
gekauft	comprei
gekauft	comprado
loch	buraco
koordinaten	coordenadas
matt	matt
kaserne	quartel
boy	boy
beweisen	provar
verständlich	compreensível
mars	marte
pacific	pacific
gewöhnlich	tipicamente
langhaus	maloca
indianer	índios
ferrari	ferrari
maus	rato
edinburgh	edimburgo
peru	peru
heart	heart
verliebt	apaixonada
bibliotheken	bibliotecas
sendungen	remessas
kuba	cuba
stört	incomoda
unnötig	desnecessário
organist	organista
lloyd	lloyd
strand	praia
verglichen	comparado
erhöhen	aumentar
kavallerie	cavalaria
begleitete	acompanhou
motto	lema
norm	norma
notwendigkeit	necessidade
zulässig	autorizado
zulässig	permitido
zählten	contaram
caspar	caspar
besiegte	derrotou
entwarf	projetou
miguel	miguel
half	ajudou
wall	wall
afghanistan	afeganistão
moderator	moderador
rückgängig	desfazer
vereinigt	unida
adel	nobreza
vize	vice
pas	pas
bat	bat
hubraum	cilindrada
gary	gary
map	map
qualifizierten	qualificados
stewart	stewart
ursachen	causas
befreiung	isenção
zoll	alfândega
hingerichtet	executado
zeigten	mostraram
wunder	maravilha
kindergarten	creche
bottom	bottom
erkannte	reconheceu
finger	dedo
geheimnis	segredo
andy	andy
lost	lost
stufen	degraus
java	java
ebenen	níveis
mountain	mountain
versteckt	escondido
est	est
schlüssel	chave
katholiken	católicos
strafe	punição
brust	peito
gulden	florim
erwähnte	mencionou
lisa	lisa
court	court
angekündigt	anunciou
planet	planeta
mozart	mozart
angewandte	aplicada
einflüsse	influências
vorsitz	presidência
traum	sonho
allianz	aliança
pietro	pietro
barock	barroco
pilot	piloto
abgebildet	mapeados
universal	universal
verstorben	faleceu
geologie	geologia
melbourne	melbourne
lausanne	lausanne
teilt	compartilha
verwandte	parentes
unterkategorien	subcategorias
kampagne	campanha
nba	nba
beobachtung	observação
detail	detalhe
felsen	rocha
arme	braços
airlines	airlines
blog	blog
malerin	pintora
wiederwahl	reeleição
erfindung	invenção
xii	xii
reichweite	alcance
hals	pescoço
schlösser	fechaduras
olympia	olympia
johan	johan
margaret	margaret
arizona	arizona
sprung	salto
franklin	franklin
bde	bde
flüchtlinge	refugiados
koalition	coligação
skulptur	escultura
interpretiert	interpreta
rue	rue
vermittlung	mediação
area	area
informieren	informar
seminar	seminário
substanz	substância
harris	harris
generationen	gerações
vancouver	vancouver
bestätigte	confirmou
ausrüstung	equipamento
versorgt	provê
ronald	ronald
freiwillig	voluntário
minderheit	minoria
peters	peters
niederländisch	holandês
beamten	funcionários
klagenfurt	klagenfurt
kupfer	cobre
lincoln	lincoln
sandstein	arenito
bedeuten	significam
field	field
marken	marcas
studieren	estudar
rezension	revisão
fische	peixes
schiller	schiller
sven	sven
kleidung	roupa
erlaubnis	permissão
eingeschränkt	restrito
norman	norman
atmosphäre	atmosfera
siemens	siemens
mini	mini
ernest	ernest
geprüft	verificado
kreuzer	cruzador
erdbeben	sismo
besaßen	possuíam
son	son
feier	comemoração
rückseite	verso
lokomotive	locomotiva
propaganda	propaganda
spalte	coluna
southern	southern
oswald	oswald
fremde	estranhos
lkw	caminhão
registriert	registrado
abbildungen	retratos
verschwinden	desaparecer
magdalena	madalena
spenden	doações
earth	earth
boys	boys
mdr	mdr
monarchie	monarquia
bestätigen	confirmar
scharf	afiada
frisch	frescos
frisch	fresco
kelly	kelly
alabama	alabama
dokument	documento
loire	loire
audio	áudio
kette	corrente
schicht	camada
alberto	alberto
mittelmeer	mediterrâneo
faktor	fator
connecticut	connecticut
persönlichkeit	personalidade
kaliningrad	kaliningrado
zusatz	adição
guido	guido
xvi	xvi
abbau	degradação
vietnam	vietname
strategie	estratégia
uruguay	uruguai
liechtenstein	liechtenstein
holocaust	holocausto
siegel	selo
