dhe	and
ylli	star
profesional	professional
profesional	vocational
atdhe	motherland
atdhe	homeland
sulejman	suleiman
sulejman	sulejman
sulejman	suleyman
autoritetet	authorities
stadiumi	stadium
zhvillohen	evolve
rresht	row
als	als
lëvizjet	moves
lëvizjet	movements
murit	wall
personat	persons
personat	people
vera	vera
vera	summer
ffffff	ffffff
arrihet	reached
arrihet	achieve
arrihet	achieved
mbrojtëse	defensive
përfshihen	included
august	august
big	big
morale	moral
fatmir	fatmir
aktual	current
sulm	attack
sulm	assault
organizimi	organisation
organizimi	organising
organizimi	organization
organizimi	organizing
organizimi	setup
funksionet	function
funksionet	functions
përputhje	compliance
wilhelm	wilhelm
armëve	weapons
redaktuar	edited
dan	dan
austriake	austrian
aktivitet	activity
veriu	north
izraelit	israel
izraelit	israeli
parti	party
shpëtuar	saved
papëve	popes
dalje	exit
hyn	enters
myslimanët	muslims
mësim	lesson
mendimin	opinion
afrika	africa
anton	anton
serbi	serbia
shprehet	expressed
masat	masses
masat	measures
bashki	municipality
kusht	condition
dimrit	winter
milano	milan
milano	milano
hollandës	netherland
fizikë	physics
radhët	ranks
komunat	municipalities
min	min
varri	tomb
varri	grave
zgjedhja	selection
zgjedhja	choice
out	out
banor	resident
rekord	record
përmbajtje	content
manastiri	monastery
teqeja	zall
kafshë	animals
kafshë	animal
praktike	practical
interesante	interesting
hungaria	hungary
trupa	troops
trupa	bodies
shpreh	expresses
shpreh	express
futboll	soccer
futboll	football
institucion	institution
organ	organ
kontributin	contribution
problemeve	problems
femrat	females
femrat	women
microsoft	microsoft
blu	blue
deklaroi	declared
kontrolluar	checked
kontrolluar	controlled
kontrolluar	searched
kinë	china
zakonshëm	ordinary
fatin	destiny
fatin	fate
individuale	individual
las	las
fillestare	initial
fillestare	rookie
punime	works
punime	artworks
kërkesa	request
kërkesa	demand
kërkesa	requests
fierit	fier
udhëheqësit	leaders
shërbime	services
interesat	interests
pushtuesit	invaders
plani	plan
bill	bill
times	times
mbeten	remain
pranon	admits
pranon	accepts
vjenë	vienna
vendosjen	placement
vendosjen	deployment
var	hang
paraqit	presented
aliu	aliu
aliu	ali
fiset	tribes
arsimore	educational
mësoi	learned
origjina	origin
origjina	origins
gjërë	wide
përdorues	user
përdorues	users
emiri	emir
gurit	stone
vazhduan	continued
numrat	numbers
musa	moses
musa	musa
dëshiron	wants
festival	festival
suprem	supreme
ndryshojnë	vary
than	drained
malazeze	montenegrin
lojërat	games
ligjeve	laws
olimpike	olympic
vjetore	yearly
vjetore	annual
sant	sant
detyrat	tasks
detyrat	assignments
detyrat	homework
detyrat	duties
lleida	lleida
vlora	vlora
turq	turks
partizani	partizan
finalen	finale
përgjigjet	responses
përgjigjet	responds
përgjigjet	answers
përgjigjet	replies
fizik	physical
brazili	brazil
qëndronte	stood
pozicion	position
kundërshtim	objection
youtube	youtube
objekti	object
gjeografia	geography
majtas	left
its	its
hafiz	hafiz
nganjëherë	sometimes
monedha	currency
monedha	coins
monedha	coin
prapë	again
absolute	absolute
njerëzor	human
burrat	husbands
burrat	men
autorë	authors
rrënjët	roots
françois	françois
themelet	foundations
instrument	instrument
bit	bit
zhvilluara	developed
jetonte	lived
industrial	industrial
natë	night
përmasa	proportions
përmasa	size
miratuar	approved
miratuar	adopted
set	set
kështjella	castles
kështjella	castle
pedro	pedro
pritet	expected
piano	piano
shumicë	majority
shumicë	wholesale
përfaqësuesit	representatives
mesi	mesi
kulture	culture
smith	smith
gjuhen	tongue
dora	dora
dora	hand
viktor	viktor
viktor	victor
përfundim	outcome
përfundim	conclusion
dhene	given
sic	sic
vendlindja	hometown
vendlindja	birthplace
sulmi	attack
abdul	abdul
përbëhej	consisted
muri	wall
anime	anime
lajme	news
departamenti	department
autorët	authors
përmendim	mention
analiza	tests
analiza	analysis
kontakt	contact
ibrahimi	ibrahim
ibrahimi	abraham
ibrahimi	ibrahimi
modeli	model
mbrojtja	defense
mbrojtja	defence
mbrojtja	protection
athinë	athens
kokën	head
luftërat	wars
andorra	andorra
informacione	info
informacione	information
rrezik	risk
rrezik	danger
realizimin	realization
joan	joan
aktorët	actors
ein	ein
evropa	europe
titulluar	titled
titulluar	entitled
normal	plain
normal	sane
normal	normal
pritur	expected
mulla	mulla
mulla	mullah
arsimi	education
württemberg	württemberg
territori	territory
dyta	second
brazilit	brazil
vol	vol
ndan	shares
japonez	japanese
fakte	facts
bashkësi	commune
fier	fier
fier	fieri
provence	provence
pajisur	equipped
pajisur	fitted
republikë	republic
rreze	rays
rreze	radius
kritika	criticism
filozofik	philosophical
çështja	issue
fshehur	hidden
fshehur	hiding
liria	freedom
garonne	garonne
shi	raining
shi	rain
shikoni	see
shikoni	look
frank	frank
han	han
vendimet	decisions
vendimet	rulings
pallati	palace
main	main
ideja	idea
shpërndarë	distributed
masive	mass
masive	massive
territoriale	territorial
mbretëror	royal
shtypur	oppressed
shtypur	crushed
shtypur	pressed
shtypur	printed
firence	florence
burgu	jail
burgu	prison
aleksandri	alexandria
aleksandri	alexander
federatës	confederacy
hotel	hotel
kontinente	continents
ullinj	olives
argjentina	argentina
iso	iso
global	dimming
global	global
krijues	creative
krijues	creator
ditëve	days
qark	county
qark	district
qark	circuit
mbyll	close
mbyll	closes
vëllimi	volume
urban	urban
pamundur	impossible
dollarë	bucks
dollarë	dollars
dollarë	dollar
traditë	tradition
kulmin	peak
qytetarët	citizens
riza	riza
perëndimi	west
maqedonisht	macedonian
partizane	partisan
studion	studio
kishat	churches
serial	serial
facebook	facebook
santiago	santiago
brezi	generation
ngjyrat	colours
ngjyrat	colors
përmend	mention
përmend	mentions
përkohshme	temporary
përkohshme	provisional
përfaqësuar	represented
hequr	removed
rezistencës	resistance
ndodhin	happen
divizioni	division
shërbejnë	serve
veprimi	action
pdf	pdf
qasje	access
qasje	approach
dom	dom
pikat	dots
pikat	points
high	high
penale	criminal
njeh	recognizes
kafshët	animals
kafshët	cattle
superiore	superior
regji	directed
përfundimtare	ultimate
francesco	francesco
ton	tone
ton	tons
ton	ton
ton	tonnes
islamik	islamic
islamik	islamist
denis	dennis
denis	denis
kërkim	search
kërkim	quest
kërkim	research
gjini	gender
gjini	ginny
fituese	winner
polonia	poland
arben	arben
dream	dream
shkaktoi	caused
shkaktoi	triggered
shkrimtari	writer
ofruar	provided
ofruar	offered
php	php
body	body
muhamed	muhamed
muhamed	muhammad
muhamed	muhammed
mur	wall
zbatimin	implementation
armët	weapons
armët	guns
hans	hans
funksione	functions
mungesë	deficiency
mungesë	absence
mungesë	lack
mungesë	absentia
mbështetjen	supporting
deklaruar	declared
deklaruar	stated
organeve	organs
organeve	organ
rralla	rare
jack	jack
misioni	mission
japë	extend
fituan	won
interneti	internet
maqedonas	macedonian
maqedonas	macedonians
shtrirë	stretching
shtrirë	laying
rrjedhin	flow
maksimale	maximum
mësuesit	teachers
këmbët	feet
këmbët	legs
stampa	stampa
anglia	england
brez	generation
tip	bloke
tip	type
tip	tip
burri	hubby
burri	husband
ujore	waterfront
ujore	aquatic
kadare	kadare
komandanti	commander
degët	branches
kili	chile
grekë	greeks
autonome	autonomous
shef	chief
shef	bos
shef	boss
student	student
kapiten	captain
tony	tony
bateri	battery
bateri	drums
leka	leka
valë	wave
shok	shock
shok	friend
ushqimore	grocery
bujqësi	agriculture
pyje	woods
pyje	forests
njëherë	once
ohrit	ohrid
kosta	costa
kosta	kosta
kroat	croat
kroat	croatian
thellësi	depths
thellësi	depth
girona	girona
simon	simon
mor	mor
luftëtar	warrior
luftëtar	fighter
pedagogjike	pedagogical
klasik	classic
shfrytëzuar	exploited
distrikti	district
off	off
rrethana	circumstance
rrethana	circumstances
traditat	traditions
dervish	dervish
ndihmës	helper
ndihmës	assistant
strukturat	facilities
strukturat	structures
qiell	heaven
qiell	sky
norvegjia	norway
atehere	then
djathtas	right
merituar	deserved
merituar	earned
institute	institutes
përhershëm	permanent
çlirimin	liberation
qëndrimi	attitude
qëndrimi	posture
rolet	roles
materialet	materials
jugosllavi	yugoslavia
ahmad	ahmad
kryengritje	mutiny
kryengritje	rebellion
tjetra	next
proceset	processes
sëmundjet	illnesses
sëmundjet	illness
sëmundjet	diseases
sëmundjet	disease
sëmundjet	ailments
pasura	wealthier
organike	organic
pllaka	tiles
pllaka	tablets
ushtritë	armies
gradualisht	gradually
ulqin	ulcinj
seria	series
seria	seria
hapjen	opening
football	football
oscar	oscar
oscar	oscars
vajzat	girls
klimë	climate
napoli	naples
napoli	napoli
tradicional	traditional
stema	emblem
dramë	drama
rezultati	score
rezultati	result
simboli	symbol
dërgon	sends
tipi	guy
drejtimi	direction
drejtimi	alignment
digjitale	digital
old	old
rruge	street
rruge	road
vrau	killed
historian	historian
selia	celia
selia	headquarter
zgjedhje	elections
zgjedhje	election
zgjedhje	choice
pasojat	aftermath
pasojat	fallout
pasojat	consequences
chelsea	chelsea
martesa	marriage
zgjodhi	chose
cilen	which
botimi	publication
botimi	publishing
respektivisht	respectively
dibra	debar
dibra	dibra
dakord	agree
false	fakes
danimarka	denmark
ushtarët	soldiers
vështirësi	difficulty
vështirësi	difficulties
vështirësi	hardship
qëndrim	stance
qëndrim	attitude
tekste	texts
server	servers
server	server
mjek	physician
mjek	doctor
mjek	medic
rrezet	rays
pre	spoils
pre	booty
pre	prey
ruhet	preserved
teknologji	technology
tetovë	tetovo
gjelbër	green
gjelbër	greens
errët	dark
kujtim	memento
kujtim	memory
rajone	regions
irlanda	ireland
pasardhës	descendants
pasardhës	seed
pasardhës	posterity
pasardhës	successors
pasardhës	offspring
pasardhës	descendant
dinamo	dinamo
ditore	daily
ane	anne
tablo	tableau
dvd	dvd
dvd	dvds
linja	line
prift	priest
posaçërisht	specially
mik	friend
korea	korea
ngriti	raised
kritike	critical
kinez	chinese
kritik	critical
kritik	critically
regjistrimi	recording
regjistrimi	registration
administrativ	administrative
spanjisht	spanish
kafe	brown
kafe	coffee
gjeografik	geographic
gjeografik	geographical
fjalor	vocabulary
fjalor	dictionary
përcakton	specifies
përcakton	determines
përcakton	defines
falls	falls
kompjuter	computer
buzë	lips
buzë	edge
get	get
vendimi	decision
vendimi	verdict
vendimi	ruling
zgjedhjeve	election
formohet	formed
standarde	standards
standarde	standard
rriten	growing
rriten	grow
rriten	soar
nba	nba
shkrimi	writing
dëshira	desire
dëshira	wish
dëshira	wishes
faik	fike
faik	faik
bern	bern
pasardhësi	successor
abbr	abbr
michel	michel
vrasje	homicide
vrasje	murder
vrasje	killing
muharrem	muharrem
dorës	hand
pat	pat
ludwig	ludwig
fazë	phase
numra	numbers
bashkësia	community
studentë	students
njëzet	twenty
qafa	neck
qafa	necks
paraqitjen	presenting
shenjat	signs
austriak	austrian
aeroporti	airport
bernard	bernard
burgosur	imprisoned
burgosur	jailed
stefan	stefan
hapet	opens
bullgaria	bulgaria
popullata	population
jon	ion
jon	jon
ramiz	ramiz
miguel	miguel
vladimir	vladimir
themeluesit	founders
blue	blue
blue	blu
përzier	mixed
përzier	mixing
poezia	poetry
rendi	randy
bëj	do
filozofia	philosophy
qeliza	cells
mish	meat
mish	flesh
pushtimi	invasion
pushtimi	conquest
pushtimi	occupation
verën	summer
veshje	clothing
veshje	outfits
veshje	outfit
veshje	dress
sëmundjeve	diseases
lot	tear
lot	tears
garat	competitions
goli	goal
arab	arab
arab	arabian
kushtetutës	constitution
intelektuale	intellectual
filozof	philosophical
filozof	philosopher
mundshëm	possible
mundshëm	probable
ferizaj	ferizaj
rregullisht	regularly
erë	smell
erë	smells
channel	channel
plagosur	injured
plagosur	wounded
dobi	benefit
dobi	dobby
dëshmon	testifies
dëshmon	testify
terren	terrain
terren	ground
sabri	sabri
dokumentar	documentary
qëndrueshme	stable
qëndrueshme	steady
île	île
bindur	obedient
bindur	convince
bindur	convinced
totale	total
vijon	follows
shpirt	sweetheart
shpirt	soul
shpirt	baby
shpirt	spirit
dëshirë	desire
dëshirë	wish
unesco	unesco
komedi	comedy
kripë	salt
belgjika	belgium
eine	eine
mendon	thinks
bimët	plants
bimët	plant
bimët	vegetation
kaluarën	past
profeti	prophet
gazetë	paper
gazetë	newspaper
marko	marko
kuantike	quantum
fernando	fernando
tue	tue
prania	presence
zhdukur	disappeared
qind	cent
kapacitet	capacity
ekzistencën	existence
filloj	start
filloj	starting
kadri	kadri
bari	bari
bari	grass
topi	ball
topi	topi
qarqe	counties
mendimet	thoughts
steve	steve
dini	dini
motive	motivations
motive	motifs
motive	motives
paralele	parallel
rënie	decline
rënie	declines
jugu	south
shtypi	press
parku	park
përbërje	compound
adresa	address
qeveritare	government
zgjedhjen	selection
rajonal	regional
atomike	atomic
hipi	eep
hipi	hopped
hipi	hippie
hipi	hippies
arte	arts
arte	arte
zvicra	switzerland
zyra	offices
zyra	office
ymer	ymer
nivele	levels
mendime	thoughtful
mendime	thoughts
gadishullin	peninsula
interesuar	interested
bregut	shore
prodhon	manufactures
prodhon	produces
pemë	tree
pemë	trees
pemë	fruits
jacques	jacques
mat	mat
mat	checkmate
mat	matt
jusuf	yusuf
jusuf	jusuf
medalje	medal
medalje	medals
major	major
major	maj
kala	citadel
botuesi	publisher
qytezë	town
qytezë	township
ajër	air
kimi	kimi
kimi	chemistry
kimi	kimmy
plus	plus
festivalit	festival
juglindje	southeast
juglindje	southeastern
vendimin	decision
pesha	weights
pesha	weight
krahun	arm
vazhdueshëm	continuous
beri	barry
dinte	knew
veprime	actions
australi	australia
vëmendje	attention
hyrja	access
hyrja	entry
hyrja	entrance
hyrja	login
région	région
shfaqja	show
torino	torino
torino	turin
mike	mike
besimtarët	believers
rumania	romania
holanda	netherlands
holanda	holland
gjeni	genius
meta	blemishes
meta	meta
mbijetuar	survivor
mbijetuar	survived
mbijetuar	survive
kërkesë	request
noli	noli
skenën	scene
khalifa	khalifa
barazimin	equalizer
barazimin	aligning
europa	europe
goditje	blow
goditje	stroke
formon	forms
mjeshtër	master
flaka	flame
prejardhjen	pedigree
bujar	lavish
bujar	generous
bujar	bujar
varr	tomb
varr	grave
jush	you
anhalt	anhalt
gustav	gustav
gustav	gustaf
gustav	gustave
pozicioni	position
pozicioni	location
pozicioni	path
mjedis	environment
referuar	referred
legjenda	legend
legjenda	legends
kryengritja	uprising
kryengritja	mutiny
krah	shoulder
krah	arm
krah	side
efektet	effects
ndodhë	happens
ndodhë	happen
cilësi	quality
llogaritet	calculated
llogaritet	counts
leon	leon
kontribuar	contribute
kontribuar	contributed
miqtë	friends
njerëzimit	humanity
teuta	teuta
kuptimi	meaning
pamjen	scenery
gjermanët	germans
interpretuar	performed
interpretuar	interpret
universitet	uni
universitet	university
thote	says
regjimi	regime
frikë	fear
frikë	feared
francis	francis
kontinentale	continental
gjuhe	language
public	public
teknologjia	technology
pushtuesve	occupiers
tempuj	temples
ortodoks	orthodox
yll	star
sisteme	systems
muze	museums
muze	museum
operativ	operating
operativ	operative
operativ	operational
guinea	guinea
lumë	river
përfundimin	termination
artisti	artist
rob	rob
oborrin	backyard
atlantik	atlantic
rumanisë	romania
përshtatshëm	appropriate
përshtatshëm	suitable
studiuesit	researchers
blues	blues
lënda	subject
dhomë	room
ndërtuara	built
polonisë	poland
copë	piece
copë	hunk
bija	daughter
gjërat	things
prova	evidence
prova	rehearsal
prova	proof
mitrovicë	mitrovica
meshkujt	males
meshkujt	men
praktikë	practice
lojtarë	players
walter	walter
dimër	winter
pret	waiting
pret	waits
pret	awaits
përafërsisht	approximately
fatos	fatos
drejtpërdrejt	live
drejtpërdrejt	direct
drejtpërdrejt	directly
tarragona	tarragona
mbledhje	gathering
mbledhje	meeting
skalitur	engraved
kap	catch
kap	capture
kap	kap
juventus	juventus
williams	williams
pjesëmarrja	attendance
pjesëmarrja	turnout
pjesëmarrja	participation
mësimi	sparring
mësimi	learning
mësimi	teaching
mësimi	lesson
bir	son
poloni	poland
seksuale	sexual
dhjetëra	tens
dhjetëra	dozens
hidhet	jump
hidhet	jumps
transmetuar	broadcast
transmetuar	transmit
transmetuar	transmitted
cari	tsar
cari	carl
hartuar	drafted
hartuar	crafted
hartuar	compiled
unike	unique
demokratik	democratic
ekip	team
favor	favour
pavarësi	independence
poetik	poetic
filipi	phillip
filipi	philip
shkaku	cause
div	div
paraqitja	appearance
paraqitja	view
halil	halil
përgatitjen	preparedness
përgatitjen	preparing
gabim	wrong
gabim	error
romanin	novel
aquitaine	aquitaine
elseif	elseif
pcupdate	pcupdate
urë	bridge
ujërat	waters
adolf	adolf
udhëtim	journey
udhëtim	trip
konflikt	conflict
dhimbje	pain
luftoi	fought
përmirësuar	improved
gjenerali	general
frymë	breath
frymë	breathing
verilindje	northeast
castile	castile
artistët	artists
ndryshoi	changed
bob	bob
fut	insert
fut	enter
lexuesit	readers
klubet	clubs
mësuesi	teacher
qytetar	citizen
ekzistuese	existing
pikturë	painting
skulptura	sculpture
skulptura	sculptures
fjalori	dictionary
formimi	forming
formimi	formation
pullë	stamp
kapur	caught
kapur	captured
metodë	method
dorën	hand
miliardë	billion
commons	commons
frymëzuar	inspired
përpiqet	tries
arsim	education
çeke	czech
templates	templates
bërthamore	nuclear
këshilltar	adviser
këshilltar	consultant
këshilltar	councillor
këshilltar	councilman
këshilltar	advisor
duar	hands
gradë	degrees
gradë	degree
pavarura	independent
beogradit	belgrade
akademike	academic
petro	petro
krahasuar	compared
paraardhës	preceding
paraardhës	previous
otto	otto
avni	avni
modele	models
modele	model
fati	destiny
fati	fate
kontrolli	control
kontrolli	check
dru	wood
projektet	projects
veziri	vizier
pulla	stamps
rinjtë	newbies
europe	europe
personazhet	characters
muaji	month
nënshkruar	signed
hall	hall
anijet	boats
anijet	ships
informacioni	information
domosdoshme	indispensable
domosdoshme	imperative
kolumbia	colombia
shpeshta	frequent
globale	global
pamja	visuals
pamja	view
qeveri	government
statistikat	statistics
statistikat	stats
statistikat	insights
thuajse	almost
katror	quad
katror	square
katror	squared
peshkop	bishop
status	status
shmangur	avoid
shmangur	avoided
young	young
përmasat	dimensions
përmasat	sizes
përhershme	permanent
banda	band
banda	gang
modelet	models
modelet	patterns
shëndetësore	health
takim	date
takim	appointment
takim	meeting
zbulimin	detection
zbulimin	unveiling
zbulimin	discovery
bimore	plant
kastriot	kastriot
prag	threshold
prag	brink
prag	prag
prag	eve
dokumenti	document
kaliforni	california
ekzistuar	existed
bullgare	bulgarian
udhëtimi	travel
udhëtimi	travelling
udhëtimi	traveling
fortesa	stronghold
fortesa	fortress
fortesa	fort
firmosi	signed
saône	saône
arm	arm
gjith	all
strategjike	strategic
mario	mario
famë	fame
monumenti	monument
mbledhja	collection
general	general
add	add
klube	clubs
fabrika	plant
fabrika	factory
europë	europe
fletë	sheet
fletë	foil
fletë	leaf
ligjor	coroner
ligjor	legal
personalitete	personalities
zgjidhjen	solution
goku	goku
rugova	rugova
shqiperi	albania
flamur	flag
flamur	banner
giuseppe	giuseppe
guide	guide
organizatat	organizations
krahët	arms
krahët	wings
gazi	gas
gazi	gazi
trashëguar	inherited
dell	dell
dymbëdhjetë	twelve
dymbëdhjetë	twelfth
virginia	virginia
mia	mia
note	note
alba	alba
përkthyes	translator
përkthyes	interpreter
përkthyes	translators
kurti	kurti
prodhimet	products
keta	these
ball	ball
afganistan	afghanistan
diellor	solar
përkundër	despite
varrezat	cemeteries
varrezat	graveyards
qemali	qemali
mesdhetare	mediterranean
tashme	already
kënaqur	satisfied
spain	spain
pyjet	woods
pyjet	forests
moskë	moscow
tekstet	texts
pushtuan	invaded
bushati	bushati
info	info
apple	apple
prozë	prose
pronë	property
moisiu	moses
karbonit	carbon
fashiste	fascist
botues	publisher
botues	publishers
trashë	fat
oficer	officer
papritur	suddenly
papritur	unexpected
papritur	sudden
jezusi	jesus
trim	brave
venezuela	venezuela
zonja	ladies
zonja	lady
bot	bot
naziste	nazi
naziste	nazis
ngrihet	rises
poezinë	poetry
drejtësi	justice
arthur	arthur
bbc	bbc
kuvend	convent
kuvend	convention
leonardo	leonardo
matematike	mathematical
matematike	maths
matematike	math
fitorja	winning
subjekt	subject
titujt	headlines
titujt	titles
diskutim	discussion
vendosja	placement
vendosja	deployment
green	green
përcaktohet	determined
institucione	institutions
profesioni	profession
profesioni	occupation
territor	territory
gjermanë	germans
ferrari	ferrari
lum	river
koncepti	concept
aus	aus
tejet	extremely
hyrjen	entry
humbja	losing
humbja	loss
golden	golden
marin	marin
themeluesi	founder
kokës	scalp
gëzim	joy
academy	academy
etnik	ethnic
amor	amor
blerë	purchased
blerë	bought
eric	eric
dukagjini	dukagjini
henri	henri
henri	henry
over	over
përkatës	relevant
ushtruar	exerted
ushtruar	exercised
varur	dependent
varur	hanging
varur	hung
mendojnë	reflect
mendojnë	contemplate
datës	dated
mail	mail
fadil	fadil
vizituar	visited
futet	introduced
djegur	burned
djegur	burnt
mobile	mobile
hodhi	threw
përvojë	experience
fis	tribe
ulet	sits
operative	operative
operative	operational
feudale	feudal
prifti	priest
peru	peru
teorike	theoretical
portugalia	portugal
prizreni	prizren
saktësisht	exactly
ani	ani
ani	annie
vlerësim	evaluation
vlerësim	appreciation
vlerësim	assessment
faktorët	factors
ministrinë	ministry
detaje	details
detaje	detail
#ffffff	#ffffff
golashënuesi	gabe
golashënuesi	scorer
krahu	shoulder
krahu	arm
krahu	wing
gadishullit	peninsula
manga	manga
historiani	historian
cantabria	cantabria
përfshi	included
përfshi	include
kryeredaktor	editor
jones	jones
çmuar	precious
delhi	delhi
suedeze	swedish
zemrat	hearts
kosovo	kosovo
jashari	jashari
ismet	ismet
krahë	wings
ftuar	invited
spiro	spiro
elementi	item
elementi	element
njohja	recognition
trajtuar	treat
trajtuar	tackle
varret	tombs
varret	graves
palët	sides
palët	parties
specializuar	specialize
specializuar	specialized
mungon	missing
qen	dog
heinrich	heinrich
efekt	effect
luftimet	fighting
vret	kills
roberto	roberto
rrjetin	networking
realitet	reality
dibër	debar
dënuar	sentenced
dënuar	condemned
dënuar	convicted
dënuar	punished
egjipti	egypt
grykë	brim
linjë	line
volume	volumes
siguron	ensures
siguron	secures
siguron	provides
lexo	read
shtresat	layers
vlefshme	valid
formuan	formed
salla	ward
salla	halls
televizioni	television
without	sans
shahu	chessboard
shahu	chess
shahu	shah
flamurtari	flamurtari
dukej	looked
dukej	seemed
kaluan	passed
tag	tag
bosnje	bosnia
esat	esat
osmani	osmani
artet	arts
përvjetore	anniversaries
pranverë	spring
ramadan	ramadan
ernest	ernest
central	central
amerikanë	americans
luftëtarët	warriors
luftëtarët	fighters
pohon	asserts
pohon	affirms
pohon	claims
pohon	confirms
fshatare	peasant
tregu	marketplace
tregu	market
sich	sich
shefi	chief
kroate	croat
kroate	croatian
inxhinier	engineer
planifikuar	scheduled
planifikuar	planned
ekuacioni	equation
veriperëndim	northwest
salvador	salvador
historikisht	historically
moselle	moselle
nivelet	layers
nivelet	levels
dobishme	useful
dobishme	helpful
dhuroi	donated
pal	pal
vargu	verse
muzikant	musician
statuja	statues
statuja	statue
kapaciteti	capacity
diellore	solar
temat	themes
temat	topics
holla	money
holla	cash
peshë	weight
street	street
refuzoi	refused
gjerësia	width
antik	antique
padyshim	definitely
padyshim	undoubtedly
natyrisht	naturally
shokë	comrades
shokë	friends
qëllimet	objectives
qëllimet	goals
profile	profiles
asnje	none
serioze	serious
zhvillimet	developments
reforma	reforms
reforma	reform
shoku	buddy
shoku	dude
pakta	slim
oliver	oliver
enë	container
enë	vessels
dhunë	violence
kryesisë	chairmanship
italianë	italians
faktor	factor
css	css
hat	hut
gropë	pit
politikat	politics
politikat	policies
royal	royal
shtyp	crush
shtyp	press
kristo	christo
kristo	kristo
drurit	lumber
kroacia	croatia
gregorian	gregorian
elbasani	elbasan
kapitulli	chapter
anija	ship
anija	boat
dos	dos
hungareze	hungarian
ndikon	affects
ndikon	impacts
ndikon	influences
projektuar	designed
projektuar	projected
vexhita	vegeta
relative	relative
johnson	johnson
pranuan	accepted
pranuan	admitted
meksika	mexico
lëviz	move
lëviz	moving
komunikimi	communication
komunikimi	comm
komunikimi	comms
beson	believes
road	road
jashtëzakonisht	tremendously
jashtëzakonisht	extremely
tregohet	shown
tregohet	indicated
shkurtra	shorts
qofte	faggots
qofte	meatball
qofte	meatloaf
qofte	meatballs
anna	anna
rëndësia	importance
rëndësia	prominence
rëndësia	significance
human	humane
human	human
mediat	media
elektromagnetike	electromagnetic
efekti	effect
airlines	airlines
jordan	jordan
hungari	hungary
njerez	people
case	case
mundet	could
mundet	can
aspx	aspx
rio	rio
bukuresht	bucharest
brendësi	inland
braktisur	deserted
braktisur	abandoned
artistë	artists
kalimi	transition
kalimi	passage
kalimi	crossing
intelektual	intellectual
konstante	constant
ndjenja	feeling
ndjenja	feelings
ilegale	illegal
shpjegon	explains
klasë	class
make	make
perandorake	imperial
rënia	decline
rënia	falling
thirret	summoned
grafike	graphic
kaluara	past
ndjeshëm	sensitive
ndjeshëm	significantly
ndjeshëm	sensible
frika	fear
frika	awe
monedhat	coins
moj	moj
zur	zur
ngjitur	glued
gjerësi	latitude
gjerësi	width
nach	nach
pike	pike
pike	piquet
shënimet	notes
shënimet	clipboard
leje	permission
leje	permit
leje	clearance
institucioni	institution
pension	retirement
pension	retired
pension	retire
pension	pension
jackson	jackson
kimik	chemical
kimik	laundromat
ngrohtë	warm
përshtatur	tailored
përshtatur	customized
përshtatur	adapted
diplomat	diplomat
diplomat	diplomas
ndikojnë	affect
ndikojnë	influence
bene	doing
akuzuar	accused
akuzuar	charged
quan	quan
kështjellës	citadel
variant	variant
variant	variation
jepen	provided
jepen	given
fenomen	phenomenon
autore	author
anësore	lateral
përfundimtar	final
përfundimtar	ultimate
ivan	ivan
bashkohen	join
bashkohen	unite
pozitiv	positive
oqeanin	ocean
sëmurë	sick
rrënjë	root
rrënjë	roots
serbo	serbo
mbulon	covers
bujqësia	agriculture
synon	aims
little	little
kërkime	research
kërkime	lookup
fillestar	beginner
fillestar	initial
fillestar	rookie
fillestar	starter
mbaron	ends
shpenzimet	expenditures
shpenzimet	spending
shpenzimet	expenses
shpenzimet	expenditure
fisnike	noble
dëmtuar	damaged
shifra	digits
shifra	figures
shifra	figure
egra	wild
zgjat	qd
zgjat	lasts
luftëtarë	warriors
luftëtarë	fighters
dekoruar	decorated
hera	hera
kumanovë	kumanovo
alia	alia
donin	wanted
ideve	ideas
pavarësia	independence
kaltër	blue
shkrimtarit	writer
zbulimi	detection
zbulimi	discovery
sëmundja	illness
sëmundja	disease
sëmundja	sickness
krerët	leaders
cikli	cycle
ndërroi	switched
pasuria	riches
pasuria	wealth
çmimet	prices
had	hud
funksionon	works
dhuruar	donated
përse	why
urgell	urgell
prekur	affected
prekur	touched
maqedonase	macedonian
palë	pair
gabuar	wrong
mbështetet	relies
produktet	products
statistika	statistics
claude	claude
biologjike	biological
dahomey	dahomey
dritare	windows
dritare	window
kater	cutter
provuar	proved
provuar	proven
moral	moral
moral	morals
moral	morality
atdheun	homeland
azem	azem
kërkohet	requested
kërkohet	required
kërkohet	wanted
sachsen	sachsen
ballit	brow
mesazh	message
vegla	tools
makinat	cars
makinat	vehicles
makinat	machines
tahir	tahir
marrëveshja	agreement
marrëveshja	deal
alberto	alberto
komunale	communal
komunale	municipal
komunale	sanitation
parimi	principle
vatikani	vatican
con	con
mary	mary
rezistenca	resistance
vasil	vasil
bei	bei
mendim	thought
mendim	opinion
mendim	thinking
mendim	mindset
katrore	square
kuadrin	frameworks
shtrirje	stretch
turqve	turks
revolucioni	revolution
populluar	populated
teknikë	technique
teknikë	techs
teknikë	technicians
vërtetuar	proven
same	same
temperaturë	fever
temperaturë	feverish
traktati	treaty
praninë	presence
california	california
sub	sub
shërbente	served
turqisht	turkish
aspekte	aspects
konfederata	confederation
tjerat	rest
përfshihet	included
motor	engine
motor	motorcycle
motor	motor
ndërtesë	building
besonte	believed
