and	in
useful	uporaben
useful	koristno
useful	uporabna
useful	uporabno
useful	koristna
technical	tehnično
technical	tehnični
technical	tehnična
necessary	potrebno
believed	verjel
believed	verjela
believed	verjeli
operated	obratuje
mountains	hribi
mountains	planine
mountains	gore
mountains	gorovje
importance	pomembnost
musicians	glasbenikov
musicians	glasbeniki
musicians	glasbenika
musicians	glasbenike
hotel	hotel
girls	punce
girls	dekleta
girls	punci
girls	deklice
crew	posadka
crew	posadke
feb	feb
boy	poba
boy	deček
boy	fant
boy	fantek
ontario	ontario
nation	narod
defense	obramba
wiki	wiki
champions	prvaki
golden	zlat
golden	zlato
golden	zlata
golden	zlate
golden	zlati
districts	okrožij
districts	okrožja
faith	faith
faith	vera
faith	vere
faith	veri
faith	vero
racing	racing
racing	dirke
racing	dirkanje
mainly	predvsem
mainly	pretežno
mainly	večinoma
auto	samodejno
auto	samodejna
auto	auto
lives	živi
lives	življenja
swedish	švedska
swedish	švedsko
swedish	švedski
hot	vroče
hot	vroč
hot	vroča
entertainment	zabava
entertainment	razvedrilo
entertainment	zabavo
net	neto
net	net
soccer	nogomet
creation	stvaritev
creation	ustanovitev
creation	ustvarjanje
product	produkt
product	proizvod
product	izdelek
tower	stolp
tower	tower
increased	povečana
increased	povečan
increased	povečano
increased	zvišana
votes	glasov
votes	glasovi
votes	glasovanja
squadron	eskadrilja
contemporary	sodobno
contemporary	sodobna
contemporary	sodobni
subsequently	naknadno
focus	osredotočanje
focus	osredotočenost
focus	osredotočiti
marriage	poroka
marriage	zakon
questions	vprašanja
naval	mornariška
details	detajli
details	podrobnosti
forward	naprej
memorial	memorial
peace	mir
peace	peace
kept	obdržal
iran	iranu
iran	irana
iran	iran
korea	koreja
korea	koreji
korea	korejo
analysis	analizo
analysis	analize
analysis	analiza
winners	zmagovalcev
winners	zmagovalci
winners	zmagovalce
poor	bogi
poor	ubogi
poor	revni
poor	uboga
grade	stopnja
cricket	kriket
judge	judge
judge	sodnik
judge	sodnica
electric	električno
electric	električna
electric	električni
exist	obstajajo
corporation	korporacija
corporation	corporation
corporation	korporacijo
hold	drži
campus	kampusu
brazil	brazilija
chris	chris
beyond	onkraj
beyond	onstran
fifth	petič
fifth	peta
fifth	peto
fifth	peti
increase	povečanje
increase	zvišanje
increase	povišanje
summary	povzetek
remaining	preostali
remaining	preostale
remaining	preostalo
statement	izjavo
statement	navedba
statement	izjava
broadcast	oddajanje
broadcast	oddaja
piano	klavir
des	des
novels	romane
novels	romanov
serving	služiti
hour	uro
hour	ura
hour	urice
moving	selitev
moving	premikanje
resolution	ločljivost
resolution	resolucija
concept	pojem
concept	koncept
alternative	alternative
alternative	alternativni
alternative	alternativno
alternative	alternativa
brothers	brate
brothers	bratje
brothers	bratov
brothers	brata
attacks	napadi
attacks	napade
encyclopedia	enciklopedija
republican	republikanski
republican	republikanec
representatives	predstavniki
representatives	zastopniki
politicians	politikov
politicians	politiki
difficult	težka
difficult	težavna
difficult	težko
ability	zmožnosti
ability	zmožnost
ability	sposobnost
studied	raziskano
studied	študiral
host	gostitelja
host	gostitelj
wall	obzidje
wall	zid
wall	stena
wall	steno
immediately	nemudoma
immediately	takoj
urban	urban
urban	mestna
urban	urbana
urban	mestne
pakistan	pakistan
becomes	postane
marine	morskih
marine	marinec
marine	marine
marine	morsko
physical	fizično
physical	fizični
physical	fizična
dec	dec
troops	čet
troops	čete
interview	razgovor
interview	intervju
coming	prihaja
emperor	car
emperor	imperator
emperor	cesar
letter	dopis
letter	črka
letter	pismo
couple	par
duke	vojvodo
duke	duke
duke	knez
duke	vojvoda
tell	povej
gallery	galerija
gallery	galerijo
follow	sledi
windows	windows
windows	okna
tree	jelka
tree	drevo
hits	zadetkov
jazz	jazz
protection	zaščita
protection	varstvo
protection	zaščito
protection	varovanje
relevant	ustrezni
relevant	ustrezna
count	štetje
count	grof
situation	razmere
situation	položaj
situation	situacijo
situation	situacija
situation	stanje
reviews	pregledi
classical	klasične
classical	klasično
classical	klasična
offered	ponujena
offered	ponujenih
offered	ponujene
offered	ponujeni
offered	ponujeno
offered	ponudil
lady	gospa
lady	dama
lady	lady
netherlands	nizozemsko
netherlands	nizozemski
netherlands	nizozemskem
netherlands	nizozemska
reports	poročila
reports	poročili
influence	vplivanje
influence	vpliv
address	naslov
linear	linearni
linear	linearno
linear	linearna
machine	mašina
machine	stroj
domain	področje
elements	elementi
minnesota	minnesoti
types	tipi
types	vrste
nov	november
serve	služil
serve	servis
serve	služi
sydney	sydney
ministry	ministrstvo
blood	kri
distance	oddaljenost
distance	razdalja
bottom	dno
bottom	spodaj
giving	dajanje
boys	fantje
boys	dečki
boys	fanta
potential	potencialno
potential	potencial
toronto	toronto
edited	urejena
edited	urejeni
edited	izpuščeni
infantry	pehota
infantry	pehotna
jun	jun
conflict	navzkrižje
conflict	spor
conflict	konflikt
conflict	spopad
workers	delavcev
workers	delavci
workers	delavce
steve	steve
steve	steva
philadelphia	filadelfiji
helped	pomagala
helped	pomagal
helped	pomagalo
der	der
nationality	državljanstvo
dispute	spor
scene	scena
scene	prizor
scene	prizorišče
scene	sceno
method	metoda
method	metodo
titles	naslovi
titles	naslovov
berlin	berlin
conditions	pogoji
arms	roke
arms	orožje
arms	roki
races	dirk
races	dirkah
races	rase
races	dirke
maybe	mogoče
maybe	mogoce
maybe	morda
discovered	odkrila
discovered	odkril
discovered	odkrite
discovered	odkrita
discovered	odkrili
discovered	odkrit
iron	železo
iron	železov
iron	železna
iron	železa
extended	razširjeni
extended	razširjeno
extended	podaljšana
extended	podaljšano
extended	razširjena
extended	podaljšan
churches	cerkva
churches	cerkve
otherwise	drugače
otherwise	sicer
positive	pozitiven
positive	pozitivni
positive	pozitivna
positive	pozitivno
positive	pozitivne
santa	božiček
santa	santa
nom	nom
longew	longew
imperial	cesarski
imperial	carski
imperial	imperial
composed	sestavljeno
latns	latns
ball	žogo
ball	žoga
ball	žogica
width	širino
width	širina
quickly	hitro
correct	pravilno
correct	pravilna
correct	pravilen
correct	pravilni
responsible	odgovorno
responsible	odgovornega
responsible	odgovoren
responsible	odgovorni
responsible	odgovorna
indiana	indiana
soldiers	vojaki
examples	primeri
korean	korejsko
korean	korejski
genre	zvrst
fish	ribi
fish	riba
fish	ribe
fish	ribice
fish	ribo
senate	senat
effects	učinki
effects	vplivi
gun	pištola
gun	pištolo
check	preveri
check	preveriti
check	preverjanje
check	preverite
plans	načrte
plans	načrti
renamed	preimenovali
sign	podpišite
sign	znak
reporting	poročanje
sweden	švedska
heritage	dediščina
heritage	dediščino
heritage	dediščine
tag	označi
tag	oznaka
primarily	primarno
primarily	predvsem
doctor	zdravnik
doctor	zdravnika
doctor	zdravnica
doctor	doktor
leaders	vodje
leaders	voditelji
lies	laži
inc	inc
rivers	rek
rivers	reke
crime	zločin
crime	kriminal
crime	kriminala
liberal	liberalni
stand	stojalo
stand	stand
stand	stati
bob	bob
bob	boba
existing	obstoječa
existing	obstoječo
existing	obstoječe
existing	obstoječi
publishing	izdajanje
publishing	objavo
publishing	objavljanje
industrial	industrijsko
industrial	industrijska
industrial	industrijske
industrial	industrijski
answer	odgovor
answer	odgovori
split	narazen
split	razdeli
split	split
apr	apr
sex	seks
sex	spol
sex	sex
mixed	mešani
mixed	mešana
mixed	mešane
mixed	mešano
acting	igranje
personnel	osebje
rail	železniški
rail	tirnice
rail	železnica
die	umri
die	umreti
die	umrl
premier	premier
approach	pristop
approach	prilet
approach	pristopi
wisconsin	wisconsinu
sentence	kazen
sentence	stavek
sentence	obsodba
root	korenina
root	korena
root	koren
root	korenine
root	root
standards	standarde
standards	standardi
comics	stripi
comics	stripov
comics	stripe
earned	zaslužil
miss	gospodična
miss	miss
specifically	specifično
specifically	izrecno
specifically	posebej
horse	konjsko
horse	konj
horse	konja
actual	dejanske
actual	dejanski
actual	dejanska
contributions	prispevki
lieutenant	poročnik
wood	les
wood	wood
wood	lesena
wood	lesa
wood	lesni
wood	leseno
plants	rastline
plants	rastlin
initial	začetni
initial	začetna
initial	začetno
origin	izvor
origin	poreklo
environment	okolje
pretty	lepa
rank	čin
bus	bus
bus	avtobus
bus	avtobusna
gas	bencin
gas	gas
gas	plin
direction	smer
guide	vodič
guide	vodnik
guide	vodilo
resources	vire
resources	sredstva
resources	viri
affairs	afere
affairs	zadeve
accepted	sprejeta
accepted	sprejete
accepted	sprejet
accepted	sprejeto
animals	živali
activity	dejavnost
activity	dejavnosti
activity	aktivnost
activity	aktivnosti
levels	ravni
levels	stopnje
levels	nivoji
laws	zakoni
laws	zakone
jim	jim
jim	jima
creating	ustvarjanje
cambridge	cambridge
composer	skladatelj
remove	odstrani
agency	agencija
reserve	rezerva
reserve	rezervo
reserve	rezerve
atlantic	atlantic
atlantic	atlantik
supreme	vrhovnega
supreme	vrhovni
supreme	vrhovno
weight	težo
weight	utež
weight	teža
ask	vprašajte
ask	vprašaj
fighting	pretep
fighting	pretepanje
fighting	bojevanje
jackson	jackson
widely	široko
rose	rose
rose	vrtnica
treatment	zdravljenja
treatment	obdelava
treatment	zdravljenje
treatment	obravnava
linked	povezana
linked	povezano
linked	povezani
andrew	andrej
andrew	andreja
andrew	andrew
trial	sojenje
expanded	razširjeni
expanded	razširjen
expanded	razširjena
expanded	razširjene
daniel	danijel
daniel	daniela
daniel	daniel
certainly	vsekakor
info	info
info	informacije
sciences	vede
sciences	ved
sciences	znanosti
fame	slava
fame	slavo
everything	vse
avenue	avenijo
avenue	avenue
avenue	avenija
travel	potovanja
travel	potovanje
scale	merilo
scale	lestvici
scale	lestvica
scale	obseg
break	break
break	zlomil
break	zlomi
oregon	oregon
housing	ohišje
housing	ohišja
housing	nastanitev
capacity	zmogljivosti
capacity	zmogljivost
capacity	kapaciteta
#efefef	#efefef
smaller	manjše
smaller	manjša
smaller	manjši
fictional	izmišljeni
exchange	izmenjava
exchange	izmenjavo
exchange	izmenjave
exchange	menjava
actions	dejanja
actions	ukrepi
settlement	poravnave
settlement	poravnava
agreement	sporazum
agreement	dogovor
translation	prevajanje
translation	prevod
males	samci
kansas	kansas
managed	uspela
managed	uspelo
bring	prinesi
fails	spodleti
dedicated	namenski
dedicated	namenske
dedicated	posvečena
dedicated	predan
dedicated	posvečeno
estate	posest
estate	posestvo
nearby	bližnje
residents	stanovalci
residents	prebivalcev
residents	prebivalci
piece	kos
piece	delček
piece	košček
piece	kosa
growth	rast
growth	rasti
trust	zaupanje
trust	zaupanja
drums	bobni
issued	izdana
issued	izdani
issued	izdano
issued	izdane
murder	umor
normal	normalno
normal	običajno
normal	normalen
normal	normalna
normal	običajna
twenty	twenty
twenty	dvajset
tony	tony
norwegian	norveško
norwegian	norveške
norwegian	norveška
norwegian	norveški
criteria	merilo
criteria	kriteriji
criteria	merila
context	kontekst
context	konteksta
suggested	predlagane
suggested	predlagan
suggested	predlagano
suggested	predlagani
suggested	predlagana
revolution	revolucijo
revolution	revolucije
revolution	revolucija
wars	vojne
wars	vojn
aug	avg
leaves	listje
leaves	listi
leaves	listov
advanced	napredno
advanced	napredna
advanced	napredni
advanced	napreden
distribution	razdelitev
distribution	porazdelitev
distribution	distribucija
distribution	razdeljevanje
distribution	razporeditev
medicine	zdravilo
medicine	medicino
medicine	medicina
garden	garden
garden	vrt
reach	doseg
reach	reach
reach	doseči
turkey	turčija
females	samice
publications	publikacije
impact	učinek
impact	trk
impact	vpliv
households	gospodinjstva
survey	anketa
survey	anketo
survey	raziskava
height	višina
height	višine
morning	dopoldne
morning	jutranja
morning	jutro
honor	častno
honor	časti
honor	čast
honor	častna
deep	globoka
deep	globoko
deep	globok
argument	utemeljitev
argument	argument
publication	objava
publication	objavo
publication	objavljanje
arthur	arthur
arthur	arthurja
arthur	artur
elizabeth	elizabeta
elizabeth	elizabeth
disambiguation	razločitev
worth	vreden
worth	vredna
worth	vredno
worth	vredne
colorado	koloradu
colorado	kolorado
colorado	colorado
median	mediana
maryland	marylandu
falls	slapovi
falls	falls
falls	pade
falls	padci
zone	cona
zone	območje
solo	solo
learning	učenje
pay	plača
pay	plačilo
choice	izbira
vol	vol
flag	označitev
flag	zastava
flag	zastavo
flag	zastave
engineer	inženir
cars	avte
cars	avtomobili
cars	avti
cars	avtomobile
farm	farma
farm	kmetiji
farm	kmetija
wilson	wilson
principal	ravnatelj
principal	ravnateljica
principal	glavnica
acquired	pridobljena
acquired	pridobljen
acquired	pridobljene
acquired	pridobljeno
constructed	konstruirana
constructed	zgrajeno
secret	skrivna
secret	skrivnost
secret	skrivno
poet	pesnik
poet	pesnika
poet	pesnica
build	zgradi
build	zgraditi
build	zgradil
orchestra	orkester
versions	različice
fixed	popravljeno
fixed	fiksno
fixed	popravil
fixed	fiksna
efforts	napori
efforts	prizadevanja
documentary	dokumentarec
equipment	opremo
equipment	oprema
ray	ray
yellow	rumena
yellow	rumeni
yellow	rumene
yellow	rumen
yellow	rumeno
guard	stražar
guard	straža
guard	čuvaj
guard	garda
pressure	pritisk
pressure	tlak
grant	grant
prison	zapora
prison	zapor
freedom	svoboda
freedom	prostost
freedom	svobode
freedom	svobodo
norway	norveško
norway	norveška
twice	dvakrat
store	prodajalna
store	trgovina
taylor	taylor
taylor	taylorja
quarter	četrt
quarter	četrtina
designated	določen
designated	določena
independence	samostojnost
independence	neodvisnost
platform	ploščad
platform	platforma
platform	platformo
rome	rimu
rome	rim
rome	rima
teacher	učiteljica
teacher	učitelj
copy	kopiranje
copy	kopiraj
copy	kopijo
effort	prizadevanja
effort	napora
effort	napor
effort	trud
effort	prizadevanje
nuclear	jedrska
nuclear	jedrski
pictures	slike
pictures	slik
models	modeli
models	modelov
sep	sept
everyone	vsi
description	opis
description	poimenovanje
agreed	dogovorjena
agreed	dogovorjeni
agreed	dogovorjeno
institutions	institucije
institutions	nosilci
institutions	ustanove
covers	zajema
covers	prevleke
covers	pokrovi
facilities	objekti
target	tarča
target	ciljna
stack	kup
rationale	utemeljitev
combined	kombinirano
combined	kombinirana
bronze	bron
sort	razvrsti
hosted	gostil
hosted	gostila
programming	programiranje
railroad	železnico
railroad	železnice
railroad	železnica
unique	edinstveno
unique	edinstven
unique	edinstvena
unique	enkratna
defined	opredeljen
defined	opredeljeni
defined	opredeljeno
defined	opredeljena
ocean	ocean
cell	celico
cell	celice
cell	celic
cell	celica
missouri	missouri
concert	koncert
improve	izboljšanje
improve	izboljšati
improve	izboljša
biography	življenjepis
biography	biografijo
loan	posojilo
contact	kontakt
contact	stik
contact	stika
holy	sveti
holy	sveto
tennessee	tennessee
sub	podmornico
sub	sub
safety	varnosti
safety	varnost
competed	tekmoval
competed	tekmovala
stephen	stephen
stephen	štefan
stephen	stephena
policies	politik
policies	police
policies	politike
painting	sliko
painting	slikanje
painting	barvanje
painting	slika
price	cena
mexican	mehiško
mexican	mehiški
mexican	mehičan
mexican	mehiška
leadership	vodstvo
leadership	vodenje
flying	leteči
flying	letenje
message	sporočilo
municipal	občinski
serious	resne
serious	resna
serious	resno
serious	resni
headquarters	poveljstvo
headquarters	štab
headquarters	sedež
officially	uradno
cemetery	pokopališču
cemetery	pokopališče
memory	pomnilnik
memory	spomini
memory	spomin
memory	spomina
fields	polji
fields	polja
generation	generacija
generation	generacije
generation	ustvarjanje
generation	generacijo
copies	kopij
copies	kopije
finals	finale
fox	fox
fox	lisica
fox	lisjak
continues	nadaljuje
representative	zastopnik
representative	reprezentativno
representative	reprezentativni
representative	predstavnik
destroyed	uničena
destroyed	uničeni
destroyed	uničene
destroyed	uničen
destroyed	uničeno
feet	noge
feet	stopala
feet	stopali
feet	nogice
guy	guy
guy	tip
philippines	filipini
revealed	razkril
revealed	pokazala
revealed	razkrili
revealed	razkrita
revealed	razkrila
organized	organizirani
organized	organizirano
organized	organiziran
organized	organizirana
organized	organizirane
serves	služi
conservative	konzervativne
share	deli
share	delimo
share	delež
share	delim
maria	marijo
maria	marija
maria	maria
disease	bolezen
disease	bolezni
sections	poglavji
sections	oddelki
philosophy	filozofija
philosophy	filozofijo
ways	načine
ways	načini
arrived	prispele
arrived	prispel
arrived	prispela
arrived	prispeli
divided	deljena
divided	deljeno
divided	razdeljene
divided	razdeljeni
divided	razdeljeno
floor	tla
floor	nadstropje
latd	latd
longd	longd
logo	logo
logo	logotip
meets	izpolnjuje
yard	ladjedelnica
yard	dvorišče
cancer	raku
cancer	rak
cancer	raka
offer	ponudba
offer	ponudbo
tax	davki
tax	davčna
tax	davek
expected	pričakovani
expected	pričakovana
expected	pričakovan
expected	pričakovali
expected	pričakovano
traffic	prometni
traffic	promet
concerns	pomisleki
concerns	zaskrbljenost
graduated	diplomiral
graduated	diplomirala
guest	gosta
guest	gostja
guest	gost
jews	židje
jews	judje
formation	nastanek
formation	formacijo
meant	pomenilo
meant	mišljeno
economy	ekonomija
economy	gospodarstvo
storm	vihar
storm	nevihta
storm	storm
storm	neurje
tells	pove
tells	pripoveduje
mile	miljo
mile	mile
protected	zaščiteno
protected	zaščitena
protected	zaščiteni
protected	zaščiten
bowl	skleda
bowl	skledo
letters	pisma
letters	črke
letters	pisem
classic	klasika
classic	klasično
classic	klasična
classic	klasičen
classic	klasični
damage	škoda
harry	harry
offers	ponudbe
offers	ponuja
davis	davis
davis	davisa
challenge	izziv
views	ogledov
views	mnenja
views	stališča
views	pogledi
marked	označena
marked	označeni
marked	označene
marked	označeno
allows	dopušča
allows	omogoča
allows	dovoljuje
density	gostote
density	gostota
literary	literarni
htm	htm
ben	bena
ben	ben
transportation	prevoz
transportation	prevozi
kentucky	kentucky
sales	prodaja
fleet	ladjevje
fleet	floto
fleet	flota
fleet	flote
supporting	podpiranje
captured	ujeli
captured	ujeta
captured	zajeti
captured	ujet
extra	dodatno
extra	dodaten
extra	ekstra
extra	extra
recognized	priznan
recognized	prepoznal
recognized	priznana
recognized	priznano
arizona	arizona
arizona	arizono
theme	temo
theme	tema
francis	franc
francis	francis
moscow	moskvi
moscow	moskva
interested	zanima
interested	zainteresirani
interested	zainteresirana
interested	zainteresirane
heard	slišal
heard	slišala
behavior	vedenje
behavior	obnašanje
transferred	prenesen
transferred	premeščen
transferred	prenesenih
transferred	preneseno
transferred	preneseni
environmental	okoljsko
environmental	okoljski
blank	prazen
blank	prazno
musician	glasbenik
assigned	dodeljene
assigned	dodeljena
assigned	dodeljeno
assigned	dodeljen
assigned	dodeljeni
seats	sedeže
seats	sedeži
tennis	tenisu
tennis	tenis
percent	odstotek
logs	dnevniki
logs	hlode
display	prikaz
convention	konvencija
convention	konvencijo
convention	konvencije
ring	prstan
ring	ring
ring	obroč
joint	joint
joint	skupno
brian	brian
deputy	namestnica
deputy	namestnik
planned	načrtovan
planned	načrtovani
planned	načrtovana
planned	načrtovano
planned	načrtovane
universities	univerze
universities	univerz
universities	univerzami
yards	ladjedelnice
yards	jardov
communist	komunistično
communist	komunist
communist	komunistična
communist	komunistični
agent	agentka
agent	zastopnik
agent	agent
difference	razlika
difference	razliko
difference	razlike
animal	živalsko
animal	živalska
animal	žival
animal	živali
czech	češka
czech	češki
positions	položaji
positions	stališča
positions	pozicije
combat	bojna
palace	palačo
palace	palača
card	kartico
card	kartica
card	karta
ordered	naročila
ordered	urejen
ordered	naročeno
ordered	naročil
opposition	nasprotovanje
opposition	nasprotovanja
opposition	opozicija
opposition	opozicije
understanding	razumevanje
wrestling	rokoborba
wrestling	rokoborbo
critics	kritiki
critics	kritike
growing	raste
growing	rastoče
growing	gojenje
hands	roke
latm	latm
longm	longm
participated	sodelovala
participated	sodeloval
participated	sodelovali
participated	sodelovalo
poetry	poezija
poetry	poezijo
poetry	poezije
materials	materiali
materials	material
materials	materialov
turkish	turška
turkish	turški
turkish	turško
paid	plačano
paid	plačani
paid	plačan
paid	plačana
promotion	promocije
promotion	promocijo
promotion	napredovanje
promotion	spodbujanje
promotion	promocija
apparently	očitno
battalion	bataljon
mobile	mobilna
mobile	mobilni
mobile	mobilnih
mobile	mobilno
row	vrstica
merged	združeni
merged	združena
metropolitan	metropolitan
figures	številke
figures	figure
existence	obstoja
existence	obstoj
eye	očesu
eye	eye
eye	oko
longs	hrepeni
louisiana	louisiani
lewis	lewis
melbourne	melbourne
austria	avstrijo
austria	avstrija
brigade	brigada
brigade	brigade
screen	ekran
screen	zaslon
risk	tveganje
risk	tveganja
conducted	izvedene
lats	lats
ban	ban
ban	prepoved
ban	prepovedi
labor	porod
legislative	zakonodajno
legislative	zakonodajna
definition	opredelitev
definition	definicija
indeed	dejansko
indeed	zares
draw	žreb
draw	narisal
application	zahtevek
application	vloga
steel	jekla
steel	jeklo
steel	jeklena
steel	jeklene
steel	jekleni
steel	jekleno
presence	prisotnost
presence	prisotnosti
presence	navzočnost
expansion	razširitev
expansion	širjenje
expansion	širitev
earl	earl
max	max
max	največ
max	maks
wild	divja
wild	wild
wild	divje
wild	divji
planning	načrtovanje
comic	komik
comic	strip
adopted	sprejeta
adopted	sprejet
adopted	sprejeto
easy	počasi
plus	plus
happy	srečna
happy	srečen
happy	vesela
happy	srečno
acts	dejanja
acts	akti
classes	razredi
classes	pouk
iowa	iowa
grew	zrasel
grew	rasel
grew	zrasla
save	reši
save	shrani
wins	zmaga
theater	gledališče
exists	obstaja
roles	vloge
roles	vlog
chance	chance
chance	priložnost
chance	možnost
prevent	preprečiti
prevent	prepreči
prevent	preprečite
candidates	kandidati
candidates	kandidatov
candidates	kandidatke
candidates	kandidata
candidates	kandidate
object	predmet
object	objekt
felt	čutila
felt	počutil
felt	čutil
felt	občutila
powers	moči
powers	pooblastila
powers	powers
powers	pristojnosti
birds	ptic
birds	ptički
birds	ptiči
birds	ptice
birds	ptiče
spread	razširi
spread	širjenje
defeat	poraz
defeat	porazi
cape	ogrinjalo
cape	rt
cape	cape
identified	ugotovljene
identified	ugotovljena
gained	pridobil
regions	regije
regions	regij
mine	moj
mine	moja
mine	rudnik
mine	moje
sides	strani
showing	prikazovanje
teaching	poučevanje
guidelines	smernicami
guidelines	smernice
simon	simon
simon	simona
depth	globina
lyrics	besedila
lyrics	besedilo
christmas	božič
declined	odklonil
declined	zavrnjena
greece	grčija
express	izraziti
express	express
federation	federacija
federation	federacije
journalist	novinarka
journalist	novinarja
journalist	novinar
intelligence	inteligenca
intelligence	obveščevalna
connection	priključitev
connection	povezava
displayed	prikazana
displayed	prikazanih
displayed	prikazano
displayed	prikazane
displayed	prikazan
portuguese	portugalski
portuguese	portugalsko
portuguese	portugalska
declared	prijavljeni
declared	prijavljenih
declared	prijavljena
constitution	ustava
presidential	predsedniške
presidential	predsedniško
presidential	predsedniški
standing	stoji
sons	sinove
sons	sinov
sons	sinovi
sons	sinova
plot	zarota
plot	zaroto
dates	zmenki
dates	datume
dates	datumi
firm	trdno
proper	pravilno
ends	konci
ends	konča
pilot	pilotni
pilot	pilot
relatively	relativno
receive	prejeti
educated	izobražen
educated	izobraženi
educated	izobražena
opposed	nasprotoval
manchester	manchester
queensland	queensland
americans	američani
introduction	uvedba
introduction	uvod
introduction	uvajanje
introduction	vnos
directors	direktorjev
directors	direktorji
vehicle	vozilo
stock	stalež
stock	zaloge
stock	zaloga
vehicles	vozil
vehicles	vozila
israeli	izraelske
israeli	izraelsko
israeli	izraelska
israeli	izraelski
frequently	pogosto
hills	hribi
hills	hills
performing	nastopati
performing	opravljanje
northwest	severozahodni
northwest	sz
northwest	severozahodno
drug	zdravilo
drug	droga
visit	obisk
visit	obiščite
residence	prebivanje
residence	bivališče
residence	bivanje
residence	rezidenca
residence	prebivališče
walter	walterja
walter	walter
interesting	zanimiv
interesting	zanimivo
interesting	zanimiva
moon	mesec
moon	luna
moon	luni
moon	moon
limit	omejitev
limit	omeji
limit	meja
minute	minuta
minute	minuto
bell	zvonec
bell	zvon
bell	bell
athletics	atletika
reduced	zmanjšan
reduced	zmanjšana
reduced	znižana
reduced	zmanjšano
reduced	zmanjšani
wind	vetru
wind	veter
wind	vetra
oklahoma	oklahoma
architect	arhitekta
architect	arhitekt
ideas	zamisli
ideas	idej
ideas	ideje
electronic	elektronsko
electronic	elektronska
crown	krona
crown	krono
younger	mlajši
younger	mlajša
younger	mlajše
anderson	anderson
step	korak
weapons	orožja
weapons	orožje
unable	nezmožen
neutral	nevtralno
neutral	nevtralni
neutral	nevtralen
connected	povezana
connected	povezani
connected	povezano
switzerland	švico
switzerland	švici
switzerland	švice
switzerland	švica
armed	oboroženi
armed	oborožena
armed	oborožen
armed	oborožene
weekly	tedenska
weekly	tedenski
weekly	tedensko
rating	rating
programme	program
squad	vod
multi	multi
dynasty	dinastije
dynasty	dinastija
cold	mraz
cold	mrzlo
cold	hladno
cold	mrzla
cold	mrzel
granted	podeljena
granted	odobreno
socorro	socorro
alliance	zavezništvo
methods	metode
sam	sam
alabama	alabama
albert	albert
tropical	tropske
tropical	tropski
tropical	tropskih
vietnam	vietnam
dvd	dvd
heat	vročina
heat	toplota
heat	toplote
fans	ventilatorji
fans	ljubitelji
fans	oboževalci
fans	navijači
surrounding	okoliških
surrounding	obdaja
credit	zasluge
credit	kreditne
credit	kredit
credit	kreditno
commons	commons
boat	jadrnica
boat	ladja
boat	čoln
boxes	škatle
ethnic	etničnih
ethnic	etnične
ethnic	etnično
speaking	govorjenje
fell	padel
fell	padla
fell	padlo
arena	arena
arena	areni
arena	areno
roads	ceste
roads	cest
core	jedro
dog	dog
dog	pasja
dog	kuža
dog	pasji
dog	pes
kill	ubil
wikiproject	wikiproject
oldest	najstarejša
oldest	najstarejši
negative	negativen
negative	negativna
negative	negativno
negative	negativni
confirmed	potrjen
confirmed	potrjeno
confirmed	potrjeni
confirmed	potrjena
sixth	šesti
sixth	šesta
sixth	šesto
edge	robu
edge	rob
edge	ostrino
jesus	jezus
tools	orodja
tools	orodje
colonel	polkovnik
weak	šibki
weak	šibak
weak	šibek
weak	šibka
weak	šibko
chosen	izbrano
chosen	izbrani
chosen	izbrana
chosen	izbran
brand	znamka
nfl	nfl
rise	dvig
rise	vzpon
supply	oskrba
supply	dobava
tradition	tradicije
tradition	tradicijo
tradition	tradicija
elementary	osnovno
elementary	osnovni
household	gospodinjstvo
household	gospodinjski
spirit	duh
task	naloga
task	opravilo
slightly	rahlo
howard	howard
incident	incident
develop	razviti
southeast	jugovzhodno
southeast	jugovzhodni
sunday	nedeljsko
sunday	nedeljo
sunday	nedelje
sunday	nedeljski
sunday	nedelja
stats	statistika
stats	statistiko
climate	podnebje
topics	teme
purchased	kupljen
purchased	kupljene
purchased	kupljeno
purchased	kupljena
communications	komunikacije
communications	komuniciranje
chapter	poglavje
broken	zlomljen
broken	zlomljeni
broken	zlomljeno
singapore	singapur
license	dovoljenje
license	licenca
haven	pristan
haven	haven
deaths	smrti
citizens	meščani
citizens	državljane
citizens	državljani
guns	topovi
guns	puške
guns	orožje
guns	pištole
trees	dreves
trees	drevje
trees	drevesa
gone	odšel
improved	izboljšano
improved	izboljšani
improved	izboljšana
improved	izboljšan
visual	vizualno
pope	pope
pope	papež
officials	uradniki
sat	sedeli
sat	sedela
sat	sedel
sat	sat
glass	steklo
glass	stekla
glass	kozarec
glass	steklena
miller	miller
posted	objavljeno
posted	objavil
estimated	ocenjeno
estimated	ocenjen
estimated	ocenjeni
estimated	ocenjena
contain	vsebujejo
contain	vsebovati
contain	vsebuje
brazilian	brazilski
sexual	spolno
sexual	spolna
defence	obramba
rich	bogato
rich	bogati
rich	rich
rich	bogat
rich	bogata
fast	hitri
fast	hiter
fast	hitra
fast	hitro
properties	lastnosti
taught	naučil
extensive	obsežna
extensive	obširno
extensive	obsežno
extensive	obsežne
exhibition	razstave
exhibition	razstavi
exhibition	razstavo
exhibition	razstava
speech	govor
les	les
proposal	predlog
proposal	predloga
straight	naravnost
straight	ravne
internal	notranja
internal	interno
internal	notranje
internal	notranji
effective	učinkoviti
effective	učinkovita
effective	učinkovit
