reds	レッズ
slip	スリップ
gore	ゴア
herb	ハーブ
rep	rep
crescent	三日月
possibilities	可能性
syntax	構文
genome	ゲノム
hale	ヘール
railroads	鉄道
sonny	ソニー
hawkins	ホーキンス
sheets	シート
sheets	シーツ
suspicion	疑惑
suspicion	断崖
molecule	分子
winters	ウィンタース
tonnes	トン
preferences	設定
cds	cd
tricks	トリック
partnerships	パートナーシップ
salvation	救済
guaranteed	保証
swamp	沼地
jennings	ジェニングス
beneficial	有益
annexed	併合
sutherland	サザーランド
gym	体育館
gym	ジム
squares	正方形
ads	広告
eet	eet
revenues	収益
revenues	歳入
müller	ミュラー
bremen	ブレーメン
licenses	ライセンス
seventy	seventy
cultivation	栽培
ingredients	材料
ingredients	食材
ingredients	成分
benny	ベニー
racer	レーサー
beef	ビーフ
beef	牛肉
password	パスワード
modules	モジュール
comeback	カムバック
precious	尊い
precious	precious
precious	貴重
apologize	謝る
apologize	謝罪
moist	しっとり
aging	老化
garrett	ギャレット
dinosaur	恐竜
emblem	エンブレム
plague	疫病
plague	ペスト
wan	wan
pie	パイ
spiral	スパイラル
spiral	渦巻
marcos	マルコス
cement	セメント
refugee	難民
madame	マダム
luigi	ルイジ
ieee	ieee
donation	募金
donation	寄付
café	カフェ
correction	修正
correction	補正
correction	訂正
crusade	十字軍
talbot	タルボット
brooke	ブルック
extensions	拡張
cube	立方体
cube	キューブ
goa	ゴア
vacation	休暇
vacation	バカンス
vacation	バケーション
maggie	マギー
boots	ブーツ
ambulance	救急車
luna	ルナ
flint	フリント
skeleton	スケルトン
skeleton	骨格
lawn	芝生
école	エコール
mai	マイ
einstein	アインシュタイン
gould	グールド
crosby	クロスビー
livingston	リビングストン
niagara	ナイアガラ
demons	悪霊
treatments	トリートメント
vintage	ビンテージ
perkins	パーキンス
gdp	gdp
stereo	ステレオ
troubles	トラブル
troubles	悩み
tina	ティナ
resume	再開
unlimited	無制限
footnote	脚注
molly	モリー
robbie	ロビー
attitudes	態度
thoroughbred	サラブレッド
boost	宣伝
neighbors	近所
portrayal	描写
rim	リム
abundant	豊富
wendy	ウェンディ
gran	グラン
feud	確執
jockey	騎手
jockey	ジョッキー
breathing	呼吸
niger	ニジェール
emmanuel	エマニュエル
doll	人形
oaks	オークス
umbrella	アンブレラ
elliot	エリオット
campuses	キャンパス
showcase	ショーケース
rotating	回転
angles	アングル
tolerance	許容
tolerance	寛容
berg	ベルク
paula	ポーラ
sink	流し
sink	シンク
hiking	ハイキング
refusal	拒否
refusal	拒絶
rama	ラーマ
airplane	飛行機
violet	バイオレット
northampton	ノーザンプトン
wordpress	wordpress
abbreviation	略語
abbreviation	略記
abbreviation	略称
loneos	loneos
gentleman	紳士
gentleman	ジェントルマン
piper	パイパー
