okrajšava	abbreviation
giulio	giulio
siegfried	siegfried
sodobnost	modernity
posmrtno	posthumously
bomba	bomb
bomba	bombshell
scene	scenes
navidezni	apparent
navidezni	virtual
neill	neill
skorje	crusts
mera	mera
mera	rate
sulfat	sulphate
sulfat	sulfate
tito	tito
izdelane	manufactured
izmenjavo	exchange
docent	docent
deseti	tenth
infrastrukture	infrastructures
prezbiterij	chancel
dim	dim
dim	smoke
obred	ceremony
obred	ritual
veronika	veronika
veronika	veronica
skale	boulders
skale	rocks
označeno	tagged
označeno	marked
ukinjena	abolished
catherine	catherine
razlage	interpretations
razlage	explanations
odkrito	honestly
medicinsko	medical
realna	realistic
mejah	borders
puščavi	desert
zajec	rabbit
vezan	bound
pripadnost	affiliation
pripadnost	belonging
zheng	zheng
stojan	stojan
twin	twin
disciplina	discipline
soproga	spouse
soproga	wife
dorothy	dorothy
teoretik	theorist
lars	lars
malta	malta
cona	zone
medveščak	medveščak
zaupanje	confidence
zaupanje	trust
široki	wide
konstruktor	constructor
prejeti	receive
prejeti	received
izginila	vanished
izginila	disappear
izginila	disappeared
primerjavo	comparison
primerjavo	comparing
diska	disc
diska	discus
zgleda	looks
garcia	garcia
haas	haas
vrhovi	peaks
testiranje	testing
selena	selenium
selena	selena
navdušen	thrilled
navdušen	impressed
navdušen	excited
navdušen	delighted
nakup	purchase
nakup	buy
nakup	buying
bishop	bishop
brauchitsch	brauchitsch
modrosti	wisdom
nacional	nacional
cepivo	vaccine
ozračje	atmosphere
gospodarstvu	holding
kocke	cubes
kocke	dice
curtis	curtis
hladno	cold
trubar	trubar
sls	sls
ocenjuje	evaluates
ocenjuje	assesses
prvenec	debut
čebele	bees
pruski	prussian
encimov	enzymes
sud	sud
sužnji	slaves
rgb	rgb
ravnotežje	balance
ravnotežje	equilibrium
zbrani	gathered
desetletij	decades
zmanjšati	reduce
jamie	jamie
baranja	baranja
spore	spores
spore	disputes
minuto	minute
pojasnjuje	explains
pastor	pastor
piper	piper
ust	mouth
ust	mouths
ponatis	reprint
makarova	makarova
telefon	phone
telefon	telephone
razmnoževanje	multiplication
razmnoževanje	reproduction
pojasnil	explained
priznan	recognised
priznan	acknowledged
priznan	recognized
urbana	urban
sio	sio
lah	lah
figura	figurehead
kovanci	coins
kovanci	coin
mrkos	mrkos
aleksejevič	alexeyevich
možgani	brain
možgani	brains
marcello	marcello
kontrole	controls
prazen	empty
prazen	blank
usposabljanja	training
usposabljanja	trainings
omenil	mention
stroji	machinery
stroji	machines
izboljšati	improve
foster	foster
organizirana	organised
organizirana	organized
turnbull	turnbull
dean	dean
junaki	heroes
poteze	moves
premikanje	moving
premikanje	movement
vreden	worth
vreden	worthy
ujetništvu	captive
ujetništvu	captivity
storia	storia
čevljev	shoes
železnico	railroad
povabilo	invite
povabilo	invitation
rotor	rotor
protokol	protocol
protipapež	antipope
prepovedi	prohibitions
prepovedi	ban
prepovedi	bans
nizek	low
kronanje	coronation
kronanje	crowning
žogo	ball
hodi	walking
hodi	walk
martini	martini
pisatelji	writers
pel	sang
hčerki	daughters
duhovne	spiritual
romain	romain
temna	dark
hollywood	hollywood
pekingu	beijing
zidovi	walls
šesta	sixth
kentucky	kentucky
lepi	beautiful
lepi	handsome
chiron	chiron
sonata	sonata
zaposlene	employees
istván	istván
jelen	deer
houston	houston
sullivan	sullivan
geolog	geologist
centralno	central
centralno	centrally
ohrani	preserve
ohrani	keep
ohrani	maintain
sanj	dreams
sigismund	sigismund
michaela	michaela
dram	dram
dram	drams
farra	farra
antibiotiki	antibiotics
leseno	wooden
leseno	wood
petrov	petrov
gene	gene
skrivaj	secretly
trupa	carcass
trupa	torso
označeni	tagged
označeni	marked
sporno	contentious
sporno	disputed
sporno	controversial
subjekt	subject
subjekt	entity
apr	apr
leslie	leslie
kuga	plague
žile	veins
daljnogled	binoculars
daljnogled	telescope
specifični	specific
rane	wound
rane	wounds
trdne	solid
kac	kac
kupole	domes
profesionalno	professional
profesionalno	professionally
branilec	defender
valentina	valentina
valentina	valentino
švico	switzerland
plesni	mould
plesni	moulds
plesni	mold
obrti	crafts
akt	act
spremljanje	monitoring
spremljanje	monitor
demokracija	democracy
wang	wang
hmcs	hmcs
leipzig	leipzig
stefano	stefano
vojvodino	dukedom
dežja	rain
okrogle	round
nika	nika
nika	nica
uporabljeno	used
four	four
zaposlena	employed
zaposlena	busy
oxfordu	oxford
čista	pure
biološke	biological
zajc	zajc
zmaja	kite
deseto	tenth
flora	flora
nevarna	dangerous
nevarna	hazardous
ante	ante
montgomery	montgomery
barja	marshes
brezovica	brezovica
pekel	hell
pekel	inferno
pekel	hells
obstajal	existed
trgovanje	trade
trgovanje	trading
flip}}	flip}}
epizoda	episode
ran	wounds
aluminij	aluminium
aluminij	aluminum
flota	fleet
osmanskega	kcmg
kanadsko	canadian
akademski	academic
popotnik	traveler
popotnik	traveller
popotnik	wanderer
moment	moment
semen	seeds
standardi	standards
garden	garden
težavo	problem
