der	el
sullivan	sullivan
anweisung	instrucción
rabbiner	rabino
sozialdemokraten	socialistas
anmeldung	inscripción
köpfe	cabezas
berührt	tocado
iranischen	iraní
pat	pat
massen	masas
siebte	séptima
siebte	séptimo
verleiht	otorga
verleiht	presta
verleiht	confiere
kongregation	congregación
bang	bang
horizontal	horizontal
mer	mer
möglicher	posible
gespannt	ansiosa
hebt	destaca
stabil	estable
kreuzberg	kreuzberg
heiner	heiner
ahmad	ahmad
geschenk	regalo
optik	óptica
dreißig	treinta
verurteilung	condena
unterschrift	firma
leiterin	directora
leiterin	jefa
tragödie	tragedia
gegossen	vierte
missionar	misionero
niger	níger
laser	láser
fbi	fbi
ausüben	ejercitar
obst	frutas
obst	fruta
maske	máscara
padua	padua
drachen	dragones
drachen	dragón
aha	ajá
bären	osos
éditions	editions
geschmückt	adornado
got	got
elberfeld	elberfeld
zeugnis	testimonio
wirkungen	efectos
gewebe	telas
gewebe	tejidos
erhebungen	encuestas
bürgerliche	burgués
ordentliche	ordinario
maxim	maxim
shows	espectáculos
shows	shows
hendrik	hendrik
jet	jet
potsdamer	potsdamer
impact	impact
missionen	misiones
definierte	definida
definierte	definido
mare	mare
arg	arg
kenia	kenia
legenden	leyendas
verbrannt	quemada
verbrannt	quemado
lanka	lanka
fide	fide
mendelssohn	mendelssohn
zweibrücken	zweibrücken
robertson	robertson
pedal	pedal
wiley	wiley
medicine	medicine
css	css
interpreten	intérpretes
interpreten	artistas
schaffhausen	schaffhausen
navigation	navegación
parkplatz	estacionamiento
parkplatz	aparcamiento
referat	unidad
fossilien	fósiles
flughäfen	aeropuertos
ärger	problemas
drucker	impresora
drucker	impresoras
elster	urraca
apotheke	farmacia
verursachte	inducida
verursachte	causó
uniform	uniforme
animation	animación
verwandelt	transformado
sic	sic
won	won
pérez	pérez
kommentiert	comenten
kommentiert	comenta
daimler	daimler
heil	salvación
astronomischen	astronómicos
wirtschaftswissenschaftler	economistas
wirtschaftswissenschaftler	economista
pascha	pasha
belle	belle
rate	tasa
klingen	sonar
klingen	cuchillas
empfang	recepción
sweet	sweet
rap	rap
clinton	clinton
filmemacher	cineasta
filmemacher	cineastas
stapel	pila
zealand	zealand
britain	britain
mentor	mentor
dialekte	dialectos
coupé	coupe
einwanderer	inmigrantes
einwanderer	inmigrante
tastatur	teclado
bauteile	componentes
transfer	transferencia
rebellion	rebelión
kahl	calvo
joel	joel
saturn	saturno
herausforderung	reto
herausforderung	desafío
kanzlei	secretaría
initiativen	iniciativas
stellungen	posiciones
seat	seat
realisierung	realización
gun	gun
asche	cenizas
porta	porta
binden	atar
late	late
verehrung	adoración
verehrung	culto
kontrast	contraste
wittgenstein	wittgenstein
next	next
karel	karel
jahrestag	aniversario
boulevard	boulevard
boulevard	bulevar
gelehrter	erudito
verkündete	anunció
palmer	palmer
buchstabe	letra
rolling	rolling
droste	droste
schwächen	debilidades
neuburg	neoburgo
realismus	realismo
reduktion	reducción
stiel	tallo
reichenbach	reichenbach
hansa	hansa
donnerstag	jueves
gras	hierba
schätze	tesoros
interpretationen	interpretaciones
maas	mosa
strauß	avestruz
spree	juerga
zuordnen	asignar
malcolm	malcolm
eduardo	eduardo
brunner	brunner
batterie	batería
sidney	sidney
pink	pink
pink	rosa
mantel	abrigo
arsenal	arsenal
eichen	robles
neuling	novato
karen	karen
intel	intel
thieme	thieme
komisch	raro
melchior	melchior
delegierter	delegado
fischen	pesca
modernisiert	modernizado
modernisiert	modernizar
executive	ejecutivo
libyen	libia
verhinderte	evitó
krupp	krupp
musikwissenschaftler	musicólogo
populären	populares
schmerzen	dolor
between	between
käufer	comprador
käufer	compradores
vampir	vampiro
moderatorin	presentadora
pfeil	flecha
cent	centavos
geographic	geographic
töne	tonos
töne	sonidos
technologien	tecnologías
technologien	tecnología
living	living
mundart	vernácula
toledo	toledo
stories	historias
widersprechen	contradicen
pfeiffer	pfeiffer
gruppierungen	agrupaciones
geholt	traídos
geholt	traída
foster	foster
angola	angola
argumentieren	argumentar
dis	dis
botanik	botánica
eiche	quercus
eiche	roble
soccer	soccer
kath	kath
wünschenswert	deseable
léon	léon
scholz	scholz
pseudo	pseudo
reichtum	abundancia
reichtum	riqueza
vie	vie
vorstadt	suburbios
vorstadt	suburbio
ewige	eterna
ewige	eterno
besprochen	discutido
unregelmäßig	irregular
professional	professional
ketten	cadenas
osmanische	otomano
bedienung	manejo
rights	rights
gesetzgebung	legislación
merkt	observa
córdoba	córdoba
geformt	formado
geformt	moldeado
strengen	estricto
strengen	estrictos
briefmarken	sellos
gewölbe	bóveda
engelbert	engelbert
radikal	radical
guinea	guinea
ahl	ahl
curtis	curtis
pete	pete
halberstadt	halberstadt
steel	steel
amberg	amberg
schuppen	cobertizo
rhön	rhön
nachhaltige	sostenible
modul	módulo
bewaffnung	armar
bewaffnung	armamento
greg	greg
meldet	reporta
price	price
österreichisches	austríaco
vorsicht	cuidado
vorsicht	precaución
mittelfeldspieler	mediocampista
einwände	objeciones
kronen	coronas
kronen	corona
fahrgäste	pasajeros
sojus	soyuz
gestützt	visca
schlafen	dormir
weine	vinos
lions	lions
strömungen	corrientes
kräftig	vigoroso
luc	luc
rupert	rupert
wasserstoff	hidrógeno
nielsen	nielsen
taz	taz
rapid	rapid
gaius	cayo
revolutionären	revolucionarios
revolutionären	revolucionario
erleichtert	alivio
erleichtert	aliviado
shaw	shaw
überwacht	supervisado
dtv	dtv
rachel	rachel
behinderung	discapacidad
mythen	mitos
vulkan	volcán
ionen	iones
erlitten	sufrido
erlitten	sufrida
schalke	schalke
kleist	kleist
profis	pros
profis	profesionales
carol	carol
dreier	trío
jesse	jesse
tochterunternehmen	dependientes
tochterunternehmen	dependiente
tochterunternehmen	filiales
ziffern	dígitos
auslöser	disparador
gekrönt	coronado
berechtigung	habilitación
passend	apropiado
vorderseite	anverso
propheten	profetas
dimensionen	dimensiones
grove	grove
pisa	pisa
speed	speed
eder	eder
grundstücke	terrenos
artur	artur
intervention	intervención
zweige	ramas
verfall	decadencia
kommandanten	comandantes
rötlich	rojizo
benno	benno
skala	escala
paraguay	paraguay
pavillon	pabellón
privilegien	privilegios
chirurg	cirujano
paper	paper
autonomie	autonomía
petri	petri
läufer	corredores
läufer	alfil
läufer	corredor
nizza	niza
bulletin	boletín
glaubte	senta
glaubte	creía
mason	mason
hunger	hambre
wieviel	cuanto
wieviel	cuánto
reuter	reuter
illustration	ilustración
ried	ried
lateinamerika	latinoamérica
strenge	severidad
strenge	estricta
strenge	estricto
sardinien	cerdeña
wieviele	cuántos
amerikanisch	americano
amerikanisch	estadounidense
staub	polvo
airways	airways
schütz	schütz
biennale	bienal
gif	gif
wurzel	raíz
täufer	bautista
unabhängiger	independiente
train	train
familiennamen	apellidos
fleck	mancha
comeback	regreso
bryan	bryan
bennett	bennett
typischer	típico
typischer	típica
scherz	broma
empfehlungen	recomendaciones
lie	lie
ungewöhnliche	inusuales
ungewöhnliche	inusual
bildschirm	pantalla
swing	swing
bombe	bomba
bestraft	castigado
vereinfacht	simplifica
vereinfacht	simplificado
anthropologie	antropología
vandalen	vándalos
columbus	columbus
zusammengesetzt	ensamblado
radar	radar
monde	monde
monde	lunas
abweichungen	desviaciones
abweichungen	excepciones
bonaparte	bonaparte
übertrieben	exagerado
übertrieben	excesivo
anspielung	evocación
anspielung	insinuación
eur	eur
wünscht	desea
arbeite	trabaja
rechteckigen	rectangulares
rechteckigen	rectangular
juri	yuri
xavier	xavier
trompete	trompeta
imperial	imperial
schweinfurt	schweinfurt
satzung	estatutos
fasste	resumió
haller	haller
masuren	masuria
ableitung	plomo
ableitung	vertido
kaliber	calibre
bleibe	quedo
ahmed	ahmed
vierzehn	catorce
fünfzehn	quince
ain	ain
russ	russ
wartet	esperen
brauchbar	utilizable
frequenzen	frecuencias
leichen	cadáveres
leichen	cuerpos
pferden	caballos
kirchberg	kirchberg
verurteilte	condenado
verurteilte	condenó
vandenhoeck	vandenhoeck
montgomery	montgomery
yves	yves
fragment	fragmento
interstate	interestatal
soko	soko
drücken	pulse
beurteilt	juzgado
grüner	verde
hofer	hofer
bart	bart
horror	horror
architecture	architecture
bloße	meros
gruber	gruber
number	number
aufzählung	enumeración
ethnisch	étnico
ethnisch	étnica
sons	sons
sergio	sergio
string	cadena
cornelia	cornelia
aserbaidschan	azerbaiyán
sul	sul
president	president
iihf	iihf
moderiert	moderado
radikalen	radical
radikalen	radicales
eleonore	leonor
abgedeckt	cubierto
abgedeckt	cubiertos
ruhm	fama
ruhm	gloria
midi	midi
benennen	nombrar
entführt	secuestrado
heaven	heaven
klassifikation	clasificación
schlaf	sueño
iss	come
segment	segmento
verstoßen	infringido
zurückgesetzt	restablecer
napoleonischen	napoleónica
critics	critics
konkurs	quiebra
platin	platino
vorwerk	caserío
erklärten	declararon
erklärten	explicaron
cello	violonchelo
toskana	toscana
künstlichen	artificiales
gemalt	pintado
beliebte	popular
beliebte	populares
reparatur	reparación
leder	cuero
platon	platón
hellen	brillantes
konstruktiv	constructiva
konstruktiv	constructivo
dokumentieren	documentar
dokumentieren	documenta
ute	ute
redirects	redirecciones
mafia	mafia
mitarbeiterin	colaboradora
lès	lès
landwehr	landwehr
innovative	innovadoras
objektive	lentes
ruderer	remeros
drive	drive
import	importación
import	importar
psychiater	psiquiatra
freiwilliger	voluntario
regelt	regula
ruht	descansando
beleidigungen	insultos
where	where
archäologen	arqueólogos
anden	andes
ewigen	eternos
badische	badische
torsten	torsten
leber	hígado
fühlte	sintió
fühlte	sentía
fühlte	sentí
verlängerte	prorrogado
prototypen	prototipos
schlucht	barranco
unnötige	innecesario
unnötige	innecesaria
leidet	sufre
cold	cold
zero	zero
dmitri	dmitri
stile	estilos
wei	wei
wells	wells
mexikanische	mexicana
mexikanische	mexicano
experimentelle	experimentales
experimentelle	experimental
begegnen	meet
wetzlar	wetzlar
eingehalten	respetado
wüsste	sabría
reed	reed
leningrad	leningrado
korn	grano
brooks	brooks
corpus	corpus
anglo	anglo
klick	click
lobte	elogió
prüfungen	exámenes
prüfungen	ensayos
nickel	níquel
roche	roche
verstecken	ocultar
sternwarte	observatorio
break	break
linear	lineal
percy	percy
betten	camas
dominik	dominik
gebet	oración
verse	versos
cum	cum
gedanke	pensamiento
palm	palm
landet	aterriza
anker	ancla
triest	trieste
untertitel	subtítulos
jin	jin
wallis	wallis
geschlechter	sexos
sibirien	siberia
chip	chip
limousine	limusina
ergänzte	añadió
ergänzte	completó
ausführen	ejecutar
begleiter	compañero
bezirksliga	bezirksliga
alberta	alberta
domenico	domenico
patient	paciente
entdeckten	descubrieron
child	child
genießen	disfrutando
genießen	disfrutar
protestanten	protestantes
nietzsche	nietzsche
kid	kid
investiert	invierte
investiert	invertido
elke	elke
illegal	ilegales
illegal	ilegal
mill	mill
helmuth	helmuth
teheran	teherán
elefanten	elefantes
spekulationen	especulación
transparenz	transparencia
aufarbeitung	regeneración
operette	opereta
kalkstein	caliza
wat	wat
kaufleute	comerciantes
serbische	serbio
luca	luca
derby	derby
zerfall	desintegración
trinidad	trinidad
chinesen	chinos
rekonstruiert	reconstruido
cole	cole
widerlegt	refuta
unbekannter	desconocido
ausübung	ejercicio
morton	morton
spiegelt	refleja
andersen	andersen
körner	granos
präzise	precisas
präzise	precisa
logistik	logística
zorn	cólera
geograph	geógrafo
stilllegung	clausura
ausdrücken	expresar
ausdrücken	expresiones
verknüpfung	atajo
verknüpfung	vinculación
verknüpfung	enlace
intern	interna
intern	interno
false	false
vista	vista
ursprünge	orígenes
späte	tardío
sichtbare	visible
sichtbare	visibles
alpine	alpine
elfmeterschießen	penaltis
kreta	creta
bevorzugte	preferencia
bevorzugte	preferido
copyright	copyright
übrige	resto
betty	betty
voice	voice
naumburg	naumburg
hefte	cuadernos
hefte	carpetas
annäherung	acercamiento
ghetto	gueto
ghetto	ghetto
wing	wing
rotes	rojo
optional	opcional
gps	gps
sbb	sbb
tags	etiquetas
skandinavien	escandinavia
wanderweg	sendero
zitieren	citar
beraten	asesorar
mauerwerk	albañilería
radius	radio
qui	qui
calgary	calgary
bertram	bertram
übereinstimmung	concordancia
übereinstimmung	coincidencia
minsk	minsk
bedürfnisse	necesidades
beerdigt	enterrado
genauigkeit	precisión
genauigkeit	exactitud
wohlstand	prosperidad
literature	literature
überholt	anticuado
überholt	obsoleto
jamie	jamie
fragwürdig	cuestionables
fragwürdig	cuestionable
bradley	bradley
theodore	theodore
theodore	teodoro
glenn	glenn
kaukasus	cáucaso
ellis	ellis
verdiente	merecido
friedberg	friedberg
peerage	peerage
absichtlich	intencionalmente
absichtlich	deliberadamente
than	than
rocky	rocky
straubing	straubing
synchronisation	sincronización
märkte	mercados
lech	lech
hannah	hannah
originale	originales
sachs	sachs
wolken	nubes
proben	muestras
schaumburg	schaumburg
aargau	argovia
schuhe	zapatos
gérard	gérard
wiedergabe	reproducción
cricket	cricket
editiert	editado
ibrahim	ibrahim
komiker	cómico
goldmann	goldmann
dünne	delgada
besiegen	derrotar
besiegen	derrota
autobahnen	autopistas
trans	trans
antenne	antena
beseitigung	eliminación
gedient	servido
faber	faber
annie	annie
passion	pasión
vernünftig	razonable
comte	comte
parma	parma
gift	veneno
montréal	montreal
begrenzte	limitado
begrenzte	limitada
computerspiel	videojuego
betrachtete	miraba
betrachtete	miró
senden	enviar
antarktis	antártida
nicolaus	nicolaus
betrachter	espectador
betrachter	visor
katja	katja
heidi	heidi
glanz	brillo
populationen	poblaciones
rudolstadt	rudolstadt
versailles	versalles
demonstrationen	manifestaciones
demonstrationen	demostraciones
button	botón
waffenstillstand	armisticio
untergeordnete	subordinada
nachfragen	preguntar
stop	stop
medici	medici
angeklagten	acusado
angeklagten	acusados
augenblick	momento
krater	cráter
julien	julien
variable	variable
voigt	voigt
schott	schott
workshops	talleres
viehzucht	ganadería
kingdom	kingdom
verraten	traicionado
guardian	guardian
mechanismus	mecanismo
lösch	borra
steyr	steyr
schwache	débiles
schwache	débil
lille	lille
anregungen	sugerencias
bereitete	preparó
schale	taza
schale	cáscara
birds	birds
brenner	quemadores
brenner	brenner
arrangeur	arreglista
enrico	enrico
marino	marino
powell	powell
kompliziert	complicado
nicolai	nicolai
haven	haven
selbstständig	autónomo
vizepräsidenten	vicepresidentes
rain	rain
fisher	fisher
hoffen	esperanza
vorbereitungen	preparativos
vorbereitungen	preparación
helligkeit	brillo
toleranz	tolerancia
kämpften	lucharon
amy	amy
lose	lotes
lose	porciones
kenny	kenny
kontroversen	controversia
kontroversen	polémico
blume	flor
wimbledon	wimbledon
milan	milan
beyond	beyond
lauenburg	lauenburgo
spvgg	spvgg
lehrt	enseña
irrtum	error
keltischen	celta
verfolgten	perseguidos
eingeschlossen	incluido
app	app
mauritius	mauricio
todd	todd
blitz	relámpago
blitz	flash
vermeintlich	supuestamente
absteigen	descender
peinlich	vergonzoso
gefährliche	peligroso
gefährliche	peligrosas
begleiten	acompañar
grabstein	lápida
kühn	audaz
kühn	negrita
dominique	dominique
davies	davies
empfiehlt	recomienda
gelehrte	eruditos
karlheinz	karlheinz
tipps	consejos
airbus	airbus
rassen	razas
flying	flying
schlange	serpiente
wave	wave
federal	federal
aids	sida
niederschlag	precipitación
bloch	bloch
fröhlich	alegre
symbolisiert	simboliza
füllen	llenar
füllen	rellenar
heise	heise
garmisch	garmisch
sorgfältig	cuidadosamente
churchill	churchill
canyon	cañón
nationalität	nacionalidad
virtuelle	virtual
mathematisch	matemático
mathematisch	matemáticamente
schwarzenberg	schwarzenberg
pearl	pearl
anita	anita
syntax	sintaxis
eyes	eyes
strophe	estrofa
distribution	distribución
zonen	zonas
coach	coach
money	money
vermutete	supuesta
vermutete	presuntas
unendlich	infinito
krönung	coronación
besetzen	ocupar
kids	kids
sonstiges	otros
sklaverei	esclavitud
förster	förster
gate	gate
freilassung	liberación
darwin	darwin
sitzplätze	asientos
duncan	duncan
schenkung	donación
knie	rodilla
initiator	iniciador
gleichmäßig	uniformemente
gleichmäßig	uniforme
ankündigung	anuncio
begründungen	justificaciones
schulte	schulte
unzulässig	inadmisible
sechster	sexto
fischerei	pesca
nachfahren	descendientes
jessica	jessica
bartholomäus	bartolomé
benny	benny
schlimmer	peor
insassen	ocupantes
sulzbach	sulzbach
duc	duc
patriarch	patriarca
proteine	proteínas
variieren	variar
vergrößerung	ampliación
gmünd	gmünd
nissan	nissan
schrieben	escribieron
sparta	esparta
radsport	ciclismo
ast	rama
ast	ast
bachmann	bachmann
neo	neo
infektion	infección
battista	battista
access	access
neunkirchen	neunkirchen
ukrainisch	ucraniano
bsp	pnb
feuchten	húmedo
exportiert	exporta
exportiert	exportar
deckt	cubre
leone	leona
bekanntgegeben	fijado
torwart	portero
torwart	arquero
fabriken	fábricas
benutzten	utilizaron
buchenwald	buchenwald
atlantis	atlantis
berechnen	calcular
programmierung	programación
vizegouverneur	vicegobernador
äquivalent	equivalentes
äquivalent	equivalente
delaware	delaware
physiologie	fisiología
lindau	lindau
lob	alabanza
youth	youth
pforzheim	pforzheim
schätzungen	estimaciones
geschwindigkeiten	velocidades
pool	piscina
starteten	iniciaron
brest	brest
beschlüsse	decisiones
face	face
dynamik	dinámica
drückt	expresa
fortsetzen	reanudar
fortsetzen	continuar
simpson	simpson
satellit	satélite
aufgetreten	ocurrido
crawford	crawford
muslimischen	musulmán
rhode	rhode
biblischen	bíblico
biblischen	bíblica
tours	tours
schleuse	esclusa
dienstgrad	rango
asiaten	asiáticos
bey	bey
verkündet	anunciado
verkündet	proclama
klee	trébol
ideale	ideal
ideale	ideales
auslagerung	externalización
isabel	isabel
gent	gante
coa	coa
rau	rau
another	another
nepal	nepal
gräben	zanjas
date	cita
gitarren	guitarras
stadien	estadios
stadien	etapas
formeln	fórmulas
herzlich	cordialmente
würdigung	evaluación
transparent	transparencia
transparent	transparente
schwiegersohn	yerno
claudio	claudio
überzogen	revestido
überzogen	revestidos
sen	sen
pauline	pauline
korruption	corrupción
franke	franke
beate	beate
tanzen	bailar
denver	denver
schrader	schrader
lucy	lucy
richards	richards
porter	porter
mills	mills
ole	ole
flüge	vuelos
fsv	fsv
bräuchte	necesitaría
newcastle	newcastle
strategien	estrategias
reagierte	respondió
esther	esther
zeugnisse	testimonios
stängel	tallos
regiert	gobernado
regiert	gobierna
atom	átomo
mathematics	mathematics
synode	sínodo
häufigkeit	frecuencia
gründlich	minucioso
staatsangehörigkeit	nacionalidad
latin	latin
soest	soest
umsetzen	transponer
sozialdemokratische	socialdemócrata
schwarzburg	schwarzburgo
economics	economics
away	away
vila	vila
protestantische	protestantes
weisheit	sabiduría
nächster	siguiente
sehnsucht	anhelo
sehnsucht	nostalgia
arne	arne
pixel	píxel
pixel	píxeles
kroatische	croata
feine	fina
memphis	memphis
göttlichen	divino
göttlichen	divinas
stapellauf	botadura
illustriert	ilustrado
suisse	suisse
dumm	estúpido
dumm	tonto
codes	códigos
henderson	henderson
alfonso	alfonso
paaren	pares
klinge	hoja
klinge	espada
gibson	gibson
kalk	cal
emily	emily
mad	mad
said	said
satire	sátira
ruder	timón
osmanen	otomanos
hass	odio
mazedonien	macedonia
workshop	taller
diamond	diamond
lehrtätigkeit	docencia
homer	homero
stan	stan
initiiert	iniciadas
initiiert	iniciado
initiiert	iniciados
dichterin	poetisa
alphabetisch	alfabéticamente
alphabetisch	alfabético
flaggen	banderas
chi	chi
led	led
flammen	llamas
kapitalismus	capitalismo
niederlassungen	sucursales
niederlassungen	filiales
sascha	sasha
verletzten	heridos
ssr	ssr
sous	sous
überlebende	sobrevivientes
überlebende	supervivientes
federico	federico
socken	calcetines
lieferung	entrega
serben	serbios
done	done
giro	giro
testen	prueba
horizont	horizonte
nische	nicho
dekret	decreto
absurd	absurdo
thun	atún
harper	harper
journalismus	periodismo
einrichten	configurar
einrichten	configuración
verstöße	infracciones
sysop	sysop
hausen	hausen
sylvia	sylvia
schöpfung	creación
derek	derek
cups	cups
ausgestorben	extinguido
kurzform	diminutivo
federn	muelles
federn	plumas
tessin	tesino
übungen	ejercicios
blake	blake
lou	lou
scheiden	divorciar
heiße	caliente
heiße	hot
crystal	crystal
beyer	beyer
anzeichen	signos
schultz	schultz
spandau	spandau
motion	motion
anwesenden	presentes
akteure	actores
javier	javier
unterirdischen	subterráneo
sauerland	sauerland
graue	gris
penguin	penguin
absolventen	titulados
absolventen	graduados
anja	anja
bytes	bytes
schwangerschaft	embarazo
planen	planificar
tennisspielerin	tenista
pohl	pohl
lucky	lucky
zahn	diente
nat	nat
skizzen	bocetos
eintreten	entrar
gelobt	alabado
landsmann	paisano
schuh	zapato
schuh	calzado
langsamer	lento
sexualität	sexualidad
recordings	recordings
batman	batman
reduzierte	reducidas
reduzierte	reducido
mächtige	poderosos
räder	ruedas
absturz	accidente
inflation	inflación
folter	tortura
richardson	richardson
phänomene	fenómenos
berufe	profesiones
eye	eye
bertrand	bertrand
creative	creative
stumpf	muñón
illegalen	ilegales
vergehen	pasan
spruch	hechizo
südost	sureste
südost	sudeste
raumfahrt	espacio
milton	milton
wählten	votaron
wählten	eligieron
wählten	escogieron
burton	burton
nordhausen	nordhausen
croix	croix
geoffrey	geoffrey
franziskaner	franciscano
urteile	sentencias
dawn	dawn
wartung	mantenimiento
teresa	teresa
zutreffend	aplicable
entführung	secuestro
akzeptanz	aceptación
bravo	bravo
foreign	foreign
politikern	políticos
exchange	exchange
enttäuscht	decepcionado
schickt	manden
lasst	dejen
stammtisch	panameño
verlorene	perdida
verlorene	perdido
kombinationen	combinaciones
maximum	máximo
ocean	ocean
underground	underground
nichte	sobrina
genealogie	genealogía
verteilten	distribuido
zusammenfluss	confluencia
profile	perfiles
katrin	katrin
beleidigt	ofendido
ingenieure	ingenieros
pflegte	solía
trompeter	trompetista
flight	flight
bulgarische	búlgaro
finanzieren	financiar
torres	torres
genossenschaft	cooperativa
konvent	convención
cox	cox
trail	trail
bauernhof	granja
cap	cap
erzeugte	generadas
indianapolis	indianápolis
vieh	ganado
ähnlichkeiten	similitudes
ähnlichkeiten	semejanzas
ähnlichkeiten	similitud
yards	yardas
hohenlohe	hohenlohe
cotta	cotta
volkswagen	volkswagen
paket	paquete
mittwoch	miércoles
klares	lúcido
eagle	eagle
mechanisch	mecánico
mechanisch	mecánicos
mechanisch	mecánica
beeindruckt	impresionado
crime	crime
vergrößerte	ampliada
miniserie	miniserie
span	viruta
far	far
bregenz	bregenz
agierte	actuaba
ghost	ghost
bundesarchiv	bundesarchiv
kreuzzug	cruzada
unglücklich	desgraciada
unglücklich	infeliz
empfahl	recomendaba
empfahl	recomendó
liberty	liberty
politikwissenschaftler	politólogo
subjekt	sujeto
events	eventos
depression	depresión
legendären	legendario
elena	elena
untertanen	súbditos
wellington	wellington
referenzen	referencias
referenzen	testimonios
arbeitslosigkeit	paro
vizekönig	virrey
gilles	gilles
therese	therese
therese	teresa
klammer	paréntesis
spitzname	apodo
salem	salem
abfrage	consulta
adventure	adventure
gerüchte	rumores
partenkirchen	partenkirchen
#ffffff	#ffffff
schrott	chatarra
lucia	lucia
hess	hess
brühl	brühl
konstante	constante
suzuki	suzuki
separat	separada
bögen	arcos
regentschaft	regencia
enrique	enrique
studentenverbindung	fraternidad
geister	fantasmas
aviation	aviation
nutzbar	utilizable
nutzbar	utilizables
revolutionäre	revolucionarios
revolutionäre	revolucionario
beinhaltete	incluía
unterlassen	omisión
leiste	barra
leiste	ingle
tank	tanque
krank	enfermo
krank	enferma
suizid	suicidio
möbel	muebles
eden	edén
eden	eden
lancaster	lancaster
sonja	sonia
sonja	sonja
vladimir	vladimir
dynamische	dinámica
strafrecht	penal
aurich	aurich
olympic	olympic
burkhard	burkhard
republic	republic
extremen	extrema
fries	fries
weißenburg	weißenburg
gambia	gambia
mais	maíz
bella	bella
sarajevo	sarajevo
dagmar	dagmar
liebhaber	amante
liebhaber	amantes
steinkohle	hulla
sprang	saltó
archives	archives
stürzt	cae
schwarzes	negro
riesen	gigantes
intensität	intensidad
freiherren	freiherren
epochen	épocas
fundament	cimientos
chronologie	cronología
beheben	arreglar
beheben	solucionar
plaza	plaza
umlauf	redondo
tyler	tyler
markieren	marcar
markieren	etiquetar
lugano	lugano
xml	xml
erasmus	erasmus
obgleich	aunque
akzeptabel	aceptable
gnade	gracia
fish	fish
verweigerte	negó
sing	canta
wilder	wilder
fakultäten	facultades
einblick	penetración
weltlichen	secular
weinberg	viña
erstaunlich	asombroso
erstaunlich	sorprendente
urs	urs
ethnische	étnico
lücken	lagunas
sendet	envía
tendenzen	tendencias
tina	tina
stella	stella
eth	eth
leeds	leeds
schülerinnen	alumnas
löschungen	borrados
spezialisten	especialista
spezialisten	especialistas
büste	busto
feierlich	solemne
kickers	kickers
woods	woods
core	core
forschte	investigó
herne	herne
ran	ran
sts	sts
torpedo	torpedo
beschlagnahmt	confiscado
tourneen	giras
posthum	póstumamente
senatoren	senadores
entschlossen	decidida
entschlossen	resueltos
entschlossen	decidido
jahrtausend	milenio
angels	angels
radikale	radical
radikale	radicales
beschriftung	etiqueta
wiktor	víktor
knappen	escudero
alfredo	alfredo
notizen	notas
kontrovers	polémica
kontrovers	polémico
verschlossen	cerrado
bailey	bailey
deck	cubierta
tan	tan
rich	rich
lügen	mentiras
montpellier	montpellier
fachleute	especialistas
fachleute	profesionales
chelsea	chelsea
einmarsch	invasión
mali	malí
rechteckige	rectangulares
rechteckige	rectangular
hase	conejo
navarra	navarra
sportlich	deportivo
gesammelte	recogidos
strategischen	estratégico
strategischen	estratégica
beruflich	profesionalmente
tägliche	diario
krems	krems
moos	musgo
gruppierung	agrupación
gruppierung	agrupar
andrews	andrews
branch	branch
praktiziert	practicado
praktiziert	practica
internat	internado
tödliche	mortal
hübner	hübner
nva	nva
verden	verden
xbox	xbox
verabschiedete	adoptó
size	size
gewöhnliche	ordinario
kurzes	corto
medikamente	medicamentos
medikamente	medicación
rome	rome
vermutungen	conjetura
vermutungen	conjeturas
aborigines	aborígenes
chemical	chemical
kategorisieren	clasificar
arzneimittel	medicamentos
warm	caliente
türmen	torres
kommentierte	comentado
kommentierte	comentó
demonstranten	manifestantes
cincinnati	cincinnati
ausgewertet	analizado
ausgewertet	evaluado
idaho	idaho
cbs	cbs
schwierige	difíciles
schwierige	difícil
tausch	trueque
tausch	intercambio
erkenne	reconozco
heike	heike
bonus	bonus
bonus	bono
anwenden	aplicar
pianisten	pianista
händel	händel
raab	raab
jur	jur
seigneur	seigneur
verbieten	prohibir
kranke	enfermo
kranke	enfermos
reduzierung	reducción
linguistik	lingüística
enorm	tremenda
konzession	concesión
gestoppt	parado
armeen	ejércitos
bagdad	bagdad
tango	tango
bevorzugen	prefieren
bevorzugen	preferir
monitor	monitor
verkörpert	encarna
korrekturen	correcciones
zoologie	zoología
sheffield	sheffield
triebwerk	motor
begrenzung	límite
begrenzung	limitación
calais	calais
rivers	rivers
eisenberg	eisenberg
lineare	lineal
verlegen	trasladar
gerard	gerard
genoss	disfruté
recherchieren	investigar
unterteilung	subdivisión
freigelassen	liberados
freigelassen	liberado
stärkung	refuerzo
stärkung	fortalecimiento
lund	lund
visuelle	visual
canterbury	canterbury
beer	beer
grobe	aproximada
interessanter	interesante
betrachtungen	consideraciones
spin	spin
zucht	cría
thessaloniki	salónica
thessaloniki	tesalónica
spielerinnen	jugadoras
fertigen	acabados
verwalter	administrador
schritten	pasos
mahler	mahler
jacobi	jacobi
senegal	senegal
jemen	yemen
reichswehr	reichswehr
jacobs	jacobs
bewohnte	habitada
lot	lot
selbstverwaltung	autogobierno
kanadier	canadiense
missbraucht	abusado
zitierte	citó
turbine	turbina
georgi	georgi
etymologie	etimología
hexe	bruja
afc	afc
sfondo	sfondo
lion	lion
kabarett	cabaret
pieter	pieter
thorsten	thorsten
überschreiten	sobrepasar
überschreiten	cruzar
fossa	fossa
