der	le
victor	victor
anscheinend	apparemment
hängt	dépend
henri	henri
partner	partenaires
zustimmung	consentement
jörg	jörg
masse	masse
chris	chris
nationen	nations
test	test
harald	harald
unterstützen	soutenir
francis	francis
bundeswehr	bundeswehr
anforderungen	exigences
schützen	protéger
verhaftet	arrêté
web	web
übernahme	rachat
florida	floride
ausgaben	dépenses
kommunikation	communication
gebrauch	utilisation
gebrauch	utilisations
dauer	durée
bewusst	consciemment
bewusst	délibérément
roland	roland
geist	esprit
della	della
katalog	catalogue
vii	vii
argentinien	argentine
episoden	épisodes
siegfried	siegfried
gezogen	tiré
verkauf	ventes
verkauf	vente
play	play
positiv	positif
positiv	positifs
wohnung	appartement
bass	basse
bass	bass
schreib	ecris
herzogtum	duché
erfurt	erfurt
goethe	goethe
master	master
posten	poste
ideen	idées
gedanken	pensées
bergen	bergen
veranstaltung	événement
ließen	laissaient
hinten	arrière
verletzt	blessé
krankheit	maladie
unser	notre
jung	jeune
johnson	johnson
jesus	jésus
via	via
königsberg	königsberg
getragen	portés
getragen	porté
transport	transport
flügel	ailes
rezeption	réception
baum	arbre
abhängig	dépendant
steve	steve
ohio	ohio
maximilian	maximilien
mario	mario
wahrheit	vérité
istanbul	istanbul
uwe	uwe
bildeten	formaient
unabhängigkeit	indépendance
gipfel	sommets
pop	pop
beeinflusst	influencé
vermeiden	éviter
vermeiden	eviter
bauer	bauer
rosa	rosa
bundes	fédéral
verständnis	compréhension
luxemburg	luxembourg
abgerissen	arraché
extrem	extrême
extrem	extrêmement
ford	ford
begleitet	accompagné
viertel	quartier
pläne	plans
victoria	victoria
unklar	imprécis
erworben	acquis
fakten	faits
trennung	séparation
budapest	budapest
charlotte	charlotte
uss	uss
aufmerksam	attentif
kommando	commandement
little	little
vorteil	avantage
schöne	belle
oldenburg	oldenburg
geblieben	resté
geblieben	restée
gerät	appareil
gerät	périphérique
berge	montagnes
wilson	wilson
einstellung	recrutement
varianten	variantes
bielefeld	bielefeld
verbessert	améliore
altar	autel
tief	profond
california	california
utc	utc
zeitschriften	périodiques
illinois	illinois
chronik	chronique
fach	cloison
enzyklopädische	encyclopédique
identisch	identique
aussehen	apparence
gefängnis	prison
gesucht	recherché
regionalliga	regionalliga
drama	drame
marc	marc
beigesetzt	inhumé
maschine	machine
highway	highway
renaissance	renaissance
sturm	tempête
bord	bord
umstritten	controversé
prinzessin	princesse
geschwindigkeit	vitesse
bob	bob
exemplare	spécimens
davis	davis
ausgestrahlt	diffusé
bernard	bernard
jerusalem	jérusalem
kino	cinéma
übergang	transition
ball	ball
ball	ballon
woiwodschaft	voïvodie
lernen	apprendre
tunnel	tunnel
tunnel	tunnels
provinzen	provinces
marcus	marcus
minute	minute
verteilt	distribué
effekt	effet
gefallen	tombé
massachusetts	massachusetts
griechisch	grec
ausstattung	equipements
great	great
stockholm	stockholm
gelegen	situé
produkt	produit
porträt	portrait
vorgänger	prédécesseur
autobahn	autoroute
chemiker	chimiste
gestern	hier
umgewandelt	converti
ansatz	approche
taylor	taylor
vorlagen	modèles
flagge	drapeau
italienisch	italien
schottland	écosse
leipziger	leipziger
verteidigung	défense
finnland	finlande
mauer	mur
redaktion	rédaction
strukturen	structures
überall	partout
gelb	jaune
nachfolge	succession
absatz	paragraphe
arrondissement	arrondissement
feuerwehr	pompiers
leichtathletik	athlétisme
golden	golden
integriert	intégrée
integriert	intégré
spuren	traces
schwierig	difficile
benjamin	benjamin
angeschlossen	branché
konzert	concert
verfügte	disposait
milliarden	milliards
beobachtet	observée
beobachtet	observé
gang	gang
last	charge
last	last
runs	runs
tirol	tyrol
eingeweiht	inauguré
verhandlungen	négociations
beinhaltet	comprend
beinhaltet	inclut
claude	claude
zdf	zdf
tony	tony
schaden	dommages
schaden	dégâts
iran	iran
seen	lacs
feste	fêtes
kabinett	cabinet
vorpommern	vorpommern
normalerweise	habituellement
normalerweise	normalement
assistent	assistant
warten	attendre
andrew	andrew
data	data
douglas	douglas
beginnen	commencer
koblenz	coblence
becker	becker
flotte	flotte
flugzeug	avion
server	serveurs
server	serveur
kritisiert	critiqué
angst	peur
angst	anxiété
konzerte	concerts
zweites	deuxième
erwin	erwin
bochum	bochum
bearbeiten	édition
ausdrücklich	expressément
legende	légende
box	boîte
preußische	prussienne
besatzung	équipage
game	game
botschaft	ambassade
leisten	moulures
technisch	techniquement
uni	uni
typische	typiques
flora	flore
sätze	phrases
paderborn	paderborn
night	night
museen	musées
indischen	indien
symbol	symbole
symbol	icône
eric	eric
verfügbar	disponible
brüssel	bruxelles
verlängerung	prolongation
ermordet	assassiné
parameter	paramètre
reduziert	réduit
gegenstand	objet
wollten	voulaient
unterschiede	différences
engel	ange
angepasst	adapté
lokomotiven	locomotives
stationen	stations
auftritte	apparitions
warschau	varsovie
fertig	fini
haltung	attitude
phil	phil
höhepunkt	apogée
nhl	nhl
nachkommen	descendants
liter	litres
liter	litre
andrea	andrea
vorgeschlagen	suggéré
kindheit	enfance
erhebung	enquête
wind	vent
bundesstraße	bundesstraße
weiler	weiler
gezählt	comptés
wächst	pousse
chile	chili
lewis	lewis
out	out
synagoge	synagogue
ausgeschlossen	exclu
wild	wild
wild	sauvage
jackson	jackson
unterteilt	subdivisé
analog	analogique
lokale	local
aufgegeben	abandonné
long	long
szenen	scènes
böhmen	bohême
islam	islam
oberst	colonel
nation	nation
präsentiert	présente
präsentiert	présenté
haut	peau
modern	moderne
ray	ray
schwierigkeiten	difficultés
eigentümer	propriétaires
eigentümer	propriétaire
bedingt	conditionnel
gefördert	promu
gabriel	gabriel
beschädigt	endommagé
neutral	neutre
pommern	poméranie
schwerin	schwerin
christen	chrétiens
saale	saale
gearbeitet	travaillé
hoffnung	espoir
stephen	stephen
class	class
lösen	résoudre
ausgebildet	formés
ausgebildet	formé
valign	valign
erbe	patrimoine
plötzlich	soudain
regional	regional
nassau	nassau
ecke	coin
ruhestand	retraite
sophie	sophie
buchstaben	lettres
brauchen	besoin
sonntag	dimanche
arena	arena
christus	christ
verlust	perte
verlängert	prolonge
verlängert	prolongé
heilbronn	heilbronn
null	zéro
law	law
bezeichnungen	dénominations
entsprechen	correspondent
entsprechen	correspondre
uefa	uefa
gräfin	comtesse
duisburg	duisburg
singles	célibataires
blut	sang
ersetzen	remplacer
erzählung	récit
pseudonym	pseudonyme
lat	lat
bremer	bremer
ausführung	exécution
mord	meurtre
power	power
jäger	chasseur
berichte	rapports
ruhr	ruhr
carlo	carlo
oskar	oskar
tourismus	tourisme
vogel	oiseau
fassade	façade
sprint	sprint
norbert	norbert
lady	lady
abtei	abbaye
saarbrücken	sarrebruck
adler	aigle
ursache	cause
zerstörung	destruction
beschreiben	décrire
kathedrale	cathédrale
luis	luis
stahl	acier
rené	rené
entscheidungen	décisions
besucht	visité
zugelassen	agréé
zugelassen	admis
wuppertal	wuppertal
georges	georges
horn	corne
horn	cor
mount	mont
institutionen	institutions
konsens	consensus
sydney	sydney
geräte	appareils
geräte	périphériques
schnitt	coupe
ali	ali
klassen	classes
ibn	ibn
partien	lots
nrw	nrw
geleitet	dirigé
abstieg	descente
ämter	offices
space	space
umgekehrt	inversé
anthony	anthony
brian	brian
asien	asie
pianist	pianiste
country	country
old	old
blatt	feuille
urkunde	acte
hildesheim	hildesheim
geschlagen	battu
bekanntheit	notoriété
programme	programmes
free	free
marathon	marathon
demokratie	démocratie
geschlecht	sexe
town	town
gießen	verser
aufgeteilt	réparti
kopenhagen	copenhague
rücktritt	démission
summe	somme
rektor	recteur
ändert	change
jersey	jersey
solo	solo
osnabrück	osnabrück
antworten	réponses
witwe	veuve
hart	dur
hart	hart
zeichnungen	dessins
gerd	gerd
reserve	réserve
kräfte	forces
kim	kim
year	year
bewertung	évaluation
jugendliche	jeunes
genf	genève
verdacht	soupçons
verdacht	suspicion
tokio	tokyo
hügel	colline
junior	junior
materialien	matériaux
schau	regarde
obersten	suprême
onkel	tonton
onkel	oncle
end	end
abstimmung	vote
wein	vin
business	business
richtlinien	directives
element	élément
kapitän	capitaine
natürlichen	naturel
fortsetzung	suite
natürliche	naturel
natürliche	naturelle
auseinandersetzungen	affrontements
gewinnt	gagne
ulm	ulm
ard	ard
diplom	diplôme
verfolgung	persécution
motiv	motif
usd	usd
kandidat	candidat
gray	gray
jura	jura
kaiserlichen	impériale
gezwungen	forcé
gezwungen	obligé
abstammung	filiation
berichten	rapporter
johanna	johanna
versorgung	approvisionnement
straßburg	strasbourg
alan	alan
may	may
temperatur	température
komödie	comédie
fans	fans
costa	costa
cm³	cm³
wiederaufbau	reconstruction
hollywood	hollywood
toronto	toronto
aufstand	révolte
ernennung	nomination
engagiert	engagé
bulgarien	bulgarie
gesetze	lois
vorsitzende	présidente
christopher	christopher
philadelphia	philadelphie
verbot	interdiction
vollständige	complète
landgemeinde	gmina
werkstatt	atelier
zellen	cellules
walther	walther
identität	identité
mach	fais
mach	mach
hagen	hagen
fotograf	photographe
stars	stars
dicht	dense
hit	hit
can	can
elbe	elbe
enzyklopädischen	encyclopédiques
champions	champions
kinos	cinémas
miller	miller
alex	alex
verhindert	empêché
brigade	brigade
sed	sed
gitarrist	guitariste
flugzeuge	avions
michigan	michigan
howard	howard
viii	viii
steiermark	styrie
gewinner	gagnants
amerikaner	américain
amerikaner	américains
verzeichnet	énuméré
gesundheit	santé
premiere	premiere
niemals	jamais
marco	marco
lorenz	lorenz
polnisch	polonais
sonstige	autres
unabhängige	indépendant
unabhängige	indépendants
herum	autour
bestimmen	déterminer
hamilton	hamilton
sorgen	soucis
fertigstellung	finalisation
fertigstellung	achèvement
flug	vol
schatten	ombre
dan	dan
project	project
minnesota	minnesota
übersetzer	traducteur
ausgestellt	délivré
ersatz	remplacement
erkennt	détecte
jagd	chasse
volker	volker
typisch	typique
betriebe	exploitations
parks	parcs
argumentation	raisonnement
straßenbahn	tramway
christine	christine
verordnung	règlement
abgeleitet	dérivé
ministerium	ministère
anti	anti
zurückgezogen	retirée
zurückgezogen	retiré
express	express
begriffsklärung	homonymie
german	french
jim	jim
disziplin	discipline
dokumente	documents
lust	envie
einsätze	inserts
orchestra	orchestra
vorname	prénom
florenz	florence
konferenz	conférence
sound	sound
bamberg	bamberg
dokumentiert	documenté
vergleichbar	comparable
lothar	lothar
ausgewählt	sélectionnée
ausgewählt	sélectionné
wille	volonté
clemens	clemens
grafik	graphisme
death	death
tschechoslowakei	tchécoslovaquie
are	are
julia	julia
model	mannequin
sun	sun
datiert	daté
francesco	francesco
motoren	moteurs
klinik	clinique
lippe	lèvre
konstanz	constance
organisierte	organisé
organisierte	organisée
digital	digital
behauptung	allégation
behauptung	affirmation
schicksal	destin
act	act
bibel	bible
verschiebung	décalage
schwestern	sœurs
jahrzehnte	décennies
hubert	hubert
inklusive	incluant
inklusive	inclus
inklusive	compris
harvard	harvard
mengen	quantités
nick	nick
sam	sam
reihenfolge	ordre
conrad	conrad
romane	romans
romane	romane
jap	jap
fusion	fusion
austria	austria
traditionell	traditionnel
integration	intégration
besonderheit	particularité
ips	ips
pedro	pedro
schade	dommage
wiederherstellung	restauration
tim	tim
schlesien	silésie
ablauf	déroulement
ablauf	expiration
news	nouvelles
zimmer	chambres
landrat	landrat
wahrnehmung	perception
abgebrochen	annulé
contra	contra
vereinen	unir
schlagzeuger	batteur
anwendungen	applications
bundestag	bundestag
women	women
dick	dick
ehemann	époux
ehemann	mari
wachsen	grandir
dienten	servaient
eis	glace
griff	poignée
erfinder	inventeur
erfinder	inventeurs
samt	velours
präfektur	préfecture
lehrstuhl	chaire
archäologie	archéologie
freundin	amie
stamm	tribu
stamm	souche
willi	willi
berater	conseiller
qualifiziert	qualifié
jury	jury
formal	formellement
holland	hollande
beruht	repose
geteilt	partagé
gesicht	visage
unfall	accident
atlas	atlas
sterben	mourir
abschnitte	sections
zitiert	cité
einspruch	objection
platte	plaque
eroberung	conquête
sand	sable
scheinen	semblent
index	index
ruine	ruine
championship	championship
ereignis	evénement
monte	monte
wesen	wesen
brauerei	brasserie
zeugen	témoins
roth	roth
gefahren	dangers
philip	philip
dateien	fichiers
slowakei	slovaquie
luther	luther
dfb	dfb
gefärbt	teints
nachtrag	addendum
aufwand	tracas
aufwand	effort
formulierung	formulation
vögel	oiseaux
ursula	ursula
willy	willy
alice	alice
pflanze	plante
hund	chien
hütte	cabane
nachruf	nécrologie
ding	ding
scheinbar	apparemment
jahrgang	millésime
angeordnet	ordonné
exil	exil
soldat	soldat
eigentum	propriété
leer	vide
neapel	naples
entdeckung	découverte
fuchs	renard
verdient	mérite
block	bloc
dokumentarfilm	documentaire
sammeln	recueillir
dauerhaft	permanent
angriffe	attaques
jens	jens
hell	hell
zufällig	aléatoire
ausgewiesen	expulsé
wörterbuch	dictionnaire
nebenfluss	affluent
abgeordnete	députés
aktionen	actions
ralf	ralf
gordon	gordon
niederlagen	défaites
papier	papier
stift	stylo
maurice	maurice
kpd	kpd
wahr	vrai
überzeugt	convaincu
überzeugt	convaincus
missouri	missouri
freundschaft	amitié
stärke	amidon
office	office
elizabeth	elizabeth
sekretär	secrétaire
fred	fred
beenden	quitter
johnny	johnny
testament	testament
dei	dei
abgrenzung	délimitation
arm	bras
samen	graines
kontakte	contacts
glocken	cloches
unterscheidung	distinction
unesco	unesco
peking	pékin
journalisten	journalistes
florian	florian
pflege	soins
durchbruch	percée
gewidmet	dédié
hanau	hanau
corporation	corporation
bene	bene
hochzeit	mariage
kapazität	capacité
formuliert	formulé
kolonie	colonie
studios	studios
hms	hms
ltd	ltd
bbc	bbc
personal	personnel
wissenschaftlich	scientifiquement
netzwerk	réseau
vorwurf	reproche
reihen	séries
neumann	neumann
festschrift	commémorative
technologie	technologie
#aaa	#aaa
wittenberg	wittenberg
nachricht	message
bmw	bmw
ansichten	vues
gefangen	capturé
gefangen	capturés
gregor	grégoire
übernimmt	assume
ausgesprochen	prononcé
statue	statue
extra	extra
gruss	gruss
mythologie	mythologie
axel	axel
abraham	abraham
gestalten	façonner
verzeichnis	répertoire
inhaber	titulaire
therapie	thérapie
synonym	synonyme
historic	historic
demokratische	démocratique
kommentare	commentaires
hahn	coq
hahn	hahn
hahn	robinet
überflüssig	superflu
quasi	quasi
meinungen	opinions
meinungen	avis
flüsse	rivières
kämpfe	combats
million	million
global	global
abenteuer	aventure
haft	détention
jugoslawien	yougoslavie
könige	rois
nato	otan
verkaufen	vendre
beherbergt	abrite
beherbergt	héberge
kreise	cercles
kroatien	croatie
teilnehmen	participer
giuseppe	giuseppe
territorium	territoire
zulassung	agrément
zulassung	immatriculation
kärnten	carinthie
wurzeln	racines
sammlungen	collections
thailand	thaïlande
steine	pierres
racing	racing
entscheidend	crucial
entscheidend	décisif
markiert	marqué
neckar	neckar
gemessen	mesuré
gemessen	mesurée
instrumente	instruments
bischöfe	évêques
verluste	pertes
schwach	faible
two	two
clark	clark
sterne	étoiles
gallen	gallen
vorstellen	imaginer
breisgau	breisgau
benedikt	benoît
erik	erik
einzeln	individuellement
sportler	sportifs
marcel	marcel
ergänzung	complément
enthielt	contenait
erkannt	reconnu
erkannt	détecté
berger	berger
völker	peuples
philippe	philippe
microsoft	microsoft
konkret	concret
konkret	concrètement
fabrik	usine
jahrhunderte	siècles
anmerkung	remarque
qualifizierte	qualifiés
produktionen	productions
linux	linux
tausend	mille
duke	duke
training	entraînement
thüringer	thüringer
orange	orange
tür	porte
syndrom	syndrome
sultan	sultan
zusammensetzung	composition
fliegen	voler
gedicht	poème
fame	fame
mitbegründer	cofondateur
soziologie	sociologie
jimmy	jimmy
schild	bouclier
hartmann	hartmann
explizit	explicitement
explizit	explicite
römer	romains
übertragung	transfert
biologie	biologie
wisconsin	wisconsin
aires	aires
indiana	indiana
anordnung	disposition
anordnung	agencement
glas	verre
mayer	mayer
wladimir	vladimir
kauf	achat
anderson	anderson
atp	atp
these	thèse
prozesse	processus
gelöst	résolu
buenos	buenos
geschätzt	estimée
geschätzt	estimé
waffe	arme
gemeldet	signalé
trugen	portaient
dance	dance
beurteilen	juger
val	val
ice	ice
charlie	charlie
negativ	négatif
senator	sénateur
entworfen	conçu
down	down
turin	turin
verwandt	apparenté
literarische	littéraire
typen	types
adams	adams
begraben	enterré
betreiber	exploitant
betreiber	opérateur
louise	louise
stanley	stanley
url	url
taucht	plonge
nahrung	nourriture
ärzte	médecins
sichern	sauvegarder
hängen	pendre
hängen	accrocher
doktor	docteur
fulda	fulda
verbrechen	crimes
debatte	débat
eisen	fer
seele	âme
becken	bassin
wdr	wdr
realisiert	réalisé
bit	bit
missbrauch	abus
bogen	voûte
bogen	arc
ehrlich	honnête
csu	csu
knoten	nœud
realität	réalité
mercedes	mercedes
campus	campus
wörter	mots
stellvertreter	suppléant
bäume	arbres
napoleon	napoléon
liefern	livrer
what	what
brücken	ponts
wars	wars
unmöglich	impossible
bridge	bridge
dauert	dure
nicolas	nicolas
pferd	cheval
vergleiche	comparaisons
vincent	vincent
lebensraum	habitat
queen	queen
chemnitz	chemnitz
wählen	choisir
intensiv	intensif
intensiv	intense
hinzugefügt	ajouté
övp	övp
hände	mains
akademischen	universitaire
akademischen	académique
beweis	preuve
duo	duo
udssr	urss
graben	creuser
bus	bus
bataillon	bataillon
sarah	sarah
ausschuss	comité
powiat	powiat
winkel	angle
erneuert	renouvelé
ausgerichtet	alignés
ausgerichtet	aligné
bewegt	déplace
nacional	nacional
pferde	chevaux
erinnerungen	souvenirs
steiner	steiner
vorschläge	suggestions
kriterium	critère
lüneburg	lüneburg
admiral	amiral
edgar	edgar
helsinki	helsinki
sabine	sabine
alois	alois
vergleichsweise	comparativement
sportliche	sportive
greifswald	greifswald
wiesen	prairies
edmund	edmund
boris	boris
sag	dis
höhle	grotte
bruce	bruce
palast	palais
wahrscheinlichkeit	probabilité
lyon	lyon
ausrichtung	alignement
magnus	magnus
freiwillige	volontaires
böse	méchant
böse	méchante
manchester	manchester
back	back
serbien	serbie
ontario	ontario
messen	foires
taschenbuch	broché
dirk	dirk
badminton	badminton
geöffnet	ouvert
veränderung	variation
schröder	schröder
zeichner	dessinateur
benz	benz
stirbt	meurt
dasselbe	pareil
spö	spö
grundstück	terrain
modus	mode
schuld	culpabilité
diego	diego
panzer	chars
panzer	tanks
rekord	record
kevin	kevin
ausgesetzt	suspendu
restaurant	restaurant
kurfürst	electeur
fotografie	photographie
luzern	lucerne
restauriert	restauré
jane	jane
theorien	théories
ruth	ruth
cross	cross
his	his
good	good
htm	htm
grau	gris
moore	moore
motive	motifs
krise	crise
billy	billy
pause	pause
glocke	cloche
entsprach	correspondait
schottischen	écossais
perspektive	perspective
lissabon	lisbonne
lokal	local
forscher	chercheurs
forscher	chercheur
phänomen	phénomène
einkommen	revenu
mandat	mandat
bedeckt	couvert
erzbistum	archidiocèse
kansas	kansas
opposition	opposition
dunkel	sombre
verbesserte	amélioré
logik	logique
aufhebung	abrogation
partie	lot
mischung	mélange
stammten	provenaient
streng	strict
streng	stricte
inc	inc
claus	claus
katholisch	catholique
colorado	colorado
botaniker	botaniste
übersetzungen	traductions
kompositionen	compositions
gotha	gotha
vandale	vandale
opera	opera
dichte	densité
verursacht	causé
male	male
gnu	gnu
kopie	copie
verzichtet	renonce
encyclopedia	encyclopedia
danzig	gdansk
experten	experts
ralph	ralph
liberalen	libéraux
normal	normale
normal	normal
besuchen	visiter
alternativ	alternativement
vorübergehend	temporairement
reform	réforme
institution	institution
paulo	paulo
mond	lune
gas	gaz
verwaltet	géré
autos	voitures
austausch	échange
finanzierung	financement
dringend	urgent
überzeugen	convaincre
kommandant	commandant
century	century
stone	stone
töten	tuer
raymond	raymond
gesammelt	collecté
dna	adn
angebaut	cultivé
hammer	marteau
unterbrochen	interrompu
tournee	tournée
takt	tact
glaubt	croit
genehmigung	homologation
ausführlich	détaillé
ausnahmen	exceptions
administrator	administrateur
entwicklungen	développements
verletzung	blessure
roy	roy
gottlieb	gottlieb
girl	girl
spektrum	spectre
erben	héritiers
offiziere	officiers
viktor	viktor
installiert	installé
vorrunde	éliminatoires
marketing	marketing
people	people
wikipedianer	wikipédiens
archäologischen	archéologiques
donald	donald
regelmäßige	régulière
humboldt	humboldt
eier	œufs
eier	oeufs
oslo	oslo
eingeladen	invité
angrenzenden	adjacent
list	list
publizist	publiciste
english	english
pädagoge	pédagogue
light	light
ross	ross
thai	thai
antrieb	propulsion
urban	urban
men	men
jonathan	jonathan
memorial	memorial
gegangen	allé
gestartet	démarré
nelson	nelson
speyer	spire
iowa	iowa
komplex	complexe
bayerischer	bayerischer
australian	australian
finanziert	financé
überraschend	surprenant
zürcher	zurichois
konservativen	conservateurs
schichten	couches
ten	rte
ten	ten
khan	khan
tsv	tsv
regen	pluie
mac	mac
fox	fox
boxer	boxeur
violine	violon
río	río
bell	bell
diss	diss
denis	denis
litauen	lituanie
einfügen	insertion
verbinden	connecter
rtl	rtl
planeten	planètes
platzierung	placement
just	just
verteidiger	défenseur
artillerie	artillerie
family	family
steuern	fiscalité
wolff	wolff
welle	vague
versammlung	assemblée
richtlinie	directive
range	range
sizilien	sicile
fifa	fifa
roma	roma
ablehnung	rejet
zimmermann	zimmermann
kriege	guerres
antragsteller	demandeur
melden	signaler
grafiker	graphiste
nikolai	nikolaï
stock	bâton
mississippi	mississippi
orf	orf
mitgliedschaft	adhésion
insekten	insectes
feat	feat
schulz	schulz
übernahmen	acquisitions
übernahmen	rachats
claudia	claudia
spaß	rigolo
spaß	amusement
vorläufer	précurseur
verlässt	quitte
tennessee	tennessee
gen	gène
gen	gen
widerspruch	contradiction
bedenken	préoccupations
bedenken	inquiétudes
aufenthalt	séjour
komponenten	composants
walker	walker
privat	privé
begegnung	rencontre
erschossen	abattu
var	var
empire	empire
eingezogen	emménagé
hotels	hôtels
susanne	susanne
robin	robin
haushalte	ménages
vertrauen	confiance
bier	bière
baby	bébé
worms	worms
spur	piste
gefeiert	célébré
lieben	aimer
lösungen	solutions
wetter	météo
freitag	vendredi
akzeptiert	accepté
geraten	conseillé
irak	irak
jordan	jordan
ian	ian
überprüfen	vérifier
evolution	evolution
dead	dead
absolute	absolue
absolute	absolute
schwaben	souabe
ausgrabungen	fouilles
kaufen	acheter
forderungen	créances
informatik	informatique
grube	fosse
zeile	ligne
ausgerüstet	équipée
ausgerüstet	équipé
antoine	antoine
arte	arte
zusammenfassung	résumé
gelistet	listé
risiko	risque
zuordnung	affectation
veröffentlichen	publier
standards	standards
cover	pochette
auguste	auguste
philippinen	philippines
lawrence	lawrence
metall	métal
lothringen	lorraine
residenz	résidence
borussia	borussia
geliefert	livré
russell	russell
konstantin	constantin
dialog	dialogue
ann	ann
reinhold	reinhold
gefühl	sensation
montreal	montréal
flugplatz	aérodrome
wachstum	croissance
gäste	invités
passau	passau
qualifizieren	qualifier
vorteile	avantages
ungewöhnlich	inhabituel
gärten	jardins
wolle	laine
berechnung	calcul
videos	vidéos
landgericht	landgericht
kulturen	cultures
platten	plaques
way	way
konflikte	conflits
municipio	municipio
verweisen	renvoyer
haag	haye
helden	héros
öffnen	ouvrir
arbeitgeber	employeur
arbeitgeber	employeurs
jochen	jochen
entscheidet	décide
massiv	massif
australia	australia
schlägt	frappe
pastor	pasteur
erwähnen	mentionner
besonderheiten	particularités
bedeutete	signifiait
mdl	mdl
syrien	syrie
dark	dark
zwanzig	vingt
nasa	nasa
geschäfte	magasins
temperaturen	températures
finnischen	finlandais
fake	fake
bayer	bayer
agnes	agnès
fleisch	viandes
fleisch	viande
moschee	mosquée
zeichnet	dessine
verliert	perd
handball	handball
slalom	slalom
orientiert	orienté
erweitern	élargir
osmanischen	ottoman
limburg	limbourg
human	human
bestellt	commandé
wahrgenommen	perçu
frederick	frederick
beliebt	populaire
fernando	fernando
bayreuth	bayreuth
stuart	stuart
siedler	colons
hot	hot
over	over
inn	dci
gehandelt	agi
anteile	parts
bewohnt	habité
bewohnt	habitée
laden	charger
laden	chargement
bewertet	évalué
weser	weser
kirchlichen	ecclésiastique
guy	guy
nova	nova
zweig	branche
felder	champs
spannung	tension
medium	médium
dave	dave
height	height
achse	essieu
achse	axe
fan	fan
bewegungen	mouvements
christentum	christianisme
fürstentum	principauté
verteidigen	défendre
verletzungen	blessures
triebwagen	automotrices
reaktionen	réactions
schmid	schmid
tobias	tobias
lutz	lutz
continental	continental
facebook	facebook
bedroht	menacé
tisch	table
korrigiert	corrigé
angegriffen	attaqué
huber	huber
reagiert	réagit
body	body
vfl	vfl
faktoren	facteurs
skulpturen	sculptures
sea	sea
banken	banques
coburg	cobourg
geographie	géographie
zeichnung	dessin
kai	kai
kentucky	kentucky
gekauft	acheté
loch	trou
tower	tower
bürgerlichen	civique
busch	buisson
matt	matt
kaserne	caserne
boy	boy
beweisen	prouver
verständlich	compréhensible
pacific	pacific
königliche	royale
langhaus	longère
indianer	indiens
bemerkt	remarqué
ferrari	ferrari
maus	souris
signal	signal
vertrieb	distribution
vertrieb	ventes
edinburgh	edimbourg
peru	pérou
heart	heart
verliebt	amoureux
bibliotheken	bibliothèques
kuba	cuba
stört	gêne
stört	dérange
unnötig	inutile
leichte	légère
organist	organiste
lloyd	lloyd
bruch	rupture
like	like
miss	miss
erhöhen	augmenter
kavallerie	cavalerie
norm	norme
notwendigkeit	nécessité
zulässig	autorisé
engen	serrés
zählten	comptaient
caspar	caspar
leonhard	leonhard
miguel	miguel
verstoß	infraction
half	half
wall	wall
afghanistan	afghanistan
moderator	modérateur
rückgängig	annuler
vereinigt	réunit
vereinigt	unie
adel	noblesse
vize	vice
bat	bat
hubraum	cylindrée
gary	gary
stewart	stewart
ursachen	causes
befreiung	exonération
befreiung	libération
zoll	douanes
hingerichtet	exécuté
hingerichtet	exécutés
zeigten	montraient
about	about
wunder	miracle
wunder	merveilles
bottom	bottom
finger	doigt
sanierung	assainissement
geheimnis	secret
andy	andy
lost	lost
fellow	fellow
java	java
ebenen	niveaux
mountain	mountain
versteckt	caché
schlüssel	clés
schlüssel	clé
katholiken	catholiques
reichstag	reichstag
anbieter	fournisseur
strafe	pénalité
brust	poitrine
zeilen	lignes
gulden	florin
lisa	lisa
angekündigt	annoncé
planet	planète
mozart	mozart
angewandte	appliquée
einflüsse	influences
vorsitz	présidence
traum	rêve
allianz	alliance
pietro	pietro
barock	baroque
universal	universal
cruz	cruz
verstorben	décédé
geologie	géologie
melbourne	melbourne
kolonien	colonies
lausanne	lausanne
klammern	parenthèses
verwandte	connexes
québec	québec
kampagne	campagne
nba	nba
beobachtung	observation
detail	détail
felsen	rochers
arme	pauvre
airlines	airlines
kalender	calendrier
blog	blog
wiederwahl	réélection
erfindung	invention
xii	xii
reichweite	portée
hals	cou
maría	maría
schlösser	châteaux
olympia	olympia
bemühungen	efforts
johan	johan
margaret	margaret
arizona	arizona
franklin	franklin
bde	bde
flüchtlinge	réfugiés
koalition	coalition
comic	comic
skulptur	sculpture
interpretiert	interprété
vermittlung	médiation
seminar	séminaire
substanz	substance
harris	harris
generationen	générations
janeiro	janeiro
vancouver	vancouver
ausrüstung	équipement
ausrüstung	equipement
dreharbeiten	tournage
saal	salle
ronald	ronald
minderheit	minorité
peters	peters
niederländisch	néerlandais
klagenfurt	klagenfurt
kupfer	cuivre
lincoln	lincoln
sandstein	grès
bedeuten	signifier
field	field
marken	marques
studieren	étudier
lasse	lasse
fische	poissons
schiller	schiller
vierter	quatrième
sven	sven
auszug	extrait
kleidung	vêtements
erlaubnis	permission
eingeschränkt	restreint
unterhält	maintient
unterhält	entretient
norman	norman
player	lecteur
atmosphäre	atmosphère
siemens	siemens
mini	mini
ernest	ernest
geprüft	vérifié
kreuzer	croiseur
besaßen	possédaient
son	son
feier	célébration
schäfer	schäfer
rückseite	dos
lokomotive	locomotive
vermutung	conjecture
propaganda	propagande
spalte	colonne
southern	southern
oswald	oswald
report	report
lkw	camions
lkw	camion
