základného	basic
alkoholu	alcohol
maría	maría
dublin	dublin
veronika	veronica
veronika	veronika
upravená	adjusted
rom	rom
terry	terry
výmenu	exchange
okolnosti	circumstance
okolnosti	circumstances
vianoce	christmas
zaútočili	attacked
predpoklad	presumption
predpoklad	assumption
predpoklad	hypothesis
predpoklad	premise
predpoklad	prerequisite
fedor	fedor
pokoj	tranquility
pokoj	peace
pokoj	calm
pokoj	serenity
atentát	assassination
bonaparte	bonaparte
plánovaná	scheduled
plánovaná	planned
aspekty	facets
aspekty	aspects
vyvoláva	raises
pacienta	patient
borngen	börngen
letiská	aerodromes
letiská	airports
odmietla	declined
matke	mother
kollár	kollár
zasiahla	intervened
diamond	diamond
zajatí	captivity
zajatí	captive
hrobky	tomb
hrobky	tombs
jadrová	nuclear
über	über
klasifikácie	classifications
realizovať	implement
realizovať	realise
kľúčové	key
desaťročia	decades
grace	grace
cestoval	travelled
cestoval	traveled
kartu	tab
kartu	card
dana	dana
smk	smk
edgar	edgar
stuart	stuart
študuje	studying
dokazuje	demonstrates
dokazuje	proves
zákone	testament
kitami	kitami
toulouse	toulouse
bowell	bowell
tokov	flows
urán	uranium
urán	uranus
čeľustnatce	gnathostomata
strecha	rooftop
strecha	roof
utiecť	flee
utiecť	escape
kampane	campaigns
nížina	lowland
danny	danny
obyvateľom	inhabitants
obyvateľom	residents
magic	magic
kushiro	kushiro
stráca	losing
stráca	loses
materskej	maternity
materskej	parent
bonus	bonus
náhrada	refund
náhrada	reimbursement
náhrada	compensation
náhrada	replacement
dominika	dominique
dominika	dominika
dominika	dominica
autorských	copyrights
autorských	copyright
marcela	marcel
marcela	marcela
jakob	jakob
dostupná	available
obmedzenie	restriction
obmedzenie	limitation
obmedzenie	limit
obmedzenie	constraint
kameraman	cameraman
true	true
topenia	melting
nariadenia	regulations
nariadenia	regulation
moru	seaside
interakcie	interaction
interakcie	interactions
sedan	sedan
sedan	saloon
als	als
pobočky	branches
kritiku	criticism
kritiku	criticisms
téme	topic
meč	sword
chad	chad
inštitúcia	institution
federálny	federal
zistí	detects
nádeje	hopes
juels	juels
externý	external
voyager	voyager
zeus	zeus
experimentálne	experimental
ostro	strongly
ostro	sharp
ostro	sharply
gott	gott
mních	monk
roh	corner
roh	horn
všimol	noticed
město	město
vlastníkom	owner
povolené	authorised
povolené	enabled
povolené	authorized
povolené	allowed
povolené	permitted
zrušil	annulled
jedenásť	eleven
magnus	magnus
epizódy	episodes
dočasné	temporary
dočasné	provisional
objavovať	explore
objavovať	discover
stúpa	rises
stúpa	rising
výstupov	outputs
potraviny	grocery
potraviny	food
potraviny	foods
potraviny	groceries
potraviny	foodstuffs
očami	eyes
reinmuth	reinmuth
kategóriu	category
spomienky	memories
ťažkosti	difficulty
ťažkosti	difficulties
edmund	edmund
patriaci	belonging
protest	protest
graham	graham
riadené	managed
riadené	guided
riadené	controlled
riadené	steered
poškodený	damaged
poškodený	corrupted
zadný	rear
isto	sure
isto	surely
existujúcich	existing
chrániť	protect
radosť	delight
radosť	joy
radosť	pleasure
elektróny	electrons
prepojené	linked
hus	goose
hus	hus
facebook	facebook
štandardná	default
skladateľov	composers
prístupná	accessible
správna	correct
sála	hall
sála	ballroom
sála	auditorium
litoměřice	litoměřice
odkazuje	referenced
odkazuje	refers
stretáva	meets
deja	deja
auta	car
krk	neck
magyar	magyar
prach	dust
nadácia	foundation
výmeny	exchanges
colin	collin
colin	colin
pocity	feelings
werner	werner
ľahký	light
salzburg	salzburg
africké	african
vrtuľník	helicopter
vrtuľník	chopper
dcér	daughters
zložité	tricky
zložité	complex
zložité	complicated
zložité	difficult
panva	pelvis
advokát	attorney
advokát	advocate
advokát	counsel
advokát	lawyer
existujúce	existing
ťažšie	heavier
ťažšie	harder
zaujímavý	interesting
odborníci	professionals
odborníci	experts
oceľ	steel
dokopy	together
skúmanie	exploring
skúmanie	investigation
skúmanie	examination
vták	bird
roberto	roberto
prevahu	superiority
zriedka	seldom
zriedka	rarely
pól	pole
jedince	individuals
štvornožce	tetrapod
brusel	brussels
predsedníctva	presidency
čiernych	blacks
významnosť	materiality
významnosť	significance
významnosť	relevance
reťazec	string
reťazec	chain
rozvíja	develops
zomreli	died
pripraviť	prepare
jeseník	jeseník
sľub	promise
vhodná	appropriate
vhodná	suitable
barrett	barrett
saxofón	saxophone
ghz	ghz
metallica	metallica
produkuje	produces
apr	apr
električka	tram
teatro	teatro
isaac	isaac
khl	khl
niesť	carry
pozostávala	consisted
výrobcov	producers
výrobcov	manufacturers
nahrávania	uploads
vyvíja	evolves
vyvíja	develops
kompletný	complete
životnosť	lifetime
životnosť	durability
jun	jun
jun	yun
elektronický	electronic
vodič	driver
newton	newton
desaťročí	decades
desaťročí	decade
galileo	galileo
chráni	protects
soundtrack	soundtrack
obmedzený	restricted
obmedzený	limited
zvláštny	strange
zvláštny	odd
dôsledok	corollary
dôsledok	consequence
palace	palace
rytmus	beat
rytmus	rhythm
príležitostne	occasional
príležitostne	occasionally
duo	duo
doposiaľ	hitherto
kresťanský	christian
mäsa	meat
henrik	henrik
bach	bach
slávu	fame
slávu	glory
theodor	theodor
využívanie	utilisation
využívanie	exploitation
využívanie	usage
ahoj	hi
ahoj	hello
učiť	teach
učiť	learn
astronauti	astronauts
kôra	rind
kôra	bark
kôra	cortex
kôra	peel
prevláda	predominates
náročné	challenging
náročné	difficult
fakty	facts
costa	costa
darwin	darwin
uzavreté	enclosed
uzavreté	closed
rozhovory	conversations
rozhovory	interviews
rozhovory	talks
tlači	press
spolupracovala	collaborated
spolupracovala	cooperated
liečbu	treat
zabili	killed
gréckom	greek
sfondo	sfondo
osudu	fate
štýly	styles
staviteľ	builder
hlboký	deep
hlboký	profound
využívaná	exploited
využívaná	utilised
násobný	multiplicative
zaujíma	interested
viaže	binds
viaže	bound
cape	cape
rekreačné	recreational
vyrobená	produced
vyrobená	manufactured
vyrobená	made
kalendára	calendar
flotily	fleet
flotily	fleets
menším	smaller
sektor	sector
école	école
búrka	thunderstorm
búrka	storm
guillaume	guillaume
komerčne	commercially
domácu	homemade
stavia	builds
keith	keith
spáchal	committed
pablo	pablo
slonoviny	ivory
zdanlivo	ostensibly
zdanlivo	seemingly
tvrdý	tough
súrodencov	siblings
nejako	somehow
éra	era
stredoveké	medieval
presvedčený	confident
presvedčený	believe
presvedčený	convinced
zranenie	injury
zranenie	wound
labuť	swan
zachytáva	captures
hitlera	hitler
mrakodrap	skyscraper
reštaurácia	restaurants
reštaurácia	restaurant
brad	brad
doplnené	supplemented
doplnené	complemented
doplnené	replenished
calgary	calgary
endate	endate
kostra	skeleton
zastávky	stops
ukončiť	exit
ukončiť	end
ukončiť	terminate
ukončiť	quit
strakonice	strakonice
udelené	granted
udelené	awarded
gregory	gregory
predpisy	regulations
predpisy	rules
predpisy	prescriptions
lars	lars
pokrok	progress
