மற்றும்	and
சமையல்	cooking
மூளை	brain
மூளை	brains
தோல்வி	failure
தோல்வி	failed
தோல்வி	lose
நட்பு	friendship
படத்தை	photo
டிவி	tv
முத்திரை	stamp
முத்திரை	mudra
முத்திரை	seal
இலை	leaf
வரலாற்றுச்	historical
விவிலிய	biblical
நாயுடு	naidu
மகிழ்ச்சி	happiness
மகிழ்ச்சி	happy
வன்முறை	violent
வன்முறை	violence
கலவை	mixture
கலவை	mixer
கலவை	mixed
கலவை	blend
சார்லஸ்	charles
உள்ளடக்கம்	content
உள்ளடக்கம்	contents
வர்த்தகம்	commerce
வர்த்தகம்	commercials
வர்த்தகம்	trading
பின்னணிப்	playback
என்னுடைய	mine
கனடாவின்	canadians
அசாம்	assam
அசாம்	azam
பரிமாற்றம்	transactions
பரிமாற்றம்	transfer
பரிமாற்றம்	exchange
கறுப்பு	black
தரமான	quality
நைட்	knight
கைப்பற்றி	captured
பயண	travel
பத்தாம்	tenth
கால்சியம்	cobalt
கால்சியம்	calcium
கால்சியம்	celsius
கால்சியம்	magnesium
இயக்கி	driver
இயக்கி	drive
வலிமையான	strongest
காயமடைந்தனர்	injured
கணபதி	ganpati
கணபதி	ganapati
கணபதி	ganapathy
கணபதி	ganapathi
கடைசியாக	last
வெட்டி	cut
பெறுதல்	receiving
பெறுதல்	getting
பிள்ளைகள்	children
தவறாக	wrong
சங்கிலி	chain
சாதனங்கள்	devices
தொலைவு	distance
மனதில்	mind
படித்தார்	studied
அலெக்சாண்டர்	alexander
களம்	domain
பழங்கள்	fruits
பூசை	puja
வேட்பாளர்	candidate
ஓடும்	running
தொழிற்சாலை	industry
தொழிற்சாலை	industrial
தொழிற்சாலை	factory
கோடை	summer
குறைக்க	reduce
ஜனநாயக	democratic
லூக்கா	luke
லூக்கா	luka
உறுப்புகள்	elements
சர்க்கரை	sugar
நாட்காட்டி	calendar
ஆலோசனை	advice
ஆலோசனை	consulting
ஆலோசனை	consult
முன்னேற்றக்	munnetra
மெதுவாக	slow
மெதுவாக	slowly
பேராக்	perak
அளிக்கிறது	provides
காப்பீடு	insurance
அரசியலமைப்பு	constitution
பயன்படுத்துகிறது	using
பயன்படுத்துகிறது	uses
மைல்கள்	miles
மடம்	monastery
புனிதர்	saint
பாத்திரம்	role
ஆழமான	deep
வழிமுறைகள்	channels
வழிமுறைகள்	instructions
ஆரம்பித்தது	started
அதிர்வெண்	frequency
சீரான	uniform
பணிபுரிந்தார்	worked
துவக்க	startup
அருகாமையில்	closer
கொன்று	slay
கொன்று	kill
தினமலர்	dinamalar
சிட்டி	chitty
சிட்டி	city
அதிகரித்து	increasing
புலம்	field
பாய்	boy
பாய்	bhai
பாய்	pai
பாய்	bai
இளையராஜா	ilaiyaraaja
இளையராஜா	ilayaraja
எங்கள்	our
மோகன்	mohan
நந்தி	nandi
தவம்	penance
தொற்று	infections
தொற்று	infection
காணாமல்	disappeared
காணாமல்	missing
சந்திரன்	moon
குழுவினர்	crew
திரவ	liquid
குலம்	clan
தானாகவே	auto
தானாகவே	automatically
நுழைவாயில்	gateway
செல்	go
செல்	cell
மோட்டார்	motor
மரபியல்	genetics
விமர்சனம்	criticism
கிருஷ்ணா	krishna
போர்கள்	wars
பொதுநலவாய	commonwealth
சே	se
பரவியது	spread
இசைக்குழு	band
ஓட்டம்	runner
ஓட்டம்	flow
ஓட்டம்	running
ஓட்டம்	run
ஊழல்	corrupt
ஊழல்	scandal
ஊழல்	scam
ஊழல்	corruption
குழந்தைகளின்	kids
பாதி	half
ஆதலால்	advantage
தேர்	chariot
திராவிடர்	dravidian
திராவிடர்	dravidar
ஸ்டீவ்	steve
வம்சம்	dynasty
இந்துக்கள்	hindus
கொஞ்சம்	slight
கோபி	gopi
வாரியம்	board
தாக்குதல்கள்	attacks
அசல்	original
முக்கோண	triangular
முக்கோண	cubism
நிறுத்தி	stopped
அவளது	her
சுவிட்சர்லாந்து	switzerland
கண்டிப்பாக	sure
கண்டிப்பாக	definitely
உருவாக்குகிறது	creating
உருவாக்குகிறது	creates
கொலம்பியா	columbia
கொலம்பியா	colombia
மத்தேயு	matthew
இந்தோனேசியா	indonesia
நாளும்	day
பொறி	machine
பொறி	engine
பொறி	trap
செக்	czech
தேடல்	search
எலிசபெத்	elizabeth
நன்மை	benefit
நன்மை	good
அமில	acidic
பிணைப்பு	bonding
பிணைப்பு	bound
விகடன்	vikatan
கேட்டுக்	listening
சட்டத்தை	law
தொலைத்தொடர்பு	telecommunication
தொலைத்தொடர்பு	telecommunications
உயர்வு	hike
உயர்வு	rise
மையங்கள்	cafes
மையங்கள்	centers
கருப்பை	uterus
கருப்பை	womb
ஆதரவாக	supportive
மாநகராட்சி	corporation
ஆயுதங்கள்	weapons
பராமரிப்பு	maintenance
ஞாயிறு	sun
ஞாயிறு	sunday
கண்கள்	eyes
சகோதரி	sis
சகோதரி	sister
சகோதரி	sissy
பணியாளர்	employee
விழாக்கள்	festivals
முக்கோணம்	translate
முக்கோணம்	triangle
இணைக்கிறது	connecting
கணம்	moment
சிறிதளவு	slightly
சிறிதளவு	somewhat
அனுபவம்	experienced
அனுபவம்	experience
கோரி	cori
கோரி	demanding
கோரி	corey
கோரி	cory
ஒப்பிடுகையில்	compared
இயக்கங்கள்	operations
உடை	dress
உடை	dressing
டாலர்கள்	dollars
மற்றவர்கள்	others
அதி	it
ஸ்பெயின்	spain
நோக்கியா	nokia
அக்னி	agni
அதிகளவில்	highly
காளி	kali
டே	tae
டே	dey
பாடலை	song
நடுத்தர	medium
ஹோட்டல்	hotel
வடிவவியல்	geometry
நீக்கம்	spot
பழுப்பு	brown
பழுப்பு	burn
பழுப்பு	grey
பழுப்பு	gray
தடுக்கும்	prevent
நாட்களுக்கு	days
பழக்கம்	habit
அழகான	beautiful
அழகான	lovely
இணையாக	parallel
நடப்பு	current
நடப்பு	present
இறையியல்	theology
தோன்றுகிறது	seems
தோன்றுகிறது	appears
நெட்வொர்க்	network
பக்கத்தை	page
அரியானா	haryana
சின்னங்கள்	icons
வளாகத்தில்	campus
கோரிக்கை	request
காலி	galle
காலி	empty
ஆலன்	allen
ஆலன்	allan
ஆலன்	alan
யோகம்	yoga
மூலங்கள்	sources
மூலங்கள்	resources
வீழ்ச்சி	defeat
வீழ்ச்சி	fall
பாடினார்	sang
தொழிலில்	industry
கொடுக்கப்பட்ட	given
சொந்தமான	personal
வாழ	live
முன்னோடி	pioneer
வவுனியா	vavuniya
பிறர்	others
காந்த	magnetic
அப்பால்	beyond
தேர்ச்சி	passed
எண்ணற்ற	numerous
எண்ணற்ற	countless
கண்டறியப்பட்டது	detected
கண்டறியப்பட்டது	diagnosed
கண்டறியப்பட்டது	found
அமைப்புகளில்	settings
துடுப்பாட்டம்	cricket
எகிப்திய	egyptian
பாட்டு	song
பாடும்	singing
ஜாவா	java
நாணயங்கள்	coins
டூ	doo
ஹார்ட்	hart
ஆடு	goat
அம்மா	amma
அம்மா	mommy
அம்மா	mom
அம்மா	mother
படகு	rafting
படகு	boat
தொழில்துறை	industry
தொழில்துறை	industrial
குல	with
துல்லியமாக	accurate
துல்லியமாக	precisely
துல்லியமாக	accurately
கூற்று	expression
கூற்று	statement
ஒப்புதல்	consent
ஒப்புதல்	approve
ஒப்புதல்	approval
சக	colleague
சக	fellow
அதிகாரப்பூர்வமாக	officially
டென்னிஸ்	tennis
உருவாகின்றன	eons
சுந்தர	sundara
மணல்	sand
இடை	waist
நுட்பம்	textures
நுட்பம்	texture
நுட்பம்	accuracy
கவலை	anxiety
கவலை	worried
கவலை	worrying
கவலை	worry
கவலை	concern
இலைகள்	leaves
உலா	tour
உலா	ula
உலா	stroll
அமிலங்கள்	acids
பாலை	milk
ரேடியோ	radio
லூயிஸ்	louis
லூயிஸ்	lewis
லூயிஸ்	luis
செயற்பாடுகள்	operations
செயற்பாடுகள்	activities
செயற்பாடுகள்	functions
பஞ்ச	pancha
எண்ணம்	thought
எண்ணம்	minded
காக்கும்	keeping
வாஷிங்டன்	washington
புள்ளியியல்	statistics
செயல்கள்	actions
காம்	com
காம்	kam
சாரா	sarah
சாரா	sara
பாளையம்	cantonment
நிலநடுக்கம்	earthquake
எடுக்கப்பட்டது	taken
நன்று	good
நன்று	well
எண்ணி	counter
எண்ணி	number
பார்த்த	seen
டா	da
ஞான	gnana
அட்லாண்டிக்	atlantic
ஜெமினி	gemini
கணவர்	hubby
கணவர்	husband
வளங்கள்	resources
நடிப்பு	acting
பணியாளர்கள்	employees
பணியாளர்கள்	staff
பொழுதுபோக்கு	hobby
பாடம்	lesson
பாடம்	tutoring
பாடம்	tutorial
தற்காலிக	cache
தற்காலிக	temporary
பெருக்கல்	multiplication
பெருக்கல்	multiple
படையெடுப்பு	invasion
வத்திக்கான்	vatican
வாய்ப்புகள்	opportunities
பாரத	bharat
ஓசோன்	ozone
நோக்கிய	towards
மறைந்து	hidden
மறைந்து	disappear
வட்டி	interest
வாடிக்கையாளர்	customer
வாடிக்கையாளர்	client
வாடிக்கையாளர்	competitor
வழங்கல்	feed
வழங்கல்	delivery
ஆகியவற்றைப்	midwifery
வேலைகள்	jobs
பொங்கல்	pongal
ஆயுள்	life
போலி	dummy
போலி	counterfeit
போலி	fake
பிரான்சில்	braun
சிற்பம்	sculpture
சிற்பம்	carving
சரஸ்வதி	saraswati
இணையான	parallel
இயக்கவியல்	dynamics
நண்பர்	friend
தேன்	honey
சுப்பிரமணிய	subramania
சுப்பிரமணிய	subramanya
பொள்ளாச்சி	pollachi
ரிஷபம்	taurus
உதாரணம்	example
ஈராக்	iraq
மின்காந்த	electromagnetic
தாயின்	mother
நாராயணன்	narayanan
வாங்க	buy
எடுத்துக்காட்டுகள்	examples
ஜனாதிபதி	president
ஜனாதிபதி	prez
வந்தான்	came
வாகனங்கள்	vehicles
சூழலியல்	ecology
தாக்கல்	filing
தாக்கல்	filed
போராட்டங்கள்	struggles
சூத்திரம்	formula
பெர்லின்	berlin
பள்ளிவாசல்	mosque
சோதனைகள்	trials
சோதனைகள்	tests
சுப்பிரமணியம்	subramaniam
பயனுள்ள	useful
பயனுள்ள	effective
தொடங்குகிறது	begins
தொடங்குகிறது	starts
தொடங்குகிறது	initializing
தொடங்குகிறது	starting
சந்திக்கும்	meet
அங்கீகாரம்	recognition
உம்	umm
நெருக்கடி	crisis
தானம்	donate
சமநிலை	balance
திருத்தம்	amendment
ஆரிய	aryan
ஆபத்து	risk
ஆழம்	depth
ரயில்வே	railway
டென்மார்க்	denmark
பெங்களூரு	bangalore
பெங்களூரு	bengaluru
நாணயம்	currency
தரிசனம்	darshan
உயரிய	great
ஓட்டங்கள்	runs
அலுமினியம்	aluminium
பென்	ben
ஜூலியன்	julian
ஆர்தர்	arthur
தேவைகள்	requirements
ஆழ்ந்த	deep
பலம்	strength
நேபாள	nepalese
விளக்கங்கள்	details
அகலம்	width
சமயப்	religious
இணைந்தார்	joined
சமீபத்தில்	recently
சமீபத்தில்	lately
செறிவு	intensity
செறிவு	concentration
கேட்க	ask
கேட்க	hear
கேப்	cape
கேப்	cab
வழக்குகள்	cases
விடுமுறை	holiday
விடுமுறை	vacation
விடுமுறை	holidays
வாழ்வியல்	lifestyle
நிறுவனர்	organisation
நிறுவனர்	organizer
நிறுவனர்	founder
விண்மீன்கள்	starry
சாமி	sami
இழந்த	lost
எழுத்தறிவு	literacy
பிரதம	prime
துணைக்	sub
கிறித்தவம்	christianity
இனப்பெருக்கம்	breed
இனப்பெருக்கம்	reproduction
கார்த்திக்	karthik
திறமை	skill
திறமை	talent
திறமை	talented
தெரிந்த	known
செவ்வாய்	tuesdays
செவ்வாய்	tuesday
செவ்வாய்	jupiter
செவ்வாய்	mars
நடுவே	across
மெட்டல்	metal
மெட்டல்	metals
கட்டளை	command
தீர்மானம்	determination
தீர்மானம்	resolution
கணிதவியலாளர்	mathematician
முஸ்லிம்கள்	muslims
தாவரவியல்	botany
சபையில்	congregation
தழுவி	embrace
குவாண்டம்	quantum
குவாண்டம்	astonishing
கணிப்பு	prediction
கணிப்பு	pacing
அக்பர்	akbar
கண்டுபிடிப்பு	invention
கண்டுபிடிப்பு	innovation
பெறப்பட்டது	received
பிரசாத்	prasad
எவரும்	anyone
எவரும்	none
எவரும்	nobody
எதையும்	anything
பாதிக்கும்	affect
நோர்வே	norway
புல்	grass
சோ	zhou
சோ	cho
எதிர்மறை	negative
திபெத்திய	tibetan
பருத்தி	cotton
}}}}}}}}}}	}}}}}}}}}}
நாய்	doggy
நாய்	dog
பினாங்கு	penang
விழிப்புணர்வு	awareness
விபத்தில்	accident
விபத்தில்	crash
இருப்பு	balance
இருப்பு	presence
இருப்பு	stock
ஜோர்ஜ்	jorge
இயந்திரங்கள்	robots
நிலக்கரி	coal
பதிவுகள்	impressions
பதிவுகள்	records
இருமுறை	twice
கட்டிட	building
முட்டை	egg
பட்டி	menu
ஜீ	jee
ஜீ	zee
ஐதராபாத்	hyderabad
நட்சத்திர	star
இருந்தபோதிலும்	nevertheless
இளவரசர்	prince
மறுபடியும்	again
குணம்	attribute
இறக்குமதி	import
இருக்கிறார்கள்	are
ஹாரி	harry
சைமன்	simon
தீவிரமாக	seriously
பணத்தை	money
கொச்சி	kochi
ஏழை	poor
வெளிப்படுத்தும்	reveal
காயம்	injury
காயம்	wound
காயம்	hurt
ஆசை	desire
ஆசை	wish
விளம்பரம்	ads
விளம்பரம்	advertising
விளம்பரம்	advertisement
விளம்பரம்	promotion
விளம்பரம்	boost
விளம்பரம்	ad
மூலிகைகள்	herbs
நீலம்	blue
அவளை	her
மாதிரிகள்	samples
வருகிறார்கள்	coming
தொடர்ந்தது	continued
அமெரிக்கர்கள்	americans
கனவு	dream
கனவு	dreaming
வானிலை	weather
கபூர்	kapoor
கபூர்	kafur
தேற்றம்	theorem
ஆணை	instruction
ஆணை	command
அதிகரித்தது	increased
தாக்கும்	attack
அன்றாட	daily
நிகழ்வில்	event
நியமனம்	appointed
தொண்டு	charity
அதிகரிக்கிறது	improves
சீனிவாசன்	srinivasan
போர்க்	war
பரம்பரை	inheritance
நேர்காணல்	interview
தயார்	ready
சிலைகள்	idols
சிலைகள்	statues
மிதமான	moderate
சிகாகோ	chicago
எங்கே	where
வேண்டியது	must
காட்டினார்	showed
தினசரி	daily
தீய	evil
தசை	muscle
வயலின்	violin
மறுத்து	refused
கோதாவரி	godavari
பன்னிரண்டு	twelve
வாக்கு	vote
கிளப்	club
ஆவி	ghost
ஆவி	spirit
பெட்டிகள்	boxes
மெய்	consonant
மெய்	true
ஹால்	hall
எச்சரிக்கை	warning
எச்சரிக்கை	caution
எச்சரிக்கை	alert
அரங்கு	theatre
சாந்தி	shanti
சித்தூர்	chittoor
தங்கப்	gold
முல்லைத்தீவு	mullaitivu
விரல்	finger
பூச்சிகள்	insects
ஜோ	jo
ஜோ	joe
கலாச்சாரம்	culture
வித்தியாலயம்	vidyalaya
வித்தியாலயம்	vidyalayam
மராத்தி	marathi
இறைவனின்	lord
இராமசாமி	ramasamy
கட்டுப்பாடுகள்	restrictions
கட்டுப்பாடுகள்	controls
முற்றுகை	siege
மகாபாரதம்	mahabharat
மகாபாரதம்	mahabharata
தகவலை	info
தகவலை	information
பன்றி	pig
விஸ்வநாதன்	viswanathan
அதிகரிக்க	increase
ஏற்க	accept
ரோம்	rome
ரோம்	rom
அட்டைகள்	cards
கருணாநிதி	karunanidhi
நேரியல்	linear
முக்கியமானது	important
படிப்பு	course
படிப்பு	study
தட்டச்சு	typing
காப்பு	backup
காப்பு	bracelet
போட்டு	put
வசனம்	dialogue
வசனம்	verse
கற்கள்	stones
திறக்கப்பட்டது	opened
திறக்கப்பட்டது	unlocked
எழுத்துகள்	characters
ஏவுகணை	missile
நீராவி	steam
சம்பந்தப்பட்ட	concerned
காய்ச்சல்	fever
காய்ச்சல்	flu
விட்டம்	diameter
ஆன்மீக	spiritual
எபிரேய	hebrew
மறைந்த	hidden
நடிக்க	casting
ஏர்லைன்ஸ்	airlines
அமர்ந்து	sitting
அமர்ந்து	seated
சமமான	equals
சமமான	equal
பட்டை	bars
பட்டை	bar
சடங்கு	ritual
குகை	cave
குறைக்கும்	reduce
நாற்பது	forty
மண்டலங்கள்	regions
மண்டலங்கள்	zones
கோல்டன்	golden
அகமது	ahmed
அகமது	ahamed
குழாய்கள்	pipes
நோயாளிகள்	patients
போராளிகள்	fighters
நிகழ்கிறது	happens
நிகழ்கிறது	happening
நீக்கி	withdraw
முழுவதுமாக	completely
கண்டுபிடிக்கப்பட்ட	discovered
பழங்கால	antique
நேபாளம்	nepal
நேபாளம்	nepali
நேபாளம்	nepalese
இடர்	risk
ஆடும்	dancing
சூழ்நிலை	situation
உறவுகள்	relationships
உறவுகள்	relations
நிறுத்த	stop
கற்றுக்	taught
நிறுவி	installer
நடுநிலை	neutral
கோபம்	anger
கோபம்	angry
நுண்ணுயிர்	microbial
விழுந்து	fall
இறைவனை	lord
குழப்பம்	mess
குழப்பம்	confusion
குழப்பம்	confused
குழப்பம்	conflict
குழப்பம்	chaos
மூலக்கூறுகள்	molecules
துகள்	particle
தட்டு	plate
தட்டு	tray
திருமதி	mrs
ஐநா	un
துல்லியமான	accurate
துல்லியமான	precision
நாயர்	nair
பூச்சி	insect
பூச்சி	pest
நிலைமை	situation
எட்டாவது	eighth
சண்முகம்	shanmugam
சிறுவர்கள்	boys
சிறுவர்கள்	kids
கொண்டான்	hamper
ஒளியியல்	optics
புரதம்	protein
நாகரிகம்	civilization
ஆரம்	radius
பண்ணை	farm
மேற்பரப்பு	surface
சாமுவேல்	samuel
பிடித்தது	favorite
வீரன்	champ
வீடுகளில்	homes
கையேடு	manual
கோதுமை	wheat
பதிப்புகள்	editions
பதிப்புகள்	versions
முல்லை	plastik
விரைந்து	hurried
வளர்ச்சியை	growth
மரியாதை	respect
விரிவாக்கம்	expand
விரிவாக்கம்	extension
பீட்டா	beta
வழிமுறை	step
வழிமுறை	method
வழிமுறை	channel
விரும்பினார்	liked
நடைபெறுகின்றன	underway
புரியும்	explanatory
புரியும்	understand
கேரளம்	kerala
நிலவும்	prevails
கால்நடை	cattle
ரஷ்யா	russia
தேங்காய்	coconut
லூயி	luiz
லூயி	louis
லூயி	louie
தெரியாத	unknown
வேண்டுகோள்	request
அணிந்து	wearing
கேட்ட	heard
அபிவிருத்தி	development
இடைக்கால	medieval
பாதுகாக்க	protect
பார்வையாளர்கள்	audience
பார்வையாளர்கள்	viewers
கண்காணிப்பு	tracking
கண்காணிப்பு	monitoring
சக்கரம்	wheel
சக்கரம்	chakra
கோடுகள்	lines
கோடுகள்	linger
அனுமதிக்கிறது	allows
புராண	commemorating
புராண	epic
எப்பொழுதும்	always
வேதாந்த	vedanta
சிங்கம்	lion
வேல்ஸ்	wales
புறநகர்	suburban
வழிகள்	directions
வழிகள்	ways
யானைகள்	elephants
பாலிவுட்	bollywood
உறுதியாக	strongly
உறுதியாக	sure
ஜாக்	jack
ஜாக்	zack
சித்திரை	chaitra
கண்டம்	continent
பாதுகாப்பான	safe
பாதுகாப்பான	secure
கட்டம்	grid
வாதம்	argument
அவதாரம்	avatar
மாறுபடும்	vary
போதே	while
தேயிலை	tea
அண்ணன்	annan
படைப்பு	creation
படைப்பு	creative
அம்பாறை	ampara
துணி	textile
துணி	cloth
துணி	fabric
துணி	textiles
அவனுக்கு	him
நிக்கோபார்	nicobar
படப்பிடிப்பு	filming
படப்பிடிப்பு	shoots
படப்பிடிப்பு	shooting
சனி	saturday
சனி	sat
மூங்கில்	bamboo
விடை	answer
தேவைகளை	needs
சார்ல்ஸ்	charles
நியாயமான	reasonable
உதவியது	helped
எட்வர்ட்	edward
தலித்	dalit
ஏதோ	something
திருவள்ளுவர்	thiruvalluvar
ராஜீவ்	rajeev
ராஜீவ்	rajiv
பிரீமியர்	premiere
பிரீமியர்	premier
களஞ்சியம்	silo
இடைநிலை	intermediate
கேள்விகள்	questions
நல	welfare
விளையாட்டரங்கம்	stadium
எல்லைகள்	borders
எல்லைகள்	limits
கதிர்வீச்சு	radiation
அழைக்கப்பட்டார்	invited
டோனி	tony
பனை	palm
கண்ணகி	kannagi
சூறாவளி	cyclone
சூறாவளி	typhoon
சூறாவளி	hurricane
பிரகாஷ்	prakash
ஆனந்த்	anand
பிரிட்டன்	britain
பெருங்கோவில்	cathedral
நிலங்கள்	lands
பெல்	bel
பெல்	bell
நிழல்	shadows
நிழல்	shading
நிழல்	shadow
நிழல்	shade
நாடார்	nadar
விருத்தி	development
இதயம்	heart
விமர்சனங்கள்	reviews
விமர்சனங்கள்	criticism
இயல்புகள்	activations
எங்கு	where
திருப்பதி	tirupati
இணைக்க	connect
திட்டமிடல்	planning
தொகுத்தல்	editing
தொகுத்தல்	grouping
வரவேற்பு	wellcome
வரவேற்பு	welcome
வரவேற்பு	reception
இராமன்	raman
மைக்	mike
சேகர்	sekar
சேகர்	sekhar
யாத்திரை	yatra
பவர்	power
தரை	floor
தரை	ground
இளவரசி	princess
////	////
டெல்	tel
டெல்	dell
தொழில்கள்	jobs
கணவன்	husband
தேவன்	god
டத்தோ	dato
பாரதிதாசன்	bharathidasan
வாக்கெடுப்பு	poll
வாக்கெடுப்பு	polling
கோட்டைகள்	forts
உலோகங்கள்	metals
படுகொலைகள்	massacre
யுனெஸ்கோ	unesco
சுவை	taste
சுவை	flavor
எரிக்	eric
பீடம்	altar
பீடம்	peetam
சித்த	siddha
சேரும்	milan
சேரும்	destination
வெளிப்பாடு	expression
வெள்ளம்	flood
வெள்ளம்	flooding
வெள்ளம்	floods
கல்லறை	tomb
கல்லறை	cemetery
கல்லறை	grave
அத்தியாயம்	chapter
அத்தியாயம்	episode
கல்வெட்டுகள்	inscriptions
இணைந்தது	joined
பாட	sing
மர	wooden
மீதமுள்ள	remaining
சாதாரணமாக	casually
கோள்கள்	planets
ஆவணம்	doc
ஆவணம்	document
பேருந்துகள்	buses
ஏற்படுகின்றன	contraction
மாதா	mata
காவேரி	kaveri
இணைக்கப்பட்டது	connected
இணைக்கப்பட்டது	linked
ராப்	rob
கூட்டல்	addition
கூட்டல்	sum
நினைவில்	remembered
நினைவில்	remember
வேதம்	vedas
கேட்கும்	asks
முடிச்சு	node
முடிச்சு	knot
கென்ட்	kent
ஹை	hi
தடம்	track
நடத்தியது	conducted
ஐம்பது	fifty
நீதிமன்றங்கள்	courts
ரப்பர்	rubber
வயதான	elderly
மகனும்	son
கற்று	learn
மக்களாட்சி	democracy
பூங்காக்கள்	parks
ஆற்காடு	arcot
நிறுத்தம்	stop
ரோஜா	rose
ரோஜா	roja
புகை	smoking
புகை	smoke
சைவம்	vegetarian
சைவம்	vegan
பகல்	daylight
நிலா	moon
சதவிகிதம்	percentage
சதவிகிதம்	percent
பெனடிக்ட்	benedict
நீச்சல்	swim
நீச்சல்	swimming
ராதா	radha
பாடகி	singer
சடங்குகள்	rituals
சடங்குகள்	ceremonies
கிறிஸ்து	christ
யுனைடெட்	united
காலணி	shoes
கரும்பு	sugarcane
தெலுங்கானா	telangana
பதினான்கு	fourteen
சேர்க்கை	union
சேர்க்கை	admission
சேர்க்கை	combo
எழுச்சி	rise
செயற்பாடு	activity
விளையாடி	playing
சுங்கை	sungai
படித்த	read
படித்த	educated
மாறிலி	constant
கைப்பற்றிய	captured
ஒதுக்கீடு	attribution
ஒதுக்கீடு	allocation
பாபா	baba
கிளிநொச்சி	parrot
கிளிநொச்சி	kilinochchi
வாழை	plantain
வாழை	banana
குழுவை	group
அங்குலம்	inches
அங்குலம்	inch
பேசி	phone
இறைச்சி	meat
ஏரிகள்	lakes
தற்காலிகமாக	temporarily
பூஜை	puja
அணுகுமுறை	approach
காரணி	factor
நிலவு	moon
உட்புற	interior
உலோகம்	metal
உலோகம்	metals
அறிமுக	debut
விதை	seed
விதை	seeds
ஊடகம்	media
மெக்சிகோ	mexico
அமெரிக்கர்	american
அமெரிக்கர்	americans
இப்னு	ibn
அறிக்கைகள்	reports
வெற்றியை	success
பாபநாசம்	papanasam
நாளிதழ்	newspaper
ஹாலிவுட்	hollywood
மெல்ல	slowly
பிறந்தது	born
பதினாறு	sixteen
சகோதரன்	brother
கடை	shop
கடை	store
தெளிவு	clear
தெளிவு	clarity
கணினிகள்	computers
வேர்	root
பிரான்சிஸ்	francis
ஸ்ரீகாந்த்	srikanth
வெளியீடுகள்	releases
ஊழியர்கள்	staff
சக்கர	wheel
வாட்	watt
வாட்	wat
சுவிஸ்	swiss
பேட்மேன்	batman
போக	go
மூடிய	closed
ஆட்டோ	auto
வெளியேறும்	exit
ஸ்டீபன்	stephen
ஸ்டீபன்	stefan
ஜான்சன்	johnson
கட்டுமான	construction
போஸ்	bose
போஸ்	pose
சார்பற்ற	neuter
இன்பம்	enjoyment
ஒன்பதாவது	nine
ஒன்பதாவது	ninth
டெய்லர்	taylor
புனைவு	fiction
கன்னி	virgo
மரபுகள்	traditions
நடுவர்	referee
நெறிமுறைகள்	criteria
டாட்டா	tata
விவசாயிகள்	farmers
சாதனம்	device
மின்னணுவியல்	electronics
மேற்கோள்கள்	satellite
மேற்கோள்கள்	quotes
மேற்கோள்கள்	examples
மேற்கோள்கள்	quotations
மேற்கோள்கள்	annotations
வெளிப்படையாக	openly
வெளிப்படையாக	apparently
பாக்	pak
தெருவில்	street
உயிருடன்	alive
பெண்ணை	girl
ஓடி	flow
ஸ்மித்	smith
மேஜர்	major
ஊட்டச்சத்து	nutrition
தண்டு	cord
தண்டு	stem
அறைகள்	rooms
எண்ணை	number
இருவருக்கும்	both
இன்றளவும்	weaves
பிரான்சிய	académie
உரிமையாளர்	owner
சேதம்	damage
கவுண்டர்	counter
கவுண்டர்	gounder
விரும்பிய	preferred
புக்	buk
ஜோடி	pair
ஜோடி	couple
மந்திரம்	mantra
தயாரிப்பாளர்கள்	producers
பவானி	bhavani
தா	tha
ராஜஸ்தான்	rajasthan
ரகுமான்	rahman
அவசர	emergency
ஜானகி	janki
ஜானகி	janaki
கரை	border
நாயகன்	hero
நாயகன்	man
காப்பகம்	archive
அடர்ந்த	dense
கூத்து	koothu
கூத்து	hoa
படைத்த	created
அருங்காட்சியகங்கள்	museums
சிவா	shiva
சிவா	siva
குடி	drinking
குடி	drink
வாழ்த்துக்கள்	congratulations
வாழ்த்துக்கள்	greetings
வாழ்த்துக்கள்	congrats
பாடலாசிரியர்	composer
இனிய	happy
குளோரின்	chlorine
பெல்ஜியம்	belgium
வெளியிட்டு	releasing
மெட்ரிக்	metric
மெட்ரிக்	matric
துருக்கிய	turkish
நெப்போலியன்	napoleon
காரைக்கால்	karaikal
ஆயுதம்	weapons
ஆயுதம்	weapon
ஆயுதம்	ammunition
சங்கு	conch
குறுக்கே	across
தங்களுக்கு	themselves
மசூதி	mosque
வழிகாட்டி	wizard
வழிகாட்டி	guide
பங்களிக்க	contribute
குடியேற்றம்	immigration
பிலிப்	phillip
பிலிப்	philip
பர்மா	burma
பாபு	babu
நெருக்கமான	intimate
தேவையற்ற	unwanted
தேவையற்ற	unnecessary
திறனாய்வு	criticism
தீர்க்க	solve
சேர்க்கும்	adds
பலகை	board
தணிக்கை	censorship
வளைவு	curve
வளைவு	curvature
யூதர்கள்	jews
வளைகுடா	gulf
வளைகுடா	bay
உகந்த	optimal
மெய்நிகர்	virtual
கிரிக்	crick
மோதல்	collision
உள்ளீடு	feed
உள்ளீடு	entry
உள்ளீடு	input
தெய்வங்கள்	gods
ஊதா	purple
ஊதா	violet
புயல்	cyclone
புயல்	storms
புயல்	storm
பகவான்	bhagavan
பகவான்	bhagwan
நாகேஷ்	nagesh
நினைத்து	thinking
அக்கறை	caring
அயன்	ayan
முத்தையா	muthiah
கூறு	module
கூடைப்பந்து	basketball
விதைகள்	seeds
மாசு	polluted
மாசு	pollution
வரவு	arrival
வரவு	churn
