அணில்	squirrel
ஹசன்	hassan
ஹசன்	hasan
நைஜீரியா	nigeria
திசைமாற்றி	steering
வரைதல்	draw
வரைதல்	drawing
சதுர்த்தி	chaturthi
தாம்பரம்	tambaram
கொண்டாட்டங்கள்	celebrations
உருண்டை	orb
உருண்டை	meatball
உருண்டை	meatballs
காமன்வெல்த்	commonwealth
ஆழ்வார்கள்	alwar
அணுகும்	access
ஃபீஸ்டா	fiesta
மதிப்பெண்கள்	score
மதிப்பெண்கள்	scores
அவதூறு	defamation
அவதூறு	profanity
அவதூறு	slander
அவதூறு	annoyed
அதிகாரிகளின்	officers
யமுனா	yamuna
மொழிபெயர்ப்புகள்	translations
முதலீடுகள்	investments
சுடுதல்	shooter
யூதா	judah
முன்னோர்கள்	ancestors
மனிதனுக்கு	man
பதில்கள்	reactions
பதில்கள்	responses
பதில்கள்	answers
பதில்கள்	replies
வெனிஸ்	venice
தொல்லை	trouble
தொல்லை	nuisance
தலைகள்	heads
கண்காணிப்பாளர்	watcher
அஹ்மத்	ahmed
அஹ்மத்	ahmad
அரிசோனா	arizona
ஜூல்	joule
கூட்டத்தை	crowd
கறி	mutton
கறி	curry
சேலை	saree
ஈராக்கிய	iraqi
ஜெஃப்	jeff
வர்ஜீனியா	virginia
மந்திரங்கள்	chants
மந்திரங்கள்	mantras
பென்சைல்	benzyl
படேல்	patel
பல்லவி	pallavi
சுழி	zero
உணர்ச்சிகள்	reactions
போர்டு	board
இருப்பை	presence
####	####
மாடலிங்	modeling
சல்மான்	salman
பிரதமர்கள்	primeminister
பித்தளை	brass
ஹைதர்	haider
பிடிப்பு	capture
நீரிலி	anhydride
நகைகள்	jewels
நகைகள்	jewelry
நகைகள்	jewellery
நாற்கரம்	quadrilateral
பெப்	pep
டச்	touch
டச்	dutch
பெரும	galactic
நெல்லி	nelly
வளைத்து	bend
கோரிக்கைகள்	requests
இடி	thunder
மிசிசிப்பி	mississippi
தியாகி	martyr
தியாகி	tyagi
யாரையும்	anyone
ஆல்கஹால்	alcohol
ரன்கள்	runs
வேட்டையாடும்	predatory
ரொட்டி	bread
கும்பல்	gang
கொசு	mosquito
பெரியவர்கள்	adults
புளோரின்	fluorine
டியான்	dion
மிலன்	milan
திருப்பம்	twist
உருளைக்கிழங்கு	potatoes
உருளைக்கிழங்கு	potato
தெரிந்தது	known
கரீனா	kareena
உடுப்பி	udupi
விழுந்தது	fell
சொர்க்கம்	heaven
சொர்க்கம்	paradise
வேடிக்கை	fun
வேடிக்கை	funny
ஜோத்பூர்	jodhpur
எதிர்பார்த்த	expected
வடிகட்டி	filter
நுட்பங்களை	techniques
சூத்திரங்கள்	formulas
கீர்த்தனை	kirtan
புனல்	funnel
துவங்குகிறது	starts
துவங்குகிறது	starting
தீவிரவாதி	terrorist
பிளாக்பெர்ரி	blackberry
ஆதரிக்கிறது	supports
தந்தைக்கு	father
கொங்கணி	konkani
கைத்தறி	handloom
மதியம்	noon
மதியம்	afternoon
அனந்தபூர்	anantapur
இம்மானுவேல்	immanuel
இம்மானுவேல்	emmanuel
தஞ்சோங்	tanjung
லோபஸ்	lópez
லோபஸ்	lopez
ஹாலே	halle
பழங்குடியின	aboriginal
வலைப்பூ	blog
பெங்காலி	bengali
காதர்	kader
அத்தி	figs
காற்றியக்கவியல்	aerodynamics
படகில்	ferry
ஜீவன்	jeevan
சுரங்கங்கள்	tunnels
ஏகாதசி	ekadashi
போற்றப்படுகிறது	adored
உற்று	observant
அழுத்தி	compressor
பழுது	repairs
பழுது	repair
மௌலானா	moulana
மௌலானா	maulana
அறுகோண	hexagonal
ஊஞ்சல்	swing
பைபிள்	bible
அடியார்கள்	servants
ஹம்	hum
தோற்றங்கள்	images
புன்னகை	smile
புன்னகை	smiling
சைரஸ்	cyrus
கால்களை	legs
பரிமாணம்	dimension
இவான்	ivan
இவான்	evan
அரபிக்	arabian
லில்லி	lilly
லில்லி	lily
வார்த்தைகளை	words
முன்பதிவு	booking
முன்பதிவு	reserve
குறிப்பிடவில்லை	specified
எடையை	weight
பராமரிக்க	maintain
கியூரி	curie
கீர்த்தி	keerthi
கட்டமைக்கப்பட்ட	structured
பிரெட்	brett
பிரெட்	fred
பாரா	bara
பாரா	para
திறந்தவெளி	fairground
அவளின்	her
சுறா	shark
செமிடிக்	semitic
கொம்புகள்	horns
அகராதிகள்	dictionaries
அணிய	wear
ராஞ்சி	ranchi
உருகுவே	uruguay
சோப்ரா	chopra
நிபந்தனை	condition
அச்சுப்பொறிகள்	printers
பின்னம்	fraction
மீட்டரில்	challenger
போராடினார்	fought
டேல்	dale
எஸ்டேட்	estate
பாண்டு	pandu
ஓடை	stream
எந்திர	machining
ஊற்று	fountain
விளையாடுபவர்	player
விளையாடுபவர்	players
விமானத்தை	plane
வெங்காயம்	onions
வெங்காயம்	onion
விசைகள்	keys
விசைகள்	trigger
விளையாடுகிறார்	playing
பலரை	chose
அழிப்பு	destruct
அழிப்பு	cleansing
நுண்ணுயிரியல்	microbiology
மஞ்சு	manju
மஞ்சு	manchu
அன்றாடம்	daily
சக்கரங்கள்	wheels
திருவல்லிக்கேணி	triplicane
நிவாரணம்	relief
நம்ம	us
நாடா	tape
சுருக்கி	compressing
பூச்சு	plaster
முகாமில்	campsite
குறைந்துள்ளது	decrease
மாலிப்டினம்	molybdenum
தீர்ப்பை	judgement
வைத்திருந்தது	kept
காயத்ரி	gayathri
காயத்ரி	gayatri
தினேஷ்	dinesh
தோ	tho
தோ	toa
முத்திரைகள்	mudras
அங்க	anga
முகவரியை	address
வோல்ட்	volt
யூசுப்	yousuf
பைன்	pine
வாரன்	warren
ராஜபக்ச	rajapaksa
நிறுவுதல்	installation
டவர்	tower
பிராக்	brac
தனியுரிமை	privacy
அடைதல்	honing
அணிவகுப்பு	parade
ஆன்டர்சன்	anderson
கேமரா	camera
குவாலியர்	gwalior
இறுதியான	final
இறுதியான	ultimate
போக்குகள்	trends
உணரப்பட்டது	realized
சாலமன்	solomon
மட்டை	bat
மங்கள	mangala
மோகன்லால்	mohanlal
திரௌபதி	draupadi
வெளியேற்றி	eject
கார்ட்டூன்	cartoon
சிந்தனையாளர்	thinker
சிகரெட்	cigarette
சிகரெட்	cigarettes
காரம்	spicy
வேன்	van
மூத்தவர்	senior
வெண்ணெய்	butter
முயற்சிக்கும்	tries
மரியாள்	magdalene
சிங்கர்	singer
இடையிலுள்ள	authenticity
மனோ	mano
நிழல்கள்	shadows
கலவரங்கள்	riots
ஆர்சனல்	arsenal
வின்ஸ்டன்	winston
இராமானுசர்	ramanuja
குடிசை	hut
புதுப்பிக்கப்பட்டது	updated
அனிமேஷன்	animated
அனிமேஷன்	anime
வேம்பு	neem
தேரை	toad
லக்ஷ்மி	laxmi
மகேஷ்	mahesh
மூவி	movie
கொள்வனவு	shopping
பேரிடர்	disaster
எறும்புகள்	ants
தட்டி	tap
உபயோகம்	usage
உபயோகம்	utility
மெழுகு	wax
சிந்தி	sindhi
வெளிப்புறம்	exterior
ஹாக்	hawk
ஹாக்	hawke
காய்ந்த	dry
கீற்று	streak
பயங்கரவாத	terror
செயற்பட	functional
சொத்துரிமை	ownership
ஹான்ஸ்	hans
பட்டர்	butter
ராணா	rana
அனுபவத்தை	experience
ஆசான்	mentor
பாராட்டும்	appreciation
பாராட்டும்	felicitation
குறைந்தளவு	conservative
அலாவுதீன்	alauddin
இராஜபாளையம்	rajapalayam
ரொனால்டோ	ronaldo
செய்தாலும்	whatever
சக்திவாய்ந்த	powerful
திங்கட்கிழமை	monday
நீளமானது	lengthy
தனிநபர்கள்	individuals
ஆண்குறி	penis
###	###
டெர்ரி	terry
வராத	unfunny
படைத்தவர்	creator
மண்டேலா	mandela
ஹூ	hoo
கொள்கலன்	content
கொள்கலன்	container
இப்ராகிம்	ibrahim
நிர்மலா	nirmala
அடிப்படைகள்	basics
கூந்தல்	hair
மறையும்	hide
சந்திரசேகரன்	chandrasekaran
வாசுகி	vasuki
அருமை	fantastic
அருமை	superb
அருமை	nice
இயங்கியல்	operational
மகனே	son
சுகுமாரன்	sukumaran
தலையீடு	intervention
கரிய	darker
குழப்பங்கள்	conflicts
குழப்பங்கள்	conflict
விருப்பப்படி	custom
ஊடுருவும்	penetrated
முத்தி	mutti
சிறீதரன்	sreedharan
உள்ளடக்கங்கள்	contents
இரக்கம்	compassion
வானவில்	rainbow
ஓசியானியா	oceania
மீனா	meena
கிரோன்	crohn
யாங்	yang
எட்வார்ட்	edward
நகை	jewel
நகை	jewelry
கமிஷன்	commission
கௌதம்	gautham
ஆலோசனைகள்	suggestions
சொந்தம்	own
தொடும்	touching
பாலன்	balan
ஆரோக்கியம்	health
ருத்ர	rudra
பாஸ்பரஸ்	phosphorus
அம்பானி	ambani
மாறிகள்	variable
மாறிகள்	variables
திலகர்	tilak
நுண்ணோக்கி	microscope
ஐசக்	isaac
ஐசக்	issac
வாழ்வது	living
வெற்றிபெற்று	won
ஓவல்	oval
சலாம்	salam
மேலாளராக	manager
சலுகை	offer
ரசாயன	chemical
தனுஷ்	dhanush
ஸ்வீடன்	sweden
ரிஷி	rishi
லாக்	lock
லாக்	log
கரோலினா	carolina
பாஜக	bjp
பார்பரா	barbara
செலுத்தப்பட்டது	paid
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	stockholm
புரூணை	brunei
பள்ளிக்கூடம்	school
ஸ்கோடா	skoda
ஸ்கோடா	škoda
வர்ணம்	painted
வர்ணம்	pigment
ரோஜாக்கள்	roses
மாட்	matt
சொத்துகள்	assets
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டிரைவ்	drive
ஒதுக்கப்பட்டது	choked
ஒதுக்கப்பட்டது	reserved
பத்மநாபன்	padmanabhan
பேட்ரிக்	patrick
பாடுகிறார்	sings
பாடுகிறார்	singing
போயர்	boer
பிரிக்ஸ்	brics
ஒப்பனை	makeup
ஒப்பனை	cosmetics
டெண்டுல்கர்	tendulkar
துரோணர்	drona
குபேரன்	kubera
தாமிரம்	copper
கவனத்திற்கு	fyi
கவனத்திற்கு	attention
ஆந்தை	owl
துக்ளக்	tughlaq
அணிந்துரை	foreword
பிரபலங்கள்	celebrities
ஜூலியா	julia
நீளமாக	sticky
நிணநீர்	lymph
குச்சி	stick
இனக்குழு	ethnicity
பக்கவாட்டில்	sideways
டாமன்	damon
கொன்றார்	killed
இருத்தலியல்	existential
கிரியோல்	creole
காளான்	mushroom
போதைப்பொருள்	drug
துணிகள்	fabrics
இடித்து	crashed
மதங்கள்	religions
ஓடுகள்	tiles
டெர்	der
ரம்யா	ramya
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	drivers
பிலடெல்பியா	philadelphia
ஜெயின்	jain
வாணி	vani
இரங்கல்	condolences
இரங்கல்	condolence
செம்பிலான்	sembilan
கடிகாரங்கள்	watches
ராஸ்	ross
எலுமிச்சை	lemon
எலுமிச்சை	lime
கோத்திரம்	gotra
பொலன்னறுவை	polonnaruwa
மனிதனும்	soul
பதக்கங்களை	medals
ரீட்	reed
ஆனந்தம்	joy
மார்க்கம்	religion
மார்க்கம்	markham
காய்கறி	vegetable
இராமலிங்கம்	ramalingam
முதிர்ச்சி	maturity
வழங்கவும்	provide
ஷேன்	shane
சிட்ரிக்	citric
குறும்படம்	thumbnail
குறும்படம்	icon
சோனியா	sonia
நீரியல்	hydrology
இலைகளை	leaves
அசுரன்	monster
கிளாரா	clara
தேவாலயத்தில்	piazza
மறுமணம்	remarriage
நிழலில்	shade
லேமன்	tiptoe
அரி	ari
அரி	ary
செயல்படுத்துகிறது	processing
சளி	cold
சளி	colds
கொடூரமான	cruel
கொடூரமான	brutal
முசோலினி	mussolini
தூதுவர்	ambassador
செக்ஸ்	sex
பாலினம்	gender
குணப்படுத்தும்	healing
கைபேசி	cell
கைபேசி	mobile
முரணாக	ironic
காலாண்டு	quarterly
காலாண்டு	quarter
பபெட்	buffett
புலங்கள்	fields
அன்னிய	foreign
சாஸ்திரம்	sastra
சாஸ்திரம்	shastra
பரவுகிறது	spreads
பண்டிட்	pandit
வெங்கடேஷ்	venkatesh
ஏறு	climb
மரபை	legacy
புகலிடம்	sheltered
புகலிடம்	refuge
சவாலாக	challenged
இம்ரான்	imran
எண்ணங்களை	thoughts
மடிப்பு	wrap
அளவுகோல்	scale
அடல்	atal
புதுப்பிக்கத்தக்க	renewable
கதா	katha
நகர்வுகள்	moves
ஹெக்டர்	hector
மாயன்	mayan
வெண்கல	bronze
குணப்படுத்த	cure
குணப்படுத்த	cured
மஸ்ஜித்	masjid
ரோல்	roll
ஆல்பங்கள்	albums
கெல்லி	kelly
பாரதிராஜா	bharathiraja
முதுகெலும்பு	spine
கோபால	gopala
பாக்கியம்	blessed
பாக்கியம்	blest
சிறகு	wing
சிறகு	wings
பட்டாணி	pea
பட்டாணி	peas
சர்ச்சில்	churchill
ஓன்	onn
அங்கீகரிக்கப்பட்டது	approved
ஆற்றலும்	energy
கூட்டுக்	combined
ஆக்கி	processor
கடற்படையினர்	marines
நிபுணத்துவம்	expertise
கற்பு	chastity
கவர்ந்தது	inspires
பாம்பன்	pamban
ஈடன்	eden
கொன்றது	killed
அதிகபட்சம்	max
அதிகபட்சம்	maximum
அம்பாலா	ambala
சுருங்கி	shrink
கிட்	git
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	reporter
வகுத்தது	paved
மறியல்	picket
சிப்	chip
புக்கர்	booker
கேளிக்கை	recreation
கேளிக்கை	entertainment
இராஜேந்திரன்	rajendran
சமோவா	samoa
பந்துகள்	balls
குறிப்பேடு	logger
பருவங்கள்	seasons
குடியேற்றவாத	colonization
வாத	terror
மூவாக்சைடு	trioxide
நிலுவையில்	pending
யுனிக்ஸ்	unix
தொட்டில்	cradle
புண்கள்	sores
விஸ்டா	vista
வாசம்	breath
வாசம்	indulgence
துன்பங்கள்	sorrows
கோளம்	sphere
திரையரங்கு	theatre
பின்புலம்	background
பின்னோக்கி	backward
பின்னோக்கி	backwards
கோவிந்தராஜன்	govindarajan
தத்து	tab
லம்போர்கினி	lamborghini
ஆலோசனைக்	consultation
தனிமையில்	alone
தனிமையில்	lonely
தனிமையில்	solitude
வழிகாட்டல்	guidance
தன்னைத்தானே	himself
விக்கெட்	wicket
பார்வைகள்	visits
பார்வைகள்	views
நோக்கங்களை	intentions
பளிங்கு	marble
